date,open,high,low,close,volume,value,board
2008-05-30,0.31,0.31,0.2699,0.2699,16200,4377.9,EQNE
2008-06-02,0.27,0.27,0.265,0.265,1800,480.3,EQNE
2008-06-03,0.2312,0.2312,0.231,0.231,113000,26113.6,EQNE
2008-06-04,0.2343,0.24,0.2343,0.24,1627800,388724.21,EQNE
2008-06-05,0.25,0.2551,0.25,0.2534,2333400,589712.14,EQNE
2008-06-07,0.2372,0.2599,0.2371,0.2598,91300,21765.85,EQNE
2008-06-09,0.2687,0.2687,0.2687,0.2687,100,26.87,EQNE
2008-06-10,0.25,0.25,0.25,0.25,47000,11750,EQNE
2008-06-11,0.2699,0.2699,0.2699,0.2699,3000,809.7,EQNE
2008-06-16,0.26,0.264,0.26,0.264,200100,52426.4,EQNE
2008-06-17,0.264,0.264,0.262,0.262,721100,189524.2,EQNE
2008-06-18,0.29,0.29,0.26,0.26,27800,7231.8,EQNE
2008-06-19,0.262,0.262,0.262,0.262,100,26.2,EQNE
2008-06-20,0.262,0.265,0.262,0.265,8785800,2302794.6,EQNE
2008-06-26,0.251,0.265,0.2451,0.2649,800,205.7,EQNE
2008-06-30,0.25,0.25,0.25,0.25,500000,125000,EQNE
2008-07-01,0.2403,0.2403,0.2402,0.2402,134600,32330.93,EQNE
2008-07-02,0.254,0.254,0.245,0.245,6731100,1689500.4,EQNE
2008-07-03,0.265,0.265,0.2301,0.2449,31200,7305.45,EQNE
2008-07-04,0.2549,0.2549,0.2549,0.2549,100,25.49,EQNE
2008-07-08,0.2302,0.2449,0.2201,0.2449,4679700,1070167.6,EQNE
2008-07-09,0.2519,0.2519,0.2519,0.2519,100,25.19,EQNE
2008-07-11,0.25,0.25,0.25,0.25,100,25,EQNE
2008-07-14,0.24,0.24,0.23,0.23,500100,115024,EQNE
2008-07-15,0.2395,0.2395,0.2203,0.2395,1200,268.2,EQNE
2008-07-16,0.2299,0.2299,0.2299,0.2299,100,22.99,EQNE
2008-07-17,0.2199,0.23,0.2199,0.23,7700,1709.39,EQNE
2008-07-21,0.25,0.25,0.2161,0.2388,300,70.49,EQNE
2008-07-23,0.2152,0.2272,0.215,0.215,500800,107694.48,EQNE
2008-07-24,0.2298,0.2298,0.2149,0.2149,100100,21512.98,EQNE
2008-07-25,0.2148,0.2349,0.2067,0.2102,600,128.67,EQNE
2008-07-28,0.2299,0.2299,0.1901,0.1901,156200,29968.62,EQNE
2008-07-29,0.2295,0.2295,0.18,0.1996,2237600,405726.67,EQNE
2008-07-30,0.1948,0.1996,0.1948,0.1996,61000,12171.28,EQNE
2008-07-31,0.2085,0.2085,0.1901,0.2084,65300,12417.2,EQNE
2008-08-01,0.2386,0.2386,0.1813,0.2296,700,150.5,EQNE
2008-08-04,0.2386,0.2386,0.1852,0.2381,320300,69457.52,EQNE
2008-08-05,0.2333,0.2333,0.1999,0.1999,250100,49998.33,EQNE
2008-08-06,0.2288,0.2288,0.2097,0.2097,200,43.85,EQNE
2008-08-07,0.2388,0.2388,0.2098,0.2099,10100,2122.74,EQNE
2008-08-08,0.2388,0.2388,0.18,0.207,403800,72804.38,EQNE
2008-08-11,0.2,0.2,0.2,0.2,6000,1200,EQNE
2008-08-12,0.23,0.23,0.1945,0.1945,1709900,332579.1,EQNE
2008-08-15,0.1945,0.203,0.1944,0.203,235600,47108.52,EQNE
2008-08-18,0.2,0.2388,0.2,0.2055,1570600,323312.33,EQNE
2008-08-19,0.205,0.205,0.204,0.204,905000,184720.75,EQNE
2008-08-20,0.2388,0.2388,0.2,0.2055,662100,134882.6,EQNE
2008-08-21,0.205,0.21,0.2,0.21,260100,52821,EQNE
2008-08-22,0.236,0.236,0.236,0.236,100,23.6,EQNE
2008-08-26,0.1903,0.2354,0.1903,0.2354,200,42.57,EQNE
2008-08-27,0.17,0.2173,0.17,0.2173,201300,34282.49,EQNE
2008-08-28,0.2354,0.2354,0.185,0.2187,494400,92157.91,EQNE
2008-08-29,0.2353,0.2353,0.19,0.2,180400,34906.84,EQNE
2008-09-01,0.2387,0.2387,0.2387,0.2387,200,47.74,EQNE
2008-09-02,0.2,0.238,0.19,0.1955,46500200,11043782.8,EQNE
