date,open,high,low,close,volume,value,board
2000-01-05,1.09,1.143,1,1.1,16797300,18139478.5,EQBR
2000-01-06,1.128,1.19,1.128,1.19,4595400,5349404,EQBR
2000-01-10,1.3,1.394,1.201,1.385,23367300,30950308.2,EQBR
2000-01-11,1.35,1.35,1.27,1.27,14639800,19017053.8,EQBR
2000-01-12,1.275,1.38,1.221,1.361,16199500,21206718.6,EQBR
2000-01-13,1.36,1.52,1.323,1.482,16085100,23072681.2,EQBR
2000-01-14,1.5,1.725,1.5,1.715,19340600,31861714.1,EQBR
2000-01-17,1.65,1.75,1.575,1.577,14468700,24073835.4,EQBR
2000-01-18,1.54,1.66,1.51,1.52,16962300,26628220.3,EQBR
2000-01-19,1.495,1.495,1.382,1.395,12077600,17222152,EQBR
2000-01-20,1.439,1.55,1.422,1.537,12965900,19365289.8,EQBR
2000-01-21,1.54,1.65,1.53,1.608,12574000,20214386.4,EQBR
2000-01-24,1.6,1.67,1.495,1.5,17710800,27584941.8,EQBR
2000-01-25,1.424,1.479,1.362,1.43,17143600,24512760.2,EQBR
2000-01-26,1.44,1.45,1.4,1.444,14139900,20212083.7,EQBR
2000-01-27,1.46,1.536,1.451,1.531,9062700,13575238.6,EQBR
2000-01-28,1.51,1.56,1.398,1.428,12267900,17984141,EQBR
2000-01-31,1.361,1.4,1.334,1.34,8135500,11059184.2,EQBR
2000-02-01,1.434,1.457,1.355,1.359,11439900,16152446.2,EQBR
2000-02-02,1.38,1.39,1.3,1.32,16636800,22286817.5,EQBR
2000-02-03,1.35,1.419,1.32,1.37,12380000,16891974.3,EQBR
2000-02-04,1.4,1.438,1.385,1.4,14776100,20883185.5,EQBR
2000-02-07,1.42,1.447,1.4,1.413,9549200,13621181.4,EQBR
2000-02-08,1.425,1.527,1.414,1.527,21730800,31913816.7,EQBR
2000-02-09,1.57,1.629,1.541,1.541,29453600,46930732.1,EQBR
2000-02-10,1.528,1.55,1.48,1.535,19192300,29239215.5,EQBR
2000-02-11,1.553,1.578,1.5,1.53,13250400,20212816.2,EQBR
