date,open,high,low,close,volume,value,board
2006-02-17,0.2,0.27,0.1,0.19,17735700,2435616.0,EQNE
2006-02-20,0.16,0.49,0.16,0.49,21171300,7691842.0,EQNE
2006-02-21,0.49,0.96,0.45,0.62,13115900,8804058.0,EQNE
2006-02-22,0.7,0.81,0.52,0.75,15095400,10757811.0,EQNE
2006-02-26,0.75,0.94,0.67,0.9,15032800,12722428.0,EQNE
2006-02-27,0.9,1.28,0.9,1.23,19057000,21469947.0,EQNE
2006-02-28,1.24,1.52,0.85,1.05,16545500,21045080.0,EQNE
2006-03-01,1.1,1.3,0.98,1.03,11967300,13283074.0,EQNE
2006-03-02,1.04,1.18,0.89,0.92,7916300,7764151.0,EQNE
2006-03-03,0.96,1.01,0.9,0.99,2496500,2403869.0,EQNE
2006-03-06,1.0,1.03,0.87,0.89,6084900,5602810.0,EQNE
2006-03-07,0.85,0.9,0.82,0.87,2156400,1858915.0,EQNE
2006-03-09,0.82,0.97,0.77,0.91,7619600,6549822.0,EQNE
2006-03-10,0.91,0.93,0.83,0.85,4888700,4224467.0,EQNE
2006-03-13,0.85,0.88,0.78,0.78,9938400,7952570.0,EQNE
2006-03-14,0.8,0.81,0.71,0.73,5376800,4079493.0,EQNE
2006-03-15,0.74,0.74,0.52,0.56,18584200,10494250.0,EQNE
2006-03-16,0.56,0.56,0.52,0.54,5183700,2772681.0,EQNE
2006-03-17,0.55,0.55,0.52,0.54,2381300,1264951.0,EQNE
2006-03-20,0.53,0.53,0.49,0.5,5130100,2625454.0,EQNE
2006-03-21,0.5,0.54,0.49,0.53,3670000,1920737.0,EQNE
2006-03-22,0.52,0.52,0.48,0.51,5543800,2784566.0,EQNE
2006-03-23,0.51,0.53,0.48,0.5,4459100,2236415.0,EQNE
2006-03-24,0.5,0.5,0.48,0.5,1764700,866792.0,EQNE
2006-03-27,0.49,0.49,0.44,0.45,11557300,5318738.0,EQNE
2006-03-28,0.46,0.46,0.38,0.4,28585700,11483460.0,EQNE
2006-03-29,0.4,0.49,0.38,0.4,74771500,30596925.0,EQNE
2006-03-30,0.4,0.42,0.36,0.38,12743700,4803411.0,EQNE
2006-03-31,0.38,0.38,0.35,0.37,6689700,2444707.0,EQNE
2006-04-03,0.37,0.38,0.34,0.37,19873000,7050275.0,EQNE
2006-04-04,0.38,0.38,0.34,0.36,11150800,3993025.0,EQNE
2006-04-05,0.36,0.36,0.34,0.34,7867400,2742073.0,EQNE
2006-04-06,0.34,0.36,0.33,0.35,10440400,3586292.0,EQNE
2006-04-07,0.34,0.35,0.34,0.35,2435900,848752.0,EQNE
2006-04-10,0.35,0.36,0.34,0.35,11533400,4033088.0,EQNE
2006-04-11,0.35,0.36,0.34,0.35,2151500,745415.0,EQNE
2006-04-12,0.34,0.35,0.32,0.33,10392200,3456174.0,EQNE
2006-04-13,0.34,0.35,0.32,0.34,3913700,1318930.0,EQNE
2006-04-14,0.34,0.35,0.33,0.34,1637000,555167.0,EQNE
2006-04-17,0.34,0.36,0.34,0.36,3099200,1076931.0,EQNE
2006-04-18,0.36,0.46,0.36,0.45,36166600,15180307.0,EQNE
2006-04-19,0.45,0.54,0.45,0.478,45635300,22697515.1,EQNE
2006-04-20,0.467,0.499,0.394,0.395,112626500,46316096.3,EQNE
2006-04-21,0.409,0.409,0.37,0.389,9780700,3798342.7,EQNE
2006-04-24,0.39,0.418,0.365,0.369,14601100,5672900.9,EQNE
2006-04-25,0.367,0.379,0.347,0.356,15206200,5436277.9,EQNE
2006-04-26,0.356,0.356,0.342,0.35,8280100,2875735.8,EQNE
2006-04-27,0.35,0.357,0.335,0.342,5615400,1912754.5,EQNE
2006-04-28,0.34,0.345,0.325,0.33,12791700,4241128.9,EQNE
2006-05-02,0.33,0.382,0.33,0.361,5280100,1908945.3,EQNE
2006-05-03,0.372,0.39,0.352,0.374,6080200,2280405.3,EQNE
2006-05-04,0.371,0.373,0.348,0.364,4801800,1711380.3,EQNE
2006-05-05,0.369,0.375,0.352,0.355,2294900,833646.3,EQNE
2006-05-06,0.364,0.365,0.351,0.364,828500,297157.5,EQNE
2006-05-10,0.353,0.374,0.348,0.35,2710300,963008.1,EQNE
2006-05-11,0.349,0.356,0.335,0.345,1662800,573266.5,EQNE
2006-05-12,0.338,0.34,0.327,0.34,1693000,562711.5,EQNE
2006-05-15,0.338,0.338,0.325,0.33,610300,201405.6,EQNE
2006-05-16,0.327,0.348,0.327,0.343,2518000,845512.8,EQNE
2006-05-17,0.348,0.348,0.326,0.33,3231800,1073136.7,EQNE
2006-05-18,0.325,0.335,0.318,0.328,3145900,1008022.3,EQNE
2006-05-19,0.329,0.33,0.313,0.324,2525000,801689.3,EQNE
2006-05-22,0.311,0.321,0.294,0.294,8208000,2494738.2,EQNE
2006-05-23,0.301,0.31,0.29,0.31,3487400,1033926.0,EQNE
