date,open,high,low,close,volume,value,board
2012-12-27,10.1,11.997,9.3,10.997,13200,135255.2,EQNE
2012-12-28,10.998,10.998,10,10.0,600,6099.8,EQNE
2013-01-08,11.999,12,10.003,10.003,48700,514302.5,EQNE
2013-01-09,9.9,10.87,9.8,10.87,21800,217147,EQNE
2013-01-10,10.2,10.2,10,10.0,6100,62200,EQNE
2013-01-11,9.5,9.738,9.5,9.7,9000,86535.6,EQNE
2013-01-14,9.6,9.839,9.365,9.839,9900,94323.8,EQNE
2013-01-15,9.5,9.636,9.32,9.501,7600,71919.7,EQNE
2013-01-16,9.6,9.6,9.501,9.501,6600,63309.6,EQNE
2013-01-17,9.501,9.501,9.401,9.401,6200,58811.1,EQNE
2013-01-18,9.4,9.4,9.3,9.351,6600,61968.6,EQNE
2013-01-21,9.3,9.3,9.3,9.3,5000,46500,EQNE
2013-01-22,9.25,9.25,9.24,9.24,5100,47174,EQNE
2013-01-23,9.24,9.24,9.24,9.24,8400,77616,EQNE
2013-01-24,9.108,9.2,8.871,8.997,8800,79207,EQNE
2013-01-25,8.868,9.848,8.8,9.65,72900,692919.3,EQNE
2013-01-28,9.5,9.612,9.5,9.612,5100,48461.2,EQNE
2013-01-29,9.7,9.949,9.7,9.949,7500,73252.9,EQNE
2013-01-30,9.645,9.752,9.6,9.752,9000,86740.5,EQNE
2013-01-31,9.5,9.799,9.5,9.799,10300,98406,EQNE
2013-02-01,9.79,10.245,9.75,10.245,17200,170648.5,EQNE
2013-02-04,10.55,10.55,10.55,10.55,1500,15825,EQNE
2013-02-05,10.54,11.4,10.54,10.92,85400,927234,EQNE
2013-02-07,11.076,11.85,11.076,11.2,2900,32424,EQNE
2013-02-11,11.157,11.157,11.021,11.021,3800,41983.6,EQNE
2013-02-15,11.2,11.25,11.18,11.18,4000,44842,EQNE
2013-02-21,11.02,11.02,11.02,11.02,600,6612,EQNE
2013-02-26,11.178,11.178,11.018,11.018,3400,37525.2,EQNE
2013-02-28,11,11,11,11.0,20000,220000,EQNE
2013-03-01,10.843,10.843,10.7,10.7,7100,76895.5,EQNE
2013-03-04,10.722,10.853,10.722,10.853,1600,17351.7,EQNE
2013-03-06,11,11,11,11.0,4800,52800,EQNE
2013-03-11,10,11.22,10,10.847,9300,97210.4,EQNE
2013-03-12,10,10.98,10,10.823,8400,88189,EQNE
2013-03-13,10.928,11.223,10.893,11.223,118100,1302889.2,EQNE
2013-03-14,11.095,11.37,10.979,11.37,105500,1177849.8,EQNE
2013-03-15,11.407,11.481,11.33,11.481,81400,926480.1,EQNE
2013-03-18,11.481,11.544,11.134,11.41,65400,739233.2,EQNE
2013-03-19,11.5,12.026,11.253,11.956,88500,1057299.2,EQNE
2013-03-20,12,12.24,11.7,12.24,49600,595753.9,EQNE
2013-03-21,12.23,12.52,12.055,12.305,79900,978827.5,EQNE
2013-03-22,12.317,12.317,12.3,12.303,41800,514324.4,EQNE
2013-03-25,12.315,12.315,12.31,12.31,33200,408693,EQNE
2013-03-26,12.322,12.857,12.31,12.555,54100,673942.3,EQNE
2013-03-27,12.568,13.455,12.561,13.455,97100,1259479.5,EQNE
2013-03-28,13.468,14.15,13.455,14.15,63900,876961.9,EQNE
2013-03-29,14.164,14.221,14.155,14.221,9500,134642.4,EQNE
2013-04-01,14.207,14.207,14.093,14.093,7300,103223,EQNE
2013-04-02,14.107,14.178,14.079,14.178,3300,46565.1,EQNE
2013-04-03,14.164,14.191,14.065,14.191,2100,29603,EQNE
2013-04-05,14.177,14.177,14.163,14.163,300,4250.3,EQNE
2013-04-08,14.177,14.177,14.177,14.177,200,2835.4,EQNE
2013-04-09,14.191,14.219,14.191,14.219,300,4261.5,EQNE
2013-04-10,12.802,14.232,12.802,14.232,2500,33888.6,EQNE
2013-04-11,14.245,14.335,14.245,14.335,2400,34317.6,EQNE
2013-04-12,14.349,14.736,14.349,14.591,6300,91739.4,EQNE
2013-04-15,14.606,14.752,14.445,14.445,4300,62837.6,EQNE
2013-04-16,14.431,14.431,14.186,14.186,4700,67176.9,EQNE
2013-04-17,14.172,14.555,14,14.555,22300,315460.4,EQNE
2013-04-18,14.57,14.906,14.57,14.58,9300,137384.5,EQNE
2013-04-19,14.536,14.537,14.536,14.536,4700,68319.8,EQNE
2013-04-22,14.551,14.812,14.522,14.811,4300,63108,EQNE
2013-04-23,14.82,14.9,14.82,14.9,5600,83036.9,EQNE
2013-04-25,14.885,14.885,14.84,14.88,937300,13947009.5,EQNE
2013-04-29,14.89,14.89,14.89,14.89,6600,98274,EQNE
2013-04-30,14.9,14.9,14.9,14.9,4400,65560,EQNE
2013-05-02,14.9,14.9,14.87,14.87,4600,68535.5,EQNE
2013-05-03,14.86,14.86,14.86,14.86,4400,65384,EQNE
2013-05-06,14.85,14.85,14.85,14.85,4400,65340,EQNE
2013-05-07,14.85,14.85,14.821,14.821,4600,68305.6,EQNE
2013-05-08,14.81,14.81,14.81,14.81,4400,65164,EQNE
2013-05-10,14.8,14.8,14.796,14.796,4500,66599.6,EQNE
2013-05-13,14.811,14.811,14.811,14.811,100,1481.1,EQNE
2013-05-15,14.798,14.826,14.796,14.826,18900,279898.2,EQNE
2013-05-16,14.841,14.841,14.836,14.836,27100,402056.1,EQNE
2013-05-17,14.821,14.836,14.821,14.836,3700,54891.7,EQNE
2013-05-20,14.821,14.829,14.821,14.829,20700,306959.5,EQNE
2013-05-21,14.814,14.829,14.814,14.829,30900,458214.6,EQNE
2013-05-22,14.844,14.844,14.629,14.636,88400,1293790,EQNE
2013-05-23,14.621,14.621,14.56,14.564,85200,1242194.4,EQNE
2013-05-24,14.579,14.579,14.477,14.477,95300,1386575.2,EQNE
2013-05-27,14.463,14.477,14.229,14.271,77500,1116692,EQNE
2013-05-28,14.257,14.259,14.2,14.22,92800,1320493.6,EQNE
2013-05-29,14.206,14.217,14.196,14.2,136900,1943743.6,EQNE
2013-05-30,14.186,14.208,14.186,14.202,109100,1549289.8,EQNE
2013-05-31,14.214,14.214,14.192,14.197,77000,1093047.3,EQNE
2013-06-03,14.183,14.2,14.177,14.185,85500,1212843.1,EQNE
2013-06-04,14.18,14.341,14.18,14.341,26500,379245.1,EQNE
2013-06-05,14.327,14.341,14.327,14.333,28900,414336.7,EQNE
2013-06-06,14.319,14.319,14.251,14.251,36900,526683.3,EQNE
2013-06-07,14.237,14.422,14.237,14.422,18700,267337.3,EQNE
2013-06-10,14.408,14.416,14.408,14.416,2500,36039.2,EQNE
2013-06-11,14.43,14.618,14.425,14.618,92100,1333021.8,EQNE
2013-06-13,14.603,14.808,14.603,14.779,102800,1513533.6,EQNE
2013-06-14,14.764,14.779,14.764,14.779,57500,849651.2,EQNE
2013-06-17,14.764,14.764,14.568,14.568,2000,29326.6,EQNE
2013-06-18,14.583,14.896,14.583,14.889,52400,779329.1,EQNE
2013-06-19,14.904,14.904,14.888,14.901,37900,564535.4,EQNE
2013-06-20,14.886,14.961,14.872,14.877,1705700,25367794.6,EQNE
2013-06-24,14.862,14.886,14.862,14.883,158900,2364312,EQNE
2013-06-26,14.898,15.013,14.898,15.013,6500,97503.4,EQNE
2013-06-27,15.028,15.238,15.028,15.238,2217600,33523501.9,EQNE
2013-06-28,15.25,15.253,15.131,15.25,1247600,19025774,EQNE
2013-07-03,15.265,15.272,15.249,15.263,114900,1753300.5,EQNE
2013-07-05,15.275,15.276,15.275,15.276,660000,10081665,EQNE
2013-07-09,15.261,15.261,15.261,15.261,100,1526.1,EQNE
2013-07-10,15.246,15.246,15.2,15.2,600,9135.2,EQNE
2013-07-17,15.185,15.185,15.17,15.17,200,3035.5,EQNE
2013-07-18,15.183,15.184,15.183,15.184,916000,13908086,EQNE
2013-07-25,15.199,15.364,15.171,15.361,74400,1140978.8,EQNE
2013-07-26,15.35,15.518,15.141,15.518,65500,1014839.9,EQNE
2013-07-29,15.502,15.502,15.502,15.502,100,1550.2,EQNE
2013-07-30,15.518,15.518,15.492,15.5,33000,511597.8,EQNE
2013-07-31,15.485,15.485,15.485,15.485,100,1548.5,EQNE
2013-08-01,15.5,15.5,15.439,15.49,2174800,33686909.9,EQNE
2013-08-02,15.483,15.496,15.11,15.146,2189400,33090964.2,EQNE
2013-08-05,15.15,15.15,15.14,15.15,914000,13842650,EQNE
2013-08-07,15.15,15.15,15.15,15.15,28000,424200,EQNE
2013-08-09,15.14,15.16,15.14,15.16,1638000,24815700,EQNE
2013-08-15,15.146,15.148,15.146,15.148,6596000,99909612,EQNE
2013-08-22,15.163,15.17,15.163,15.17,14200,215412.6,EQNE
2013-08-23,15.175,15.178,15.175,15.178,40000,607060,EQNE
2013-08-26,15.19,15.19,15.19,15.19,40200,610638,EQNE
2013-08-27,15.2,15.2,15.2,15.2,20000,304000,EQNE
2013-08-28,15.2,15.2,15.124,15.2,219300,3333352.4,EQNE
2013-08-29,15.2,15.2,15.2,15.2,40200,611040,EQNE
2013-08-30,15.2,15.486,15.2,15.486,601000,9294537.6,EQNE
2013-09-02,15.3,15.302,15.3,15.302,40400,618160.8,TQNE
2013-09-03,15.3,15.5,15.3,15.5,40200,615100,TQNE
2013-09-04,15.2,15.474,15.2,15.474,40200,611867.4,TQNE
2013-09-05,15.47,15.47,15.47,15.47,40000,618800,TQNE
2013-09-06,15.47,15.47,15.47,15.47,40000,618800,TQNE
2013-09-09,15.47,15.47,15.47,15.47,40000,618800,TQNE
2013-09-10,15.47,15.64,15.47,15.64,31500,487456.5,TQNE
2013-09-12,15.63,15.63,15.63,15.63,30000,468900,TQNE
2013-09-16,15.614,15.614,15.6,15.6,40100,625561.4,TQNE
2013-09-17,15.584,15.584,15.58,15.58,39900,621642.4,TQNE
2013-09-20,15.564,15.564,15.55,15.55,30200,469612.8,TQNE
