date,open,high,low,close,volume,value,board
2005-12-29,0.99,0.99,0.29,0.4,187900,86255,EQNE
2005-12-30,0.34,0.38,0.25,0.37,112800,35026,EQNE
2006-01-10,0.35,0.38,0.34,0.37,561500,202676,EQNE
2006-01-11,0.37,0.37,0.34,0.35,623300,224107,EQNE
2006-01-12,0.33,0.36,0.28,0.28,3108400,964128,EQNE
2006-01-13,0.29,0.32,0.28,0.31,1378700,414843,EQNE
2006-01-16,0.3,0.34,0.3,0.32,2277900,724064,EQNE
2006-01-17,0.29,0.32,0.26,0.3,1489000,413450,EQNE
2006-01-18,0.27,0.3,0.27,0.29,213200,59577,EQNE
2006-01-19,0.28,0.36,0.27,0.33,2169900,686720,EQNE
2006-01-20,0.36,0.36,0.31,0.33,3475300,1163881,EQNE
2006-01-23,0.35,0.36,0.33,0.36,1222700,432322,EQNE
2006-01-24,0.36,0.37,0.34,0.35,632500,221739,EQNE
2006-01-25,0.37,0.37,0.32,0.35,430000,143278,EQNE
2006-01-26,0.35,0.35,0.32,0.34,495000,163928,EQNE
2006-01-27,0.34,0.36,0.34,0.34,1016300,354335,EQNE
2006-01-30,0.32,0.34,0.32,0.32,306100,99655,EQNE
2006-01-31,0.34,0.34,0.32,0.32,119500,38527,EQNE
2006-02-01,0.34,0.34,0.32,0.32,15200,4866,EQNE
2006-02-02,0.32,0.34,0.32,0.32,331900,112035,EQNE
2006-02-03,0.32,0.33,0.31,0.31,140100,43961,EQNE
2006-02-06,0.31,0.32,0.31,0.32,211200,65676,EQNE
2006-02-07,0.32,0.34,0.32,0.33,293000,95428,EQNE
2006-02-08,0.35,0.35,0.33,0.34,383500,129916,EQNE
2006-02-09,0.32,0.34,0.32,0.33,81100,26334,EQNE
2006-02-10,0.33,0.35,0.32,0.35,502900,173484,EQNE
2006-02-13,0.35,0.35,0.33,0.35,76500,26257,EQNE
2006-02-14,0.35,0.36,0.33,0.34,198900,67256,EQNE
2006-02-15,0.35,0.35,0.33,0.34,91200,30737,EQNE
2006-02-16,0.35,0.35,0.33,0.34,276600,91811,EQNE
2006-02-17,0.34,0.38,0.32,0.38,3335500,1232532,EQNE
2006-02-20,0.35,0.4,0.35,0.4,1014300,378528,EQNE
2006-02-21,0.39,0.39,0.35,0.37,543200,194596,EQNE
2006-02-22,0.36,0.4,0.36,0.4,903500,341591,EQNE
2006-02-26,0.39,0.59,0.38,0.5,10860400,5173335,EQNE
2006-02-27,0.5,0.75,0.5,0.72,14516800,9455506,EQNE
2006-02-28,0.72,0.84,0.65,0.71,16021900,12210889,EQNE
2006-03-01,0.7,0.75,0.61,0.67,4415100,3035747,EQNE
2006-03-02,0.69,0.69,0.61,0.62,1460000,942860,EQNE
2006-03-03,0.65,0.67,0.6,0.63,538300,339232,EQNE
2006-03-06,0.6,0.6,0.46,0.54,4628400,2397009,EQNE
