date,open,high,low,close,volume,value,board
2011-04-21,562.74,562.74,477.02,480.0,66330,33283277.7,EQNE
2011-04-22,480.0,484.0,480.0,482.5,27720,13364235.4,EQNE
2011-04-25,480.0,498.61,480.0,485.0,6330,3089895.5,EQNE
2011-04-26,480.05,483.0,472.0,474.0,63560,30316728.5,EQNE
2011-04-27,482.0,482.0,465.1,470.0,42150,19946347.7,EQNE
2011-04-28,465.01,474.97,462.0,469.99,24700,11490856.6,EQNE
2011-04-29,460.11,478.99,460.11,463.0,5390,2548216.7,EQNE
2011-05-03,460.11,464.97,450.0,450.0,18860,8594416.0,EQNE
2011-05-04,448.7,448.7,430.0,430.0,44950,19783879.4,EQNE
2011-05-05,435.0,440.0,432.0,432.0,151830,66285701.0,EQNE
2011-05-06,440.0,442.0,434.0,442.0,21970,9625343.1,EQNE
2011-05-10,447.0,447.0,443.99,445.0,12400,5505838.7,EQNE
2011-05-11,445.02,451.0,445.0,446.0,29010,12981677.0,EQNE
2011-05-12,442.0,459.0,433.34,453.7,10670,4731928.8,EQNE
2011-05-13,445.99,446.0,435.0,444.48,3950,1725899.7,EQNE
2011-05-16,443.9,451.0,441.1,443.0,61590,27298918.6,EQNE
2011-05-17,430.01,442.87,421.0,421.0,10530,4469935.7,EQNE
2011-05-18,356.35,445.99,356.35,432.0,19380,8349387.2,EQNE
2011-05-19,432.0,439.0,422.0,428.0,43140,18600952.2,EQNE
2011-05-20,429.99,446.0,427.0,427.0,7860,3418675.6,EQNE
2011-05-23,420.0,426.0,406.85,410.0,21080,8736349.8,EQNE
2011-05-24,414.95,420.0,414.0,420.0,13580,5646544.5,EQNE
2011-05-25,417.03,424.98,412.0,416.66,3650,1528975.1,EQNE
2011-05-26,431.74,431.74,417.0,417.0,6290,2638832.5,EQNE
2011-05-27,425.46,431.35,416.18,424.0,30990,13076934.9,EQNE
2011-05-30,425.9,434.99,420.8,425.0,1360,578864.8,EQNE
2011-05-31,428.0,441.0,428.0,437.0,45530,19918451.1,EQNE
2011-06-01,435.0,439.0,434.0,436.98,16870,7338986.2,EQNE
2011-06-02,428.0,439.0,421.0,439.0,2800,1207279.4,EQNE
2011-06-03,431.05,440.0,431.0,434.9,3340,1445683.6,EQNE
2011-06-06,426.02,434.0,420.5,434.0,350,149753.1,EQNE
2011-06-07,422.23,431.98,422.0,430.0,5350,2270000.2,EQNE
2011-06-08,428.0,439.99,425.23,430.0,31510,13571235.2,EQNE
2011-06-09,433.99,434.0,429.93,433.0,12290,5320557.8,EQNE
2011-06-10,434.0,434.0,430.74,433.0,43110,18678140.5,EQNE
2011-06-14,431.01,431.01,430.0,430.0,480,206600.2,EQNE
2011-06-15,430.0,432.0,425.0,429.99,9290,3994221.4,EQNE
2011-06-16,428.5,430.0,423.0,425.0,1050,448225.0,EQNE
2011-06-17,423.54,429.39,421.0,421.24,640,272037.7,EQNE
2011-06-20,429.29,429.29,420.25,421.05,940,395904.6,EQNE
2011-06-21,429.98,429.99,421.5,421.55,3430,1452816.5,EQNE
2011-06-22,430.99,431.0,423.0,425.5,7950,3392941.9,EQNE
2011-06-23,427.0,427.0,422.0,422.0,5160,2190090.9,EQNE
2011-06-24,424.01,427.0,421.0,423.32,1070,456240.5,EQNE
2011-06-27,421.1,422.0,419.99,419.99,1060,446700.1,EQNE
2011-06-28,420.07,433.99,420.0,423.6,3080,1306990.0,EQNE
2011-06-29,426.0,432.83,423.01,423.01,24910,10717585.7,EQNE
2011-06-30,420.03,424.0,417.0,424.0,10090,4234326.6,EQNE
2011-07-01,425.0,446.0,421.0,439.01,206370,90888469.0,EQNE
2011-07-04,442.99,443.0,435.44,441.0,8220,3625503.8,EQNE
2011-07-05,443.0,459.99,435.41,441.0,63220,27960506.3,EQNE
2011-07-06,438.0,439.99,435.01,435.1,18880,8279242.7,EQNE
2011-07-07,439.99,442.5,435.0,438.99,53160,23333160.7,EQNE
2011-07-08,436.1,446.9,435.51,446.9,11280,4953276.9,EQNE
2011-07-11,446.0,448.0,436.58,440.75,66600,29636772.9,EQNE
2011-07-12,444.78,444.8,436.31,444.0,9310,4107182.5,EQNE
2011-07-13,447.0,447.0,437.0,439.0,11710,5152502.1,EQNE
2011-07-14,437.5,443.0,437.5,440.0,19910,8752546.2,EQNE
