date,open,high,low,close,volume,value,board
2011-12-14,0.05747,0.05747,0.05747,0.05747,64,3.68,SMAL
2011-12-23,0.1,0.1,0.1,0.1,1,0.1,SMAL
2011-12-29,0.04311,0.04311,0.04311,0.04311,4328,186.58,SMAL
2012-01-26,0.1,0.1,0.1,0.1,100000,10000,EQNE
2012-01-27,0.14,0.14,0.14,0.14,100000,14000,EQNE
2012-02-01,0.084,0.084,0.084,0.084,900,75.6,SMAL
2012-02-08,0.084,0.084,0.084,0.084,1000,84,SMAL
2012-03-19,0.154,0.154,0.154,0.154,13929,2145.07,SMAL
2012-03-23,0.154,0.154,0.08401,0.08401,44900,3772.11,SMAL
2012-04-02,0.196,0.196,0.19,0.19,200000,38600,EQNE
2012-04-03,0.185,0.19,0.185,0.19,200000,37500,EQNE
2012-04-04,0.174,0.19,0.174,0.19,53837,10214.63,SMAL
2012-09-25,0.114,0.114,0.114,0.114,15000,1710,SMAL
2012-10-02,0.114,0.114,0.114,0.114,60000,6840,SMAL
2012-10-05,0.184,0.184,0.184,0.184,200000,36800,EQNE
2012-10-08,0.1104,0.2576,0.1104,0.1206,800000,143823,EQNE
2012-10-12,0.168,0.168,0.168,0.168,100,16.8,SMAL
2012-10-24,0.07388,0.16884,0.07388,0.16884,400000,41672,EQNE
2012-10-25,0.117,0.18819,0.117,0.18819,200000,30519,EQNE
2012-11-01,0.11113,0.15,0.11113,0.11115,300000,37228,EQNE
2012-11-02,0.17,0.17,0.17,0.17,100,17,SMAL
2012-11-06,0.17373,0.17373,0.17373,0.17373,100000,17373,EQNE
2012-11-07,0.2,0.2,0.2,0.2,100000,20000,EQNE
2012-11-12,0.21,0.28,0.21,0.28,200000,49000,EQNE
2012-11-13,0.15,0.15,0.15,0.15,2100,315,SMAL
2012-11-15,0.18,0.18,0.18,0.18,100,18,SMAL
2012-11-22,0.12,0.12,0.12,0.12,2164,259.68,SMAL
2012-11-27,0.13,0.13,0.13,0.13,46900,6097,SMAL
2012-11-28,0.27999,0.27999,0.27999,0.27999,22509,6302.29,SMAL
2012-12-27,0.23,0.23,0.23,0.23,100000,23000,EQNE
2012-12-28,0.22,0.222,0.22,0.222,300000,66200,EQNE
2013-01-09,0.1333,0.1333,0.1333,0.1333,1000,133.3,SMAL
2013-01-14,0.1999,0.1999,0.1999,0.1999,15147,3027.89,SMAL
2013-01-29,0.27777,0.27777,0.23,0.23,200000,50777,EQNE
2013-02-05,0.138,0.138,0.138,0.138,57555,7942.59,SMAL
2013-02-08,0.2,0.2,0.2,0.2,100000,20000,EQNE
2013-02-26,0.147,0.147,0.147,0.147,100000,14700,EQNE
2013-03-06,0.0882,0.0882,0.0882,0.0882,100000,8820,EQNE
2013-03-07,0.05292,0.05292,0.05292,0.05292,100000,5292,EQNE
2013-03-19,0.07409,0.07409,0.07409,0.07409,2164,160.33,SMAL
2013-03-27,0.07409,0.07409,0.07409,0.07409,100000,7409,EQNE
2013-03-29,0.10373,0.10373,0.10373,0.10373,1,0.1,SMAL
2013-04-01,0.14,0.14,0.14,0.14,100000,14000,EQNE
2013-04-02,0.17,0.17,0.17,0.17,100000,17000,EQNE
2013-04-03,0.22277,0.22277,0.22277,0.22277,100000,22277,EQNE
2013-04-04,0.19,0.19,0.19,0.19,100000,19000,EQNE
2013-04-05,0.162,0.162,0.162,0.162,100000,16200,EQNE
2013-04-10,0.1701,0.1701,0.1701,0.1701,100000,17010,EQNE
2013-04-11,0.20999,0.20999,0.20999,0.20999,200000,41998,EQNE
2013-04-12,0.17,0.17,0.17,0.17,100000,17000,EQNE
2013-04-15,0.15,0.15,0.15,0.15,100000,15000,EQNE
2013-04-22,0.1,0.1,0.1,0.1,100000,10000,EQNE
2013-05-15,0.1,0.1,0.1,0.1,92863,9286.3,SMAL
2013-06-10,0.06101,0.06101,0.06101,0.06101,1661,101.34,SMAL
2013-06-21,0.0701,0.0701,0.0701,0.0701,100000,7010,EQNE
2013-06-27,0.06505,0.06505,0.06505,0.06505,200000,13010,EQNE
2013-08-19,0.03905,0.03905,0.03905,0.03905,92863,3626.3,SMAL
2013-12-09,0.042,0.042,0.042,0.042,17800,747.6,SMAL
2013-12-18,0.04251,0.04251,0.04251,0.04251,100000,4251,TQNE
2014-01-27,0.07,0.07,0.07,0.07,12324,862.68,SMAL
2014-02-20,0.061,0.061,0.061,0.061,100000,6100,TQNE
2014-03-07,0.05,0.05,0.05,0.05,100000,5000,TQNE
2014-04-03,0.0475,0.0475,0.0475,0.0475,1000,47.5,SMAL
2014-04-17,0.06697,0.06697,0.06697,0.06697,100,6.7,SMAL
2014-04-29,0.04532,0.04532,0.04532,0.04532,4170,188.98,SMAL
2014-05-15,0.06397,0.06397,0.06397,0.06397,900,57.57,SMAL
2014-05-22,0.05995,0.05995,0.05995,0.05995,4328,259.46,SMAL
2014-06-05,0.13899,0.13899,0.13899,0.13899,100000,13899,TQNE
2014-06-06,0.139,0.139,0.139,0.139,100000,13900,TQNE
2014-07-09,0.0835,0.0835,0.0835,0.0835,100000,8350,TQBR
2014-07-21,0.10986,0.11,0.10986,0.11,500000,54986,TQBR
2014-08-05,0.066,0.066,0.066,0.066,1500,99,SMAL
2014-08-18,0.1169,0.1169,0.1169,0.1169,700000,81830,TQBR
2014-08-19,0.163,0.163,0.163,0.163,1,0.16,SMAL
2014-09-12,0.155,0.155,0.15499,0.15499,110,17.05,SMAL
2014-09-18,0.16,0.16,0.16,0.16,10,1.6,SMAL
2014-09-19,0.0703,0.0703,0.0703,0.0703,1800,126.54,SMAL
2014-11-20,0.16,0.16,0.16,0.16,100,16,SMAL
2014-12-10,0.072,0.072,0.072,0.072,60828,4379.62,SMAL
2014-12-17,0.1111,0.1111,0.1111,0.1111,6471,718.93,SMAL
2015-02-09,0.0705,0.0705,0.0705,0.0705,26148,1843.43,SMAL
2015-05-22,0.0705,0.0705,0.0705,0.0705,2164,152.56,SMAL
2015-06-18,0.15,0.15,0.15,0.15,500000,75000,TQBR
2015-06-22,0.15,0.15,0.15,0.15,500000,75000,TQBR
2015-08-05,0.1995,0.1995,0.199,0.199,300000,59800,TQBR
2015-08-06,0.2,0.2,0.2,0.2,100000,20000,TQBR
2015-09-11,0.2,0.2,0.2,0.2,100000,20000,TQBR
2015-09-14,0.15,0.15,0.15,0.15,10000,1500,SMAL
2015-09-25,0.2,0.2,0.2,0.2,100000,20000,TQBR
2015-09-30,0.239,0.239,0.239,0.239,100000,23900,TQBR
2015-10-15,0.19,0.19,0.19,0.19,100000,19000,TQBR
2015-10-22,0.19,0.19,0.18,0.18,300000,56000,TQBR
2015-11-03,0.25,0.25,0.25,0.25,400000,100000,TQBR
2015-11-09,0.161,0.175,0.158,0.175,400000,65400,TQBR
2015-11-10,0.24,0.246,0.24,0.246,500000,122400,TQBR
2015-11-19,0.269,0.269,0.2,0.2,300000,73800,TQBR
2015-11-24,0.128,0.128,0.128,0.128,317,40.58,SMAL
2015-11-27,0.201,0.201,0.201,0.201,100000,20100,TQBR
2015-12-01,0.242,0.29,0.242,0.29,200000,53200,TQBR
2015-12-07,0.3,0.3,0.3,0.3,10000,3000,SMAL
2015-12-10,0.33,0.33,0.33,0.33,100000,33000,TQBR
2015-12-11,0.461,0.461,0.461,0.461,200000,92200,TQBR
2015-12-14,0.6,0.642,0.6,0.642,400000,252500,TQBR
2015-12-23,0.828,0.83,0.82,0.82,1500000,1243100,TQBR
2015-12-24,0.94,0.94,0.78,0.825,1900000,1624500,TQBR
2015-12-28,0.92,0.92,0.92,0.92,100000,92000,TQBR
2015-12-29,0.93,0.93,0.93,0.93,400000,372000,TQBR
2015-12-30,0.96,0.96,0.96,0.96,400000,384000,TQBR
2016-03-04,0.59,0.59,0.59,0.59,1,0.59,SMAL
2016-03-18,0.958,0.958,0.958,0.958,1000,958,SMAL
2016-03-21,0.7,0.955,0.7,0.955,1036,980.2,SMAL
2016-04-01,0.958,0.958,0.958,0.958,1,0.96,SMAL
2016-04-05,0.6,0.8,0.6,0.8,57120,39984,SMAL
2016-04-11,0.96,0.96,0.96,0.96,1,0.96,SMAL
2016-04-18,0.675,0.675,0.675,0.675,317,213.98,SMAL
2016-04-26,0.75,0.75,0.75,0.75,13150,9862.5,SMAL
2016-05-05,0.962,0.962,0.962,0.962,1,0.96,SMAL
2016-05-17,0.7,0.7,0.7,0.7,6,4.2,SMAL
2016-06-01,0.88,0.88,0.88,0.88,2000,1760,SMAL
2016-06-09,0.96,0.96,0.96,0.96,6601,6336.96,SMAL
2016-08-16,0.673,0.673,0.673,0.673,738,496.67,SMAL
2016-08-19,0.7,0.7,0.7,0.7,100,70,SMAL
2016-08-25,0.7,0.7,0.7,0.7,1000,700,SMAL
