date,open,high,low,close,volume,value,board
2009-04-08,20,20,19.1,20.0,8693,173143.96,EQLV
2009-04-09,21,27.17,21,21.52,51959,1170570.09,EQLV
2009-04-10,21.07,22,21,21.85,14160,300642.65,EQLV
2009-04-13,21.5,22,21.01,21.41,5918,127798.86,EQLV
2009-04-14,23,23,17.05,19.5,28482,596764.29,EQLV
2009-04-15,21.7,21.7,20,20.0,2635,52861.51,EQLV
2009-04-16,20.01,20.48,20,20.0,1618,32372.07,EQLV
2009-04-17,20.33,20.57,20.33,20.33,2762,56572.32,EQLV
2009-04-20,21.55,22.01,17,20.5,14025,298188.66,EQLV
2009-04-21,20.01,20.01,19.5,19.5,8127,161756.5,EQLV
2009-04-22,19.6,20.5,19.6,19.8,24,473.3,EQLV
2009-04-23,20,20,19.77,19.77,7,139.54,EQLV
2009-04-24,20,20.99,20,20.0,1046,21006.2,EQLV
2009-04-27,20.59,20.6,20.59,20.59,498,10258.64,EQLV
2009-04-28,22.4,22.4,17,20.1,5040,101316.9,EQLV
2009-04-29,20,20.3,19.83,19.83,34,678.62,EQLV
2009-04-30,20.04,20.4,19.55,20.4,22,447.3,EQLV
2009-05-04,20.4,20.4,19.5,20.0,1298,25549.9,EQLV
2009-05-05,20.54,20.54,19.5,19.5,770,15246.14,EQLV
2009-05-06,19.5,20.21,19.3,19.72,2821,55018.75,EQLV
2009-05-07,19.9,20.33,19.9,20.33,5043,100856.13,EQLV
2009-05-08,20,20.33,20,20.0,5586,112957.83,EQLV
2009-05-12,20.22,20.22,20,20.22,5071,101435.52,EQLV
2009-05-13,20.22,20.22,19.7,19.7,2619,51602.97,EQLV
2009-05-14,20,20.5,19.7,20.4,14112,282443.7,EQLV
2009-05-15,20.35,20.43,20,20.0,565,11449.62,EQLV
2009-05-18,20,20,19.6,20.0,327,6428.8,EQLV
2009-05-19,19.7,19.83,19.7,19.8,5209,102636.95,EQLV
2009-05-20,19.8,19.83,19.6,19.83,6267,124265.86,EQLV
2009-05-21,19.83,19.83,19.82,19.82,8011,158857.78,EQLV
2009-05-22,19.8,19.85,19.8,19.8,975,19305.25,EQLV
2009-05-25,19.9,20.32,19.9,19.9,2202,44020.01,EQLV
2009-05-26,20.01,20.19,20,20.19,7229,144581.36,EQLV
2009-05-27,19.92,28.27,19.92,20.5,56193,1189737.17,EQLV
2009-05-28,21.23,21.23,20.5,20.5,210,4310.32,EQLV
2009-05-29,21.5,21.5,20.5,21.47,8527,181579.57,EQLV
2009-06-01,21.89,21.89,20.99,21.0,8827,185406.05,EQLV
2009-06-02,20.99,20.99,20.05,20.1,7200,147592.77,EQLV
2009-06-03,20.5,21.46,20.34,21.2,5371,110095.43,EQLV
2009-06-04,20.96,20.96,20.24,20.24,528,10766,EQLV
2009-06-05,21,21,20.51,20.51,3027,63277.97,EQLV
2009-06-08,20.79,20.97,20.79,20.97,169,3524.32,EQLV
2009-06-09,20.02,20.96,20,20.0,2978,59594.81,EQLV
2009-06-10,20.89,20.89,20,20.0,718,14607.93,EQLV
2009-06-11,20.5,20.5,20.3,20.3,5020,102906,EQLV
2009-06-15,20.6,20.6,20,20.0,1020,21000.15,EQLV
2009-06-16,20.01,20.47,20,20.47,483,9662.85,EQLV
2009-06-17,20.88,20.88,20,20.33,4105,83113.42,EQLV
2009-06-18,20.37,20.46,20,20.44,1096,22310.17,EQLV
2009-06-19,20.4,20.49,20.33,20.39,3415,69452.47,EQLV
2009-06-22,20,20.8,20,20.8,3300,67457.99,EQLV
2009-06-23,19.51,20.3,19.5,20.3,4842,97703.5,EQLV
2009-06-24,21.9,21.9,21.9,21.9,40,876,EQLV
2009-06-25,23,23,20.01,20.66,2083,43351.11,EQLV
2009-06-26,20.2,20.7,20.19,20.7,3650,75120,EQLV
2009-06-29,21,21,20.7,20.7,2402,50081.9,EQLV
2009-06-30,20.7,20.7,20.03,20.6,2716,55841.15,EQLV
2009-07-01,20.5,20.67,20.5,20.65,2546,52436.46,EQLV
2009-07-02,20.99,20.99,20.7,20.73,2405,49871.84,EQLV
2009-07-03,20.5,20.99,20.5,20.66,3292,67758.14,EQLV
2009-07-06,20.5,20.95,20.5,20.95,3079,63356.75,EQLV
2009-07-07,20.5,20.5,20,20.45,7423,149630.74,EQLV
2009-07-08,20.3,20.41,20.01,20.41,2969,60412.57,EQLV
2009-07-09,20.25,20.3,20.2,20.25,2910,58924.75,EQLV
2009-07-10,20.15,20.28,20,20.25,3183,64285.3,EQLV
2009-07-13,20,20.1,19.94,20.1,2347,47036.6,EQLV
2009-07-14,20.3,20.35,20.15,20.2,2890,58515.75,EQLV
2009-07-15,20.49,20.49,20.3,20.35,2773,56432.05,EQLV
2009-07-16,20.1,20.15,20.05,20.1,2906,58407.95,EQLV
2009-07-17,20.48,20.48,20.01,20.45,3144,64063.61,EQLV
2009-07-20,20.49,20.49,20.49,20.49,3005,61572.45,EQLV
2009-07-22,20.49,20.83,20.49,20.79,2705,56281.18,EQLV
2009-07-23,21.15,21.33,20.67,21.33,5002,106667.76,EQLV
2009-07-24,21.68,21.68,20.7,20.7,3839,81941.69,EQLV
2009-07-27,20.99,23.23,20.99,21.65,2550,58356.53,EQLV
2009-07-28,21.5,21.5,21.5,21.5,5,107.5,EQLV
2009-07-29,21,21,21,21.0,3333,69993,EQLV
2009-07-30,20.83,20.98,20.83,20.98,3338,69531.29,EQLV
2009-07-31,20.99,21,20.83,21.0,7238,150785.48,EQLV
2009-08-03,21,21.32,20.34,20.99,2723,57585.9,EQLV
2009-08-04,20.51,20.51,20.51,20.51,498,10213.98,EQLV
2009-08-05,21.5,21.77,21.47,21.49,3263,70143.65,EQLV
2009-08-06,21.01,21.5,21.01,21.5,3458,74125.78,EQLV
2009-08-07,20.99,21,20,20.97,1405,28812.12,EQLV
2009-08-10,20.5,20.5,20.5,20.5,5380,110290,EQLV
2009-08-11,20.99,20.99,20.01,20.01,1605,32221.9,EQLV
2009-08-12,20.64,20.64,20.02,20.64,2506,50174.64,EQLV
2009-08-13,20,20.59,20,20.5,2435,48707.81,EQLV
2009-08-14,20.57,20.57,20.2,20.2,4101,83940.57,EQLV
2009-08-17,20.01,20.5,20.01,20.5,498,9967.43,EQLV
2009-08-18,20.33,21.32,20.33,21.32,1038,21264.24,EQLV
2009-08-19,20.99,20.99,20.53,20.53,3027,62156.73,EQLV
2009-08-20,20.69,20.69,20.69,20.69,4000,82760,EQLV
