date,open,high,low,close,volume,value,board
2007-01-23,10.3,10.3,10.3,10.3,17000,175100,EQNE
2007-01-29,12,12,12,12.0,500,6000,EQNE
2007-02-21,11,11.6,11,11.6,17100,191460,EQNE
2007-02-22,11.35,12,11.35,12.0,77300,901315,EQNE
2007-02-26,12.001,12.001,12,12.0,5000,60000.1,EQNE
2007-02-27,13,13,12.5,12.5,5100,64250,EQNE
2007-03-02,12,12.08,12,12.055,3900,46935,EQNE
2007-03-06,11.999,12.111,11.999,12.111,22000,265220,EQNE
2007-03-07,12.21,12.35,12.15,12.15,20600,251890,EQNE
2007-03-09,13,13,12,12.5,33100,408205,EQNE
2007-03-12,13.5,15,12.5,12.6,33600,435210,EQNE
2007-03-13,12.65,13.6,12.65,13.6,3000,39375,EQNE
2007-03-15,13.06,13.6,12.5,12.5,31000,392490,EQNE
2007-03-16,12.5,13.9,12.5,13.1,13900,178148,EQNE
2007-03-19,13.7,13.7,13.7,13.7,1000,13700,EQNE
2007-03-20,12.52,13.5,12.52,13.48,15500,201454,EQNE
2007-03-22,13.55,13.97,13.5,13.54,20500,278917,EQNE
2007-03-23,13.333,13.69,13,13.0,13300,179114.3,EQNE
2007-03-26,13.47,13.47,13.47,13.47,3000,40410,EQNE
2007-03-27,13,13,12.2,12.8,21700,266320,EQNE
2007-03-28,13.7,13.7,12.6,12.99,7400,97390,EQNE
2007-03-29,12.67,12.8,11.65,12.8,9700,113223,EQNE
2007-04-02,13.61,13.75,12.77,12.77,9100,121231,EQNE
2007-04-03,13.65,13.65,12.8,12.9,5000,65900,EQNE
2007-04-04,13.5,13.5,13.5,13.5,2000,27000,EQNE
2007-04-05,11.9,12.99,11.9,12.98,10500,130675,EQNE
2007-04-09,12.9,13.95,12.6,12.99,8400,111129,EQNE
2007-04-10,13.6,13.6,13.6,13.6,1100,14960,EQNE
2007-04-11,11.9,12.7,11.9,12.7,6400,78850,EQNE
2007-04-16,11.9,12.15,11.5,12.15,21900,255487.9,EQNE
2007-04-17,11.95,12.29,11.95,12.29,6800,83093.5,EQNE
2007-04-18,12.145,12.29,11.7,12.29,17000,200925,EQNE
2007-04-19,10.5,12.15,10.5,12.15,1200,12930,EQNE
2007-04-24,12.15,13.65,12.15,12.285,15000,194969.5,EQNE
2007-04-25,12.01,12.49,12.01,12.49,4000,49000,EQNE
2007-04-26,12,12.47,11.2,12.47,7100,84111,EQNE
2007-04-27,12,13.38,12,12.0,12800,159922,EQNE
2007-04-28,12,12.3,12,12.0,3100,37230,EQNE
2007-05-02,13.1,13.33,11.5,11.63,25900,310438,EQNE
2007-05-03,12.3,12.3,12.3,12.3,100,1230,EQNE
2007-05-04,11.8,12.75,11.8,12.7,9000,111750,EQNE
2007-05-07,12.7,13,12,13.0,36000,446876,EQNE
2007-05-08,12.3,12.3,12.3,12.3,100,1230,EQNE
2007-05-10,12.99,12.99,12.99,12.99,2500,32475,EQNE
2007-05-11,11,12.35,10.5,12.33,37300,430440,EQNE
2007-05-14,11,11,11,11.0,1000,11000,EQNE
2007-05-15,11.102,11.102,11.102,11.102,1000,11102,EQNE
2007-05-16,11.2,12,11.2,12.0,10200,116150,EQNE
2007-05-18,11.2,11.2,11.2,11.2,10000,112000,EQNE
2007-05-21,11.6,12.42,11.05,11.8,7800,90790,EQNE
2007-05-24,11.6,11.8,11,11.8,6300,69500,EQNE
2007-05-25,12.35,12.35,12.35,12.35,3900,48165,EQNE
2007-05-29,12.35,12.38,12.35,12.38,2600,32128,EQNE
2007-06-06,11,12.29,11,12.29,21000,245190,EQNE
2007-06-09,12.3,12.3,10.55,12.25,25800,296079.5,EQNE
2007-06-13,10.55,12.25,10.55,12.25,2000,22800,EQNE
2007-06-14,10.75,11.8,10.75,11.8,1400,15785,EQNE
2007-06-15,10.8,11.97,10.8,11.97,2000,22770,EQNE
2007-06-18,12.39,12.39,10.55,11.899,22300,253928.4,EQNE
2007-06-19,11.01,11.99,11.01,11.99,8800,101085,EQNE
2007-06-20,10.65,11.98,10.65,11.2,9200,102250.2,EQNE
2007-06-21,11.24,12.2,11.24,12.2,5300,64103,EQNE
2007-06-22,11.8,12.46,11.5,11.5,9600,113555,EQNE
2007-06-25,11.89,12.3,11.401,11.401,3200,39229.1,EQNE
2007-06-26,11.2,11.25,11.16,11.16,1500,16794,EQNE
2007-06-27,11.6,11.6,11.2,11.2,1500,16888,EQNE
2007-06-28,11.2,11.35,11.2,11.35,2000,22550,EQNE
2007-06-29,11.79,11.79,11.055,11.49,2300,26879,EQNE
2007-07-02,11.2,11.2,11.2,11.2,700,7840,EQNE
2007-07-03,11.4,11.4,11.18,11.18,1600,18174,EQNE
2007-07-04,11.1,11.1,11.1,11.1,1100,12210,EQNE
2007-07-05,10.511,11.39,10.51,10.9,15700,170775.9,EQNE
2007-07-06,10.9,10.9,10.9,10.9,100,1090,EQNE
2007-07-09,10.9,10.9,10.9,10.9,100,1090,EQNE
2007-07-11,11.5,11.83,10,11.83,49900,533603.8,EQNE
2007-07-12,11.86,11.87,11.05,11.3,8300,95888.5,EQNE
2007-07-13,12.1,12.1,12.1,12.1,1000,12100,EQNE
2007-07-16,11.6,11.6,10.9,11.021,5200,59492.5,EQNE
2007-07-18,12.049,12.44,11.9,12.0,15200,184584.9,EQNE
2007-07-19,11,11.367,10.9,11.367,1500,16586.7,EQNE
