date,open,high,low,close,volume,value,board
2006-06-07,0.6,0.6,0.59,0.59,200,119,EQNE
2006-06-19,0.6,0.6,0.6,0.6,100,60,EQNE
2006-07-07,0.6,0.6,0.6,0.6,8000,4800,EQNE
2006-07-19,0.87,0.87,0.87,0.87,50000,43500,EQNE
2006-07-26,0.62,0.62,0.62,0.62,6100,3782,EQNE
2006-08-01,0.71,0.71,0.71,0.71,200,142,EQNE
2006-08-03,0.8,0.8,0.8,0.8,5900,4720,EQNE
2006-08-07,0.925,0.925,0.925,0.925,50000,46250,EQNE
2006-08-08,0.81,1,0.81,1.0,58000,56480,EQNE
2006-09-12,1.5,1.6,1.5,1.6,1100,1660,EQNE
2006-09-14,1.6,1.6,1.6,1.6,500,800,EQNE
2006-09-15,1.6,2.015,1.6,1.9,3000,5337.5,EQNE
2006-09-18,1.6,1.701,1.5,1.701,23900,39785.1,EQNE
2006-09-20,1.5,1.5,1.5,1.5,10000,15000,EQNE
2006-09-22,1.65,1.7,1.65,1.7,11400,19348,EQNE
2006-09-27,1.65,1.65,1.65,1.65,1000,1650,EQNE
2006-09-28,1.5,1.65,1.3,1.65,11400,18080,EQNE
2006-10-04,1.5,1.5,1.45,1.5,1600,2395,EQNE
2006-10-09,1.451,1.451,1.451,1.451,100,145.1,EQNE
2006-10-11,1.5,1.5,1.5,1.5,100,150,EQNE
2006-10-16,1.499,1.499,1.499,1.499,100,149.9,EQNE
2006-10-17,1.4,1.4,1.4,1.4,500,700,EQNE
2006-10-18,1.499,1.7,1.499,1.7,200,319.9,EQNE
2006-10-23,1.35,1.35,1.35,1.35,500,675,EQNE
2006-10-25,1.38,1.38,1.38,1.38,4600,6348,EQNE
2006-10-27,1.32,1.32,1.3,1.3,1300,1700,EQNE
2006-10-31,1.25,1.25,1.2,1.2,8000,9745,EQNE
2006-11-03,1.21,1.21,1.2,1.2,10500,12605,EQNE
2006-11-07,1.2,1.7,1.2,1.7,46500,69020,EQNE
2006-11-08,1.3,1.4,1.3,1.4,40800,55620,EQNE
2006-11-09,1.37,1.37,1.37,1.37,36500,50005,EQNE
2006-11-14,1.31,1.31,1.31,1.31,47500,62225,EQNE
2006-11-15,1.45,1.8,1.4,1.5,99300,163710,EQNE
2006-11-16,1.65,1.65,1.5,1.5,800,1225,EQNE
2006-11-17,1.45,1.48,1.4,1.48,44900,63838,EQNE
2006-11-21,1.35,1.43,0.75,1.43,37800,47320.5,EQNE
2006-11-22,1.45,1.46,1.4,1.4,3000,4253,EQNE
2006-11-24,1.355,1.355,1.35,1.35,1000,1352.5,EQNE
2006-11-30,1.435,1.49,1.435,1.49,30000,44647.9,EQNE
2006-12-01,1.4,1.4,1.4,1.4,18900,26460,EQNE
2006-12-04,1.25,1.4,1.25,1.4,51000,64850,EQNE
2006-12-07,1.43,1.65,1.43,1.65,28800,44044.8,EQNE
2006-12-11,1.55,1.55,1.312,1.39,8000,10818.2,EQNE
2006-12-12,1.59,1.6,1.31,1.31,132900,182569,EQNE
2006-12-13,1.301,1.31,1.3,1.302,14700,19123.4,EQNE
2006-12-14,1.399,1.4,1.399,1.4,21300,29818.3,EQNE
2006-12-15,1.4,1.8,1.4,1.7,225900,363906.5,EQNE
2006-12-18,1.7,2.08,1.7,2.0,498900,954303.2,EQNE
2006-12-19,1.95,2.05,1.691,1.78,356500,663489.1,EQNE
2006-12-20,1.7,2.5,1.25,1.745,711500,1312876,EQNE
2006-12-21,1.75,1.75,1.69,1.719,74900,129915,EQNE
2006-12-22,1.671,1.71,1.551,1.71,11800,19606.2,EQNE
2006-12-25,1.65,1.65,1.3,1.51,3300,4566,EQNE
2006-12-26,1.59,1.739,1.501,1.71,30400,49579,EQNE
2006-12-27,1.652,1.729,1.652,1.729,200,338.1,EQNE
2006-12-28,1.652,1.749,1.652,1.73,9100,15478.9,EQNE
2007-01-09,1.65,1.9,1.271,1.7,41400,72781.1,EQNE
2007-01-10,1.7,1.9,1.7,1.7,8400,14950,EQNE
2007-01-11,1.691,1.8,1.68,1.8,3800,6746.9,EQNE
2007-01-12,1.75,1.85,1.7,1.7,11700,20535.5,EQNE
2007-01-15,1.748,1.748,1.7,1.7,66500,113067.1,EQNE
2007-01-16,1.748,1.81,1.748,1.81,2000,3578.4,EQNE
2007-01-17,1.8,1.9,1.8,1.8,23400,42693.8,EQNE
2007-01-18,1.78,1.78,1.68,1.74,41100,69109,EQNE
2007-01-19,1.75,1.84,1.74,1.84,1800,3220.6,EQNE
2007-01-22,1.79,1.79,1.71,1.71,3900,6756.3,EQNE
2007-01-24,1.7,1.702,1.5,1.6,6600,10641.7,EQNE
2007-01-25,1.61,1.7,1.61,1.65,1200,1990,EQNE
2007-01-26,1.699,1.699,1.699,1.699,100,169.9,EQNE
2007-01-29,1.7,1.8,1.7,1.711,2800,4883,EQNE
2007-01-30,1.768,1.81,1.751,1.751,20500,36955.7,EQNE
2007-01-31,1.808,1.808,1.808,1.808,100,180.8,EQNE
2007-02-02,1.81,1.88,1.7,1.7,7900,14559.2,EQNE
2007-02-05,1.692,1.692,1.68,1.68,400,675.3,EQNE
2007-02-07,1.697,1.728,1.697,1.728,10200,17318.9,EQNE
2007-02-09,1.75,2,1.75,2.0,85200,149358.7,EQNE
2007-02-12,1.95,2,1.65,1.83,35300,65239.2,EQNE
2007-02-13,1.8,1.9,1.8,1.9,900,1690,EQNE
2007-02-14,1.9,1.9,1.9,1.9,36500,69350,EQNE
2007-02-15,1.9,1.95,1.83,1.83,7000,13365.8,EQNE
2007-02-16,1.85,1.9,1.85,1.9,2300,4265,EQNE
2007-02-21,1.95,1.99,1.85,1.98,17400,32413.3,EQNE
2007-02-22,1.9,1.95,1.9,1.95,51400,97665,EQNE
2007-02-26,1.9,2.1,1.88,2.1,83100,170049.1,EQNE
2007-02-27,1.98,2.139,1.9,2.05,86300,170720.9,EQNE
2007-02-28,1.701,2.04,1.57,2.03,94300,163374.2,EQNE
2007-03-01,2.009,2.021,1.8,1.94,35200,66957.5,EQNE
2007-03-02,1.85,1.95,1.8,1.9,112700,203663.4,EQNE
