date,open,high,low,close,volume,value,board
2011-12-19,35.0,35.0,35.0,35.0,100000,3500000.0,EQNE
2012-01-09,36.0,37.0,36.0,37.0,3000,110900.0,EQNE
2012-01-12,36.0,37.0,36.0,37.0,800,29500.0,EQNE
2012-01-13,36.0,36.0,36.0,36.0,200,7200.0,EQNE
2012-01-18,36.0,36.0,36.0,36.0,2600,93600.0,EQNE
2012-01-19,36.0,37.0,36.0,37.0,500,18300.0,EQNE
2012-01-25,23.01,36.9,23.01,36.9,20000,660436.5,EQNE
2012-01-26,26.501,35.999,26.501,35.999,3000,93750.0,EQNE
2012-01-30,23.041,23.041,23.041,23.041,100,2304.1,EQNE
2012-01-31,21.21,32.25,21.21,32.25,2500,72509.0,EQNE
2012-02-08,31.001,37.0,31.001,32.079,800,27323.7,EQNE
2012-02-10,36.949,36.949,35.0,35.0,400,14584.7,EQNE
2012-02-13,31.001,31.001,31.001,31.001,300,9300.3,EQNE
2012-02-15,31.0,34.8,31.0,33.997,4000,131244.7,EQNE
2012-02-17,34.745,34.745,34.745,34.745,200,6949.0,EQNE
2012-02-20,32.32,36.95,32.32,33.5,24000,830987.0,EQNE
2012-02-28,35.0,35.0,33.25,34.995,38700,1321881.7,EQNE
2012-02-29,35.0,35.0,31.0,32.0,15800,522888.7,EQNE
2012-03-02,34.999,34.999,30.222,30.222,900,28388.3,EQNE
2012-03-05,27.011,27.011,27.01,27.01,300,8103.1,EQNE
2012-03-12,29.88,29.88,29.88,29.88,200,5976.0,EQNE
2012-03-13,29.881,29.881,29.881,29.881,700,20916.7,EQNE
2012-03-14,29.99,37.0,28.012,30.0,19800,602324.5,EQNE
2012-03-15,32.957,32.957,32.547,32.547,700,22987.9,EQNE
2012-03-19,32.993,35.494,32.993,35.494,1000,33245.1,EQNE
2012-03-20,35.497,36.0,30.064,34.5,5000,172694.3,EQNE
2012-03-21,29.805,29.805,29.58,29.58,200,5938.5,EQNE
2012-03-26,34.689,34.69,33.999,34.0,800,27613.4,EQNE
2012-04-10,33.999,33.999,33.999,33.999,100,3399.9,EQNE
2012-04-16,32.9,32.92,32.9,32.92,2200,72402.0,EQNE
2012-04-20,29.01,31.0,29.01,31.0,2000,60010.0,EQNE
2012-04-28,29.0,29.0,29.0,29.0,2500,72500.0,EQNE
2012-05-05,31.993,31.993,31.993,31.993,1,31.99,SMAL
2012-05-16,30.0,30.0,30.0,30.0,200,6000.0,EQNE
2012-05-31,30.0,30.0,30.0,30.0,100000,3000000.0,EQNE
2012-06-06,31.996,31.996,31.996,31.996,1,32.0,SMAL
2012-06-13,32.0,32.0,32.0,32.0,100,3200.0,EQNE
2012-06-27,23.0,24.999,22.999,24.0,5400,127822.9,EQNE
2012-06-28,24.001,24.001,24.001,24.001,100,2400.1,EQNE
2012-06-29,26.0,27.0,25.5,27.0,2400,63092.3,EQNE
2012-07-02,30.996,31.0,27.0,27.0,1100,30899.7,EQNE
2012-07-05,27.0,27.0,27.0,27.0,100,2700.0,EQNE
2012-07-06,26.999,27.0,26.999,27.0,3100,83699.9,EQNE
2012-07-09,31.0,31.0,31.0,31.0,100,3100.0,EQNE
2012-07-10,31.0,31.0,31.0,31.0,100,3100.0,EQNE
2012-07-13,31.0,31.0,31.0,31.0,100,3100.0,EQNE
2012-07-16,30.5,30.5,30.5,30.5,3900,118950.0,EQNE
2012-07-17,30.55,30.55,30.55,30.55,2900,88595.0,EQNE
2012-07-18,30.6,30.6,30.0,30.0,1100,33600.0,EQNE
2012-07-24,25.0,25.0,25.0,25.0,10,250.0,SMAL
2012-08-23,27.0,27.0,22.01,22.01,70000,1541547.0,EQNE
2012-08-28,28.0,30.0,24.598,24.598,5100,148959.8,EQNE
2012-08-29,29.299,29.299,29.299,29.299,100,2929.9,EQNE
2012-09-11,25.0,25.0,25.0,25.0,28,700.0,SMAL
2012-09-28,27.0,28.5,25.0,25.0,4000,108300.0,EQNE
2012-10-09,20.0,20.0,20.0,20.0,10,200.0,SMAL
2012-10-15,24.25,24.25,23.018,23.018,5500,132759.1,EQNE
2012-10-22,23.0,23.0,23.0,23.0,100,2300.0,EQNE
2012-10-23,22.999,22.999,22.999,22.999,300,6899.7,EQNE
2012-10-26,23.899,23.899,23.899,23.899,1200,28678.8,EQNE
2012-10-29,18.055,20.0,18.002,20.0,600,11206.1,EQNE
2012-10-31,20.7,20.7,20.7,20.7,100,2070.0,EQNE
2012-11-13,18.001,23.898,18.001,18.001,42600,850490.1,EQNE
2012-11-14,18.08,18.08,18.08,18.08,300,5424.0,EQNE
2012-11-30,17.778,17.778,17.778,17.778,300,5333.4,EQNE
2012-12-03,17.777,17.777,17.777,17.777,300,5333.1,EQNE
2012-12-04,17.0,17.0,17.0,17.0,22,374.0,SMAL
2012-12-12,15.15,16.0,14.777,16.0,5000,76894.3,EQNE
2012-12-13,16.751,18.0,16.751,17.8,3000,53575.1,EQNE
2012-12-18,18.0,18.0,17.8,17.8,1500,26850.0,EQNE
2012-12-19,17.8,17.8,17.8,17.8,500,8900.0,EQNE
2012-12-26,17.7,17.7,17.0,17.0,2900,49901.7,EQNE
2013-01-15,16.0,16.0,15.9,15.9,3700,59170.0,EQNE
2013-01-16,16.0,16.0,15.5,15.5,1600,25109.9,EQNE
2013-01-17,15.216,15.5,15.1,15.5,300,4581.6,EQNE
2013-01-18,15.0,15.0,14.2,15.0,1600,23745.4,EQNE
2013-01-21,14.602,15.176,13.0,15.176,3400,47525.4,EQNE
2013-01-23,14.88,15.05,14.88,15.05,300,4481.0,EQNE
2013-01-24,14.584,14.584,14.584,14.584,100,1458.4,EQNE
2013-01-28,15.0,15.1,15.0,15.1,5000,75380.0,EQNE
2013-01-29,14.874,14.874,14.874,14.874,100,1487.4,EQNE
2013-01-30,15.0,15.0,15.0,15.0,1000,15000.0,EQNE
2013-02-05,15.099,15.1,15.099,15.1,600,9059.9,EQNE
2013-02-06,15.0,15.5,15.0,15.5,4400,66472.4,EQNE
2013-02-07,15.0,15.0,14.9,14.9,12000,179000.0,EQNE
2013-02-14,15.472,15.472,15.472,15.472,100,1547.2,EQNE
2013-02-15,15.5,15.5,15.5,15.5,100,1550.0,EQNE
2013-02-18,15.5,16.0,15.5,16.0,300,4728.0,EQNE
2013-02-19,16.0,16.094,16.0,16.094,300,4809.4,EQNE
2013-02-21,17.5,22.443,16.301,22.442,12800,254404.8,EQNE
2013-02-22,22.4,22.4,19.0,19.0,4300,82040.0,EQNE
2013-02-27,16.414,19.998,16.414,19.0,2100,36812.7,EQNE
2013-03-11,18.0,18.0,18.0,18.0,100,1800.0,EQNE
2013-03-14,17.0,17.0,17.0,17.0,500,8500.0,EQNE
2013-03-15,17.0,18.0,17.0,18.0,300,5200.0,EQNE
2013-03-26,18.0,18.0,18.0,18.0,200,3600.0,EQNE
2013-04-01,17.999,18.0,17.999,18.0,300,5399.9,EQNE
2013-04-25,11.0,11.0,11.0,11.0,41,451.0,SMAL
2013-04-30,15.4,15.4,15.4,15.4,800,12320.0,EQNE
2013-05-13,13.0,13.0,13.0,13.0,500,6500.0,EQNE
2013-05-27,13.0,13.0,13.0,13.0,28,364.0,SMAL
2013-05-31,13.016,13.016,13.016,13.016,200,2603.2,EQNE
2013-06-25,12.07,12.07,12.07,12.07,200,2414.0,EQNE
2013-06-27,15.999,15.999,13.016,13.016,400,5803.0,EQNE
2013-06-28,15.498,17.997,15.498,17.997,14500,260456.8,EQNE
2013-07-01,16.2,16.2,16.2,16.2,1,16.2,SMAL
2013-07-02,16.999,17.0,13.016,14.8,900,14431.3,EQNE
2013-07-05,14.001,15.0,14.001,14.1,300,4310.1,EQNE
2013-07-09,15.44,15.44,13.505,13.505,500,6946.1,EQNE
2013-07-11,13.8,13.8,13.5,13.5,1000,13532.2,EQNE
2013-07-12,14.0,14.0,13.506,13.506,700,9553.4,EQNE
2013-07-16,13.792,13.792,13.5,13.5,300,4079.2,EQNE
2013-07-22,14.099,14.1,14.099,14.1,500,7049.6,EQNE
2013-07-26,14.4,14.4,14.4,14.4,100,1440.0,EQNE
2013-08-02,14.35,14.35,14.35,14.35,100,1435.0,EQNE
2013-08-07,14.5,20.09,14.5,20.09,33900,519537.5,EQNE
2013-08-08,22.99,22.99,22.99,22.99,700,16093.0,EQNE
2013-08-09,15.551,23.99,14.2,14.699,76700,1240411.6,EQNE
2013-08-12,14.97,15.17,13.055,13.975,10900,148845.1,EQNE
2013-08-13,13.276,14.069,13.276,14.069,500,6791.1,EQNE
2013-08-14,13.273,14.0,13.273,14.0,1100,15327.3,EQNE
2013-08-15,13.351,14.25,13.351,14.25,5400,74314.3,EQNE
2013-08-16,14.25,14.5,13.805,14.5,600,8472.6,EQNE
2013-08-19,14.891,14.895,13.805,14.819,1300,18830.1,EQNE
2013-08-20,13.807,13.807,13.807,13.807,100,1380.7,EQNE
2013-08-22,14.0,14.5,14.0,14.5,500,7050.0,EQNE
2013-08-23,14.0,14.0,13.8,14.0,5600,77381.1,EQNE
2013-08-26,13.9,13.9,13.9,13.9,100,1390.0,EQNE
2013-08-27,13.9,13.9,13.8,13.8,2200,30400.0,EQNE
2013-08-28,13.8,13.8,13.8,13.8,500,6900.0,EQNE
2013-08-29,13.8,13.8,13.8,13.8,100,1380.0,EQNE
2013-08-30,13.8,13.8,13.8,13.8,1000,13800.0,EQNE
2013-09-05,14.79,14.79,14.79,14.79,2000,29580.0,TQNE
2013-09-06,12.3,17.997,11.793,15.717,4300,54966.5,TQNE
2013-09-09,15.9,16.299,15.893,16.299,4000,64521.8,TQNE
2013-09-12,16.43,16.43,16.43,16.43,100,1643.0,TQNE
2013-09-17,13.818,15.888,13.818,15.888,500,7145.1,TQNE
2013-09-18,13.913,15.814,13.913,15.814,200,2972.7,TQNE
2013-09-19,15.805,15.805,15.805,15.805,100,1580.5,TQNE
2013-09-20,13.901,15.439,13.901,15.439,300,4384.0,TQNE
2013-09-23,13.923,15.4,13.923,15.4,300,4425.8,TQNE
2013-09-24,15.495,15.97,13.973,15.852,500,7678.7,TQNE
2013-09-30,13.915,16.468,13.507,15.399,15200,226471.6,TQNE
2013-10-01,15.38,15.38,13.956,15.284,400,5962.0,TQNE
2013-10-02,15.399,15.447,15.399,15.447,200,3084.6,TQNE
2013-10-03,13.91,15.375,13.91,15.375,300,4428.5,TQNE
2013-10-04,9.301,9.301,9.3,9.3,50,465.0,SMAL
2013-10-10,13.811,14.845,13.81,14.845,1800,24961.7,TQNE
2013-10-14,14.539,15.987,14.539,15.987,1500,22587.8,TQNE
2013-10-15,14.015,15.95,13.4,14.973,28800,389959.2,TQNE
2013-10-16,13.901,14.449,13.657,13.657,9500,131245.4,TQNE
2013-10-17,14.78,14.997,13.287,13.999,9800,134368.6,TQNE
2013-10-18,14.498,14.498,13.6,14.478,4100,56755.3,TQNE
2013-10-21,13.801,14.494,13.8,14.494,3100,42851.4,TQNE
2013-10-22,14.5,15.0,14.5,15.0,400,5875.1,TQNE
2013-10-23,14.99,16.47,14.99,16.47,600,9353.0,TQNE
2013-10-25,14.989,14.989,13.8,14.989,4300,60372.8,TQNE
2013-10-28,14.8,15.999,14.8,15.999,500,7873.8,TQNE
2013-10-31,13.94,15.799,13.801,15.799,10100,149407.9,TQNE
2013-11-05,9.3,9.3,9.3,9.3,40,372.0,SMAL
2013-11-07,13.81,14.967,13.5,14.24,20300,284967.7,TQNE
2013-11-11,13.556,14.448,13.0,14.448,9600,125655.6,TQNE
2013-11-12,13.25,13.25,13.25,13.25,500,6625.0,TQNE
2013-11-13,13.26,13.26,13.26,13.26,100,1326.0,TQNE
2013-11-14,13.251,13.252,13.251,13.252,700,9276.0,TQNE
2013-11-15,13.98,14.427,13.98,14.427,300,4238.7,TQNE
2013-11-18,14.129,14.129,14.129,14.129,300,4238.7,TQNE
2013-11-19,13.27,13.701,13.25,13.25,11200,150401.6,TQNE
2013-11-20,13.027,13.027,13.0,13.0,1400,18205.7,TQNE
2013-11-21,13.596,13.596,13.25,13.25,11900,158048.1,TQNE
2013-11-25,13.001,13.6,13.001,13.6,21700,295060.1,TQNE
2013-11-29,12.75,12.75,12.75,12.75,100,1275.0,TQNE
2013-12-03,13.5,13.5,13.5,13.5,100,1350.0,TQNE
2013-12-06,13.299,13.3,13.299,13.3,200,2659.9,TQNE
2013-12-09,12.999,12.999,12.999,12.999,500,6499.5,TQNE
2013-12-16,12.0,12.0,12.0,12.0,200,2400.0,TQNE
2013-12-19,13.1,13.1,13.1,13.1,300,3930.0,TQNE
2013-12-24,12.0,12.199,12.0,12.199,1500,18039.7,TQNE
2013-12-25,12.0,12.0,12.0,12.0,100,1200.0,TQNE
2013-12-26,10.601,10.612,10.601,10.612,400,4243.5,TQNE
2013-12-27,11.981,11.982,11.981,11.982,200,2396.3,TQNE
2013-12-30,11.001,11.987,11.0,11.987,600,6698.9,TQNE
2014-01-10,11.999,11.999,11.999,11.999,100,1199.9,TQNE
2014-01-16,12.0,12.0,10.806,10.806,400,4441.9,TQNE
2014-01-17,13.0,13.0,13.0,13.0,20,260.0,SMAL
2014-01-22,10.01,10.978,10.0,10.977,3200,32406.9,TQNE
2014-01-23,10.0,10.0,10.0,10.0,1700,17000.0,TQNE
2014-01-24,10.493,10.495,10.0,10.495,3400,34098.8,TQNE
2014-01-30,9.582,9.738,9.497,9.5,11800,112344.3,TQNE
2014-01-31,9.503,9.503,9.502,9.502,1200,11402.6,TQNE
2014-02-07,10.0,10.0,8.605,9.0,5500,50625.3,TQNE
2014-02-10,9.5,9.5,9.5,9.5,100,950.0,TQNE
2014-02-11,9.5,9.5,9.5,9.5,100,950.0,TQNE
2014-02-13,8.506,8.506,8.502,8.502,400,3401.8,TQNE
2014-02-14,9.487,9.5,9.487,9.5,1200,11396.3,TQNE
2014-02-17,9.25,9.25,8.508,8.508,1000,9075.8,TQNE
2014-02-19,9.0,9.0,9.0,9.0,1500,13500.0,TQNE
2014-02-26,10.778,10.888,10.778,10.888,8,87.0,SMAL
2014-02-27,17.455,17.455,17.455,17.455,8,139.65,SMAL
2014-02-28,15.5,15.5,15.5,15.5,5,77.5,SMAL
2014-03-03,13.101,13.101,8.567,10.0,7100,78849.8,TQNE
2014-03-04,10.008,12.0,10.008,12.0,9400,106873.2,TQNE
2014-03-05,7.2,7.2,7.2,7.2,55,396.0,SMAL
2014-03-06,12.9,13.5,12.5,12.501,11700,151105.7,TQNE
2014-03-07,8.407,14.989,8.407,14.88,1000,12985.9,TQNE
2014-03-11,14.998,15.0,12.521,12.521,9900,144433.0,TQNE
