date,open,high,low,close,volume,value,board
2006-03-02,35,35,35,35.0,1100,38500,EQNE
2006-10-30,43.75,43.75,43.75,43.75,100,4375,EQNE
2006-11-01,110,110,110,110.0,1100,121000,EQNE
2006-11-09,120,125,120,125.0,200,24500,EQNE
2006-11-17,135,135,131,131.0,300,39700,EQNE
2006-11-20,128,128,128,128.0,100,12800,EQNE
2006-11-24,150,150,150,150.0,100,15000,EQNE
2006-11-27,150,150,150,150.0,200,30000,EQNE
2006-12-26,175,175,175,175.0,100,17500,EQNE
2006-12-27,175,185,175,185.0,400,72500,EQNE
2006-12-28,185,185,185,185.0,100,18500,EQNE
2007-01-09,185,185,185,185.0,100,18500,EQNE
2007-01-10,185,185,185,185.0,200,37000,EQNE
2007-01-11,230,230,230,230.0,100,23000,EQNE
2007-01-26,270,270,43.101,160.0,400,74110.2,EQNE
2007-02-02,230,230,230,230.0,100,23000,EQNE
2007-02-09,270,270,270,270.0,200,54000,EQNE
2007-02-15,570,670,150,151.0,1200,440200.1,EQNE
2007-02-22,355.999,356,355.999,356.0,400,142399.9,EQNE
2007-02-26,350,355,350,355.0,200,70500,EQNE
2007-02-27,299.625,299.625,299.625,299.625,200,59925,EQNE
2007-03-01,270,299.625,270,299.625,600,164962.5,EQNE
2007-03-06,245,245,245,245.0,100,24500,EQNE
2007-03-09,255,255,255,255.0,100,25500,EQNE
2007-03-14,230,250,230,250.0,200,48000,EQNE
2007-03-28,220,220,220,220.0,2500,550000,EQNE
2007-03-30,220.007,265,220.006,220.006,800,192206.3,EQNE
2007-04-03,230,253,227.7,250.0,400,96070,EQNE
2007-04-05,221.002,249,221.001,235.0,600,139600.3,EQNE
2007-04-06,275,284,250,284.0,2300,632906,EQNE
2007-04-09,255.6,373,240,345.0,2800,875019.3,EQNE
2007-04-10,325,325,260.971,260.971,1400,391001.3,EQNE
2007-04-11,315,315,272,273.0,2100,617000,EQNE
2007-04-13,297.95,297.95,297.95,297.95,300,89385,EQNE
2007-04-16,195,195,195,195.0,61,11895,SMAL
2007-04-17,345,345,345,345.0,100,34500,EQNE
2007-04-18,305,305,255,255.0,3000,806485.2,EQNE
2007-04-19,230,230,220,221.0,7700,1701976.1,EQNE
2007-04-20,222,222,220,222.0,2100,466000,EQNE
2007-04-23,220,225,220,225.0,10800,2427100,EQNE
2007-04-24,224.725,224.725,224.725,224.725,200,44945,EQNE
2007-04-25,217,235,217,235.0,5100,1195200,EQNE
2007-04-26,235.01,235.01,235,235.0,500,117502,EQNE
2007-04-27,230,230,230,230.0,100,23000,EQNE
2007-04-28,230,230,230,230.0,400,92000,EQNE
2007-05-04,230,230,230,230.0,100,23000,EQNE
2007-05-10,242,242,242,242.0,200,48400,EQNE
2007-05-16,255,255,210.01,210.01,1300,311101.1,EQNE
2007-05-18,223.2,232.22,210,230.0,600,133542,EQNE
2007-05-21,210.05,210.05,210,210.0,300,63005,EQNE
2007-05-22,234,270,234,270.0,1200,308050,EQNE
2007-05-23,270,289,270,285.0,2800,796740,EQNE
2007-05-24,276,307,276,290.0,2100,613400,EQNE
2007-05-25,300,310,300,300.0,1200,361900,EQNE
2007-05-28,232,300,232,300.0,1300,361498,EQNE
2007-05-30,285,300,285,300.0,1000,294000,EQNE
2007-05-31,300,300,281.01,282.0,800,232311,EQNE
2007-06-01,294,294.01,275,275.0,1300,371452,EQNE
2007-06-06,280,297,260,270.0,1300,359500,EQNE
2007-06-07,290,290,270,270.0,1000,275899,EQNE
2007-06-08,270,270,270,270.0,100,27000,EQNE
2007-06-09,265,295,265,270.0,1100,308600,EQNE
2007-06-13,299,299,270,270.0,400,114800,EQNE
2007-06-14,262.1,290,262.1,290.0,1300,345251,EQNE
2007-06-15,263,289,255,280.0,1100,302000,EQNE
2007-06-19,245,270,245,270.0,400,103100,EQNE
2007-06-21,255,255,255,255.0,100,25500,EQNE
2007-06-28,270,270,270,270.0,100,27000,EQNE
2007-06-29,275,275,275,275.0,100,27500,EQNE
2007-07-02,297,297,297,297.0,200,59400,EQNE
2007-08-08,250,250,250,250.0,100,25000,EQNE
2007-08-10,299,300.345,297,300.345,1400,419641.5,EQNE
2007-08-14,295,300,295,300.0,300,89000,EQNE
2007-08-15,300,300,300,300.0,100,30000,EQNE
2007-08-16,270,270,270,270.0,100,27000,EQNE
2007-08-28,250,250,231,250.0,1200,281000,EQNE
2007-08-30,297.54,300,297,300.0,1400,417577.9,EQNE
2007-08-31,300,300,300,300.0,1000,300000,EQNE
2007-09-03,300,330,300,330.0,4400,1415599,EQNE
2007-09-04,315,315,315,315.0,200,63000,EQNE
2007-10-03,277,277,272,272.0,600,163700,EQNE
2007-10-05,261,261,255,255.0,600,153600,EQNE
2007-10-10,241,250,220,250.0,1400,326800,EQNE
2007-11-06,260,260,234,257.0,300,75100,EQNE
2007-11-07,232,232,232,232.0,100,23200,EQNE
2007-11-09,255,255,255,255.0,100,25500,EQNE
2007-11-20,230,230,229.5,230.0,1800,413900,EQNE
2007-11-21,243,243,243,243.0,100,24300,EQNE
2007-11-22,251,251,251,251.0,100,25100,EQNE
2007-11-23,220,225,220,225.0,2300,506500,EQNE
2007-11-29,244,244,244,244.0,100,24400,EQNE
2007-11-30,248,249,248,249.0,300,74600,EQNE
2007-12-04,245,245,245,245.0,100,24500,EQNE
2007-12-12,240,250,240,250.0,3400,825999.9,EQNE
2007-12-13,250,250,250,250.0,100,25000,EQNE
2007-12-28,225,225,225,225.0,100,22500,EQNE
2008-01-09,270,270,270,270.0,200,54000,EQNE
2008-01-14,250,250,250,250.0,100,25000,EQNE
2008-01-15,200,255,200,254.0,2200,518900,EQNE
2008-01-23,220,220,220,220.0,800,176000,EQNE
2008-01-24,250,251,211,211.0,1000,246200,EQNE
2008-02-04,200,200,190,190.0,200,39000,EQNE
2008-02-07,190,190,190,190.0,400,76000,EQNE
2008-02-18,190,190,190,190.0,300,57000,EQNE
2008-02-22,190,190,180,180.0,500,93000,EQNE
2008-02-26,190,190,190,190.0,100,19000,EQNE
2008-02-27,190,190,190,190.0,200,38000,EQNE
2008-03-03,266,266,266,266.0,77,20482,SMAL
2008-03-06,192,192,192,192.0,1100,211200,EQNE
2008-03-07,193,193,193,193.0,1600,308800,EQNE
2008-03-28,199,210,199,210.0,300,60800,EQNE
2008-04-07,200,200,200,200.0,100,20000,EQNE
2008-04-14,190,190,190,190.0,100,19000,EQNE
2008-04-21,200,200,200,200.0,100,20000,EQNE
2008-04-23,200,200,200,200.0,100,20000,EQNE
2008-04-28,202.2,202.2,202.2,202.2,500,101100,EQNE
2008-05-04,222,230,222,230.0,300,67400,EQNE
2008-05-05,241,250,241,250.0,200,49100,EQNE
2008-05-06,250,250,245,245.0,600,147500,EQNE
2008-05-07,255,289.999,255,289.999,1500,401999.6,EQNE
2008-05-12,255,255,255,255.0,200,51000,EQNE
2008-05-13,250,250,250,250.0,200,50000,EQNE
2008-05-16,180,180,180,180.0,5,900,SMAL
2008-06-23,220,220,220,220.0,100,22000,EQNE
2008-07-16,200,200,200,200.0,100,20000,EQNE
2008-07-17,200,200,200,200.0,100,20000,EQNE
2008-08-06,175,175,175,175.0,100,17500,EQNE
