date,open,high,low,close,volume,value,board
2011-12-14,515,550,501.5,525.0,1090,572855,EQNE
2011-12-15,535,535,520,530.0,2040,1073909.7,EQNE
2011-12-16,525.01,590,522.01,550.01,5040,2696742.6,EQNE
2011-12-19,560,579.99,560,575.0,4360,2484838.4,EQNE
2011-12-20,577,580,555,570.01,2980,1709540.3,EQNE
2011-12-21,569.99,575,569.99,575.0,930,530150.5,EQNE
2011-12-22,571,699,571,573.0,2780,1621828,EQNE
2011-12-23,573,600,570,600.0,1820,1055219,EQNE
2011-12-28,600,600,600,600.0,10,6000,EQNE
2012-01-11,567.43,567.43,567.43,567.43,10,5674.3,EQNE
2012-01-17,467.01,467.01,467.01,467.01,10,4670.1,EQNE
2012-01-25,570.02,570.02,570.02,570.02,10,5700.2,EQNE
2012-03-28,350.01,350.01,350,350.0,20,7000.1,EQNE
2012-03-30,350,350,213.02,213.02,40,9890.6,EQNE
2012-04-02,279.41,283,279.41,283.0,120,33732.3,EQNE
2012-04-25,394.34,394.34,394.34,394.34,10,3943.4,EQNE
2012-04-26,552.08,552.08,515,552.07,6290,3240833,EQNE
2012-05-12,447,772,447,772.0,30,16660,EQNE
2012-05-18,777,777,776.99,776.99,20,15539.9,EQNE
2012-05-22,740,742,740,742.0,20,14820,EQNE
2012-05-25,999,1026,999,1026.0,50,50730,EQNE
2012-05-28,700,1425.5,611.1,700.0,610,500998.7,EQNE
2012-05-29,701.01,840,476.91,799.9,270,191158.2,EQNE
2012-05-30,767.91,846,767.91,846.0,160,129447,EQNE
2012-05-31,950,950,850,850.0,430,369450,EQNE
2012-06-04,800,800,800,800.0,10,8000,EQNE
2012-06-05,845,845,833,833.0,20,16780,EQNE
2012-06-06,850,1000,850,980.0,30,28300,EQNE
2012-06-09,615,1280,615,1249.0,100,112040,EQNE
2012-06-13,1480,1480,956,1300.0,30,37360,EQNE
2012-06-14,1333,1333,760,760.0,120,111456.5,EQNE
2012-06-18,655,830,655,701.0,30,21860,EQNE
2012-06-19,640,640,500.37,640.0,80,45783.7,EQNE
2012-06-20,580,669.99,580,669.99,80,52699.3,EQNE
2012-06-21,870,870,870,870.0,20,17400,EQNE
2012-06-22,650,650,550,580.0,160,92550.2,EQNE
2012-06-25,540.01,649.99,540.01,649.99,30,18399.9,EQNE
2012-06-26,650,650,545,574.99,270,154162.4,EQNE
2012-06-27,470.03,490,400,490.0,80,37297.3,EQNE
2012-06-28,410,549,410,548.99,90,46029,EQNE
2012-06-29,467.48,559.22,467.47,559.22,70,35236.4,EQNE
2012-07-03,412.01,440,412.01,420.0,80,33563,EQNE
2012-07-04,420,519.89,420,500.0,100,47894.2,EQNE
2012-07-05,468.01,513,420.23,500.0,110,52202.8,EQNE
2012-07-06,460.01,460.01,460,460.0,50,23000.2,EQNE
2012-07-16,518,518,518,518.0,10,5180,EQNE
2012-07-17,382.79,449.99,382.78,403.13,50,20407.8,EQNE
2012-07-25,365.17,459.25,360,459.25,100,37184.2,EQNE
2012-07-30,335.01,419.98,275.5,419.98,70,23109.7,EQNE
2012-08-03,390.98,390.98,390.98,390.98,10,3909.8,EQNE
2012-08-06,300,399.86,300,389.84,310,105350.9,EQNE
2012-08-07,320.01,388.93,320.01,388.93,20,7089.4,EQNE
2012-08-09,350.07,369.87,350.07,369.87,40,14201.1,EQNE
2012-08-14,349.99,349.99,349.99,349.99,10,3499.9,EQNE
2012-08-20,300.01,362.83,300.01,362.83,20,6628.4,EQNE
2012-08-22,349.99,350,349.99,350.0,110,38499.9,EQNE
2012-08-23,349.99,349.99,349.99,349.99,40,13999.6,EQNE
2012-08-27,300.04,459.99,300.04,459.99,20,7600.3,EQNE
2012-09-03,295.03,295.03,295.03,295.03,10,2950.3,EQNE
2012-09-04,409.99,410,360,360.0,30,11799.9,EQNE
2012-09-07,310.11,449.98,310.11,360.0,70,24104.2,EQNE
2012-09-11,360,360,360,360.0,20,7200,EQNE
2012-09-12,330.46,350,330.46,350.0,20,6804.6,EQNE
2012-09-14,330.05,420,325,420.0,50,17351,EQNE
2012-09-17,321,359.99,321,359.88,70,23808.7,EQNE
2012-09-18,409.87,409.87,330.03,330.03,30,10699.4,EQNE
2012-09-19,320,320,312,312.0,80,25154.4,EQNE
2012-09-21,329.95,329.95,329.95,329.95,10,3299.5,EQNE
2012-09-24,265.01,310,265.01,310.0,40,11750.1,EQNE
2012-09-25,299.88,309.99,299.88,309.99,30,9097.5,EQNE
2012-09-26,276.07,299.99,276.07,299.99,30,8521.3,EQNE
2012-09-27,309.93,309.93,309.93,309.93,10,3099.3,EQNE
2012-09-28,309.84,309.84,245.74,269.47,420,113963.7,EQNE
2012-10-01,230.5,350,185.03,239.92,2130,460597.1,EQNE
2012-10-02,250,279.89,239.08,279.0,150,39449.4,EQNE
2012-10-03,298,350,298,329.0,470,156795.2,EQNE
2012-10-04,295.01,319.99,256.16,256.16,590,166882.1,EQNE
2012-10-05,257,265.97,210,224.68,1570,352975.7,EQNE
2012-10-08,220,223.17,191.08,192.6,3620,745301.7,EQNE
2012-10-09,199.95,199.95,165,175.02,3260,592058.5,EQNE
2012-10-10,175.01,204.98,162,174.0,1570,281177,EQNE
2012-10-11,165.15,187.7,165.15,185.0,210,38298,EQNE
2012-10-12,170.41,180,150,160.0,2280,367456.1,EQNE
2012-10-15,151.01,162.91,145,150.01,890,136120.9,EQNE
2012-10-16,159.88,159.88,130.12,134.99,1060,146441.7,EQNE
2012-10-17,141.98,141.98,80,117.0,6720,776203.4,EQNE
2012-10-18,114,134.68,101.03,120.0,2190,278161.5,EQNE
2012-10-19,128.9,128.9,105.15,112.28,1010,116320.8,EQNE
2012-10-22,113,129.9,111,119.0,1820,218217.1,EQNE
2012-10-23,114.01,121.98,107,113.0,1030,114282.6,EQNE
2012-10-24,116.93,120.9,108.05,112.5,760,87165.5,EQNE
2012-10-25,111.11,115,109,109.0,700,79717.6,EQNE
2012-10-26,112,112,95.05,104.36,2680,280843.4,EQNE
2012-10-29,111,115,100.42,100.42,90,9564.4,EQNE
2012-10-30,105,114,97,97.0,1050,109224,EQNE
2012-10-31,101,109.85,97,107.75,240,25121.4,EQNE
2012-11-01,108,108,95,100.01,260,25572.4,EQNE
2012-11-02,108.19,108.19,103.1,103.1,30,3163.9,EQNE
2012-11-06,98.01,101.93,90,99.0,1900,177774.8,EQNE
2012-11-07,96.99,100,93,95.5,350,33490,EQNE
2012-11-08,95,95,93,95.0,110,10430,EQNE
2012-11-09,91.01,100,91,100.0,230,22544.5,EQNE
2012-11-12,105,106,104.82,106.0,80,8408.1,EQNE
2012-11-13,99.2,109,99.2,106.0,330,35499.5,EQNE
2012-11-14,105,130.85,105,120.0,2220,255215.4,EQNE
2012-11-15,126,128,117,124.99,380,45956,EQNE
2012-11-16,118,124.99,113.01,121.0,590,68548.7,EQNE
2012-11-19,113,119.06,105,119.06,830,91207.9,EQNE
2012-11-20,121.99,121.99,113.01,117.0,160,18791.4,EQNE
2012-11-21,117,130,117,130.0,1630,202166.4,EQNE
2012-11-22,132,136.89,125.1,128.01,620,81433.2,EQNE
2012-11-23,128.45,143,125,135.7,720,94276.6,EQNE
2012-11-26,132.72,189.91,125.01,188.5,1970,310756.9,EQNE
2012-11-27,194,265.31,181,265.31,5350,1339211.4,EQNE
2012-11-28,278.31,322.99,268.22,290.0,14330,4302387.4,EQNE
2012-11-29,250,309.97,212.01,216.75,2360,601845.5,EQNE
2012-11-30,229.97,239.97,205,239.97,860,191578.1,EQNE
2012-12-03,211.02,262.77,211.02,262.77,1240,290564.8,EQNE
2012-12-04,268,333.33,267,299.0,2830,873280.6,EQNE
2012-12-05,300,310,292.92,310.0,860,264649,EQNE
2012-12-06,300,300,261.01,290.0,750,213050,EQNE
2012-12-07,298.87,310,270,307.99,360,103493.8,EQNE
2012-12-10,300,315,265.01,315.0,1200,363452.8,EQNE
2012-12-11,319.99,390,316.99,350.55,2260,789886.1,EQNE
2012-12-12,348.66,348.66,315,343.97,1710,557185.2,EQNE
2012-12-13,330.01,330.01,265.01,300.0,2210,676099,EQNE
2012-12-14,270.86,293,240,263.0,2490,640413,EQNE
2012-12-17,263.01,273,240.03,255.0,1220,309563.7,EQNE
2012-12-18,240.4,254.59,220,223.0,4910,1117676,EQNE
2012-12-19,220,228.99,200.01,204.0,3460,719688.3,EQNE
2012-12-20,204.12,209.9,166,181.02,2340,431896.4,EQNE
2012-12-21,182.1,219.9,181.69,185.06,3790,743581,EQNE
2012-12-24,194.99,198,188.59,195.0,360,69960.4,EQNE
2012-12-25,204.98,233,190,212.35,2570,526499.9,EQNE
2012-12-26,219.96,244.85,219.96,222.0,1860,426438.2,EQNE
2012-12-27,215.01,230,211,215.99,720,156911.7,EQNE
2012-12-28,211,222.99,201.11,209.0,1090,226411,EQNE
2013-01-08,200.02,209,200.02,205.0,360,73229.8,EQNE
2013-01-09,205,210,201.17,208.08,90,18462.5,EQNE
2013-01-10,224.99,243.99,205,214.45,550,117009.1,EQNE
2013-01-11,219.99,236.98,219.99,235.0,2000,457622.9,EQNE
2013-01-14,236.7,242.99,231,231.0,730,174061.8,EQNE
2013-01-15,226,227.99,220,221.2,1830,403158.7,EQNE
2013-01-16,214,238.91,210.12,237.88,370,83657.1,EQNE
2013-01-17,239.05,239.05,217.6,236.91,150,34247.8,EQNE
2013-01-18,225.03,225.03,222.23,222.23,50,11223.5,EQNE
