date,open,high,low,close,volume,value,board
2007-05-18,1400,1400,1400,1400.0,75,105000,EQNE
2007-05-21,1450,1808.9,1250,1250.0,48,66662.28,EQNE
2007-05-22,1337.05,1337.05,1337.05,1337.05,1,1337.05,EQNE
2007-05-25,1337.05,1337.05,1337.05,1337.05,10,13370.5,EQNE
2007-06-07,1337.05,1337.05,1337.05,1337.05,2,2674.1,EQNE
2007-06-08,1337.05,1337.05,1337.05,1337.05,4,5348.2,EQNE
2007-06-13,1337.05,1337.05,1337.05,1337.05,16,21392.8,EQNE
2007-06-15,1337.05,1338,1337.05,1337.05,8,10697.35,EQNE
2007-06-18,1400,1400,1400,1400.0,1,1400,EQNE
2007-06-19,1430,1430,1430,1430.0,1,1430,EQNE
2007-06-21,1450,1450,1450,1450.0,10,14500,EQNE
2007-06-25,1351,1361,1337.05,1337.05,2133,2881644.5,EQNE
2007-06-26,1320,1320,1300,1300.0,6,7820,EQNE
2007-06-27,1294.99,1294.99,1294.99,1294.99,4,5179.96,EQNE
2007-06-28,1251,1299.9,1250,1265.0,8,10095.9,EQNE
2007-06-29,1280,1280,1260,1260.0,7,8860,EQNE
2007-07-02,1250,1250,1250,1250.0,1,1250,EQNE
2007-07-03,1260,1390,1251,1265.0,1010,1278666,EQNE
2007-07-04,1260,1262,1259,1259.0,657,827960,EQNE
2007-07-05,1270.5,1270.5,1259,1264.0,485,612040,EQNE
2007-07-06,1259,1410,1259,1380.0,68,86087,EQNE
2007-07-09,1300,1310,1300,1310.0,152,197610,EQNE
2007-07-11,1300,1305,1300,1305.0,452,587635,EQNE
2007-07-12,1290,1330,1290,1330.0,914,1208030,EQNE
2007-07-13,1330,1400,1330,1388.0,3054,4129755,EQNE
2007-07-16,1370,1375,1370,1375.0,350,480250,EQNE
2007-07-17,1370,1400,1366,1400.0,6855,9463962.95,EQNE
2007-07-18,1375,1380,1375,1380.0,1940,2676754.99,EQNE
2007-07-19,1450,1470,1385,1405.01,12348,17112755.03,EQNE
2007-07-20,1404,1404,1355,1370.03,910,1264025.35,EQNE
2007-07-23,1371.01,1371.01,1370,1371.0,31,42491.13,EQNE
2007-07-24,1375,1380,1369.99,1370.0,236,325309.95,EQNE
2007-07-25,1355,1370,1355,1370.0,51,69120,EQNE
2007-07-26,1335,1335,1300,1300.05,10,13150.15,EQNE
2007-07-27,1350,1370,1350,1370.0,1003,1374031.96,EQNE
2007-07-30,1345,1351,1345,1350.0,1033,1394308,EQNE
2007-08-01,1320,1320,1320,1320.0,3,3960,EQNE
2007-08-02,1300.01,1340,1300,1340.0,287,383940.02,EQNE
2007-08-03,1340,1350,1340,1350.0,4907,6576379.58,EQNE
2007-08-07,1341,1341,1335,1335.0,78,104463,EQNE
2007-08-08,1340,1340,1336,1340.0,114,152700,EQNE
2007-08-09,1335,1400,1335,1350.0,13390,17999040,EQNE
2007-08-10,1309,1309,1309,1309.0,1,1309,EQNE
2007-08-13,1310,1310,1280,1280.0,16980,22074948.02,EQNE
2007-08-14,1300,1300,1290,1290.0,5368,6952505,EQNE
2007-08-15,1295,1295,1101,1260.0,279,351411.9,EQNE
2007-08-16,1330,1330,1210,1210.0,13,15950,EQNE
2007-08-20,1275,1275,1275,1275.0,1,1275,EQNE
2007-08-22,1250,1265,1250,1265.0,690,870000,EQNE
2007-08-23,1270,1270,1270,1270.0,117,148590,EQNE
2007-08-27,1275,1275,1275,1275.0,32,40800,EQNE
2007-08-28,1250,1250,1250,1250.0,1,1250,EQNE
2007-08-29,1250,1250,1250,1250.0,5,6250,EQNE
2007-08-30,1210,1240,1210,1230.0,9,10960,EQNE
2007-09-04,1275,1275,1275,1275.0,78,99450,EQNE
2007-09-05,1240,1240,1240,1240.0,900,1116000,EQNE
2007-09-07,1220,1220.01,1219.99,1219.99,800,976000.04,EQNE
2007-09-10,1220,1223,1220,1220.0,193,235469,EQNE
2007-09-11,1220,1300,1220,1220.0,742,947430,EQNE
2007-09-12,1200,1200,1200,1200.0,201,241200,EQNE
2007-09-13,1200,1200,1200,1200.0,5,6000,EQNE
2007-09-14,1200,1200,1200,1200.0,20,24000,EQNE
2007-09-17,1200,1200,1130,1130.0,30687,34678688.64,EQNE
2007-09-18,1191,1299.67,1150,1150.0,151,180699.73,EQNE
2007-09-19,1175,1175,1140,1140.0,180,205375,EQNE
2007-09-20,1145,1145,1145,1145.0,268,306860,EQNE
2007-09-24,1175,1175,1174.99,1174.99,11,12924.99,EQNE
2007-09-25,1150,1220,1150,1220.0,2,2370,EQNE
2007-09-26,1190,1200,1185,1200.0,433,515615,EQNE
2007-09-27,1200,1250,1200,1250.0,210,258750,EQNE
2007-09-28,1250,1250,1222,1222.0,2,2472,EQNE
2007-10-01,1250,1250,1200,1200.0,3,3650.01,EQNE
2007-10-02,1239.99,1250,1150,1150.0,419,502336.05,EQNE
2007-10-04,1203.13,1250,1203.13,1250.0,20,24484.44,EQNE
2007-10-05,1250,1260,1250,1260.0,95,118760,EQNE
2007-10-08,1250,1295,1230,1295.0,299,384205,EQNE
2007-10-09,1250,1270,1240,1240.0,57,71210,EQNE
2007-10-11,1285,1285,1230,1250.0,1608,2010550,EQNE
2007-10-12,1270,1270,1268,1268.0,3,3806,EQNE
2007-10-15,1221,1300,1221,1300.0,460,591331,EQNE
2007-10-16,1270,1290,1250,1285.0,779,995275,EQNE
