date,open,high,low,close,volume,value,board
2008-10-21,2050.0,2050.0,1698.0,1721.0,3742,7002174.0,EQNE
2008-12-25,2000.0,2000.0,2000.0,2000.0,1,2000.0,EQNE
2009-01-20,1201.0,1201.0,1200.0,1200.0,2,2401.0,EQNE
2009-01-21,1680.0,1680.0,1200.0,1200.0,49,59766.0,EQNE
2009-01-27,1679.0,1679.0,1679.0,1679.0,1,1679.0,EQNE
2009-01-28,1300.0,2249.0,1300.0,2249.0,8,14493.0,EQNE
2009-01-29,1350.01,1350.01,1349.4,1349.4,2,2699.41,EQNE
2009-01-30,901.0,901.0,901.0,901.0,1,901.0,EQNE
2009-02-02,1260.0,1260.0,630.0,630.0,29,34040.0,EQNE
2009-02-05,889.0,889.0,889.0,889.0,10,8890.0,EQNE
2009-02-06,1125.0,1125.0,1125.0,1125.0,10,11250.0,EQNE
2009-02-09,1500.0,1500.0,1500.0,1500.0,1,1500.0,EQNE
2009-02-11,1250.0,1250.0,1250.0,1250.0,23,28750.0,EQNE
2009-03-13,1600.0,1600.0,1600.0,1600.0,51,81600.0,EQNE
2009-05-06,1150.0,1150.0,1150.0,1150.0,9,10350.0,EQNE
2009-05-07,1150.0,1150.0,1050.0,1050.0,16,17700.06,EQNE
2009-06-17,700.0,1450.0,700.0,1440.0,75,60522.0,EQNE
2009-06-18,920.0,1390.0,920.0,1290.0,46,52535.0,EQNE
2009-06-19,999.99,999.99,905.01,906.0,15,14332.97,EQNE
2009-06-22,937.0,937.0,850.0,850.0,7,6037.0,EQNE
2009-06-23,860.0,865.0,860.0,865.0,2,1725.0,EQNE
2009-06-30,926.66,926.66,926.66,926.66,1,926.66,EQNE
2009-07-06,860.0,860.0,860.0,860.0,1,860.0,EQNE
2009-07-27,980.0,980.0,980.0,980.0,2,1960.0,EQNE
2009-08-06,750.0,800.1,750.0,800.1,2,1550.1,EQNE
2009-08-27,750.02,750.02,715.0,729.95,9,6514.99,EQNE
2009-08-28,749.94,749.95,749.94,749.95,4,2999.79,EQNE
2009-08-31,980.0,1049.93,979.9,1049.93,116,117814.51,EQNE
2009-09-01,1100.0,1100.0,1100.0,1100.0,1,1100.0,EQNE
2009-09-02,935.0,935.0,935.0,935.0,1,935.0,EQNE
2009-09-09,749.0,749.0,749.0,749.0,1,749.0,EQNE
2009-09-10,802.0,1048.58,802.0,891.3,13,11812.16,EQNE
2009-09-11,999.9,999.9,999.9,999.9,30,29997.0,EQNE
2009-09-15,1050.0,1080.0,1050.0,1080.0,63,67410.0,EQNE
2009-09-16,1099.01,1099.01,1000.0,1000.0,3,3198.02,EQNE
2009-09-17,1100.0,1150.0,1100.0,1150.0,44,48850.0,EQNE
2009-09-23,977.5,977.5,950.0,950.0,3,2877.5,EQNE
2009-09-25,1150.0,1150.0,1150.0,1150.0,6,6900.0,EQNE
2009-09-29,1000.0,1150.0,1000.0,1150.0,17,18650.0,EQNE
2009-10-07,1150.0,1150.0,1150.0,1150.0,34,39100.0,EQNE
2009-10-08,1179.0,1180.0,1179.0,1180.0,30,35389.0,EQNE
2009-10-13,1031.0,1031.0,1031.0,1031.0,1,1031.0,EQNE
2009-10-19,1150.0,1150.0,1150.0,1150.0,1,1150.0,EQNE
2009-10-21,951.0,1000.0,900.0,1000.0,63,58252.18,EQNE
2009-10-23,1000.0,1000.0,1000.0,1000.0,15,15000.0,EQNE
2009-10-26,1000.0,1000.0,1000.0,1000.0,1,1000.0,EQNE
2009-10-28,1000.0,1000.0,1000.0,1000.0,4,4000.0,EQNE
2009-10-30,1100.0,1100.0,902.0,1000.0,172,174040.0,EQNE
2009-11-02,901.01,1000.0,800.0,1000.0,22,18606.06,EQNE
