date,open,high,low,close,volume,value,board
2005-10-24,58000,58900,58000,58900.0,2,116900,EQNE
2005-10-25,58300,59900,58112,58115.0,15,882774,EQNE
2005-10-26,58600,58600,58600,58600.0,1,58600,EQNE
2005-10-27,59000,59999,59000,59999.0,3,177999,EQNE
2005-10-28,60000,61000,60000,61000.0,91,5540249.99,EQNE
2005-10-31,63000,63000,62500,63000.0,13,818500,EQNE
2005-11-01,65000,65000,63100,63100.0,38,2441600,EQNE
2005-11-02,63500,65000,63001,64900.0,166,10630652.02,EQNE
2005-11-03,67999.99,67999.99,64700,65100.0,21,1382399.96,EQNE
2005-11-07,55500,67499.99,55500,67000.0,6,379999.98,EQNE
2005-11-08,66000,67000,66000,67000.0,95,6285799,EQNE
2005-11-09,69000,70000,68000.1,68500.0,56,3878065.5,EQNE
2005-11-10,69900,69900,68000,68000.0,9,614200.01,EQNE
2005-11-11,64600.01,64600.01,64600.01,64600.01,1,64600.01,EQNE
2005-11-14,68000,68900,68000,68900.0,6,411099,EQNE
2005-11-15,69000,69000,69000,69000.0,6,414000,EQNE
2005-11-17,70800,72000,70800,72000.0,12,855700,EQNE
2005-11-18,69700,69700,69700,69700.0,1,69700,EQNE
2005-11-21,60000,60000,60000,60000.0,1,60000,EQNE
2005-11-22,65555,65555,65555,65555.0,1,65555,EQNE
2005-11-24,69900,69900,66500,66500.0,5,338900,EQNE
2005-11-28,65000,65000,65000,65000.0,1,65000,EQNE
2005-12-02,69500,69500,67000,67000.0,6,407000,EQNE
2005-12-05,67000,67000,67000,67000.0,1,67000,EQNE
2005-12-07,66500,66500,65500,65500.0,30,1980000,EQNE
2005-12-08,66000,66000,65000,65000.0,23,1506000,EQNE
2005-12-09,65600,65600,64000,64000.0,27,1748500,EQNE
2005-12-12,64000,64000,64000,64000.0,1,64000,EQNE
2005-12-13,60001,66000,60000.01,63500.0,18,1136502.06,EQNE
2005-12-15,60003,64000,60003,64000.0,39,2487001,EQNE
2005-12-16,63100,63100,63100,63100.0,1,63100,EQNE
2005-12-19,63500,63500,63000,63500.0,60,3805999.96,EQNE
2005-12-20,63500,63500,62300.01,62300.01,36,2257000.05,EQNE
2005-12-21,62500,63300,62200,62201.0,58,3626202,EQNE
2005-12-22,63000,63000,62000,62000.0,19,1193200,EQNE
2005-12-27,63350,63350,63350,63350.0,4,253400,EQNE
2005-12-30,68499,68499,68499,68499.0,1,68499,EQNE
2006-01-10,68500,68500,66000,67501.0,16,1079505,EQNE
2006-01-11,73000,73000,66500,66500.0,3,212500,EQNE
2006-01-12,69997,70000,69650,69650.0,16,1119645.5,EQNE
2006-01-13,68001,72999.99,68001,70700.0,22,1549801,EQNE
2006-01-16,70500,70500,70500,70500.0,1,70500,EQNE
2006-01-17,71100,71200,70000.01,70000.01,18,1273300.14,EQNE
2006-01-18,68100,73900,68100,69000.0,11,766900,EQNE
2006-01-19,72000,73000,72000,73000.0,4,291000,EQNE
2006-01-20,72500.01,77000,72500.01,76000.0,22,1641505.1,EQNE
2006-01-23,76000,79500,75995.99,79500.0,42,3217943.96,EQNE
2006-01-24,79000,79000,79000,79000.0,1,79000,EQNE
2006-01-25,79900,80000,78900,78900.0,7,554700,EQNE
2006-01-26,79000,79000,78000,78000.0,20,1578000,EQNE
2006-01-27,79000,81000,79000,81000.0,24,1910000,EQNE
2006-01-30,82000,84073.51,82000,84000.0,29,2394073.51,EQNE
2006-01-31,84000,84000,77000.01,77000.01,8,652200.02,EQNE
2006-02-09,80000,80000,80000,80000.0,1,80000,EQNE
2006-02-14,80000,82000,80000,82000.0,6,484000,EQNE
2006-02-15,80000,82000,80000,82000.0,85,6909930,EQNE
2006-02-16,82000,85000,82000,85000.0,20,1670000,EQNE
2006-02-17,84500,84500,84500,84500.0,6,507000,EQNE
2006-02-20,85000,85000,85000,85000.0,10,850000,EQNE
2006-02-21,85400,85400,83510,85400.0,21,1762360,EQNE
2006-02-22,85499,85499,85499,85499.0,7,598493,EQNE
2006-02-26,87500,91000,87500,91000.0,4,357000,EQNE
2006-02-27,91000,94000,91000,93000.0,4,371000,EQNE
