date,open,high,low,close,volume,value,board
2003-02-03,0,0,0,0.0,0,0,EQNE
2003-02-04,0,0,0,0.0,0,0,EQNE
2003-02-05,0,0,0,0.0,0,0,EQNE
2003-02-06,0,0,0,0.0,0,0,EQNE
2003-02-07,0,0,0,0.0,0,0,EQNE
2003-02-10,0,0,0,0.0,0,0,EQNE
2003-02-11,0,0,0,0.0,0,0,EQNE
2003-02-12,0,0,0,0.0,0,0,EQNE
2003-02-13,0,0,0,0.0,0,0,EQNE
2003-02-14,0,0,0,0.0,0,0,EQNE
2003-02-17,0,0,0,0.0,0,0,EQNE
2003-02-18,0,0,0,0.0,0,0,EQNE
2003-02-19,0,0,0,0.0,0,0,EQNE
2003-02-20,0,0,0,0.0,0,0,EQNE
2003-02-21,0,0,0,0.0,0,0,EQNE
2003-02-25,0,0,0,0.0,0,0,EQNE
2003-02-26,0,0,0,0.0,0,0,EQNE
2003-02-27,0,0,0,0.0,0,0,EQNE
2003-02-28,0,0,0,0.0,0,0,EQNE
2003-03-03,0,0,0,0.0,0,0,EQNE
2003-03-04,0,0,0,0.0,0,0,EQNE
2003-03-05,0,0,0,0.0,0,0,EQNE
2003-03-06,0,0,0,0.0,0,0,EQNE
2003-03-07,0,0,0,0.0,0,0,EQNE
2003-03-11,0,0,0,0.0,0,0,EQNE
2003-03-17,0,0,0,0.0,0,0,EQNE
2012-04-06,7,9.09,7,9.09,6000,49760,EQNE
2012-04-09,10,12.698,10,12.698,9000,103996,EQNE
2012-04-10,14,17.777,14,17.777,23000,393831,EQNE
2012-04-11,19.5,20.77,13.8,13.8,13000,197640,EQNE
2012-04-16,15.5,18,12,13.0,7000,106512.6,EQNE
2012-04-19,12,13,12,13.0,2000,25000,EQNE
2012-04-20,12,12,11.5,11.5,2000,23500,EQNE
2012-04-24,12,12,12,12.0,1,12,SMAL
2012-04-25,12,12,11.5,11.5,2000,23500,EQNE
2012-04-27,11,12,11,12.0,2000,23000,EQNE
2012-04-28,11.5,11.5,11.5,11.5,2000,23000,EQNE
2012-05-02,11.0001,11.0001,10,10.2505,43000,437004.2,EQNE
2012-05-03,8,8,8,8.0,1,8,SMAL
2012-05-04,10.25,10.25,10.25,10.25,2000,20500,EQNE
2012-05-05,10.25,10.25,10.25,10.25,2000,20500,EQNE
2012-05-07,10.25,10.25,10.25,10.25,1000,10250,EQNE
2012-05-11,10,10,10,10.0,1000,10000,EQNE
2012-05-15,12,12,10.01,10.01,31000,337340,EQNE
2012-05-16,10.1,10.1,10.1,10.1,1000,10100,EQNE
2012-07-04,11,11,11,11.0,3,33,SMAL
2012-07-11,11.9,11.9,11.9,11.9,1,11.9,SMAL
2012-07-24,14.8479,14.8479,14.8479,14.8479,1,14.85,SMAL
2012-07-25,6.3634,6.3634,6.3634,6.3634,1,6.36,SMAL
2012-07-30,14.8,14.8,9,11.999,91000,1100609,EQNE
2012-08-01,10.0004,10.0004,10.0001,10.0001,104,1040.01,SMAL
2012-08-02,11.5,11.99,11.5,11.5555,5000,58045.5,EQNE
2012-08-10,12,12,12,12.0,1,12,SMAL
2012-08-16,16,16,16,16.0,1000,16000,EQNE
2012-08-30,20.5,20.5,20.5,20.5,1000,20500,EQNE
2012-09-18,27,27,12.3,12.3,2000,39300,EQNE
2012-09-28,24,27,19,19.5,11000,224500,EQNE
2012-10-10,18.8999,18.8999,12.791,13.841,3000,45531.9,EQNE
2012-10-12,18.9995,18.9995,18.9995,18.9995,2000,37999,EQNE
2012-10-17,18.999,19.5,18.999,19.0,8000,152499,EQNE
2012-10-30,19.5,26.6,19.5,26.6,26000,653900,EQNE
2012-11-23,17,17.7,17,17.4286,3000,52128.6,EQNE
2012-12-10,13.0001,13.0005,13.0001,13.0005,2000,26000.6,EQNE
2012-12-12,13.0005,13.0005,13.0005,13.0005,1000,13000.5,EQNE
2012-12-14,14.5001,14.5001,14.5001,14.5001,1000,14500.1,EQNE
2012-12-20,14,14,14,14.0,10,140,SMAL
2012-12-26,14.5999,14.5999,14.5999,14.5999,1000,14599.9,EQNE
2012-12-27,13.0001,13.9999,10.15,13.51,11000,141961.4,EQNE
2013-01-08,10.6,12,9.978,12.0,23000,248999.9,EQNE
2013-01-09,11.1,11.1,11,11.0,4000,44200,EQNE
2013-01-14,12.997,12.997,12.997,12.997,1000,12997,EQNE
2013-01-16,11.9,11.9,11.9,11.9,7000,83300,EQNE
2013-01-17,15,16.65,15,16.64,12000,195450,EQNE
2013-01-18,17,17,17,17.0,1000,17000,EQNE
2013-01-22,18.6499,18.6499,18.6499,18.6499,1000,18649.9,EQNE
2013-01-24,17,18,15,18.0,14000,236000,EQNE
2013-01-25,14.5,14.5,14.5,14.5,2000,29000,EQNE
2013-01-30,16,16,16,16.0,3000,48000,EQNE
2013-02-05,15,18.51,15,18.51,4000,63510,EQNE
2013-02-06,18,18,18,18.0,5000,90000,EQNE
2013-02-07,18.5,18.7,18.5,18.7,7000,129700,EQNE
2013-02-08,25.15,25.15,19.5,19.5,7000,143650,EQNE
2013-02-20,19.5,19.5,19.5,19.5,1000,19500,EQNE
2013-02-27,11.7,11.7,11.7,11.7,2,23.4,SMAL
2013-03-01,18.5,18.5,18.5,18.5,1000,18500,EQNE
2013-03-06,19.5,19.5,19.5,19.5,1000,19500,EQNE
2013-04-24,18.4,18.4,18.4,18.4,1000,18400,EQNE
2013-05-27,16.3798,16.3798,16.3798,16.3798,2,32.76,SMAL
2013-06-07,12.0001,13,12.0001,13.0,2000,25000.1,EQNE
2013-06-10,13.9999,13.9999,13.9999,13.9999,1000,13999.9,EQNE
2013-07-03,15,15,15,15.0,6000,90000,EQNE
2013-08-05,10.2501,11.9999,9.0009,11.9999,5000,49851.1,EQNE
2013-08-06,10.0001,15,9.5002,15.0,8000,92299.7,EQNE
2013-08-21,11.3,11.3,10.5,10.5,2000,21800,EQNE
2013-08-23,11.42,11.42,11.42,11.42,1000,11420,EQNE
2013-08-26,12.9998,12.9998,12.9998,12.9998,1000,12999.8,EQNE
2013-09-02,13.5,14,13.5,14.0,2000,27500,TQNE
2013-09-06,10.3205,10.3205,10.3205,10.3205,1000,10320.5,TQNE
2013-09-09,13.5,13.5,13.5,13.5,1000,13500,TQNE
2013-09-16,10.5603,10.5603,10.5603,10.5603,1000,10560.3,TQNE
2013-09-18,12,12,12,12.0,1000,12000,TQNE
2013-09-19,13,13,13,13.0,1000,13000,TQNE
2013-09-20,11.0003,11.0003,11.0003,11.0003,1000,11000.3,TQNE
2013-09-30,12.9996,12.9996,12.9996,12.9996,1000,12999.6,TQNE
2013-10-23,9.5549,9.5549,9.5549,9.5549,1000,9554.9,TQNE
2013-11-01,13,13,13,13.0,1000,13000,TQNE
2013-11-07,13.49,18.2,8.6939,12.1115,13000,171300.7,TQNE
2013-11-14,13.9986,14,9.6177,13.8555,22000,271450.5,TQNE
2013-11-15,10.2111,18.7777,10.2111,17.5777,26000,375567.4,TQNE
2013-11-18,12.3333,23.9777,12.3333,23.9777,9000,167910.6,TQNE
2013-11-19,13.7377,19.9777,13.7377,19.9777,6000,94906.2,TQNE
2013-11-20,25,26.9999,14.5777,26.7775,14000,290233.8,TQNE
2013-11-21,10.7836,18.3999,10.7833,15.1005,74000,966845.3,TQNE
2013-11-22,16,16,13,14.9898,14000,191992.6,TQNE
2013-11-25,12.377,17.5777,12.377,17.5777,9000,135118.8,TQNE
2013-11-29,8.3899,9.6484,8.3899,9.6484,200,1803.83,SMAL
2013-12-02,12.5,13.5,11.55,13.5,8000,99599.8,TQNE
2013-12-11,10.2777,15.9777,10.2777,15.9777,2000,26255.4,TQNE
2013-12-16,11.614,11.614,11.5622,11.5622,2000,23176.2,TQNE
2013-12-17,11.0016,13.9977,10.5777,12.8477,12000,143763.7,TQNE
2013-12-18,13.7722,13.7722,11.615,11.615,5000,61436.9,TQNE
2013-12-19,11.026,12.7701,10.7783,11.5,12000,136940.5,TQNE
