date,open,high,low,close,volume,value,board
2007-12-13,3.51,3.53,3.51,3.53,360000,1267200,EQNL
2007-12-27,3.71,4.009,3.71,4.009,49035400,182363084,EQNL
2007-12-28,4.409,4.649,4.409,4.647,1523200,7081116.2,EQNL
2008-01-09,3.72,3.72,3.71,3.71,3000000,11145000,EQNL
2008-01-11,4,4,4,4.0,1800,7200,EQNL
2008-02-11,4.85,4.85,4.85,4.85,100,485,EQNL
2008-10-21,0.377,0.377,0.377,0.377,99,37.41,SMAL
2008-10-22,0.377,0.377,0.377,0.377,100,37.7,EQBS
2008-10-29,0.377,0.377,0.377,0.377,87,32.81,SMAL
2008-11-06,0.377,0.377,0.377,0.377,3,1.13,SMAL
2008-12-03,0.264,0.264,0.264,0.264,1,0.26,SMAL
2008-12-04,0.377,0.377,0.377,0.377,100,37.7,EQBS
2008-12-08,0.264,0.272,0.264,0.272,202,53.33,SMAL
2008-12-09,0.272,0.281,0.272,0.281,779,215.68,SMAL
2008-12-10,0.279,0.279,0.279,0.279,100,27.9,EQBS
2008-12-12,0.222,0.241,0.222,0.241,82,19.69,SMAL
2008-12-16,0.24,0.24,0.236,0.236,22,5.27,SMAL
2008-12-17,0.211,0.28,0.202,0.205,52,11.06,SMAL
2008-12-18,0.205,0.205,0.204,0.204,30,6.16,SMAL
2008-12-22,0.23,0.23,0.23,0.23,49,11.27,SMAL
2008-12-23,0.23,0.23,0.23,0.23,51,11.73,SMAL
2008-12-24,0.23,0.23,0.23,0.23,12,2.76,SMAL
2008-12-30,0.23,0.251,0.23,0.244,859,205.67,SMAL
2008-12-31,0.231,0.261,0.231,0.249,393,97.76,SMAL
2009-01-11,0.244,0.26,0.244,0.257,760,191.48,SMAL
2009-01-12,0.23,0.266,0.23,0.259,1264,325.55,SMAL
2009-01-13,0.231,0.275,0.231,0.263,2689,701.55,SMAL
2009-01-14,0.263,0.267,0.263,0.263,410,108.3,SMAL
2009-01-15,0.211,0.26,0.211,0.256,225,57.54,SMAL
2009-01-16,0.255,0.28,0.255,0.266,1215,323.9,SMAL
2009-01-19,0.255,0.352,0.255,0.258,640,171.5,SMAL
2009-01-20,0.24,0.25,0.24,0.241,614,148.33,SMAL
2009-01-21,0.221,0.299,0.221,0.299,36510,8763.44,SMAL
2009-01-22,0.22,0.23,0.203,0.203,3432,763.07,SMAL
2009-01-23,0.201,0.219,0.201,0.217,601,122.9,SMAL
2009-01-26,0.216,0.234,0.214,0.226,715,160.39,SMAL
2009-01-27,0.216,0.225,0.2,0.219,2642,577.22,SMAL
2009-01-28,0.218,0.238,0.218,0.238,754,167.49,SMAL
2009-01-29,0.245,0.25,0.245,0.25,1670,411.73,SMAL
2009-01-30,0.241,0.26,0.241,0.248,395,98.51,SMAL
2009-02-02,0.23,0.245,0.23,0.241,3850,927.38,SMAL
2009-02-03,0.253,0.253,0.239,0.248,500,123.98,SMAL
2009-02-04,0.249,0.264,0.249,0.251,587,147.01,SMAL
2009-02-05,0.245,0.255,0.228,0.241,2863,692.11,SMAL
2009-02-06,0.25,0.265,0.245,0.264,1558,393.1,SMAL
2009-02-09,0.267,0.273,0.258,0.261,542,143.87,SMAL
2009-02-10,0.267,0.28,0.267,0.268,58688,16428.9,SMAL
2009-02-11,0.261,0.28,0.261,0.27,2856,779.24,SMAL
2009-02-12,0.261,0.281,0.261,0.263,633,168.83,SMAL
2009-02-13,0.212,0.277,0.212,0.266,1421,368.52,SMAL
2009-02-16,0.265,0.28,0.265,0.266,420,111.94,SMAL
2009-02-17,0.262,0.265,0.213,0.255,664,169,SMAL
2009-02-18,0.212,0.251,0.212,0.25,469,115.71,SMAL
2009-02-19,0.213,0.253,0.213,0.253,927,232.89,SMAL
2009-02-20,0.249,0.264,0.249,0.254,1173,299.96,SMAL
2009-02-24,0.249,0.249,0.249,0.249,277,68.97,SMAL
2009-02-25,0.259,0.265,0.259,0.259,445,115.73,SMAL
2009-02-26,0.267,0.28,0.267,0.272,205,55.46,SMAL
2009-02-27,0.263,0.276,0.263,0.276,548,144.78,SMAL
2009-03-02,0.262,0.271,0.262,0.263,697,183.97,SMAL
2009-03-03,0.259,0.272,0.258,0.259,1402,364.32,SMAL
2009-03-04,0.263,0.273,0.262,0.263,1090,286.95,SMAL
2009-03-05,0.259,0.27,0.259,0.259,618,161.01,SMAL
2009-03-06,0.249,0.27,0.249,0.27,707,181.54,SMAL
2009-03-10,0.262,0.265,0.262,0.263,500,131.51,SMAL
2009-03-11,0.212,0.278,0.212,0.26,519,127.6,SMAL
2009-03-12,0.212,0.276,0.212,0.275,783,188.22,SMAL
2009-03-13,0.274,0.277,0.272,0.272,609,166.6,SMAL
2009-03-16,0.2,0.282,0.2,0.222,465,105.6,SMAL
2009-03-17,0.268,0.28,0.267,0.28,502,135.1,SMAL
2009-03-18,0.211,0.274,0.211,0.251,865,192.04,SMAL
2009-03-19,0.2,0.268,0.2,0.268,26670,6161.87,SMAL
2009-03-20,0.214,0.281,0.214,0.268,1501,394.7,SMAL
2009-03-23,0.211,0.277,0.197,0.277,952,253,SMAL
2009-03-24,0.262,0.265,0.262,0.265,1004,265.95,SMAL
2009-03-25,0.264,0.275,0.263,0.264,12372,3266.59,SMAL
2009-03-26,0.272,0.277,0.25,0.271,9261,2383.32,SMAL
2009-03-27,0.281,0.29,0.281,0.283,1801,514.96,SMAL
2009-03-30,0.271,0.283,0.271,0.279,1949,544.61,SMAL
2009-03-31,0.268,0.284,0.268,0.271,1999,554.85,SMAL
2009-04-01,0.286,0.286,0.268,0.268,484,134.18,SMAL
2009-04-02,0.318,0.334,0.318,0.334,809,263.99,SMAL
2009-04-03,0.341,0.356,0.33,0.342,15938,5446.88,SMAL
2009-04-06,0.351,0.351,0.335,0.336,552,188.13,SMAL
2009-04-07,0.335,0.366,0.335,0.361,2657,953.39,SMAL
2009-04-08,0.371,0.389,0.37,0.389,1220,458.97,SMAL
2009-04-09,0.376,0.392,0.356,0.374,10153,3653.47,SMAL
2009-04-10,0.386,0.398,0.386,0.386,838,323.66,SMAL
2009-04-13,0.435,0.464,0.402,0.402,31820,14570.17,SMAL
2009-04-14,0.574,0.59,0.504,0.546,22067,12084.66,SMAL
2009-04-15,0.491,0.514,0.49,0.514,311,154.4,SMAL
2009-04-16,0.484,0.506,0.484,0.506,422,205.57,SMAL
2009-04-17,0.471,0.5,0.471,0.475,374,178.13,SMAL
2009-04-20,0.451,0.451,0.411,0.44,2338,976.84,SMAL
2009-04-21,0.41,0.44,0.311,0.436,922560,400379.44,SMAL
2009-04-22,0.453,0.467,0.438,0.451,2022,904.03,SMAL
2009-04-23,0.455,0.474,0.455,0.465,1086,502.05,SMAL
2009-04-24,0.448,0.45,0.446,0.446,748,334.66,SMAL
2009-04-27,0.424,0.433,0.424,0.424,643,273.49,SMAL
2009-04-28,0.398,0.424,0.38,0.424,2647,1071.24,SMAL
2009-04-29,0.43,0.5,0.43,0.5,1210,585.03,SMAL
2009-04-30,0.49,0.505,0.467,0.469,3045,1456.92,SMAL
2009-05-04,0.478,0.485,0.478,0.478,864,413.03,SMAL
2009-05-05,0.456,0.474,0.456,0.466,624,290.99,SMAL
