date,open,high,low,close,volume,value,board
2007-01-12,3.06,3.65,3.05,3.65,223700,740445.5,EQNL
2007-01-15,3.65,3.79,3.5,3.75,326600,1228442,EQNL
2007-01-16,3.65,3.789,3.56,3.789,2600,9494.9,EQNL
2007-01-22,3.5,3.749,3.5,3.749,3200,11425.8,EQNL
2007-01-23,3.8,3.8,3.76,3.8,530600,2016192,EQNL
2007-01-24,4,4,4,4.0,100,400,EQNL
2007-01-30,3.85,3.9,3.85,3.9,39100,151585,EQNL
2007-01-31,3.99,4.04,3.99,4.04,23600,94439,EQNL
2007-02-05,4.45,4.45,4.45,4.45,1500,6675,EQNL
2007-02-06,4.07,4.07,4.07,4.07,100,407,EQNL
2007-02-09,4.25,4.25,4.25,4.25,11000,46750,EQNL
2007-02-14,4.3,4.3,4.3,4.3,555000,2386500,EQNL
2007-02-15,4.201,4.201,4.2,4.2,33100,139050,EQNL
2007-02-16,4.299,4.299,4.25,4.25,73500,312899.3,EQNL
2007-02-20,4.211,4.299,4.211,4.299,8200,34943.8,EQNL
2007-02-27,4.15,4.2,4.15,4.2,19400,81455,EQNL
2007-02-28,3.95,3.95,3.95,3.95,100,395,EQNL
