date,open,high,low,close,volume,value,board
2006-08-28,1.495,1.513,1.225,1.513,175200,230791.9,EQNE
2006-08-29,1.495,1.495,1.495,1.495,10200,15249,EQNE
2006-08-30,1.495,1.495,1.495,1.495,5000,7475,EQNE
2006-09-07,1.495,1.495,1.495,1.495,31000,46345,EQNE
2006-09-12,1.31,1.31,1.31,1.31,40000,52400,EQNE
2006-09-20,1.495,1.495,1.495,1.495,22400,33488,EQNE
2006-10-02,1.495,1.495,1.495,1.495,100,149.5,EQNE
2006-10-03,1.32,1.495,1.32,1.495,30100,41499.4,EQNE
2006-10-04,1.495,1.495,1.495,1.495,124000,185380,EQNE
2006-10-06,1.495,1.495,1.495,1.495,48700,72806.5,EQNE
2006-10-09,1.495,1.495,1.495,1.495,72400,108238,EQNE
2006-10-13,1.32,1.32,1.32,1.32,80000,105600,EQNE
2006-10-20,1.495,1.495,1.495,1.495,11000,16445,EQNE
2006-10-23,1.495,1.495,1.495,1.495,14000,20930,EQNE
2006-11-07,1.495,1.495,1.495,1.495,3400,5083,EQNE
2006-11-17,1.325,1.325,1.325,1.325,40000,53000,EQNE
2006-11-21,1.495,1.495,1.495,1.495,500,747.5,EQNE
