date,open,high,low,close,volume,value,board
2006-12-19,3.1,3.105,3.1,3.105,20000,62050,EQNL
2006-12-20,3.1,3.63,3.1,3.5,1109800,3690693,EQNL
2006-12-21,3.61,3.61,3.35,3.35,5005200,16767465,EQNL
2006-12-25,3.4,3.4,3.36,3.36,3000000,10131000,EQNL
2006-12-26,3.5,3.5,3.105,3.5,600,2060.5,EQNL
2006-12-28,3.499,3.499,3.105,3.2,400,1300.4,EQNL
2006-12-29,4,4.223,3.4,4.223,5846300,19899880,EQNL
2007-01-23,3.32,3.35,3.32,3.35,23300,77805,EQNL
2007-01-24,3.398,3.398,3.36,3.385,3500,11811.6,EQNL
2007-01-25,3.396,3.396,3.34,3.34,3600,12029.6,EQNL
2007-01-29,3.47,3.47,3.42,3.42,3400,11681,EQNL
2007-02-01,3.41,3.41,3.41,3.41,100,341,EQNL
2007-02-02,3.4,3.41,3.4,3.41,1877100,6382141,EQNL
2007-02-05,3.45,3.685,3.45,3.65,335100,1185457.8,EQNL
2007-02-06,3.72,3.81,3.27,3.81,411500,1564001.3,EQNL
2007-02-07,3.842,3.95,3.513,3.7,39600,150210.9,EQNL
2007-02-08,3.602,3.7,3.6,3.7,29300,106254.1,EQNL
2007-02-09,3.705,3.705,3.6,3.69,421700,1554077.2,EQNL
2007-02-12,3.7,3.7,3.055,3.66,22900,83464.2,EQNL
2007-02-13,3.513,3.63,3.513,3.63,5800,20433.9,EQNL
2007-02-14,3.7,3.7,3.65,3.65,19900,73047.9,EQNL
2007-02-20,3.6,3.6,3.356,3.356,1000,3440.2,EQNL
2007-02-21,3.52,3.52,3.52,3.52,1000,3520,EQNL
2007-02-22,3.501,3.713,3.072,3.6,7300,24258,EQNL
2007-02-26,3.085,3.799,3.074,3.7,554700,2050190.1,EQNL
2007-02-27,3.7,3.7,3.65,3.65,3700,13555,EQNL
2007-02-28,3.213,3.48,3.034,3.48,5500,17985.2,EQNL
2007-03-01,3.62,3.62,3.62,3.62,100,362,EQNL
2007-03-02,3.301,3.487,3.06,3.487,30300,95937.9,EQNL
2007-03-05,3.055,3.056,3.055,3.056,2200,6722.8,EQNL
2007-03-06,3.3,3.42,3.3,3.42,2500,8298,EQNL
2007-03-12,3.5,3.55,3.5,3.55,14600,51310,EQNL
2007-03-13,3.5,3.5,3.5,3.5,14000,49000,EQNL
2007-03-14,3.06,3.5,3.06,3.5,1200,4112,EQNL
2007-03-15,3.487,3.648,3.409,3.471,18884000,65501544.7,EQNL
2007-03-16,3.466,3.489,3.43,3.446,3539300,12229382.1,EQNL
2007-03-19,3.36,3.6,3.36,3.557,17625800,62037955.4,EQNL
2007-03-20,3.587,3.635,3.512,3.62,19701100,70682131.6,EQNL
2007-03-21,3.628,3.628,3.55,3.58,5667400,20268545.7,EQNL
2007-03-22,3.44,3.624,3.44,3.573,5674100,20434487.3,EQNL
2007-03-23,3.53,3.68,3.53,3.624,5918800,21409203.5,EQNL
2007-03-26,3.624,3.65,3.592,3.616,7577700,27509632.4,EQNL
2007-03-27,3.615,3.644,3.572,3.605,6408800,23068835.5,EQNL
2007-03-28,3.58,3.698,3.568,3.585,10047300,36293198.6,EQNL
2007-03-29,3.6,3.67,3.59,3.62,13253600,47964372.2,EQNL
2007-03-30,3.493,3.669,3.493,3.59,5568400,20075952.1,EQNL
2007-04-02,3.59,3.623,3.571,3.603,2303600,8303215.4,EQNL
2007-04-03,3.603,3.603,3.57,3.594,2429200,8706574.8,EQNL
2007-04-04,3.6,3.622,3.581,3.62,9960100,35827758.1,EQNL
2007-04-05,3.59,3.63,3.59,3.63,4288500,15515986.3,EQNL
2007-04-06,3.639,3.77,3.61,3.748,24899500,92622749.6,EQNL
2007-04-09,3.739,3.83,3.739,3.765,16188900,61264164.6,EQNL
2007-04-10,3.75,3.8,3.732,3.764,12917900,48659522.7,EQNL
2007-04-11,3.758,3.83,3.719,3.723,5039800,18938363,EQNL
2007-04-12,3.724,3.798,3.68,3.735,8886000,32971300.3,EQNL
2007-04-13,3.737,3.82,3.699,3.79,12053300,45185470.4,EQNL
2007-04-16,3.755,3.817,3.701,3.77,5383900,20208358.4,EQNL
2007-04-17,3.731,3.77,3.682,3.72,4631000,17234849.4,EQNL
2007-04-18,3.72,3.749,3.622,3.626,5441800,19993958,EQNL
2007-04-19,3.507,3.609,3.507,3.529,20517400,73259125.1,EQNL
2007-04-20,3.54,3.63,3.54,3.619,4253500,15202498.4,EQNL
2007-04-23,3.655,3.679,3.62,3.64,9565300,34837088.8,EQNL
2007-04-24,3.531,3.66,3.531,3.605,3050800,11082914.8,EQNL
2007-04-25,3.61,3.621,3.566,3.609,1529200,5506302.5,EQNL
2007-04-26,3.714,3.714,3.582,3.582,4875400,17558510.3,EQNL
2007-04-27,3.685,3.685,3.531,3.539,9104700,32475179.3,EQNL
2007-04-28,3.54,3.624,3.531,3.574,5913200,21076446.4,EQNL
2007-05-02,3.575,3.7,3.552,3.585,5259600,19075898.1,EQNL
2007-05-03,3.668,3.668,3.548,3.555,8655900,30820658.3,EQNL
2007-05-04,3.553,3.59,3.55,3.558,900200,3206675.1,EQNL
2007-05-07,3.579,3.58,3.54,3.568,2856400,10149617.6,EQNL
2007-05-08,3.55,3.578,3.526,3.54,2229800,7933723,EQNL
2007-05-10,3.579,3.625,3.545,3.599,20931700,75144523.3,EQNL
2007-05-11,3.587,3.587,3.49,3.531,5979600,21260727.6,EQNL
2007-05-14,3.547,3.585,3.535,3.585,1860200,6624085.6,EQNL
2007-05-15,3.571,3.585,3.503,3.57,7392500,26295446.2,EQNL
2007-05-16,3.587,3.65,3.552,3.63,6600200,23818251.8,EQNL
2007-05-17,3.587,3.76,3.581,3.709,22617800,84003488.3,EQNL
2007-05-18,3.613,3.749,3.613,3.709,7293200,27030563,EQNL
2007-05-21,3.709,3.755,3.705,3.749,4308400,16106400.2,EQNL
2007-05-22,3.749,3.754,3.72,3.722,993800,3709161.3,EQNL
2007-05-23,3.721,3.737,3.59,3.601,18919400,69218215.5,EQNL
2007-05-24,3.516,3.6,3.302,3.56,19293000,68181313.3,EQNL
2007-05-25,3.599,3.71,3.53,3.67,59158300,211724647.2,EQNL
2007-05-28,3.625,3.715,3.34,3.62,3598700,13020556.7,EQNL
2007-05-29,3.566,3.73,3.566,3.612,15381800,56326109,EQNL
2007-05-30,3.57,3.65,3.501,3.64,13052500,47221950.7,EQNL
2007-05-31,3.604,3.69,3.602,3.65,29497600,108002768.5,EQNL
2007-06-01,3.651,3.83,3.601,3.809,33768800,127598389.9,EQNL
2007-06-04,3.799,3.84,3.762,3.777,9984700,37966503.7,EQNL
2007-06-05,3.674,3.87,3.674,3.827,35529400,135959591.3,EQNL
2007-06-06,3.78,3.998,3.7,3.809,180518000,692275720.7,EQNL
2007-06-07,3.913,3.913,3.74,3.75,19378300,73742047.3,EQNL
2007-06-08,3.645,3.924,3.645,3.909,63770100,243905777.8,EQNL
2007-06-09,3.945,4.099,3.92,4.035,25399800,101340374.7,EQNL
2007-06-13,4.04,4.1,3.995,4.047,23433900,94411055.2,EQNL
2007-06-14,4.06,4.094,4.02,4.06,23612600,95774071.9,EQNL
2007-06-15,4.05,4.08,3.975,4.039,12365900,49895900.9,EQNL
2007-06-18,4.067,4.067,4.025,4.03,8232200,33216184.4,EQNL
2007-06-19,4.058,4.058,4.001,4.001,21082700,84972271.2,EQNL
2007-06-20,4.005,4.055,4,4.03,28092000,113336077.4,EQNL
2007-06-21,4.03,4.049,3.94,3.95,33073000,132015435.6,EQNL
2007-06-22,3.942,4.032,3.941,4.014,24345900,97588433.1,EQNL
2007-06-25,4.019,4.129,3.953,4.002,87047400,354344706.9,EQNL
2007-06-26,4.025,4.055,3.967,4.045,9227000,37284145.9,EQNL
2007-06-27,4.043,4.05,4.006,4.037,21914100,88425405.1,EQNL
2007-06-28,4.032,4.082,3.994,4.04,17862200,71756599.2,EQNL
2007-06-29,4.047,4.048,4.001,4.02,7242000,29137832.4,EQNL
2007-07-02,4.024,4.035,4.012,4.025,4894200,19668247.5,EQNL
2007-07-03,3.999,4.07,3.999,4.015,15383200,61880567.7,EQNL
2007-07-04,4.025,4.037,4,4.01,8668200,34894597.9,EQNL
2007-07-05,4,4.07,4,4.065,22645900,91620208.1,EQNL
2007-07-06,4.074,4.138,4.05,4.134,30260000,124118652.9,EQNL
2007-07-09,4.101,4.151,4.086,4.13,8171200,33756734.3,EQNL
2007-07-10,4.123,4.148,4.043,4.05,5711800,23433782.1,EQNL
2007-07-11,4.05,4.08,4.013,4.06,6501300,26372884.9,EQNL
2007-07-12,4.116,4.116,4.001,4.03,2699300,10914411.9,EQNL
2007-07-13,4.05,4.064,3.98,4.032,21127300,84873180.6,EQNL
2007-07-16,4.048,4.048,3.99,4.0,3559500,14271268.4,EQNL
2007-07-17,4.009,4.021,3.996,4.011,4235800,16975848.7,EQNL
2007-07-18,4,4.015,3.95,3.98,15575300,61961632.3,EQNL
2007-07-19,3.951,4.021,3.951,4.01,4100000,16434465.2,EQNL
2007-07-20,4.229,4.229,3.95,4.01,9442100,37636846.8,EQNL
2007-07-23,3.962,4.029,3.962,4.001,4898500,19620505.7,EQNL
2007-07-24,3.901,4.037,3.901,3.982,2042800,8176842.4,EQNL
2007-07-25,3.994,4,3.955,3.965,2168500,8623073.5,EQNL
2007-07-26,4.002,4.002,3.951,4.0,6637600,26385879.9,EQNL
2007-07-27,3.998,3.998,3.934,3.96,11839700,46905552,EQNL
2007-07-30,3.96,3.988,3.935,3.936,3455700,13631964,EQNL
2007-07-31,3.959,4.02,3.927,4.02,10772000,42939963,EQNL
2007-08-01,4.011,4.02,3.942,3.968,6952000,27585427,EQNL
2007-08-02,3.979,3.997,3.951,3.98,7428800,29555338.9,EQNL
2007-08-03,3.978,4.023,3.978,4.023,7190900,28728311.3,EQNL
2007-08-06,4.005,4.005,3.962,3.999,357700,1422924.5,EQNL
2007-08-07,4.003,4.035,3.991,4.028,8139100,32606583,EQNL
2007-08-08,4.03,4.055,4.02,4.031,6244800,25190582,EQNL
