date,open,high,low,close,volume,value,board
2006-08-04,2.47,2.47,2.47,2.47,2000,4940,EQNE
2006-08-07,2.473,2.473,2.07,2.189,925300,1917179.4,EQNE
2006-08-08,1.97,2.167,1.97,2.142,15800,33839.7,EQNE
2006-08-09,2.14,2.182,2.14,2.182,400,864.4,EQNE
2006-08-10,2.16,2.22,2.16,2.18,50900,112590,EQNE
2006-08-11,2,2.2,2,2.2,300,630,EQNE
2006-08-14,2.22,2.41,2.19,2.222,530200,1237840.1,EQNE
2006-08-15,2.34,2.49,2.34,2.49,21000,51240,EQNE
2006-08-16,2.32,2.495,2.32,2.495,15300,36433.5,EQNE
2006-08-17,2.5,2.5,2.301,2.35,4400,10965.1,EQNE
2006-08-18,2.305,2.305,2.273,2.273,1103200,2526658,EQNE
2006-08-21,2.301,2.302,2.301,2.302,200,460.3,EQNE
2006-08-22,2.4,2.4,2.3,2.3,396300,926330,EQNE
2006-08-23,2.281,2.301,2.171,2.3,1241100,2842713.3,EQNE
2006-08-24,2.2,2.6,2.2,2.5,7100,18314.4,EQNE
2006-08-25,2.301,2.302,2.301,2.302,300,690.5,EQNE
2006-08-28,2.3,2.75,2.3,2.75,220000,550447.1,EQNE
2006-08-29,2.83,2.83,2.82,2.82,9100,25731.5,EQNE
2006-08-30,2.84,2.84,2.82,2.834,8200,23129.4,EQNE
2006-08-31,2.7,2.7,2.7,2.7,40500,109350,EQNE
2006-09-01,2.55,2.98,2.55,2.65,21400,58313.1,EQNE
2006-09-04,2.511,2.611,2.511,2.611,1100,2772.1,EQNE
2006-09-05,2.999,2.999,2.84,2.949,306400,917940.9,EQNE
2006-09-06,2.995,2.995,2.995,2.995,5400,16173,EQNE
2006-09-07,2.7,2.7,2.7,2.7,50000,135000,EQNE
2006-09-08,2.7,2.949,2.6,2.939,79300,216384.6,EQNE
2006-09-11,2.939,2.939,2.52,2.52,20200,50965.9,EQNE
2006-09-12,2.72,2.72,2.51,2.65,1300,3317,EQNE
2006-09-13,2.69,2.999,2.57,2.8,1254500,3239499.8,EQNE
2006-09-14,2.9,2.9,2.9,2.9,10000,29000,EQNE
2006-09-15,2.8,2.89,2.57,2.89,3482400,8955209.2,EQNE
2006-09-18,2.581,2.948,2.581,2.947,1300,3758,EQNE
2006-09-19,2.581,2.95,2.504,2.717,129900,374518.8,EQNE
2006-09-20,2.75,2.979,2.621,2.979,75700,207812.3,EQNE
2006-09-26,2.89,2.898,2.835,2.85,11000,31267.2,EQNE
2006-09-27,2.6,2.859,2.6,2.859,15400,42014.4,EQNE
2006-09-28,2.6,2.8,2.5,2.8,3600,9081,EQNE
2006-09-29,2.79,2.79,2.788,2.788,2100,5856.8,EQNE
2006-10-03,2.595,2.789,2.592,2.789,1300,3576,EQNE
2006-10-04,2.611,2.76,2.558,2.759,116600,298596.9,EQNE
2006-10-05,2.819,3.13,2.562,2.562,21800,64637.7,EQNE
2006-10-06,2.847,2.847,2.55,2.6,105200,270389.8,EQNE
2006-10-09,2.76,2.76,2.57,2.7,133000,345809.8,EQNE
2006-10-10,2.63,2.67,2.55,2.67,36000,93997.5,EQNE
2006-10-11,2.67,2.67,2.6,2.6,25600,66574,EQNE
2006-10-12,2.559,2.6,2.513,2.6,26900,69726.7,EQNE
2006-10-13,2.62,2.62,2.6,2.6,11000,28800,EQNE
2006-10-16,2.601,2.607,2.526,2.6,20800,52606.9,EQNE
2006-10-17,2.531,2.598,2.53,2.53,25600,64842.6,EQNE
2006-10-18,2.531,2.55,2.53,2.533,21200,53688.8,EQNE
2006-10-19,2.598,2.598,2.505,2.535,1154000,2980041.7,EQNE
2006-10-20,2.587,2.587,2.584,2.585,1200,3101.2,EQNE
2006-10-23,2.584,2.6,2.584,2.595,752300,1955960.4,EQNE
2006-10-24,2.6,2.6,2.597,2.6,352500,916497.1,EQNE
2006-10-26,2.552,2.6,2.552,2.6,53900,137557.6,EQNE
2006-10-30,2.617,2.618,2.553,2.553,8800,22693.5,EQNE
2006-10-31,2.6,2.6,2.557,2.6,161800,420666.8,EQNE
2006-11-01,2.6,2.694,2.6,2.694,271400,709449,EQNE
2006-11-02,2.692,2.695,2.561,2.649,36000,92588.5,EQNE
2006-11-03,2.65,2.693,2.65,2.669,75800,201478.8,EQNE
2006-11-07,2.7,2.85,2.7,2.8,510700,1432974.1,EQNE
2006-11-08,2.824,2.824,2.76,2.82,16200,44898,EQNE
2006-11-09,2.824,2.894,2.82,2.824,13300,37766.2,EQNE
2006-11-10,2.869,2.891,2.78,2.8,280900,805267.7,EQNE
2006-11-13,2.89,2.89,2.75,2.75,13000,36196,EQNE
2006-11-14,2.85,2.85,2.786,2.786,5900,16761.5,EQNE
2006-11-15,2.75,2.75,2.7,2.7,10000,27077.6,EQNE
2006-11-16,2.7,2.7,2.7,2.7,1400,3780,EQNE
2006-11-17,2.7,2.78,2.7,2.7,4100,11213.1,EQNE
2006-11-20,2.7,2.77,2.67,2.77,14500,39154.1,EQNE
2006-11-21,2.72,2.86,2.671,2.86,29500,82823.9,EQNE
2006-11-22,2.855,2.88,2.855,2.88,12500,35905.4,EQNE
