date,open,high,low,close,volume,value,board
2006-10-02,50,50,50,50.0,200,10000,EQNE
2006-11-02,51.01,51.01,51.01,51.01,200,10202,EQNE
2006-11-07,129,135,129,135.0,600,79300,EQNE
2006-11-15,130,130,130,130.0,100,13000,EQNE
2006-11-20,130,130,130,130.0,100,13000,EQNE
2006-11-23,135,135,135,135.0,200,27000,EQNE
2006-11-24,135,135,135,135.0,200,27000,EQNE
2006-11-28,141,141,141,141.0,1000,141000,EQNE
2006-11-29,155,155,145,145.0,1100,161500,EQNE
2006-11-30,143,143,140,140.0,1400,199000,EQNE
2006-12-11,120,120,120,120.0,100,12000,EQNE
2006-12-18,130,130,130,130.0,400,52000,EQNE
2006-12-22,111.29,111.29,111.29,111.29,100,11129,EQNE
2006-12-26,137,137,137,137.0,100,13700,EQNE
2007-01-10,130,155,130,130.0,700,96000,EQNE
2007-01-11,119.1,119.1,119.1,119.1,400,47640,EQNE
2007-01-12,130,130,130,130.0,1100,143000,EQNE
2007-01-17,149,149,137.01,137.01,300,43501,EQNE
2007-01-18,149,155,135,135.0,600,87950,EQNE
2007-01-19,150,150,150,150.0,100,15000,EQNE
2007-01-22,149.5,149.5,149.5,149.5,400,59800,EQNE
2007-01-23,150,150,150,150.0,100,15000,EQNE
2007-01-24,146,149.9,145,149.9,500,73090,EQNE
2007-01-25,142,155,140,140.0,5600,789901,EQNE
2007-01-26,150,155,140,150.0,7600,1134800,EQNE
2007-01-29,150,150,140,140.0,1700,243551,EQNE
2007-01-30,140,150,140,149.5,500,71950,EQNE
2007-01-31,149.4,149.4,140,140.0,1300,183153,EQNE
2007-02-01,150,150,150,150.0,200,30000,EQNE
2007-02-02,142.5,142.5,139,140.0,3600,505551,EQNE
2007-02-05,149,149,140.01,140.01,900,127862,EQNE
2007-02-06,149,150,140,140.1,12400,1745636,EQNE
2007-02-07,141.1,145,140,140.0,3100,439711,EQNE
2007-02-08,140,158.5,140,150.0,16700,2483946,EQNE
2007-02-09,147,154.2,147,154.0,7100,1085996,EQNE
2007-02-12,159.49,159.5,155,158.5,3600,569450,EQNE
2007-02-13,159,160,158,160.0,300,47700,EQNE
2007-02-14,155.5,159,155,155.0,2400,374293,EQNE
2007-02-15,151.01,157.7,151.01,157.7,800,121781,EQNE
2007-02-16,158,158,158,158.0,400,63200,EQNE
2007-02-19,160,170,160,170.0,1200,197189,EQNE
2007-02-20,172,174,165,174.0,900,153300,EQNE
2007-02-21,177,185,177,180.0,600,107300,EQNE
2007-02-22,190,190,180,184.0,1700,310773,EQNE
2007-02-26,197,210.55,197,208.0,1400,290065,EQNE
2007-02-27,208,240,200,210.0,3700,776407,EQNE
2007-02-28,201.01,201.01,190,190.0,300,59001,EQNE
2007-03-01,187.5,187.5,180,180.0,900,165050,EQNE
2007-03-02,167.1,170,163,170.0,1700,283720,EQNE
2007-03-05,152,180,152,180.0,1500,259400,EQNE
2007-03-06,170,170,170,170.0,100,17000,EQNE
2007-03-07,178.41,178.41,175,175.0,1100,194851,EQNE
2007-03-12,198,198,198,198.0,100,19800,EQNE
2007-03-13,190.5,193,188,193.0,300,57150,EQNE
2007-03-14,176,176,167,167.0,700,119600,EQNE
2007-03-15,177,193,177,193.0,500,94600,EQNE
2007-03-16,189,189,189,189.0,100,18900,EQNE
2007-03-19,189,189,189,189.0,100,18900,EQNE
2007-03-20,189,189,178,178.0,1100,197410,EQNE
2007-03-21,185,197,185,188.0,2000,379929,EQNE
2007-03-22,189,189,187.11,187.11,900,169911,EQNE
2007-03-23,193,193,186.1,186.1,400,76400,EQNE
2007-03-26,189,189,189,189.0,200,37800,EQNE
2007-03-27,185.1,189,185.1,189.0,200,37410,EQNE
2007-03-29,190,190,189,189.0,200,37900,EQNE
2007-04-02,194,194,194,194.0,100,19400,EQNE
2007-04-05,190,190,190,190.0,100,19000,EQNE
2007-04-06,189,190,183,190.0,500,93400,EQNE
2007-04-09,193,193,185,185.0,700,130400,EQNE
2007-04-11,187,187,187,187.0,100,18700,EQNE
2007-04-12,179,179,175.3,175.3,2500,440170,EQNE
2007-04-13,175.3,175.3,173,175.3,1000,174530,EQNE
2007-04-16,186,187,180,180.0,700,130000,EQNE
2007-04-17,171,171,171,171.0,100,17100,EQNE
2007-04-18,172,172,172,172.0,1000,172000,EQNE
2007-04-19,172,172,172,172.0,100,17200,EQNE
2007-04-25,156.1,156.1,156.1,156.1,200,31220,EQNE
2007-04-26,177.8,177.8,177.8,177.8,100,17780,EQNE
2007-04-27,187,187,179.99,179.99,1100,203599,EQNE
2007-05-02,175,175,175,175.0,100,17500,EQNE
2007-05-03,175,175,175,175.0,300,52500,EQNE
2007-05-04,179,189,169,169.0,600,107400,EQNE
2007-05-17,140,140,140,140.0,100,14000,EQNE
2007-05-18,172,172,172,172.0,100,17200,EQNE
2007-05-21,171,171,171,171.0,100,17100,EQNE
2007-05-25,183,183,152,166.0,800,133000,EQNE
2007-05-28,168,168,168,168.0,100,16800,EQNE
2007-06-01,168,168,168,168.0,100,16800,EQNE
2007-06-08,160,160,160,160.0,100,16000,EQNE
2007-06-14,150,168,150,168.0,500,77801,EQNE
2007-06-18,170,170,170,170.0,500,85000,EQNE
2007-06-19,165,170,162,170.0,1500,249280,EQNE
2007-06-20,169,184.2,169,171.0,700,120420,EQNE
2007-06-21,175,177,175,177.0,500,88300,EQNE
2007-06-22,176,177,176,177.0,300,52900,EQNE
2007-06-27,160,160,158.21,158.21,200,31821,EQNE
2007-06-28,165,183,165,171.0,2300,403000,EQNE
2007-06-29,166,170.99,166,167.0,400,67100,EQNE
2007-07-02,169,169,169,169.0,300,50700,EQNE
2007-07-04,172.5,172.5,172.5,172.5,100,17250,EQNE
2007-07-05,170,170,167,170.0,700,118400,EQNE
2007-07-06,145,165,145,165.0,2800,432712,EQNE
2007-07-09,177.99,177.99,165.5,165.5,400,68600,EQNE
2007-07-10,165,165,165,165.0,100,16500,EQNE
2007-07-12,153.01,164.99,153.01,164.99,200,31800,EQNE
2007-07-17,159,159,159,159.0,100,15900,EQNE
2007-07-20,162,162,162,162.0,100,16200,EQNE
2007-07-23,156.1,156.1,156.1,156.1,100,15610,EQNE
2007-07-26,155.7,155.7,155.7,155.7,100,15570,EQNE
2007-07-27,165.7,165.7,150,150.0,800,124503,EQNE
2007-07-30,153.5,154,153.5,154.0,200,30750,EQNE
2007-07-31,152.5,155,152.5,155.0,500,76611,EQNE
2007-08-01,155,155,153.99,153.99,200,30899,EQNE
2007-08-02,158,164,158,164.0,500,80598,EQNE
2007-08-03,170,170,170,170.0,100,17000,EQNE
2007-08-15,157,157,156.1,156.1,300,47010,EQNE
2007-08-20,150,150,150,150.0,100,15000,EQNE
2007-08-21,140,140,140,140.0,100,14000,EQNE
2007-08-22,154,160,154,160.0,300,47400,EQNE
2007-08-27,150.1,150.1,150.1,150.1,200,30020,EQNE
2007-08-30,159,160,159,160.0,200,31900,EQNE
2007-09-03,159,159,150,150.0,1100,174000,EQNE
2007-09-06,153,153,153,153.0,100,15300,EQNE
2007-09-07,153,153,153,153.0,700,107100,EQNE
2007-09-10,159,159,159,159.0,100,15900,EQNE
2007-09-11,158,158,158,158.0,200,31600,EQNE
2007-09-12,168.99,172,168.99,172.0,600,101849,EQNE
2007-09-14,160,160,160,160.0,100,16000,EQNE
2007-09-17,155,160,140,160.0,6100,870700,EQNE
2007-09-19,156.01,156.01,156,156.0,200,31201,EQNE
2007-09-20,155.01,155.01,155.01,155.01,100,15501,EQNE
2007-09-24,145.04,155,145.01,154.8,1100,164381,EQNE
2007-09-25,155,168.99,155,157.0,1100,181816,EQNE
2007-09-26,156,156,155,155.0,300,46600,EQNE
2007-09-27,165,175,165,175.0,1000,169299,EQNE
2007-09-28,170,170,170,170.0,300,51000,EQNE
2007-10-02,170,170,170,170.0,300,51000,EQNE
2007-10-03,174.98,174.98,174.98,174.98,200,34996,EQNE
2007-10-04,166,166,154.1,154.1,700,110630,EQNE
2007-10-08,165,165,163,163.0,400,65600,EQNE
2007-10-09,160,160,160,160.0,100,16000,EQNE
2007-10-10,161,161,161,161.0,100,16100,EQNE
2007-10-16,145,145,145,145.0,100,14500,EQNE
2007-10-23,152,152,152,152.0,200,30400,EQNE
2007-10-24,150,150,148,148.0,1100,164800,EQNE
2007-10-25,150,188.7,150,188.7,3000,512580,EQNE
2007-10-26,160.4,180,160.4,180.0,200,34040,EQNE
2007-10-29,158,165.22,158,159.0,1600,257124,EQNE
2007-10-30,155,155,155,155.0,100,15500,EQNE
2007-11-01,155,155,155,155.0,500,77500,EQNE
2007-11-06,155,155,155,155.0,100,15500,EQNE
2007-11-07,155,155,155,155.0,100,15500,EQNE
2007-11-08,155,155,155,155.0,300,46500,EQNE
2007-11-13,150.03,150.03,150.03,150.03,100,15003,EQNE
2007-11-14,156.5,156.5,156.5,156.5,200,31300,EQNE
2007-11-15,156.5,156.5,156.5,156.5,200,31300,EQNE
2007-11-22,136,157.02,135,157.02,500,69902,EQNE
2007-11-23,143.7,143.7,143.7,143.7,100,14370,EQNE
2007-11-26,140,140,140,140.0,100,14000,EQNE
2007-11-27,137.01,137.01,137.01,137.01,100,13701,EQNE
2007-11-28,141,141,140.75,140.75,1100,155000,EQNE
2007-11-29,136.01,136.01,136,136.0,1300,176801,EQNE
2007-11-30,133,135,133,135.0,200,26800,EQNE
2007-12-07,135,135,131,131.0,1500,197411,EQNE
2007-12-11,128,128,128,128.0,16,2048,SMAL
2007-12-12,127,127,127,127.0,1500,190500,EQNE
2007-12-13,128,128,125,125.0,700,87800,EQNE
2007-12-14,122,122,122,122.0,100,12200,EQNE
2007-12-17,130,136,130,133.0,1200,159600,EQNE
2007-12-18,138.99,138.99,133,133.0,500,68297,EQNE
2007-12-24,135,135,135,135.0,400,54000,EQNE
2007-12-25,139.97,139.97,121.01,121.03,800,104874,EQNE
2007-12-28,117,117,115.05,115.05,400,46215,EQNE
2008-01-11,115.05,122,115.05,122.0,200,23705,EQNE
2008-01-15,130,140,130,140.0,600,82900,EQNE
2008-01-16,135,135,135,135.0,100,13500,EQNE
2008-01-17,120.01,120.01,120,120.0,300,36001,EQNE
2008-01-23,100,100,87,100.0,300,28700,EQNE
2008-01-25,118.99,118.99,118,118.0,200,23699,EQNE
2008-01-28,101.01,101.01,101.01,101.01,100,10101,EQNE
2008-01-29,120,120,120,120.0,100,12000,EQNE
2008-01-30,100.01,111,100.01,111.0,200,21101,EQNE
2008-02-01,102.01,102.01,100,100.0,3600,360302,EQNE
2008-02-04,105,110,105,110.0,700,74500,EQNE
2008-02-05,106,110,106,110.0,300,32600,EQNE
2008-02-07,109.5,109.5,109.5,109.5,100,10950,EQNE
2008-02-12,108.5,119.5,101,106.56,800,89205,EQNE
2008-02-18,87.51,87.51,87.51,87.51,100,8751,EQNE
2008-02-21,92,114.84,92,114.84,400,40389,EQNE
2008-03-13,100,100,100,100.0,100,10000,EQNE
2008-03-20,107,107,107,107.0,200,21400,EQNE
2008-03-26,102,102,100,100.0,400,40400,EQNE
2008-03-27,100,108,100,108.0,300,30800,EQNE
2008-04-02,100.01,100.01,100.01,100.01,100,10001,EQNE
2008-04-07,106,106,106,106.0,100,10600,EQNE
2008-04-10,105,105,105,105.0,1000,105000,EQNE
2008-04-11,100,100,100,100.0,100,10000,EQNE
2008-04-16,100,100,100,100.0,100,10000,EQNE
2008-04-21,100,100,100,100.0,200,20000,EQNE
2008-05-05,75.1,85.42,75.1,85.42,500,40646,EQNE
2008-05-07,105,110,105,110.0,600,64700,EQNE
2008-05-12,107.8,107.8,107.8,107.8,200,21560,EQNE
2008-05-13,107.8,107.8,107.8,107.8,100,10780,EQNE
2008-05-14,119.9,119.9,119.9,119.9,300,35970,EQNE
2008-05-16,119.99,119.99,119.99,119.99,200,23998,EQNE
2008-05-22,138.62,138.62,82,119.0,700,66762,EQNE
2008-05-23,133.9,133.9,133.9,133.9,500,66950,EQNE
2008-05-27,105,113.41,105,113.41,200,21841,EQNE
2008-05-30,113,135,113,135.0,2000,265599,EQNE
2008-06-02,90.2,134,90.2,130.0,8100,955400,EQNE
2008-06-03,106,130,106,120.0,4500,532020,EQNE
2008-06-04,114.05,129.99,114.01,129.79,9500,1159300,EQNE
2008-06-05,111.05,127.9,111.05,127.9,4000,477900,EQNE
2008-06-06,115,115,95.02,110.0,800,82755,EQNE
2008-06-07,110,110,110,110.0,100,11000,EQNE
2008-06-09,103,103,100,100.0,400,40710,EQNE
2008-06-10,97.01,124,97.01,124.0,4300,476620,EQNE
2008-06-16,115,115,115,115.0,200,23000,EQNE
2008-06-17,108.01,118.99,108.01,118.99,1400,158900,EQNE
2008-06-19,125,125,125,125.0,100,12500,EQNE
2008-06-20,107.02,126.99,107.02,126.99,2500,293511,EQNE
2008-06-23,107.02,117.77,107.02,117.77,4400,494574,EQNE
2008-06-24,109.51,128.99,109.51,124.99,6000,714248,EQNE
2008-06-26,107.03,124.99,107.03,115.0,5000,580748,EQNE
2008-07-02,100.01,114.99,100.01,114.99,1200,129000,EQNE
2008-07-04,91.09,114.99,91.09,112.99,12800,1322350,EQNE
2008-07-07,100,110,85.29,110.0,4200,412033,EQNE
2008-07-08,97,100,97,100.0,200,19700,EQNE
2008-07-10,93.02,132.95,91.01,109.99,176000,19333253,EQNE
2008-07-15,97,125,80,100.07,5800,572977,EQNE
2008-07-16,109.99,109.99,100,100.0,3500,381071,EQNE
2008-07-17,101,101,98.01,98.01,1200,117911,EQNE
2008-07-18,108.99,108.99,108.99,108.99,800,87192,EQNE
2008-07-23,102.99,103.99,98.01,98.01,8200,829990,EQNE
