date,open,high,low,close,volume,value,board
2003-02-03,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-04,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-05,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-06,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-07,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-10,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-11,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-12,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-13,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-14,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-17,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-18,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-19,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-20,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-21,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-25,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-26,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-27,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-28,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-03,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-04,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-05,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-06,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-07,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-11,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-17,0.0,0.0,0.0,0.0,0,0.0,EQNE
2006-06-19,50.0,50.0,50.0,50.0,5,250.0,EQNE
2006-06-20,65.0,219.5,65.0,190.0,309,51653.5,EQNE
2006-06-21,170.0,177.0,115.0,135.0,113,17519.21,EQNE
2006-06-23,136.0,155.0,136.0,155.0,67,9315.0,EQNE
2006-06-26,110.0,140.0,110.0,140.0,5,670.0,EQNE
2006-06-27,120.0,140.0,106.0,140.0,84,10207.0,EQNE
2006-06-28,117.0,120.0,104.0,104.0,1055,113075.42,EQNE
2006-06-29,100.01,109.99,100.0,109.99,7,720.0,EQNE
2006-06-30,100.01,109.34,100.0,100.0,55,5514.37,EQNE
2006-07-05,109.99,114.0,100.0,100.0,620,62161.58,EQNE
2006-07-10,119.99,120.0,119.99,120.0,22,2639.98,EQNE
2006-07-12,95.62,95.62,95.6,95.6,22,2103.24,EQNE
2006-07-13,105.0,105.0,105.0,105.0,1,105.0,EQNE
2006-07-18,110.99,119.0,110.99,119.0,7,813.5,EQNE
2006-07-28,105.0,105.0,100.0,100.0,8,805.02,EQNE
2006-08-01,120.0,120.0,120.0,120.0,100,12000.0,EQNE
2006-08-02,110.0,110.0,110.0,110.0,2,220.0,EQNE
2006-08-09,100.0,105.0,100.0,105.0,21,2105.0,EQNE
2006-08-10,100.01,100.01,100.0,100.0,99,9900.01,EQNE
2006-08-17,100.01,100.01,100.0,100.0,52,5200.01,EQNE
2006-08-21,100.02,100.02,100.02,100.02,210,21004.2,EQNE
2006-08-22,119.95,135.0,100.01,110.0,553,68715.95,EQNE
2006-08-28,100.01,100.01,1.54,1.54,17,1373.11,EQNE
2006-08-29,90.0,110.0,90.0,104.5,67,7157.44,EQNE
2006-08-30,104.0,104.0,104.0,104.0,20,2080.0,EQNE
2006-08-31,120.0,120.0,120.0,120.0,2,240.0,EQNE
2006-09-04,120.0,120.0,120.0,120.0,28,3360.0,EQNE
2006-09-08,110.0,120.0,110.0,120.0,212,23340.0,EQNE
2006-09-14,100.0,100.0,100.0,100.0,201,20100.0,EQNE
2006-09-18,90.0,90.0,90.0,90.0,2,180.0,EQNE
2006-09-19,110.0,120.5,105.0,120.5,348,38838.5,EQNE
2006-09-22,124.99,124.99,124.99,124.99,1,124.99,EQNE
2006-09-28,115.0,115.0,115.0,115.0,7,805.0,EQNE
2006-10-02,90.55,90.55,90.55,90.55,1,90.55,EQNE
2006-10-05,100.0,124.5,100.0,124.5,70,8354.5,EQNE
2006-10-06,112.0,112.0,112.0,112.0,2,224.0,EQNE
2006-10-13,112.5,112.5,112.5,112.5,5,562.5,EQNE
2006-10-18,123.5,124.5,123.5,124.5,133,16553.25,EQNE
2006-10-19,110.02,125.0,110.02,125.0,63,7840.05,EQNE
2006-10-20,125.0,150.0,125.0,131.0,266,35836.57,EQNE
2006-10-23,120.1,140.0,114.0,140.0,299,35906.98,EQNE
2006-10-24,150.0,155.0,150.0,150.0,303,46900.0,EQNE
2006-10-25,140.0,140.0,135.01,135.01,2,275.01,EQNE
2006-10-26,125.0,140.01,125.0,140.0,560,72772.17,EQNE
2006-10-27,154.0,189.9,120.01,173.0,56186,8965014.27,EQNE
2006-10-30,125.0,210.0,125.0,164.0,6855,1090972.65,EQNE
2006-10-31,165.0,167.9,150.3,167.9,134,20997.91,EQNE
2006-11-01,156.7,156.7,152.2,153.72,106,16200.88,EQNE
2006-11-02,158.26,158.26,158.26,158.26,10,1582.6,EQNE
2006-11-03,155.06,155.06,110.0,151.0,1273,141136.76,EQNE
2006-11-07,160.0,169.99,160.0,160.0,21,3369.99,EQNE
2006-11-08,165.01,165.01,165.0,165.0,20,3300.08,EQNE
2006-11-09,156.61,161.61,155.0,160.99,71,11276.61,EQNE
2006-11-13,210.0,210.0,140.0,165.01,7842,1353831.89,EQNE
2006-11-14,166.66,209.9,146.0,165.66,10634,1813309.96,EQNE
2006-11-16,175.01,175.01,175.01,175.01,3,525.03,EQNE
2006-11-17,176.76,209.0,140.0,190.0,2693,470281.26,EQNE
2006-11-21,190.0,190.99,185.01,190.99,4,756.99,EQNE
2006-11-24,204.0,205.0,204.0,205.0,24,4917.0,EQNE
2006-11-27,210.0,224.9,204.01,204.01,1365,306763.41,EQNE
2006-11-28,151.0,220.9,151.0,220.9,2730,507692.5,EQNE
2006-11-29,151.0,222.9,151.0,222.9,2730,510345.6,EQNE
2006-11-30,165.0,199.91,151.0,199.91,1366,206328.91,EQNE
2006-12-01,219.98,219.98,219.98,219.98,1,219.98,EQNE
2006-12-08,205.0,205.0,205.0,205.0,1,205.0,EQNE
2006-12-20,205.0,219.96,205.0,219.96,53,10879.96,EQNE
2006-12-25,150.01,220.0,150.01,209.0,2310,480473.26,EQNE
2006-12-26,245.0,245.0,200.0,200.0,65,15880.0,EQNE
2006-12-27,210.0,320.0,210.0,221.01,47,11549.97,EQNE
2006-12-28,281.5,281.5,180.0,180.0,66,13693.1,EQNE
2006-12-29,230.0,264.0,195.0,195.0,70,16156.0,EQNE
2007-01-10,180.02,180.02,180.0,180.0,33,5940.11,EQNE
2007-01-12,181.81,183.31,181.81,183.31,7,1274.17,EQNE
2007-01-15,185.14,185.14,185.14,185.14,1,185.14,EQNE
2007-01-18,210.01,211.0,210.01,211.0,2,421.01,EQNE
2007-01-19,211.0,211.0,211.0,211.0,5,1055.0,EQNE
2007-01-22,224.0,224.0,211.01,211.01,3,659.01,EQNE
2007-01-24,213.12,220.0,213.12,220.0,9,1973.12,EQNE
