date,open,high,low,close,volume,value,board
2008-09-23,5100,5100,5100,5100.0,12,61200,EQNE
2008-11-28,1100,1200,1100,1150.0,8,9200,EQNE
2008-12-02,1149.99,1149.99,1149.99,1149.99,1,1149.99,EQNE
2008-12-03,870,1140,870,1140.0,736,645795.4,EQNE
2008-12-04,1150,1225,1150,1225.0,105,127000,EQNE
2008-12-05,1250,1260,1250,1260.0,409,513240,EQNE
2008-12-08,1250,1255,1250,1255.0,420,526015,EQNE
2008-12-11,1550,1600,1550,1600.0,55,87750,EQNE
2008-12-12,1600,1600,1600,1600.0,1,1600,EQNE
2008-12-16,1700.01,2110,1700,2099.0,256,528260.01,EQNE
2008-12-18,1900,1950,1900,1950.0,2,3850,EQNE
2009-01-13,2000,2000,2000,2000.0,10,20000,EQNE
2009-01-19,1400,1400,1395,1396.0,410,572200,EQNE
2009-01-22,1270,1272,1270,1272.0,400,508400,EQNE
2009-01-23,1145,1146.5,945,1050.0,4150,4129745,EQNE
2009-01-26,1050,1100,1050,1100.0,500,549500,EQNE
2009-01-27,1000,1000,1000,1000.0,100,100000,EQNE
2009-01-30,1000,1100,900,900.0,111,110100,EQNE
2009-02-02,950,950,950,950.0,10,9500,EQNE
2009-02-03,900,900,900,900.0,10,9000,EQNE
2009-02-04,949,1100,800,1100.0,638,695091.01,EQNE
2009-02-05,1100,1199,1100,1199.0,1102,1267459,EQNE
2009-02-06,1100,1200,955.01,1200.0,139,152395.09,EQNE
2009-02-12,1100,1200,1050,1200.0,500,578250,EQNE
2009-02-16,1050,1300,1050,1300.0,18,19400.02,EQNE
2009-02-17,951,1250,950,1250.0,75,86951,EQNE
2009-02-26,1100,1100,1075,1075.0,42,46075,EQNE
2009-02-27,1075,1075,1075,1075.0,5,5375,EQNE
2009-03-04,1025,1150,950,1075.0,506,544000,EQNE
2009-03-06,1025,1025,1025,1025.0,1,1025,EQNE
2009-03-13,950,950,950,950.0,200,190000,EQNE
2009-03-19,1150,1150,1000,1000.0,3,3250,EQNE
2009-03-20,1100,1100,1100,1100.0,284,312400,EQNE
2009-03-24,1100,1100,1100,1100.0,28,30800,EQNE
2009-03-27,1150,1250,1120,1150.0,1062,1240240,EQNE
2009-03-30,1150,1200,1000,1075.0,50,57375,EQNE
2009-03-31,1149.98,1150,1000,1125.0,4,4424.98,EQNE
2009-04-01,1100,1100,1100,1100.0,1,1100,EQNE
2009-04-02,1125,1125,1125,1125.0,1,1125,EQNE
2009-04-06,1125,1125,1105,1105.0,2,2230,EQNE
2009-04-09,1105,1150,1105,1125.0,66,75225,EQNE
2009-04-10,1150,1150.01,1150,1150.0,63,72450.02,EQNE
2009-04-14,1149.99,1200,1149.99,1200.0,418,500999.98,EQNE
2009-04-15,1200,1225,1200,1225.0,425,512500,EQNE
2009-04-16,1250,1400,1250,1400.0,254,336200,EQNE
2009-04-17,1450,1500,1400,1500.0,122,176800,EQNE
2009-04-21,1300.01,1300.01,1300,1300.0,12,15600.02,EQNE
2009-04-22,1499.99,1500,1499.99,1500.0,5,7499.98,EQNE
2009-04-24,1475,1550,1335,1500.0,203,308085,EQNE
2009-04-27,1315.01,1315.01,1315,1315.0,308,405020.02,EQNE
2009-04-29,1449.99,1450,1449.99,1450.0,100,144999.98,EQNE
2009-04-30,1430,1430,1425,1425.0,90,128450,EQNE
2009-05-04,1400,1475,1400,1400.0,162,233000,EQNE
2009-05-05,1410,1500,1410,1500.0,110,160425,EQNE
2009-05-06,1500,1550,1500,1550.0,354,538500,EQNE
2009-05-07,1700,1700,1700,1700.0,1,1700,EQNE
2009-05-12,1800,1800,1650.01,1800.0,53,95100.01,EQNE
2009-05-13,1989.99,1989.99,1500,1500.0,182,279990.01,EQNE
2009-05-14,1599.99,1950,1400.02,1600.0,145,229250.01,EQNE
2009-05-15,1425.01,1700.01,1425.01,1700.0,103,174824.98,EQNE
2009-05-18,1410,1779.99,1410,1700.0,6,9989.99,EQNE
2009-05-19,1950,1950,1450,1500.0,344,503243.98,EQNE
2009-05-20,1450,1480,1389,1480.0,670,975905.71,EQNE
2009-05-21,1383.33,1650,1383.33,1499.99,726,1089370.12,EQNE
2009-05-22,1499,1499,1440.01,1440.01,6,8935.01,EQNE
2009-05-25,1500,1570.01,1500,1570.0,194,303670.01,EQNE
2009-05-26,1450.01,1550,1450,1550.0,29,43349.98,EQNE
2009-05-27,1400.02,1540,1400.02,1400.04,5,7315.06,EQNE
2009-05-28,1479.99,1479.99,1401.15,1401.15,2,2881.14,EQNE
2009-05-29,1449,1570,1449,1570.0,1057,1535275,EQNE
2009-06-01,1520,1520,1520,1520.0,1,1520,EQNE
2009-06-02,1539.99,1570,1430,1530.0,570,884719.92,EQNE
2009-06-03,1530,1670,1500.01,1600.0,3686,5696154.54,EQNE
2009-06-04,1669.99,1740,1605,1740.0,343,564607.89,EQNE
2009-06-05,1739,1990,1739,1840.0,1128,2132382.05,EQNE
2009-06-08,1960,1960,1861,1959.0,45,86440,EQNE
2009-06-09,1960,2100,1950,2050.0,715,1435824.04,EQNE
2009-06-10,2050,2050,2000,2000.0,130,260130,EQNE
2009-06-11,2050,2050,1925,2000.0,178,351750.52,EQNE
2009-06-15,2025,2050,1950,1950.0,451,902894.75,EQNE
2009-06-16,1950,1950,1950,1950.0,25,48750,EQNE
2009-06-17,1860.01,1860.01,1790,1849.0,225,417447.05,EQNE
2009-06-18,1849.98,1849.98,1750,1750.0,129,226249.9,EQNE
2009-06-19,1850,1850,1800,1800.0,214,385700,EQNE
2009-06-23,1450,1791,1450,1791.0,10,14841,EQNE
2009-06-24,1819.94,1819.94,1819.94,1819.94,5,9099.7,EQNE
2009-06-25,1690,1690,1680,1680.0,250,421500,EQNE
2009-06-26,1680,1700,1640,1700.0,301,494979,EQNE
