date,open,high,low,close,volume,value,board
2006-10-23,0.1,0.1,0.1,0.1,700,70,EQNE
2007-01-17,10.1,10.1,10,10.1,1100,11040,EQNE
2007-01-18,10.1,10.1,10.1,10.1,300,3030,EQNE
2007-01-19,10.1,10.1,10.1,10.1,400,4040,EQNE
2007-01-25,10.05,10.05,10.05,10.05,100,1005,EQNE
2007-02-22,17,19,17,19.0,800,13800,EQNE
2007-02-26,18,33,4.001,27.521,23900,487928.2,EQNE
2007-02-27,25.425,37.5,24.04,24.04,10500,335695.1,EQNE
2007-02-28,31,74.646,31,50.0,14700,828575.7,EQNE
2007-03-01,40.001,40.001,36.694,36.694,1100,42404.8,EQNE
2007-03-02,36.694,36.998,36.694,36.998,200,7369.2,EQNE
2007-03-07,36.694,36.7,36.694,36.7,5000,183485.6,EQNE
2007-03-09,36.694,36.694,36.694,36.694,100,3669.4,EQNE
2007-03-19,36.694,54,27.8,27.8,12000,445804.1,EQNE
2007-03-20,29.999,29.999,27.979,27.979,200,5797.8,EQNE
2007-03-23,27.449,27.449,27.449,27.449,100,2744.9,EQNE
2007-03-26,27.444,27.444,27.444,27.444,200,5488.8,EQNE
2007-03-30,27.444,27.444,27.444,27.444,100,2744.4,EQNE
2007-04-02,27.444,27.444,27.444,27.444,100,2744.4,EQNE
2007-04-12,27.444,29.44,27.444,29.44,4100,119306.8,EQNE
2007-05-04,27.444,27.444,27.444,27.444,200,5488.8,EQNE
2007-06-07,27.444,27.444,27.444,27.444,100,2744.4,EQNE
2007-07-27,2.003,2.7,2.003,2.7,4600,10050.6,EQNE
2007-07-30,3.202,8.5,3.202,4.15,62700,307551.7,EQNE
2007-07-31,5.699,5.699,2.95,3.4,135000,451736.7,EQNE
2007-08-01,3.4,3.8,2.46,3.3,37600,131474.2,EQNE
2007-08-02,3.453,4,3.251,3.478,43000,147289.4,EQNE
2007-08-03,3.35,3.589,3.101,3.259,39900,127843.4,EQNE
2007-08-06,3.25,3.28,3.1,3.25,5500,17524.9,EQNE
2007-08-07,3.29,3.298,3.22,3.259,700,2279.7,EQNE
2007-08-08,3.2,3.25,3.11,3.241,10600,33240.7,EQNE
2007-08-09,3.2,3.2,2.831,3.155,9000,28072,EQNE
2007-08-10,3.02,3.02,2.912,2.947,2600,7692.4,EQNE
2007-08-13,2.91,3.5,2.91,3.12,16700,51418,EQNE
2007-08-14,3.1,3.12,3.1,3.11,2200,6824,EQNE
2007-08-15,3.011,3.011,2.8,2.831,7800,23326.3,EQNE
2007-08-16,2.77,2.77,2.76,2.77,1100,3039,EQNE
2007-08-17,3,3.099,3,3.099,500,1524.8,EQNE
2007-08-20,3.06,3.06,3.06,3.06,4100,12546,EQNE
2007-08-29,2.78,2.88,2.78,2.88,800,2256,EQNE
2007-08-30,2.771,4.03,2.77,2.77,1300,3851.2,EQNE
2007-08-31,2.76,2.76,2.76,2.76,300,828,EQNE
2007-09-03,2.76,2.76,2.76,2.76,1000,2760,EQNE
2007-09-04,3,3.864,2.175,2.359,40500,94563.3,EQNE
2007-09-05,2.359,2.488,1.95,2.298,5900,13310.3,EQNE
2007-09-06,2.2,2.452,2.175,2.339,22300,50368.3,EQNE
2007-09-07,2.175,2.301,2.175,2.19,6900,15074.6,EQNE
2007-09-10,2.299,2.453,2.07,2.137,222400,489495.9,EQNE
2007-09-11,2.102,2.17,1.7,2.15,26500,51427.5,EQNE
2007-09-12,2,2.35,1.77,2.187,1600,3328.7,EQNE
2007-09-13,2.02,2.34,2.001,2.3,4800,10471.4,EQNE
2007-09-14,2.35,2.48,2.141,2.203,2700,6028.5,EQNE
2007-09-17,2.17,2.2,2.12,2.12,400,866,EQNE
2007-09-18,2.332,2.436,2.332,2.436,200,476.8,EQNE
2007-09-19,2.19,2.249,1.924,2.1,19900,41437,EQNE
2007-09-20,2.3,2.44,2.1,2.12,4800,10277,EQNE
2007-09-21,2.1,2.2,2.045,2.045,600,1248.8,EQNE
2007-09-24,1.444,2.417,1.444,2.02,700,1422.2,EQNE
2007-09-25,1.431,2.112,1.431,1.97,1400,2706.4,EQNE
2007-09-26,1.85,2.099,1.73,1.916,23800,47122.9,EQNE
2007-09-27,1.945,2.015,1.86,2.0,10800,21392.1,EQNE
