date,open,high,low,close,volume,value,board
2014-12-30,165.0,300.0,165.0,230.0,12780,3239939.5,TQBR
2015-01-05,250.0,250.0,180.1,187.05,1350,268765.0,TQBR
2015-01-06,190.05,190.05,160.15,165.9,3800,632996.5,TQBR
2015-01-08,160.2,169.9,152.55,165.0,4290,710323.5,TQBR
2015-01-09,164.4,164.4,140.0,145.55,7330,1092388.0,TQBR
2015-01-12,145.0,200.0,145.0,159.95,54960,8787295.0,TQBR
2015-01-13,150.0,223.7,150.0,183.95,70790,14097313.5,TQBR
2015-01-14,184.1,257.0,180.0,239.65,50850,11405952.0,TQBR
2015-01-15,245.0,289.0,187.1,198.8,47270,10035895.0,TQBR
2015-01-16,197.95,198.0,170.3,186.4,3540,652766.0,TQBR
2015-01-19,180.0,180.0,172.15,174.5,2600,454550.5,TQBR
2015-01-20,174.5,180.0,169.0,170.0,6530,1130330.5,TQBR
2015-01-21,170.0,170.05,168.05,170.0,4820,818633.5,TQBR
2015-01-22,168.5,189.95,160.0,180.0,46010,7822407.0,TQBR
2015-01-23,181.0,193.0,170.3,174.05,14810,2686746.5,TQBR
2015-01-26,179.0,180.0,172.0,180.0,10750,1903498.5,TQBR
2015-01-27,179.0,183.8,172.55,183.8,9300,1671054.5,TQBR
2015-01-28,184.0,211.0,184.0,187.9,43710,8638246.5,TQBR
2015-01-29,189.2,190.0,180.7,182.95,6860,1268910.0,TQBR
2015-01-30,198.9,198.9,178.0,183.95,1720,308680.0,TQBR
2015-02-02,177.5,182.0,169.0,179.7,80590,14094457.0,TQBR
2015-02-03,173.45,181.45,173.4,181.3,1160,202855.5,TQBR
2015-02-04,189.9,189.9,177.15,184.15,540,97660.0,TQBR
2015-02-05,173.7,185.3,173.7,175.0,6000,1053864.5,TQBR
2015-02-06,173.8,179.0,173.25,175.0,3960,697069.0,TQBR
2015-02-09,176.0,198.0,175.15,194.0,30760,5678816.5,TQBR
2015-02-10,191.05,196.0,185.0,194.95,4520,850805.5,TQBR
2015-02-11,198.05,207.0,185.75,189.0,2180,410871.0,TQBR
2015-02-12,189.95,190.0,178.0,184.0,6610,1226243.0,TQBR
2015-02-13,184.15,185.0,179.95,184.0,14950,2751660.0,TQBR
2015-02-16,188.85,189.65,180.0,183.95,27850,5067531.0,TQBR
2015-02-17,185.15,193.0,185.0,186.3,4530,848055.5,TQBR
2015-02-18,186.55,218.8,185.0,214.95,162350,33544707.0,TQBR
2015-02-19,210.1,227.1,210.0,211.05,47980,10484341.0,TQBR
2015-02-20,218.9,218.9,207.35,207.35,770,160369.5,TQBR
2015-02-24,209.95,215.0,201.5,210.0,2820,591851.0,TQBR
2015-02-25,203.2,214.45,199.95,210.0,20710,4326782.0,TQBR
2015-02-26,210.05,218.0,205.8,205.8,60140,12677748.0,TQBR
2015-02-27,210.05,217.95,210.0,210.05,21620,4547097.0,TQBR
2015-03-02,218.95,219.0,205.05,210.0,3470,731891.5,TQBR
2015-03-03,213.95,214.0,201.0,210.0,31130,6537970.0,TQBR
2015-03-04,205.05,210.05,202.7,202.85,2120,438608.5,TQBR
2015-03-05,205.85,208.9,201.15,204.3,1930,392892.5,TQBR
2015-03-06,200.35,204.9,197.55,204.9,9650,1934200.0,TQBR
2015-03-10,200.05,200.05,194.95,199.95,2200,432021.5,TQBR
2015-03-11,200.0,211.85,200.0,204.95,11280,2361313.5,TQBR
2015-03-12,209.85,209.85,200.0,200.1,3170,638834.0,TQBR
2015-03-13,207.85,210.0,198.0,198.0,1900,385291.0,TQBR
2015-03-16,206.95,206.95,191.0,194.05,180,35870.5,TQBR
2015-03-17,191.5,200.5,190.0,192.9,8630,1722444.5,TQBR
2015-03-18,192.05,197.25,192.05,193.0,330,63838.5,TQBR
2015-03-19,195.0,200.5,195.0,200.5,8160,1635609.5,TQBR
2015-03-20,195.15,200.8,195.05,200.8,90,17613.0,TQBR
2015-03-23,192.2,192.2,187.65,189.8,670,128173.0,TQBR
2015-03-24,190.0,190.0,178.05,178.05,4570,830592.0,TQBR
2015-03-25,178.1,184.65,178.1,180.05,430,78140.5,TQBR
2015-03-26,181.3,181.35,175.0,180.85,2090,375325.0,TQBR
2015-03-27,180.8,180.85,180.75,180.85,280,50627.0,TQBR
2015-03-30,190.0,190.0,180.2,182.0,230,41857.5,TQBR
2015-03-31,182.1,185.0,178.2,182.0,7460,1358578.5,TQBR
2015-04-01,185.0,190.8,185.0,190.0,3570,662273.5,TQBR
2015-04-02,190.2,200.5,185.5,190.05,8850,1760266.0,TQBR
2015-04-03,190.1,195.0,190.1,191.15,1170,227545.0,TQBR
2015-04-06,189.0,189.0,185.0,188.95,5190,963071.0,TQBR
2015-04-07,188.3,190.75,186.2,190.75,3520,661800.5,TQBR
2015-04-08,190.6,192.0,190.0,190.0,3890,739303.5,TQBR
2015-04-09,192.0,200.0,190.5,197.0,97770,19066829.5,TQBR
2015-04-10,192.15,202.0,192.15,200.5,42130,8427031.0,TQBR
2015-04-13,200.95,201.0,195.0,200.0,6930,1385208.5,TQBR
2015-04-14,197.05,205.0,197.0,198.55,174420,34715298.0,TQBR
2015-04-15,197.85,198.15,189.9,191.5,146470,27983693.0,TQBR
2015-04-16,192.0,209.0,191.0,199.9,33150,6412474.5,TQBR
