date,open,high,low,close,volume,value,board
2011-12-12,6.9,6.9,6.5,6.5,3000,20300,EQNE
2011-12-14,7,7,7,7.0,2000,14000,EQNE
2011-12-22,7.3,9.3,7.3,9.0,58000,497200,EQNE
2011-12-23,8.99,9,8,9.0,6000,52960,EQNE
2011-12-26,7.7635,7.7635,7.75,7.75,2000,15513.5,EQNE
2011-12-27,8.94,9,8.94,8.9499,19000,170359.7,EQNE
2011-12-29,7.3,8.9899,7.3,8.9899,11000,89369.7,EQNE
2012-01-05,9,9,9,9.0,6000,54000,EQNE
2012-01-12,7.302,7.302,7.302,7.302,10000,73020,EQNE
2012-01-13,8,8.4999,8,8.0,32000,256999.8,EQNE
2012-01-16,8.8797,8.8797,8.802,8.85,10000,88433.5,EQNE
2012-01-18,8,8.5,8,8.0,38000,304503,EQNE
2012-01-19,8,8.4,8,8.4,22000,176800,EQNE
2012-01-20,8.4,8.4,8.4,8.4,1000,8400,EQNE
2012-01-23,8,8.2,8,8.0001,99000,792224.1,EQNE
2012-01-25,8,8,8,8.0,10000,80000,EQNE
2012-01-30,7.5,8,7.45,8.0,10000,75847.7,EQNE
2012-02-01,8.28,8.28,8.28,8.28,4000,33120,EQNE
2012-02-02,8.41,8.41,8.41,8.41,1000,8410,EQNE
2012-02-03,8.2,8.2,7.8,7.8,9000,72610,EQNE
2012-02-06,8.21,8.21,8,8.0,13000,104210,EQNE
2012-02-09,7.85,8,7.85,8.0,20000,158500,EQNE
2012-02-10,8,8,8,8.0,10000,80000,EQNE
2012-02-14,8.2,8.41,8.2,8.41,2000,16610,EQNE
2012-02-15,8,8,8,8.0,20000,160000,EQNE
2012-02-21,7.9,7.9,7.6,7.9,19000,147500,EQNE
2012-02-22,8.0499,8.2,8.0499,8.2,11000,89589.4,EQNE
2012-02-24,8,8.41,8,8.41,12000,96820,EQNE
2012-02-29,8,8,8,8.0,40000,320000,EQNE
2012-03-01,8.41,8.41,8.41,8.41,1000,8410,EQNE
2012-03-02,8.4,8.41,8.4,8.41,3000,25210,EQNE
2012-03-05,8.41,8.41,8.41,8.41,2000,16820,EQNE
2012-03-06,5.0502,5.0502,5.0502,5.0502,97,489.87,SMAL
2012-03-07,8.5,8.5,8.5,8.5,1000,8500,EQNE
2012-03-11,8.749,8.749,8.749,8.749,1000,8749,EQNE
2012-03-12,8.25,9.4999,8.25,9.4999,2000,17749.9,EQNE
2012-03-19,8.3019,8.3019,8.3019,8.3019,10000,83019,EQNE
2012-03-20,8.3017,8.3159,8.2999,8.3,30000,249019.4,EQNE
2012-03-21,8.1217,8.1217,8.12,8.12,6000,48722.1,EQNE
2012-03-22,8.1217,8.3999,8.05,8.1048,22000,177860.8,EQNE
2012-03-23,8.1,8.1,8.0011,8.0011,6000,48402.2,EQNE
2012-03-26,8.3998,8.6969,8.3998,8.6969,3000,25496.6,EQNE
2012-03-27,8.0001,8.8002,8.0001,8.8002,3000,25600.5,EQNE
2012-03-29,8.0037,8.0037,8.0037,8.0037,1000,8003.7,EQNE
2012-04-02,8.0039,8.0039,8,8.0011,9000,72008.9,EQNE
2012-04-04,8.1789,8.1789,8.1789,8.1789,1000,8178.9,EQNE
2012-04-05,8.1599,8.16,8.1599,8.16,6000,48959.9,EQNE
2012-04-09,8.002,8.002,8.002,8.002,1000,8002,EQNE
2012-04-11,8.4989,8.4989,8.44,8.45,6000,50738.9,EQNE
2012-04-17,8.3,8.3,8.3,8.3,1000,8300,EQNE
2012-04-19,8.0201,8.0201,8.0002,8.0002,3000,24020.5,EQNE
2012-04-20,8.4979,8.498,8.0011,8.0011,4000,33495,EQNE
2012-04-24,8.1468,8.1468,8.1468,8.1468,1000,8146.8,EQNE
2012-04-25,8.0001,8.0001,8,8.0,10000,80000.1,EQNE
2012-04-27,8,8,8,8.0,5000,40000,EQNE
2012-05-03,7.8,8,7.8,8.0,7000,55000,EQNE
2012-05-04,8.49,9.99,7.15,7.4,103000,857663.3,EQNE
2012-05-05,7.4,7.4,7.4,7.4,5000,37000,EQNE
2012-05-07,7.2,7.4998,7.2,7.4998,2000,14699.8,EQNE
2012-05-10,7.2,7.2,7.2,7.2,4000,28800,EQNE
2012-05-11,7.9998,7.9998,7.9998,7.9998,1000,7999.8,EQNE
2012-05-12,8,8.4999,7.1586,7.1586,6000,45134.3,EQNE
2012-05-14,7.9999,8,7.9999,8.0,5000,39999.6,EQNE
2012-05-16,8.98,8.98,7.2002,8.0,38000,290850.2,EQNE
2012-05-17,7.2129,7.2129,7.2002,7.2002,15000,108130.6,EQNE
2012-05-18,7.2002,7.2002,7.2002,7.2002,1000,7200.2,EQNE
2012-05-21,8,8,6.5018,6.5018,5000,38501.8,EQNE
2012-05-23,6.4999,6.4999,6.4999,6.4999,1000,6499.9,EQNE
2012-05-24,7.9999,8.1,7.9999,8.1,6000,48099.5,EQNE
2012-05-31,7.98,8.01,7.98,8.01,30000,239830,EQNE
2012-06-01,6.5,6.5,6.25,6.25,3000,19000.1,EQNE
2012-06-08,4,4,4,4.0,11,44,SMAL
2012-06-09,7.4,7.4,7.4,7.4,1000,7400,EQNE
2012-06-14,7.3999,7.3999,7.3999,7.3999,1000,7399.9,EQNE
2012-06-15,6.554,6.554,5.9001,6.5,33000,208900.3,EQNE
2012-06-18,6.15,7.4399,6.15,7.4399,4000,27374.2,EQNE
2012-06-19,6.5,6.558,6.4901,6.558,3000,19548.1,EQNE
2012-06-20,6.5,6.5,6.5,6.5,15000,97500,EQNE
2012-06-21,6.7,7.25,6.6666,7.25,12000,85716.4,EQNE
2012-06-22,7.3,7.88,6.7268,6.7268,6000,42834.6,EQNE
2012-06-26,6.5,8.9689,6.5,8.9689,92000,685104.7,EQNE
2012-06-27,8.6999,8.6999,7.0002,7.0002,2000,15700.1,EQNE
2012-06-28,8.6999,8.6999,7.2002,7.2002,2000,15900.1,EQNE
2012-06-29,7.5008,7.5008,7.5,7.5,50000,375004.4,EQNE
2012-07-02,7.6,7.6,7.6,7.6,23000,174800,EQNE
2012-07-04,8,8,8,8.0,16000,128000,EQNE
2012-07-06,8.0001,8.0001,7.9,7.9,16000,127770.1,EQNE
2012-07-09,7.9,7.9,7.9,7.9,4000,31600,EQNE
2012-07-12,7.7777,7.7777,7.7777,7.7777,10000,77777,EQNE
2012-07-16,8.0999,8.1,8.0999,8.1,9000,72899.9,EQNE
2012-07-17,8.2401,8.33,8.2005,8.2005,116000,955933.7,EQNE
2012-07-18,8.2031,8.2031,8.2031,8.2031,1000,8203.1,EQNE
2012-07-19,8.2034,8.2034,8.2033,8.2033,14000,114846.3,EQNE
2012-07-20,8.2001,8.2001,8.2,8.2,120000,984005,EQNE
2012-07-23,8.2,8.2003,8.2,8.2003,246000,2017202,EQNE
2012-07-24,8.2006,8.2009,8.2006,8.2006,69000,565849.9,EQNE
2012-07-25,8.2025,8.2025,8.2021,8.2021,60000,492137,EQNE
2012-07-26,8.21,8.58,8.21,8.58,168000,1386339.8,EQNE
2012-07-27,8.2,8.2,5.02,5.02,102,575.64,SMAL
2012-07-30,8.4999,8.4999,8.4999,8.4999,12000,101998.8,EQNE
2012-08-01,8.3,8.3,8.3,8.3,1000,8300,EQNE
2012-08-02,8.3002,8.44,8.3002,8.44,417000,3502144.8,EQNE
2012-08-03,8.45,8.48,8.45,8.48,459000,3891743.9,EQNE
2012-08-06,8.3,8.3,8.3,8.3,88,730.4,SMAL
2012-08-07,8.58,8.58,8.58,8.58,317000,2719860,EQNE
2012-08-08,8.5799,8.58,8.5799,8.58,155000,1329898.6,EQNE
2012-08-09,5.5,5.5,5.2,5.2,287,1552.4,SMAL
2012-08-14,8.3211,8.3211,8.3211,8.3211,10000,83211,EQNE
