date,open,high,low,close,volume,value,board
2012-03-16,70,70,70,70.0,100,7000,EQNE
2012-05-30,45,65.99,45,65.99,700,41995,EQNE
2012-06-19,50,50,50,50.0,1,50,SMAL
2012-06-28,44,45.18,43,43.0,600,26221,EQNE
2012-06-29,49.38,49.38,49.38,49.38,100,4938,EQNE
2012-08-17,43.5,43.5,43.5,43.5,100,4350,EQNE
2012-08-29,53.85,53.85,53.85,53.85,100,5385,EQNE
2012-10-08,53.65,53.65,40.1,40.1,200,9375,EQNE
2012-10-09,33.51,43.65,33.51,39.82,400,16063,EQNE
2012-10-10,45,53.79,45,53.77,1700,83933,EQNE
2012-10-15,45,53.5,45,53.5,200,9850,EQNE
2012-10-17,50,50,50,50.0,100,5000,EQNE
2012-10-18,45,45,45,45.0,89,4005,SMAL
2012-10-19,45,45,45,45.0,100,4500,EQNE
2012-10-22,46,46,46,46.0,100,4600,EQNE
2012-10-26,44.8,44.8,44.8,44.8,500,22400,EQNE
2012-11-01,32.37,32.37,32.37,32.37,100,3237,EQNE
2012-11-14,44.99,44.99,44.99,44.99,100,4499,EQNE
2012-11-28,50,50,50,50.0,100,5000,EQNE
2012-12-21,35,35,35,35.0,188,6580,SMAL
