date,open,high,low,close,volume,value,board
2005-12-21,895,899.97,880,887.45,629,559702.7,EQBS
2005-12-22,894,903,850.13,900.0,988,879684.55,EQBS
2005-12-23,890,904.99,881.01,904.99,202,181530.43,EQBS
2005-12-26,867.5,917,867.5,909.98,105,95362.44,EQBS
2005-12-27,918.99,920,900,905.0,145,132612.13,EQBS
2005-12-28,902,905,902,905.0,2,1807,EQBS
2005-12-29,901,910,900,900.0,1131,1017961.03,EQBS
2005-12-30,897.71,918,897.71,918.0,12,10870.94,EQBS
2006-01-10,922,922,899,899.0,67,60367.07,EQBS
2006-01-11,898.01,909.99,895,900.0,166,149133.99,EQBS
2006-01-12,896,927.98,894,921.97,3050,2786917.49,EQBS
2006-01-13,927.99,933,910.02,930.0,1091,1006935.68,EQBS
2006-01-16,930,940,919,940.0,1611,1503928,EQBS
2006-01-17,944,944,925,932.0,2197,2044285.09,EQBS
2006-01-18,932.99,955,925,955.0,4994,4716086.59,EQBS
2006-01-19,970,1182,970,1046.0,8748,9298775.47,EQBS
2006-01-20,1100,1100.02,1052.51,1068.0,5964,6377872.68,EQBS
2006-01-23,1085,1085,1046,1055.0,4870,5149013.48,EQBS
2006-01-24,1045,1064.97,1010.05,1058.99,1069,1110180.07,EQBS
2006-01-25,1045,1058.84,1036.03,1036.03,305,319727.8,EQBS
2006-01-26,1033.01,1074,1030,1074.0,491,515220.71,EQBS
2006-01-27,1068.99,1084.99,1055,1080.0,2056,2186825.95,EQBS
2006-01-30,1072.49,1079.9,1027,1044.99,512,531282.93,EQBS
2006-01-31,1023.1,1040,1000.07,1021.0,1608,1649088.7,EQBS
2006-02-01,1015.5,1040,1001.02,1033.0,1522,1548709.37,EQBS
2006-02-02,1064.84,1064.99,1025.02,1025.03,1684,1735145.2,EQBS
2006-02-03,1042.5,1051.99,1036.79,1036.79,30,31401.19,EQBS
2006-02-06,1039.99,1049.99,1030,1049.98,199,208329.2,EQBS
2006-02-07,1049.99,1058,1045,1045.0,3220,3377608,EQBS
2006-02-08,1010.03,1045.78,1010.03,1045.75,1570,1637364.5,EQBS
2006-02-09,1049.9,1049.9,1040,1040.0,21,21849.9,EQBS
2006-02-10,1059,1060,1040,1047.0,545,570920.24,EQBS
2006-02-13,1048,1054.9,1030.15,1054.9,639,663536.59,EQBS
2006-02-14,1051,1060,1035.03,1035.11,2156,2268364.92,EQBS
2006-02-15,1035,1064.99,1035,1060.0,2879,3027498.38,EQBS
2006-02-16,1060,1097.88,1037.01,1070.0,4411,4677964.68,EQBS
2006-02-17,1060,1084.94,1060,1083.0,1772,1903443.03,EQBS
2006-02-20,1087.99,1110,1076.5,1083.0,1144,1241788.77,EQBS
2006-02-21,1080,1090,1070.02,1071.0,6663,7254003.78,EQBS
2006-02-22,1080,1090,1056,1080.0,575,616732.77,EQBS
2006-02-26,1087,1094.99,1076,1094.99,1011,1100418.98,EQBS
2006-02-27,1090,1094.5,1075,1075.0,2380,2589680.78,EQBS
2006-02-28,1075,1090,1070,1090.0,3435,3709460.51,EQBS
2006-03-01,1115,1115,1030,1098.0,4431,4833499.18,EQBS
2006-03-02,1100,1151,1090,1150.0,1430,1620138.31,EQBS
2006-03-03,1176,1199.97,1155.1,1155.5,808,948792.61,EQBS
2006-03-06,1200,1200,1112.01,1116.0,3623,4113673.94,EQBS
2006-03-07,1100,1100,1075,1075.0,395,431228.95,EQBS
2006-03-09,1075,1075,1049,1069.9,3287,3520200.01,EQBS
2006-03-10,1070,1090,1012.01,1030.0,2248,2412096.71,EQBS
2006-03-13,1035.03,1070,1030,1070.0,1514,1607646.01,EQBS
2006-03-14,1050,1080,1039.99,1050.0,1584,1670751.47,EQBS
2006-03-15,1061,1070,1054.99,1070.0,955,1018796.94,EQBS
2006-03-16,1090,1230,1058,1130.0,8714,9978109.4,EQBS
2006-03-17,1186.5,1186.5,1115.05,1139.99,3431,3915161.2,EQBS
