date,open,high,low,close,volume,value,board
2003-02-03,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-04,330.0,330.0,330.0,330.0,100,33000.0,EQNE
2003-02-05,330.0,330.0,330.0,330.0,100,33000.0,EQNE
2003-02-06,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-07,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-10,330.0,330.0,330.0,330.0,100,33000.0,EQNE
2003-02-11,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-12,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-13,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-14,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-17,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-18,330.0,330.0,330.0,330.0,2,660.0,EQNE
2003-02-19,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-20,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-21,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-25,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-26,330.0,330.0,330.0,330.0,10,3300.0,EQNE
2003-02-27,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-28,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-03,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-04,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-05,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-06,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-07,305.0,305.0,305.0,305.0,10,3050.0,EQNE
2003-03-11,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-17,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-27,325.0,325.0,325.0,325.0,14,4550.0,EQNE
2003-04-03,325.0,325.0,325.0,325.0,50,16250.0,EQNE
2005-01-27,325.0,355.0,325.0,350.01,110,36150.04,EQNE
2005-01-31,365.0,365.0,365.0,365.0,56,20440.0,EQNE
2005-02-04,400.0,400.0,370.0,370.0,5,1940.0,EQNE
2005-02-09,402.0,402.0,402.0,402.0,1,402.0,EQNE
2005-02-11,444.44,500.0,444.44,500.0,55,27277.76,EQNE
2005-02-14,425.01,425.01,425.0,425.0,2,850.01,EQNE
2005-02-17,537.5,537.75,537.5,537.75,200,107525.0,EQNE
2005-03-05,403.23,405.0,403.23,405.0,2,808.23,EQNE
2005-03-17,450.0,450.0,450.0,450.0,1,450.0,EQNE
2005-03-29,410.0,410.0,410.0,410.0,3,1230.0,EQNE
2005-04-04,417.0,417.0,417.0,417.0,1,417.0,EQNE
2005-04-06,425.0,425.5,425.0,425.5,141,59945.0,EQNE
2005-04-08,430.0,450.0,430.0,450.0,3,1330.0,EQNE
2005-04-18,350.0,350.0,350.0,350.0,1,350.0,EQNE
2005-05-13,450.0,450.0,450.0,450.0,1,450.0,EQNE
2005-05-19,500.01,550.0,500.0,550.0,55,27699.99,EQNE
2005-05-20,530.0,530.0,530.0,530.0,1,530.0,EQNE
2005-05-24,480.0,480.0,480.0,480.0,50,24000.0,EQNE
2005-05-26,529.99,550.0,529.99,550.0,51,28029.99,EQNE
2005-05-30,350.0,350.0,350.0,350.0,1,350.0,EQNE
2005-06-03,500.0,500.0,500.0,500.0,1,500.0,EQNE
2005-06-08,500.0,500.0,500.0,500.0,2,1000.0,EQNE
2005-08-09,600.0,600.0,600.0,600.0,5,3000.0,EQNE
2005-08-18,750.0,750.0,750.0,750.0,150,112500.0,EQNE
2005-08-22,700.0,700.0,700.0,700.0,1,700.0,EQNE
2005-08-23,800.0,900.0,790.0,790.0,256,210540.0,EQNE
2005-08-31,880.0,880.0,880.0,880.0,1,880.0,EQNE
2005-09-12,880.0,880.0,880.0,880.0,112,98560.0,EQNE
2005-09-22,750.0,750.0,750.0,750.0,144,108000.0,EQNE
2005-09-23,800.0,800.0,800.0,800.0,124,99200.0,EQNE
2005-09-27,700.0,700.01,700.0,700.01,125,87500.01,EQNE
2005-09-28,780.0,780.0,780.0,780.0,10,7800.0,EQNE
2005-09-29,799.0,799.0,799.0,799.0,90,71910.0,EQNE
2005-09-30,790.0,790.0,790.0,790.0,1,790.0,EQNE
2005-10-04,740.0,740.0,740.0,740.0,150,111000.0,EQNE
2005-10-26,630.0,630.0,630.0,630.0,1,630.0,EQNE
2005-10-27,720.0,730.0,720.0,730.0,11,7930.0,EQNE
2005-10-28,714.99,714.99,702.02,702.02,3,2122.01,EQNE
2005-11-01,720.0,740.0,720.0,740.0,10,7295.0,EQNE
2005-11-14,760.0,760.0,760.0,760.0,4,3040.0,EQNE
2005-11-17,750.0,750.0,750.0,750.0,18,13500.0,EQNE
2005-11-21,870.0,880.0,730.0,730.0,10,8040.0,EQNE
2005-12-23,745.0,745.0,745.0,745.0,100,74500.0,EQNE
2006-01-11,700.0,700.0,700.0,700.0,1,700.0,EQNE
2006-01-19,887.0,887.0,887.0,887.0,1,887.0,EQNE
2006-01-20,850.0,850.0,850.0,850.0,100,85000.0,EQNE
2006-01-23,850.0,850.0,850.0,850.0,18,15300.0,EQNE
2006-01-24,812.0,812.0,812.0,812.0,5,4060.0,EQNE
2006-01-30,800.0,815.0,800.0,805.0,151,122105.0,EQNE
2006-01-31,814.0,815.0,805.0,805.0,116,94381.0,EQNE
2006-02-03,817.0,819.99,817.0,819.99,500,409397.0,EQNE
2006-02-06,770.0,823.0,770.0,823.0,17,13196.0,EQNE
2006-02-08,815.0,815.0,815.0,815.0,1000,815000.0,EQNE
2006-02-09,844.98,844.98,844.98,844.98,15,12674.7,EQNE
2006-02-10,844.0,844.0,844.0,844.0,2,1688.0,EQNE
2006-02-13,845.0,845.0,845.0,845.0,50,42250.0,EQNE
2006-03-01,847.0,847.0,820.0,845.0,209,174210.0,EQNE
2006-03-02,870.0,900.0,870.0,900.0,220,197640.0,EQNE
2006-03-03,915.0,915.0,915.0,915.0,208,190320.0,EQNE
2006-03-06,950.0,1000.0,940.0,1000.0,3,2890.0,EQNE
2006-03-10,900.0,900.0,900.0,900.0,15,13500.0,EQNE
2006-03-14,940.0,940.0,940.0,940.0,25,23500.0,EQNE
2006-03-15,900.0,1000.0,900.0,930.0,1802,1660926.0,EQNE
2006-03-16,900.0,934.0,898.8,930.0,25600,23034899.0,EQNE
2006-03-17,925.0,930.0,925.0,925.0,606,560575.0,EQNE
2006-03-20,938.0,938.0,860.0,930.0,541,503465.55,EQNE
2006-03-21,940.0,970.0,940.0,950.0,1003,946356.03,EQNE
2006-03-22,940.0,940.0,920.01,920.01,537,504740.02,EQNE
2006-03-23,920.0,924.0,920.0,924.0,1017,935700.0,EQNE
2006-03-24,925.0,925.0,925.0,925.0,1000,925000.0,EQNE
2006-03-27,925.0,975.0,925.0,975.0,572,543200.0,EQNE
2006-03-28,930.0,940.0,930.0,940.0,95,88700.0,EQNE
2006-03-29,920.5,930.0,920.5,930.0,1165,1082840.5,EQNE
2006-03-30,935.0,938.0,935.0,938.0,12,11250.0,EQNE
2006-03-31,930.0,940.0,925.1,940.0,355,331384.17,EQNE
2006-04-03,931.01,931.01,931.01,931.01,3,2793.03,EQNE
2006-04-04,934.0,934.0,920.0,920.0,101,92934.0,EQNE
2006-04-05,934.9,934.9,934.9,934.9,7,6544.3,EQNE
2006-04-06,929.5,929.5,910.0,910.0,9091,8274654.55,EQNE
2006-04-07,931.0,931.0,931.0,931.0,1,931.0,EQNE
2006-04-10,931.0,937.0,930.0,930.0,668,624886.0,EQNE
2006-04-11,917.0,920.0,917.0,920.0,200,183700.0,EQNE
2006-04-12,920.0,920.0,920.0,920.0,57,52440.0,EQNE
2006-04-13,925.0,925.0,925.0,925.0,5,4625.0,EQNE
2006-04-14,900.0,900.0,900.0,900.0,12,10800.0,EQNE
2006-04-17,923.99,924.0,888.0,890.0,560,499131.94,EQNE
2006-04-18,900.0,912.44,891.01,900.0,1399,1254111.42,EQNE
2006-04-19,899.94,900.0,880.0,880.0,283,250963.62,EQNE
2006-04-20,888.0,890.0,880.0,880.0,410,361660.0,EQNE
2006-04-21,899.0,899.0,899.0,899.0,20,17980.0,EQNE
2006-04-24,890.0,890.0,872.0,872.0,86,75242.0,EQNE
2006-04-25,873.0,873.0,873.0,873.0,60,52380.0,EQNE
2006-04-26,820.0,888.0,805.0,880.0,478,420986.2,EQNE
2006-04-27,890.0,890.0,890.0,890.0,1,890.0,EQNE
2006-04-28,889.98,889.98,889.98,889.98,1,889.98,EQNE
2006-05-02,887.99,887.99,850.01,850.01,10,8779.97,EQNE
2006-05-03,888.0,888.0,888.0,888.0,1,888.0,EQNE
2006-05-10,865.0,865.0,841.0,841.0,12,10332.0,EQNE
2006-05-11,870.0,870.0,830.0,830.0,118,98927.99,EQNE
2006-05-12,880.0,880.0,810.0,879.0,12,9859.0,EQNE
2006-05-16,850.0,860.0,800.0,820.0,2199,1859055.18,EQNE
2006-05-17,830.0,830.0,830.0,830.0,1,830.0,EQNE
2006-05-19,770.01,775.0,770.01,775.0,152,117301.0,EQNE
2006-05-22,735.0,735.0,731.9,731.9,560,411259.0,EQNE
2006-05-23,760.0,760.0,760.0,760.0,11,8360.0,EQNE
2006-05-24,720.0,750.0,720.0,750.0,11,7950.0,EQNE
2006-05-25,750.0,754.0,750.0,754.0,16,12020.0,EQNE
2006-05-26,777.0,777.0,750.0,750.0,78,60525.0,EQNE
2006-05-29,750.0,750.0,740.0,740.0,71,53240.0,EQNE
2006-06-01,777.0,777.0,777.0,777.0,14,10878.0,EQNE
2006-06-05,754.0,754.0,750.0,750.0,54,40504.0,EQNE
2006-06-06,745.0,770.0,735.0,735.0,55313,41208837.27,EQNE
2006-06-08,725.0,725.0,700.0,712.0,83,58222.11,EQNE
2006-06-09,734.0,734.0,734.0,734.0,20,14680.0,EQNE
2006-06-14,702.0,729.0,702.0,729.0,90,64530.0,EQNE
2006-06-21,736.0,770.0,714.0,770.0,202,149872.0,EQNE
2006-06-22,729.0,790.0,729.0,790.0,212,161110.0,EQNE
2006-06-23,739.0,789.0,739.0,789.0,188,143332.0,EQNE
2006-06-27,720.0,720.0,720.0,720.0,1,720.0,EQNE
2006-06-28,750.0,750.0,750.0,750.0,5,3750.0,EQNE
2006-06-29,725.0,725.0,725.0,725.0,10,7250.0,EQNE
2006-06-30,750.0,750.0,720.0,738.0,255,186273.5,EQNE
2006-07-04,749.0,749.0,749.0,749.0,31,23219.0,EQNE
2006-07-06,744.0,744.0,744.0,744.0,60,44640.0,EQNE
2006-07-10,759.0,760.0,759.0,760.0,36,27357.0,EQNE
2006-07-12,759.98,760.0,737.0,745.0,113,83772.98,EQNE
2006-07-14,745.0,754.0,745.0,754.0,149,111446.0,EQNE
2006-07-18,764.44,764.44,731.0,763.0,114,87029.55,EQNE
2006-07-24,739.0,739.0,739.0,739.0,150,110850.0,EQNE
2006-07-26,701.0,740.0,701.0,735.0,167,119746.05,EQNE
2006-07-27,740.0,750.0,740.0,750.0,40,29800.0,EQNE
2006-07-31,739.99,750.0,739.99,750.0,194,145278.94,EQNE
2006-08-01,749.99,750.0,749.99,750.0,5,3749.97,EQNE
2006-08-03,740.01,759.99,740.0,759.99,13,9719.95,EQNE
2006-08-07,750.0,750.0,750.0,750.0,5,3750.0,EQNE
2006-08-09,745.0,745.0,745.0,745.0,12,8940.0,EQNE
2006-08-10,767.0,767.0,745.0,761.0,3,2273.0,EQNE
2006-08-11,750.0,750.0,750.0,750.0,1,750.0,EQNE
2006-08-15,780.0,780.0,780.0,780.0,3,2340.0,EQNE
2006-08-21,779.0,779.0,779.0,779.0,4,3116.0,EQNE
2006-08-23,755.0,783.0,755.0,780.0,39,30410.0,EQNE
2006-08-24,788.0,788.0,788.0,788.0,1,788.0,EQNE
2006-08-25,797.95,800.0,797.95,800.0,36,28781.9,EQNE
2006-08-30,790.0,790.0,790.0,790.0,5,3950.0,EQNE
2006-08-31,791.0,805.0,791.0,805.0,100,80443.0,EQNE
2006-09-04,775.0,800.0,775.0,800.0,317,245800.0,EQNE
2006-09-05,837.0,837.0,800.0,837.0,26,21355.0,EQNE
2006-09-06,801.0,801.0,801.0,801.0,5,4005.0,EQNE
2006-09-07,805.0,835.0,805.0,835.0,55,44835.0,EQNE
2006-09-15,839.0,839.0,825.0,825.0,6,5006.0,EQNE
2006-09-20,790.0,810.0,790.0,810.0,401,322790.0,EQNE
2006-09-21,810.0,810.0,810.0,810.0,15,12150.0,EQNE
2006-09-22,810.0,829.0,810.0,810.0,1057,865172.0,EQNE
2006-09-25,800.0,810.0,750.0,790.0,16,12780.0,EQNE
2006-09-26,825.37,849.0,790.0,805.0,231,189799.62,EQNE
2006-09-27,810.0,844.0,800.0,819.0,279,225711.35,EQNE
2006-09-28,810.0,810.0,810.0,810.0,1,810.0,EQNE
2006-09-29,813.0,835.0,790.0,835.0,1007,817398.5,EQNE
2006-10-02,827.37,834.0,790.05,834.0,177,144743.11,EQNE
2006-10-03,819.37,828.0,790.1,828.0,1143,933011.1,EQNE
2006-10-04,795.0,819.0,795.0,800.0,326,261044.0,EQNE
2006-10-06,792.0,792.0,792.0,792.0,110,87120.0,EQNE
2006-10-09,791.9,810.0,791.9,810.0,201,159190.0,EQNE
2006-10-10,812.0,812.0,812.0,812.0,10,8120.0,EQNE
2006-10-11,792.0,811.89,792.0,811.89,4,3187.89,EQNE
2006-10-13,790.0,810.89,785.0,810.89,21,16560.89,EQNE
2006-10-16,814.0,817.0,800.0,800.0,26,21026.0,EQNE
2006-10-17,817.37,817.37,817.37,817.37,10,8173.7,EQNE
2006-10-18,819.0,819.0,799.0,800.0,77,61578.0,EQNE
2006-10-20,750.11,799.99,750.11,798.99,3,2349.09,EQNE
2006-10-23,760.0,799.99,760.0,789.0,51,39969.99,EQNE
2006-10-24,789.0,789.0,789.0,789.0,1,789.0,EQNE
2006-10-25,789.0,789.0,789.0,789.0,50,39450.0,EQNE
2006-10-26,798.99,798.99,751.01,789.0,3,2339.0,EQNE
2006-10-30,770.0,795.0,770.0,795.0,6,4645.0,EQNE
2006-11-02,770.0,770.0,770.0,770.0,20,15400.0,EQNE
2006-11-03,800.0,800.0,770.0,795.0,52,40095.0,EQNE
2006-11-07,770.0,770.0,770.0,770.0,59,45430.0,EQNE
2006-11-08,750.21,770.0,750.2,770.0,4,3040.41,EQNE
2006-11-09,770.0,779.0,770.0,779.0,140,108250.0,EQNE
2006-11-10,760.0,770.0,760.0,770.0,1629,1238060.0,EQNE
2006-11-13,780.0,810.0,780.0,805.0,412,327260.0,EQNE
2006-11-14,805.0,805.0,805.0,805.0,3,2415.0,EQNE
2006-11-15,806.0,807.0,806.0,807.0,70,56440.0,EQNE
2006-11-16,800.0,807.95,800.0,804.0,280,225741.3,EQNE
2006-11-17,797.0,797.0,797.0,797.0,2,1594.0,EQNE
2006-11-21,797.0,797.0,797.0,797.0,1,797.0,EQNE
2006-11-22,793.0,800.0,793.0,797.0,576,459386.0,EQNE
2006-11-23,790.0,800.0,775.0,775.0,357,284445.0,EQNE
2006-11-24,795.0,799.0,795.0,799.0,101,80399.0,EQNE
2006-11-27,800.0,800.0,795.0,795.0,140,111500.0,EQNE
2006-11-28,793.0,795.0,793.0,795.0,350,278050.0,EQNE
2006-11-29,789.5,790.0,780.5,780.5,2164,1699440.01,EQNE
2006-11-30,785.99,786.0,785.99,786.0,10,7859.99,EQNE
2006-12-01,786.0,786.0,780.5,780.5,12,9377.0,EQNE
2006-12-04,780.0,782.0,780.0,782.0,22,17200.0,EQNE
2006-12-06,799.99,800.0,794.99,795.0,35,27949.74,EQNE
2006-12-07,779.99,800.0,779.99,790.0,833,658872.92,EQNE
2006-12-11,725.0,786.0,720.0,758.0,181,135846.43,EQNE
2006-12-12,765.0,765.0,765.0,765.0,1058,809370.0,EQNE
2006-12-13,740.02,740.02,740.02,740.02,1,740.02,EQNE
2006-12-14,738.0,757.0,738.0,757.0,67,49466.99,EQNE
2006-12-15,765.0,765.0,765.0,765.0,1,765.0,EQNE
2006-12-18,745.0,745.0,745.0,745.0,100,74500.0,EQNE
2006-12-19,733.52,754.0,730.0,749.0,202,150560.94,EQNE
2006-12-20,749.0,775.0,749.0,775.0,335,255745.0,EQNE
2006-12-21,776.99,777.0,770.0,770.0,761,586362.98,EQNE
2006-12-22,740.0,774.0,740.0,770.0,424,325020.0,EQNE
2006-12-25,777.0,777.0,760.0,760.0,527,403149.05,EQNE
2006-12-26,777.0,789.0,745.0,770.0,1515,1172468.2,EQNE
2006-12-27,770.0,777.98,770.0,777.98,564,438017.32,EQNE
2006-12-28,775.02,800.0,775.0,795.0,6743,5293619.41,EQNE
2006-12-29,778.0,784.0,775.0,784.0,254,197888.0,EQNE
2007-01-11,793.33,794.99,775.0,794.99,352,274124.89,EQNE
2007-01-12,770.0,785.0,770.0,780.0,457,355194.97,EQNE
2007-01-15,789.99,815.7,789.0,815.0,2228,1806483.3,EQNE
2007-01-16,815.0,815.0,815.0,815.0,2,1630.0,EQNE
2007-01-17,790.01,790.01,790.0,790.0,1000,790000.01,EQNE
2007-01-19,814.43,814.43,790.0,814.0,1002,791628.43,EQNE
2007-01-22,805.0,805.0,805.0,805.0,2,1610.0,EQNE
2007-01-23,815.0,815.0,801.0,801.0,282,225913.5,EQNE
2007-01-24,800.0,800.0,785.01,800.0,1006,804721.05,EQNE
2007-01-25,800.5,800.5,790.01,800.5,4127,3298115.5,EQNE
2007-01-26,800.49,800.5,800.0,800.0,20,16007.49,EQNE
2007-01-29,801.0,801.0,801.0,801.0,14,11214.0,EQNE
2007-01-30,797.0,812.0,780.02,810.0,18626,14981607.0,EQNE
2007-01-31,815.0,820.0,815.0,820.0,681,558020.43,EQNE
2007-02-01,824.0,824.0,817.0,817.0,13,10657.98,EQNE
2007-02-02,822.0,822.0,817.0,817.0,67,55047.0,EQNE
2007-02-05,819.0,819.0,810.0,810.0,605,490763.01,EQNE
2007-02-06,812.0,823.0,812.0,819.0,276,225942.99,EQNE
2007-02-07,811.01,835.0,811.0,823.0,104,85603.9,EQNE
2007-02-08,811.02,830.0,811.0,830.0,74,60698.04,EQNE
2007-02-09,819.99,820.0,819.99,820.0,7,5739.98,EQNE
2007-02-12,810.01,820.0,810.0,820.0,701,574163.0,EQNE
2007-02-13,810.0,810.0,810.0,810.0,6,4860.0,EQNE
2007-02-14,810.0,855.0,810.0,840.0,5043,4166893.49,EQNE
2007-02-15,830.01,860.0,830.0,857.0,3074,2600826.03,EQNE
2007-02-16,840.02,850.0,840.02,849.99,284,239259.68,EQNE
2007-02-19,855.0,861.69,855.0,861.69,48,41088.36,EQNE
2007-02-20,850.06,875.0,844.48,860.0,1573,1360316.47,EQNE
2007-02-21,870.0,875.0,865.0,865.0,2108,1829024.01,EQNE
2007-02-22,880.0,880.0,861.0,865.0,1826,1583761.46,EQNE
2007-02-26,868.0,869.99,868.0,869.99,7,6077.99,EQNE
2007-02-27,874.37,875.0,865.0,870.0,492,428726.22,EQNE
2007-02-28,855.0,862.96,793.41,859.99,154,128907.1,EQNE
2007-03-01,840.01,845.0,820.03,845.0,76,63162.97,EQNE
2007-03-02,820.01,820.01,820.0,820.0,104,85280.04,EQNE
2007-03-05,800.0,815.0,761.1,810.0,44,35287.28,EQNE
2007-03-06,810.0,819.0,800.01,819.0,171,138794.0,EQNE
2007-03-07,831.0,831.0,807.01,830.0,156,129437.01,EQNE
2007-03-09,834.97,835.0,810.0,835.0,109,90989.87,EQNE
2007-03-12,832.0,848.0,832.0,835.0,192,161614.0,EQNE
2007-03-13,850.0,850.0,830.0,830.0,52,43200.53,EQNE
2007-03-14,810.01,849.98,810.0,825.0,82,67414.95,EQNE
2007-03-15,864.99,1040.0,838.1,915.0,23418,21111614.05,EQNE
2007-03-16,915.0,915.0,877.77,889.0,278,249310.06,EQNE
2007-03-19,899.99,942.0,899.99,915.0,13903,12513755.2,EQNE
2007-03-20,910.0,937.0,900.0,937.0,1262,1138159.96,EQNE
2007-03-21,937.25,937.25,910.0,920.0,1825,1660948.75,EQNE
2007-03-22,943.99,943.99,905.0,914.9,1445,1312791.0,EQNE
2007-03-23,900.0,910.0,895.0,900.0,4752,4311664.64,EQNE
2007-03-26,910.0,910.0,891.0,909.0,72,65318.02,EQNE
2007-03-27,908.9,908.9,891.0,899.0,61,55081.7,EQNE
2007-03-28,899.0,900.0,882.0,895.1,18371,16364044.02,EQNE
2007-03-29,870.0,899.99,868.0,894.0,5942,5231398.22,EQNE
2007-03-30,887.0,891.99,881.0,890.0,1283,1140865.86,EQNE
2007-04-02,885.0,890.0,875.0,875.0,667,590140.0,EQNE
2007-04-03,875.0,877.0,875.0,877.0,155,135925.0,EQNE
2007-04-04,876.0,882.99,871.5,871.5,2296,2005111.3,EQNE
2007-04-05,875.0,887.0,875.0,887.0,116,101512.0,EQNE
2007-04-06,879.0,879.0,875.0,877.0,64,56226.0,EQNE
2007-04-09,880.0,890.0,870.0,870.0,880,779400.0,EQNE
2007-04-10,875.0,880.0,870.01,875.0,851,745720.01,EQNE
2007-04-11,870.0,870.01,870.0,870.0,217,188790.02,EQNE
2007-04-12,860.0,860.0,860.0,860.0,10,8600.0,EQNE
2007-04-13,870.0,870.0,869.99,870.0,42,36539.99,EQNE
2007-04-16,870.0,870.0,840.0,868.0,1240,1064952.98,EQNE
2007-04-17,869.0,872.0,855.0,855.0,365,317165.0,EQNE
2007-04-18,850.02,855.0,849.0,849.0,707,602331.16,EQNE
2007-04-19,849.0,850.0,830.0,849.99,2037,1726891.13,EQNE
2007-04-20,853.0,856.0,851.0,856.0,155,132510.0,EQNE
2007-04-23,830.01,852.99,830.01,845.0,33,27742.99,EQNE
2007-04-24,852.7,853.0,850.0,850.0,702,596952.0,EQNE
2007-04-25,850.0,850.0,845.0,845.0,187,158810.0,EQNE
2007-04-26,840.0,845.0,840.0,845.0,4612,3895559.49,EQNE
2007-04-27,850.0,850.0,830.0,830.0,58,48187.56,EQNE
2007-04-28,833.0,850.0,833.0,850.0,120,101642.0,EQNE
2007-05-02,843.9,850.0,835.0,835.0,1738,1453799.83,EQNE
2007-05-04,849.89,849.89,835.0,844.9,2525,2108607.11,EQNE
2007-05-07,840.0,840.01,840.0,840.0,2090,1755600.11,EQNE
2007-05-08,849.0,859.0,832.0,832.0,1581,1324635.03,EQNE
2007-05-10,845.01,845.01,842.0,842.0,1268,1067987.0,EQNE
2007-05-11,850.0,850.0,841.0,841.0,5921,5032831.0,EQNE
2007-05-14,850.0,859.0,845.0,850.0,9928,8417773.32,EQNE
2007-05-15,840.0,850.0,825.0,843.37,33282,27750434.2,EQNE
2007-05-16,849.95,850.0,849.95,850.0,197,167449.95,EQNE
2007-05-17,845.0,845.0,835.0,835.0,4584,3858369.85,EQNE
2007-05-18,842.26,842.3,831.0,831.0,5321,4467858.51,EQNE
