date,open,high,low,close,volume,value,board
2003-02-03,0,0,0,0.0,0,0,EQNE
2003-02-04,0,0,0,0.0,0,0,EQNE
2003-02-05,0,0,0,0.0,0,0,EQNE
2003-02-06,0,0,0,0.0,0,0,EQNE
2003-02-07,0,0,0,0.0,0,0,EQNE
2003-02-10,0,0,0,0.0,0,0,EQNE
2003-02-11,0,0,0,0.0,0,0,EQNE
2003-02-12,0,0,0,0.0,0,0,EQNE
2003-02-13,0,0,0,0.0,0,0,EQNE
2003-02-14,0,0,0,0.0,0,0,EQNE
2003-02-17,0,0,0,0.0,0,0,EQNE
2003-02-18,0,0,0,0.0,0,0,EQNE
2003-02-19,0,0,0,0.0,0,0,EQNE
2003-02-20,0,0,0,0.0,0,0,EQNE
2003-02-21,0,0,0,0.0,0,0,EQNE
2003-02-25,0,0,0,0.0,0,0,EQNE
2003-02-26,0,0,0,0.0,0,0,EQNE
2003-02-27,0,0,0,0.0,0,0,EQNE
2003-02-28,0,0,0,0.0,0,0,EQNE
2003-03-03,0,0,0,0.0,0,0,EQNE
2003-03-04,0,0,0,0.0,0,0,EQNE
2003-03-05,0,0,0,0.0,0,0,EQNE
2003-03-06,0,0,0,0.0,0,0,EQNE
2003-03-07,0,0,0,0.0,0,0,EQNE
2003-03-11,0,0,0,0.0,0,0,EQNE
2003-03-17,0,0,0,0.0,0,0,EQNE
2005-03-23,124.38,124.38,124.38,124.38,1528,190052.64,EQNE
2005-07-07,106,106,106,106.0,10,1060,EQNE
2005-07-08,106,106,106,106.0,30,3180,EQNE
2005-12-13,145,145,125,125.0,2,270,EQNE
2005-12-16,125,125,125,125.0,128,16000,EQNE
2005-12-19,100,124.99,100,101.0,1501,150624.99,EQNE
2005-12-20,105,105,105,105.0,500,52500,EQNE
2005-12-21,105,124.9,105,105.0,4846,544848,EQNE
2005-12-23,105,109.99,105,105.0,31294,3363230,EQNE
2005-12-26,105,105,105,105.0,1000,105000,EQNE
2005-12-27,105,105,105,105.0,2570,269850,EQNE
2005-12-28,105,105,101.01,105.0,2430,250768.21,EQNE
2005-12-29,105,105,105,105.0,901,94605,EQNE
2006-01-11,110,110,110,110.0,50,5500,EQNE
2006-01-13,106,110,106,110.0,1049,115194,EQNE
2006-01-17,110,110,110,110.0,1900,209000,EQNE
2006-01-19,124.99,125,124.99,125.0,2032,253998.9,EQNE
2006-01-20,125.03,125.03,125.03,125.03,13,1625.39,EQNE
2006-01-23,125,125,120,120.0,868,106000,EQNE
2006-01-25,114.83,114.83,114.83,114.83,1000,114830,EQNE
2006-01-26,120,120,120,120.0,700,84000,EQNE
2006-01-27,120,120,120,120.0,100,12000,EQNE
2006-01-30,117,120,117,120.0,1419,169923,EQNE
2006-02-03,125,137,125,137.0,2,262,EQNE
2006-02-07,120,139.99,120,139.99,93,12979.09,EQNE
2006-02-10,140.98,148.99,140,148.99,400,56457.21,EQNE
2006-02-13,150,150,150,150.0,400,60000,EQNE
2006-02-14,150,159,150,156.0,2778,437326.12,EQNE
2006-02-20,170,170,170,170.0,300,51000,EQNE
2006-02-21,164.99,165,164.99,165.0,200,32999,EQNE
2006-02-26,190,190,150.02,184.98,155,26815.31,EQNE
2006-03-03,180,180,180,180.0,10,1800,EQNE
2006-03-09,154.01,165,154,165.0,708,109197.13,EQNE
2006-03-10,165,170,165,170.0,1652,278435.98,EQNE
2006-03-13,175,185,175,185.0,204,37600,EQNE
2006-03-14,180,180,180,180.0,1060,190800,EQNE
2006-03-15,180,185,180,185.0,175,32250,EQNE
2006-03-16,181.5,182,181.5,182.0,315,57322.5,EQNE
2006-03-17,180,190,180,190.0,950,179500,EQNE
2006-03-23,190,190,183,184.0,593,111833,EQNE
2006-03-24,181,190,181,190.0,500,90509,EQNE
2006-03-28,181,181,177.01,177.01,614,110679.14,EQNE
2006-03-29,180.99,185,180.99,182.8,1780,325401.06,EQNE
2006-04-04,190,190,181,181.0,1394,264590,EQNE
2006-04-05,180,180,180,180.0,150,27000,EQNE
2006-04-06,180,180,180,180.0,1184,213120,EQNE
2006-04-11,175.88,175.88,170,170.0,2879,492246.52,EQNE
2006-04-12,166.21,166.21,140.01,140.01,242,38048.59,EQNE
2006-05-06,170,177,170,177.0,481,82476.99,EQNE
2006-05-12,150,150,150,150.0,1200,180000,EQNE
2006-05-16,153.05,153.05,153.05,153.05,41,6275.05,EQNE
2006-05-19,156.09,156.09,156.09,156.09,22,3433.98,EQNE
2006-05-25,159.09,159.11,159.09,159.11,59,9387.46,EQNE
2006-05-31,170,170,170,170.0,2,340,EQNE
2006-06-28,120,120,120,120.0,396,47520,EQNE
2006-07-03,125,127,125,126.0,170,21261,EQNE
2006-07-11,131,131.25,116,116.0,950,114309.8,EQNE
2006-07-12,120.01,120.01,120,120.0,175,21000.02,EQNE
2006-07-18,121,121,121,121.0,2,242,EQNE
2006-07-19,118.99,119.58,118.89,119.58,23,2742.78,EQNE
2006-07-20,122.01,122.51,122.01,122.51,22,2687.67,EQNE
2006-07-21,120.01,121.02,120.01,121.02,261,31561.38,EQNE
2006-07-24,118.5,120.5,118.5,120.0,9,1080.47,EQNE
2006-07-25,120,123,115.86,120.0,213,26139.02,EQNE
2006-07-26,120,120.01,115.86,120.01,59,7071.73,EQNE
2006-07-27,120,120,120,120.0,5,600,EQNE
2006-08-04,121.11,121.11,115.86,115.86,23,2743.53,EQNE
2006-08-08,115.86,115.86,115.85,115.85,50,5792.53,EQNE
2006-08-09,149.99,149.99,149.99,149.99,3,449.97,EQNE
2006-08-10,121,144.96,119,120.0,239,29087.69,EQNE
2006-08-14,148.82,148.82,125,141.0,31,3993.53,EQNE
2006-08-15,142.48,142.48,142.48,142.48,3,427.44,EQNE
2006-09-05,130,140,130,140.0,416,55184.89,EQNE
2006-09-07,125.51,148,123.01,125.0,382,48207.07,EQNE
2006-09-08,125,132,125,132.0,1227,157954,EQNE
2006-09-13,137.99,137.99,127,127.0,6,794.97,EQNE
2006-09-15,139.97,139.97,139.97,139.97,2,279.94,EQNE
2006-09-18,141.01,141.01,141.01,141.01,1,141.01,EQNE
2006-09-19,142.99,145,142.99,145.0,923,133830.93,EQNE
2006-09-22,133,133,133,133.0,157,20881,EQNE
2006-09-29,140,140.01,140,140.0,13,1820.02,EQNE
2006-10-05,125.03,140,124.01,140.0,7,919.08,EQNE
2006-10-10,160,160,160,160.0,1,160,EQNE
2006-10-11,160,160,160,160.0,1,160,EQNE
2006-10-18,165,165,165,165.0,25,4125,EQNE
2006-10-19,189,189.97,169,169.01,7,1234.97,EQNE
2006-10-20,168,175,168,175.0,313,53290.99,EQNE
2006-10-23,169,199.97,169,199.97,9,1654.97,EQNE
2006-10-24,174.01,174.01,174,174.0,3,522.01,EQNE
2006-10-26,179.11,185.1,179.11,185.0,160,29587.93,EQNE
2006-10-31,183.99,183.99,183.99,183.99,1,183.99,EQNE
2006-11-01,180.01,180.01,180,180.0,5,900.02,EQNE
2006-11-02,175.01,175.01,175.01,175.01,2,350.02,EQNE
2006-11-03,190,190,190,190.0,650,123500,EQNE
2006-11-07,190.5,190.5,190,190.0,700,133100,EQNE
2006-11-08,189.99,190,189.99,190.0,2,379.99,EQNE
2006-11-10,194.97,195,194.97,195.0,30,5849.9,EQNE
2006-11-16,194.99,195,194.99,195.0,96,18719.99,EQNE
2006-11-17,194,194,194,194.0,1,194,EQNE
2006-11-23,188.03,190,188.03,190.0,498,94422.93,EQNE
2006-11-27,194,194.98,194,194.98,507,98364.86,EQNE
2006-11-28,194,198,194,198.0,1982,388684,EQNE
2006-11-29,210,210,200,205.0,678,139268,EQNE
2006-11-30,215,215,210,210.0,156,32765,EQNE
2006-12-01,210,210.01,210,210.0,1010,212100.07,EQNE
2006-12-04,214.99,215,214.98,215.0,620,133298.91,EQNE
2006-12-05,247.26,255,247.26,254.5,26,6608.76,EQNE
2006-12-06,260,260,240,240.0,878,210740,EQNE
2006-12-07,245,255,245,248.0,3048,776784.07,EQNE
2006-12-08,250.49,250.5,250.01,250.01,22,5508.45,EQNE
2006-12-12,274.99,274.99,237,237.0,1004,238125.09,EQNE
2006-12-13,237.01,260,235,260.0,1169,303538.8,EQNE
2006-12-14,285,285,250.01,252.51,35,8807.84,EQNE
2006-12-15,260,260,260,260.0,1,260,EQNE
2006-12-18,251.01,260,223,223.0,1548,347342.01,EQNE
2006-12-19,259.49,259.49,259.49,259.49,1,259.49,EQNE
2006-12-25,259.49,265,259.49,265.0,900,238226.94,EQNE
2006-12-26,240.01,240.01,240,240.0,188,45120.01,EQNE
2007-01-09,242.41,242.41,220,220.0,6,1342.48,EQNE
2007-01-10,231,231,222,224.0,1600,358432.76,EQNE
2007-01-11,234.97,234.97,224.99,224.99,7,1604.87,EQNE
2007-01-12,229.99,235,225,234.99,455,104400.02,EQNE
2007-01-15,254.99,255,200,234.76,449,105385.61,EQNE
2007-01-16,219.02,229.99,219.02,229.99,425,93313.3,EQNE
2007-01-18,231,232.31,231,232.31,60,13861.31,EQNE
2007-01-19,235,235,234,235.0,770,180948,EQNE
2007-01-22,235.01,240.01,230,240.0,3377,800489.75,EQNE
