date,open,high,low,close,volume,value,board
2008-11-27,0.081,0.081,0.08,0.081,226300,18320.3,EQNE
2008-11-28,0.08,0.08,0.08,0.08,700,56,EQNE
2008-12-01,0.11,0.11,0.11,0.11,300,33,EQNE
2008-12-02,0.15,0.154,0.11,0.153,317500,48002.6,EQNE
2008-12-03,0.141,0.164,0.13,0.13,37600,5134.7,EQNE
2008-12-04,0.12,0.159,0.079,0.159,32700,3832.9,EQNE
2008-12-05,0.163,0.163,0.07,0.07,18200,1471.4,EQNE
2008-12-08,0.101,0.102,0.101,0.102,600,61.1,EQNE
2008-12-09,0.139,0.14,0.1,0.14,1400,185.1,EQNE
2008-12-10,0.189,0.189,0.13,0.154,14600,2244.2,EQNE
2008-12-11,0.158,0.158,0.158,0.158,10100,1595.8,EQNE
2008-12-12,0.165,0.165,0.155,0.155,10200,1582,EQNE
2008-12-15,0.158,0.158,0.158,0.158,10000,1580,EQNE
2008-12-16,0.158,0.158,0.158,0.158,10000,1580,EQNE
2008-12-17,0.15,0.158,0.15,0.158,2100,331,EQNE
2008-12-18,0.158,0.158,0.158,0.158,15000,2370,EQNE
2008-12-22,0.158,0.158,0.158,0.158,100,15.8,EQNE
2008-12-25,0.159,0.159,0.157,0.157,22300,3501.3,EQNE
2008-12-26,0.15,0.15,0.14,0.15,500,74,EQNE
2008-12-29,0.157,0.157,0.15,0.15,200,30.7,EQNE
2008-12-30,0.149,0.157,0.149,0.153,1700,258.1,EQNE
2008-12-31,0.153,0.153,0.153,0.153,100,15.3,EQNE
2009-01-11,0.153,0.18,0.153,0.158,3900,667.7,EQNE
2009-01-12,0.16,0.19,0.16,0.19,3400,586.4,EQNE
2009-01-13,0.175,0.249,0.145,0.145,241100,59922.1,EQNE
2009-01-14,0.19,0.237,0.181,0.2,88600,17799,EQNE
2009-01-15,0.174,0.24,0.174,0.24,400,82.7,EQNE
2009-01-16,0.33,0.33,0.33,0.33,1000,330,EQNE
2009-01-19,0.24,0.246,0.2,0.246,115300,25061.7,EQNE
2009-01-20,0.315,0.32,0.2,0.23,22600,5470.5,EQNE
2009-01-21,0.27,0.294,0.27,0.294,200,56.4,EQNE
2009-01-22,0.294,0.299,0.294,0.299,103600,30476.4,EQNE
