date,open,high,low,close,volume,value,board
2006-04-24,21,21,21,21.0,900,18900,EQNE
2006-05-03,18,18,18,18.0,100,1800,EQNE
2006-05-24,15.3,15.3,15.3,15.3,200,3060,EQNE
2006-05-25,15,15,15,15.0,500,7500,EQNE
2006-07-31,11.25,11.25,11.25,11.25,21200,238500,EQNE
2006-08-01,12.91,12.91,12.91,12.91,100,1291,EQNE
2006-08-03,14.8,14.8,14.8,14.8,700,10360,EQNE
2006-08-10,15,15,15,15.0,100,1500,EQNE
2006-08-11,16,16,16,16.0,100,1600,EQNE
2006-09-28,17,17,17,17.0,100,1700,EQNE
2006-10-02,18,20,18,20.0,600,11800,EQNE
2006-10-05,19,19,19,19.0,100,1900,EQNE
2006-10-11,20,20,20,20.0,100,2000,EQNE
2006-10-23,24,24,24,24.0,100,2400,EQNE
2006-11-14,24,24,24,24.0,1800,43200,EQNE
2006-11-17,31,31,31,31.0,100,3100,EQNE
2006-11-28,25,25,25,25.0,100,2500,EQNE
2006-12-07,32,32,25,32.0,500,15300,EQNE
2006-12-08,35,39.999,26,39.999,4500,150897.9,EQNE
2006-12-12,26.238,50,26.238,30.003,5700,195078.8,EQNE
2006-12-13,39,39,39,39.0,200,7800,EQNE
2006-12-15,32,32,32,32.0,600,19200,EQNE
2006-12-19,35,35,30,30.0,300,10000,EQNE
2006-12-22,35,35,35,35.0,300,10500,EQNE
2006-12-25,35,35,32,33.0,21400,706600,EQNE
2006-12-27,35,35,35,35.0,1500,52500,EQNE
2007-01-17,45.5,45.5,41.5,41.5,200,8700,EQNE
2007-01-26,110,110,30.11,109.0,300,24911,EQNE
2007-01-29,31.3,35,31.3,35.0,200,6630,EQNE
2007-01-31,40,40,40,40.0,100,4000,EQNE
2007-02-06,41,41,41,41.0,1200,49200,EQNE
2007-02-08,70,120,50,50.0,1100,102399.9,EQNE
2007-02-09,51,100,51,100.0,200,15100,EQNE
2007-02-14,120,120,120,120.0,100,12000,EQNE
2007-02-20,40,40,12,35.011,41200,523107.1,EQNE
2007-02-21,17.898,17.898,17.898,17.898,100,1789.8,EQNE
2007-04-10,17.79,17.79,17.79,17.79,300,5337,EQNE
2007-05-04,17.554,17.554,17.554,17.554,100,1755.4,EQNE
2007-06-01,17.223,17.223,17.223,17.223,200,3444.6,EQNE
2007-07-13,16.924,16.924,16.924,16.924,100,1692.4,EQNE
2007-07-19,16.924,16.924,16.924,16.924,100,1692.4,EQNE
2007-07-25,16.924,16.924,16.924,16.924,400,6769.6,EQNE
2007-07-27,16.924,16.924,16.924,16.924,100,1692.4,EQNE
2007-08-08,16.924,16.924,16.924,16.924,100,1692.4,EQNE
2007-10-18,16.924,16.924,16.924,16.924,300,5077.2,EQNE
2007-10-25,16.924,16.924,16.924,16.924,300,5077.2,EQNE
2007-11-08,23.694,23.694,23.694,23.694,2100,49757.4,EQNE
2007-11-09,33,33.172,33,33.172,7100,235400.8,EQNE
2007-11-12,34.5,34.5,34.5,34.5,100,3450,EQNE
2007-11-13,35.699,35.8,33.333,33.333,1100,38383.1,EQNE
2007-11-14,33,33,33,33.0,100,3300,EQNE
2007-11-15,40,40,33,33.0,600,20700.6,EQNE
2007-11-16,31.999,31.999,30,30.0,3400,103199.9,EQNE
2007-11-19,28.005,29.499,28.004,29.499,600,16952.3,EQNE
2007-11-20,27.5,29.1,27.5,29.1,1100,31849.5,EQNE
2007-11-21,28.01,28.01,27.608,27.608,500,13924.7,EQNE
2007-11-23,28.001,28.001,27.777,28.0,800,22357.8,EQNE
2007-11-26,29.5,29.5,27.002,28.0,3200,88450.5,EQNE
2007-11-27,27.501,27.999,27,27.999,5300,143522.3,EQNE
2007-11-28,27.05,29,20,29.0,5600,129364.3,EQNE
2007-11-29,29.5,29.5,29.5,29.5,700,20650,EQNE
2007-11-30,30,30.241,27.058,27.058,1400,40869.9,EQNE
2007-12-03,33,37.525,33,35.001,19500,688877.5,EQNE
2007-12-04,38,49.001,37.82,49.0,40500,1931319.3,EQNE
2007-12-05,51,52,48.1,50.997,8600,423607.3,EQNE
2007-12-06,51.5,51.58,50,50.0,2200,111708.1,EQNE
2007-12-07,49,49.5,49,49.2,400,19680,EQNE
2007-12-10,49,49.5,44,48.8,2500,117384.9,EQNE
2007-12-11,49,49,47,47.0,1800,86200,EQNE
2007-12-12,47,47,47,47.0,700,32900,EQNE
2007-12-13,47,47,47,47.0,100,4700,EQNE
2007-12-14,45,45,45,45.0,2500,112500,EQNE
2007-12-17,44,44,44,44.0,500,22000,EQNE
2007-12-18,44.01,44.01,41.5,44.0,1000,43755,EQNE
2007-12-19,43,45,43,45.0,8000,357800,EQNE
2007-12-20,43,43,43,43.0,1600,68800,EQNE
2007-12-24,40.005,40.005,40,40.0,1100,44000.5,EQNE
2007-12-25,39,40,37.05,37.05,1200,45340,EQNE
2007-12-27,39.99,39.99,39.99,39.99,300,11997,EQNE
2008-01-10,39,40,37.5,37.5,8000,315350,EQNE
2008-01-11,38,38,38,38.0,100,3800,EQNE
2008-01-15,33,37.001,33,36.0,2000,68320.1,EQNE
2008-01-22,37.996,37.996,37.996,37.996,4300,163382.8,EQNE
2008-01-23,31.001,31.001,25,25.0,28100,794760.2,EQNE
2008-01-24,26.1,28,26.1,28.0,1500,40867,EQNE
2008-01-29,28,28,28,28.0,400,11200,EQNE
2008-01-30,29,29,29,29.0,100,2900,EQNE
2008-01-31,27,27,27,27.0,100,2700,EQNE
2008-02-01,27,27.5,27,27.5,4800,129800,EQNE
2008-02-05,29,29,28,28.951,7700,219647.8,EQNE
2008-02-06,31.994,31.994,31.8,31.8,1100,35174,EQNE
2008-02-07,29,29,29,29.0,500,14500,EQNE
2008-02-15,29.001,37.999,28.205,36.0,13500,453719.4,EQNE
2008-02-18,36,36,32,34.95,1600,52895,EQNE
2008-02-19,31.11,33.999,31.11,32.0,4600,149785.5,EQNE
2008-02-20,32.999,35.5,31.201,32.0,1500,49309.6,EQNE
2008-02-21,34.9,34.9,22.1,32.0,4300,134317.1,EQNE
2008-02-22,30,32,30,30.15,5400,169700,EQNE
2008-02-26,31.999,33.85,31.95,33.85,3500,112169.8,EQNE
2008-02-27,30.5,30.5,30.02,30.02,4100,123494,EQNE
2008-02-28,30,30,28.601,28.601,3600,107720.2,EQNE
2008-02-29,30,30,30,30.0,100,3000,EQNE
2008-03-03,28,28,28,28.0,100,2800,EQNE
2008-03-05,27,28.5,27,28.5,1000,28350,EQNE
2008-03-06,29,31.5,29,31.5,3500,104830,EQNE
2008-03-07,30.1,30.9,30,30.9,2100,63380,EQNE
2008-03-13,30,30,30,30.0,1600,48000,EQNE
2008-03-14,31,31,31,31.0,200,6200,EQNE
2008-03-20,30.5,32,30.5,32.0,21800,676000,EQNE
2008-03-21,32,32,30.5,31.1,800,25000,EQNE
2008-03-25,37.999,37.999,37.999,37.999,200,7599.8,EQNE
2008-03-26,33,35,33,35.0,5000,174646.4,EQNE
2008-03-31,32,33.4,30.501,30.501,1700,54390.1,EQNE
2008-04-02,30,30,30,30.0,200,6000,EQNE
2008-04-04,28.251,28.251,28.251,28.251,700,19775.7,EQNE
2008-04-07,31,31,31,31.0,100,3100,EQNE
2008-04-08,31,31.5,30.001,30.001,2200,68150.5,EQNE
2008-04-09,31.25,31.25,31,31.0,2900,89950,EQNE
2008-04-10,31,31,30.651,30.651,1400,43285.2,EQNE
2008-04-11,31,31,31,31.0,100,3100,EQNE
2008-04-14,28,30.9,28,30.9,1800,51270,EQNE
2008-04-15,30.5,31,30.5,31.0,700,21549.9,EQNE
2008-04-16,33.3,33.3,33.299,33.299,200,6659.9,EQNE
2008-04-17,32,32,32,32.0,500,16000,EQNE
2008-04-18,33,33,33,33.0,6100,201300,EQNE
2008-04-21,29.1,29.1,29.1,29.1,100,2910,EQNE
2008-04-22,32,33,29.101,31.7,5400,174115.8,EQNE
2008-04-23,30.211,34.5,30.211,34.5,2600,87617.1,EQNE
2008-04-24,33.001,33.001,33.001,33.001,100,3300.1,EQNE
2008-04-25,33,34,33,33.0,6600,220800,EQNE
2008-04-28,30.103,33,30.103,33.0,3800,123935.2,EQNE
2008-04-29,30,30,30,30.0,18,540,SMAL
2008-05-05,30.5,30.5,30.5,30.5,100,3050,EQNE
2008-05-06,32,32.5,32,32.5,2900,93600,EQNE
2008-05-07,26,26,26,26.0,76,1976,SMAL
2008-05-13,34.999,34.999,34.999,34.999,200,6999.8,EQNE
2008-05-21,32.8,32.8,32.8,32.8,500,16400,EQNE
2008-05-22,32,32,32,32.0,300,9600,EQNE
2008-05-23,32.005,38,32.005,38.0,2600,90933,EQNE
2008-05-26,32.505,35.8,32.5,35.8,3800,124494,EQNE
2008-05-27,35.45,45,35,39.0,7400,280341.6,EQNE
2008-05-28,37.55,37.55,37.55,37.55,300,11265,EQNE
2008-05-30,44.3,50,33.01,36.6,23100,977238,EQNE
2008-06-02,33.1,46,33.1,43.467,20400,808576.8,EQNE
2008-06-04,50,50,45,47.999,40800,1922100,EQNE
2008-06-05,36.4,47.999,35.6,47.98,77500,3259212.4,EQNE
2008-06-06,36.14,36.14,36.14,36.14,6000,216840,EQNE
2008-06-10,37.009,46.998,37.009,46.998,19800,831669.3,EQNE
2008-06-16,35,50,35,47.0,2500,112049,EQNE
2008-06-17,36.601,46.999,36.601,46.999,5800,246306.8,EQNE
2008-06-18,40,40,40,40.0,100,4000,EQNE
2008-06-19,44,44,40,40.0,200,8400,EQNE
2008-06-20,37.081,44.999,37,37.0,13600,555743.9,EQNE
2008-06-23,35.7,38.999,34.145,36.5,19900,727107.6,EQNE
2008-06-24,36.501,39.99,36,36.0,19100,721942.8,EQNE
2008-06-25,37,37,35.2,36.997,9300,332543.6,EQNE
2008-06-26,36.991,37.997,34.999,37.0,15100,545191.5,EQNE
2008-06-27,37,37,37,37.0,3000,111000,EQNE
2008-06-30,35.901,35.901,35.901,35.901,52,1866.85,SMAL
2008-07-04,35.707,35.707,35.707,35.707,100,3570.7,EQNE
