date,open,high,low,close,volume,value,board
2013-06-20,292.6,300,244.55,278.23,4180,1209056.36,EQNL
2013-06-21,277.6,279.9,260.5,262.38,4930,1340776.94,EQNL
2013-06-24,265.86,265.86,254,254.5,6658,1708224.58,EQNL
2013-06-25,251.19,255.94,244.95,252.17,5569,1400107.41,EQNL
2013-06-26,247.32,248.51,236.43,237.07,11800,2862931.59,EQNL
2013-06-27,238,238,222.22,228.6,13385,3078317,EQNL
2013-06-28,228.08,231.26,220,224.9,19739,4503759.15,EQNL
2013-07-01,227.02,242.84,227.02,240.47,20694,4888235.79,EQNL
2013-07-02,240.61,256.93,240.61,249.34,17474,4405039.42,EQNL
2013-07-03,248.17,250,235.06,244.71,21090,5091115.67,EQNL
2013-07-04,235.3,252.93,235.3,251.58,5430,1357848.67,EQNL
2013-07-05,251,253.16,237.5,242.5,8635,2080795.64,EQNL
2013-07-08,238,241.8,230.09,236.0,36135,8424569.44,EQNL
2013-07-09,237.01,242.39,234.73,238.38,48878,11661795.5,EQNL
2013-07-10,238.86,244.1,234.22,235.0,17799,4244473.56,EQNL
2013-07-11,237.76,260,236.73,256.0,63084,15903731.36,EQNL
2013-07-12,257.81,258.2,250.26,251.62,6996,1780477.13,EQNL
2013-07-15,250.01,254.76,249.37,253.85,5710,1437280.3,EQNL
2013-07-16,254.11,265.98,253.83,265.04,5143,1338421.16,EQNL
2013-07-17,270.48,284.09,258.02,283.81,15210,4192428.9,EQNL
2013-07-18,281.31,289.96,272.09,283.89,24336,6812156.57,EQNL
2013-07-19,287.5,303.45,281.64,303.45,8319,2411199,EQNL
2013-07-22,300.89,313.62,297,313.62,7676,2367091.45,EQNL
2013-07-23,311.66,325,310,325.0,28964,9260108.23,EQNL
2013-07-24,322.06,322.06,314.04,315.32,14513,4639347.42,EQNL
2013-07-25,311,313.46,300.99,311.91,2866,886576.22,EQNL
2013-07-26,311.92,323.85,311.92,317.15,12575,4003808.64,EQNL
2013-07-29,317.93,321.89,312.16,320.15,87491,27661565.38,EQNL
2013-07-30,318.81,322,314.92,321.2,16464,5245198.25,EQNL
2013-07-31,325.03,325.03,320.68,322.55,7930,2557852.58,EQNL
2013-08-01,320.73,345.66,320.73,339.93,8391,2791812.59,EQNL
2013-08-02,333,338.9,321.65,336.09,2121,704018.79,EQNL
2013-08-05,335.17,335.32,329.89,333.5,2595,865365.96,EQNL
2013-08-06,335,335,321.2,321.5,1228,409294.77,EQBR
2013-08-07,322,332.39,317.02,329.89,6014,1984615.37,EQBR
2013-08-08,333,359.99,333,355.75,4853,1695325.71,EQBR
2013-08-09,355.55,367.99,352.27,367.06,3861,1384896.34,EQBR
2013-08-12,476,476,365.98,375.0,4041,1505760.06,EQBR
2013-08-13,379.99,387.92,373.2,383.05,3805,1454101.6,EQBR
2013-08-14,387.52,387.52,377.46,382.19,2806,1065897.62,EQBR
2013-08-15,296.94,383,285,370.0,2791,1032247.66,EQBR
2013-08-16,380,401.99,371.78,397.89,14294,5489769.35,EQBR
2013-08-19,401.3,402.91,394,399.41,12192,4865370.11,EQBR
2013-08-20,404.76,410.37,391,408.89,4880,1968134.18,EQBR
2013-08-21,405,411.99,349,409.88,6528,2631344.64,EQBR
