date,open,high,low,close,volume,value,board
2021-12-17,770,1238.2,700,994.8,461323,417228088.4,TQBR
2021-12-20,1000,1043,960,980.0,167540,168556342.4,TQBR
2021-12-21,999.4,1000,920,922.4,65707,62052819.6,TQBR
2021-12-22,945,945,828,915.0,168904,147415158,TQBR
2021-12-23,916,944,870.2,904.0,26867,24075582,TQBR
2021-12-24,910.2,928.8,884,896.2,18220,16387951.8,TQBR
2021-12-27,917.6,917.6,870,875.8,29883,26194398.4,TQBR
2021-12-28,887,898,872,876.0,19887,17407099.2,TQBR
2021-12-29,876,889.6,851,859.4,17153,14760329.8,TQBR
2021-12-30,865,868.8,835.2,840.0,30692,25951755.2,TQBR
2022-01-03,862.8,868.8,845,849.4,21000,17883791.6,TQBR
2022-01-04,859.2,859.4,837.2,844.0,24930,21029879,TQBR
2022-01-05,848.2,848.2,835.2,838.0,11910,9999754.8,TQBR
2022-01-06,840,844.6,820,830.0,14241,11895072.2,TQBR
2022-01-10,840,847,772,784.0,84506,66555233,TQBR
2022-01-11,783.8,795,770,779.6,31182,24281570.6,TQBR
2022-01-12,784.8,803,769.6,800.0,38671,30400888.8,TQBR
2022-01-13,805,809,775,775.4,21211,16762897,TQBR
2022-01-14,800,810.6,770,788.8,22570,17723397.4,TQBR
2022-01-17,804.6,809.8,770,781.8,14199,11092333.2,TQBR
2022-01-18,799.8,799.8,730,743.0,19211,14448074.8,TQBR
2022-01-19,742.6,777,735.4,754.8,13733,10322129.8,TQBR
2022-01-20,762.4,779.8,745,757.0,8355,6311669,TQBR
2022-01-21,757,757,730,731.4,8274,6090587.6,TQBR
2022-01-24,743,765.6,605,643.0,71634,46514740,TQBR
2022-01-25,660.8,686.4,603.8,616.0,36933,22975533,TQBR
2022-01-26,625,635,611,618.0,28440,17566565.4,TQBR
2022-01-27,618.4,760,618,700.0,46432,31734046.6,TQBR
2022-01-28,735,800,699,728.0,51077,38443603.6,TQBR
2022-01-31,730,770,704,714.0,15926,11603901.6,TQBR
2022-02-01,723,740,690,700.2,17394,12306640.2,TQBR
2022-02-02,700.2,718.8,666,684.6,10336,7096438.4,TQBR
2022-02-03,686,691.8,640.8,667.8,19691,12996918.4,TQBR
2022-02-04,685,696,667.8,684.6,8860,6070556.2,TQBR
2022-02-07,698.8,705.4,680,688.2,5209,3584806.8,TQBR
2022-02-08,680.2,698.8,660,698.8,6291,4349340.6,TQBR
2022-02-09,704,729.6,692.4,706.0,10975,7779575.2,TQBR
2022-02-10,711.8,711.8,690,700.0,4557,3191079,TQBR
2022-02-11,704.6,709,680,689.8,5042,3472468.2,TQBR
2022-02-14,680.8,705.8,655.2,685.6,8243,5525210.4,TQBR
2022-02-15,706,711,680.2,700.0,5895,4120210.2,TQBR
2022-02-16,711,712.4,698.2,709.8,9144,6449761,TQBR
2022-02-17,671.6,704.8,671.6,688.8,12135,8446105.2,TQBR
2022-02-18,674.2,720,657,680.0,6584,4492390.4,TQBR
2022-02-21,685.8,718,605,619.2,22385,14232100.2,TQBR
2022-02-22,557.4,630,550,620.0,24910,14392212.8,TQBR
2022-02-24,599,599,405,477.4,25054,12096807.6,TQBR
2022-02-25,481,599.8,481,560.4,19116,10622902.4,TQBR
2022-03-28,619.4,783.6,619.4,783.6,134810,105217684.2,TQBR
2022-03-29,862,1095.8,862,1095.8,327041,344857680.8,TQBR
2022-03-30,1125,1200,840,970.6,241944,242682496,TQBR
2022-03-31,1060,1060,940,996.0,123282,122681073,TQBR
2022-04-01,998,1032.8,980,1002.2,64348,64470776.6,TQBR
2022-04-04,1100,1175,1012.2,1175.0,303588,336667599,TQBR
2022-04-05,1199.6,1350,1062.2,1187.0,1278485,1610678986.6,TQBR
2022-04-06,1250,1250,1068.4,1104.0,407701,462260834.8,TQBR
2022-04-07,1103,1103,1001.4,1063.2,270291,283147198,TQBR
2022-04-08,1080,1096,1031,1056.6,81825,87365867.4,TQBR
2022-04-11,1059.4,1074.8,1010,1025.0,91583,94571473.2,TQBR
2022-04-12,1035,1044,925,955.0,164592,158299230.4,TQBR
2022-04-13,950,1037.6,919,995.0,295063,292312096.8,TQBR
2022-04-14,990,1020,932.8,958.0,63784,61555802.4,TQBR
2022-04-15,958,969,935,944.0,52987,50229653,TQBR
2022-04-18,944,988,944,947.4,40779,39043031.4,TQBR
2022-04-19,948,958.8,900,925.2,55717,51285832.2,TQBR
2022-04-20,940,940.8,892.2,910.0,73639,66828751.6,TQBR
2022-04-21,910.2,917,851.8,858.4,71410,62589674.4,TQBR
