date,open,high,low,close,volume,value,board
2012-10-25,1.0,1.15,1.0,1.072,641000,691850.0,EQNE
2012-10-26,1.1235,1.1235,1.071,1.101,72000,79233.2,EQNE
2012-10-30,1.0711,1.1,1.0,1.1,365000,368546.3,EQNE
2012-10-31,1.0301,1.0301,1.03,1.03,2000,2060.1,EQNE
2012-11-02,1.035,1.049,1.03,1.049,98000,101857.1,EQNE
2012-11-06,1.03,1.049,1.03,1.045,17000,17649.0,EQNE
2012-11-08,0.627,1.0301,0.627,1.0301,2000,1657.1,EQNE
2012-11-09,1.0,1.031,0.6181,1.031,3000,2649.1,EQNE
2012-11-12,1.0301,1.048,1.03,1.048,9000,9324.3,EQNE
2012-11-14,0.7,1.0,0.7,1.0,5,4.4,SMAL
2012-11-21,1.03,1.048,1.03,1.048,10000,10390.0,EQNE
2012-11-27,1.05,1.05,1.05,1.05,10000,10500.0,EQNE
2012-12-25,1.0451,1.1,1.0451,1.085,113000,120052.0,EQNE
2012-12-26,1.0953,1.0953,1.0953,1.0953,36000,39430.8,EQNE
2012-12-27,1.0975,1.114,1.0839,1.112,184000,202562.9,EQNE
2012-12-28,1.112,1.134,1.112,1.1247,447000,502447.6,EQNE
2013-01-09,1.1229,1.123,1.097,1.1097,171000,189579.1,EQNE
2013-01-10,1.0917,1.1136,1.075,1.1136,181000,197817.6,EQNE
2013-01-11,1.11,1.11,1.11,1.11,11000,12210.0,EQNE
2013-01-15,1.0958,1.0965,1.0958,1.0965,51000,55894.9,EQNE
2013-01-16,1.1173,1.12,1.1173,1.12,58000,64895.5,EQNE
2013-01-17,1.1265,1.1265,1.1265,1.1265,38000,42807.0,EQNE
2013-01-18,1.1199,1.1367,1.1199,1.1355,268000,303365.4,EQNE
2013-01-21,1.1325,1.1325,1.116,1.131,105000,118170.0,EQNE
2013-01-22,1.1325,1.1325,1.1325,1.1325,5000,5662.5,EQNE
2013-01-23,1.1175,1.1195,1.075,1.1195,100000,110535.0,EQNE
2013-01-25,1.124,1.124,1.124,1.124,20000,22480.0,EQNE
2013-01-28,1.12,1.129,1.12,1.129,110000,123685.0,EQNE
2013-01-29,1.1277,1.1277,1.1277,1.1277,25000,28192.5,EQNE
2013-01-31,1.1258,1.1258,1.1258,1.1258,65000,73177.0,EQNE
2013-02-04,1.1235,1.1298,1.1235,1.1298,35000,39385.5,EQNE
2013-02-05,1.1125,1.1125,1.1125,1.1125,13000,14462.5,EQNE
2013-02-06,1.1235,1.1235,1.1235,1.1235,23000,25840.5,EQNE
2013-02-08,1.1189,1.13,1.1189,1.13,202000,227675.4,EQNE
2013-03-22,1.09,1.119,1.09,1.119,55000,60762.0,EQNE
2013-03-25,1.121,1.124,1.121,1.124,90000,101025.0,EQNE
2013-04-22,1.1101,1.114,1.0988,1.114,144000,159059.2,EQNE
2013-04-25,1.0731,1.0731,1.0731,1.0731,70000,75117.0,EQNE
2013-04-29,1.1025,1.1025,1.0854,1.0854,76000,83772.9,EQNE
2013-05-15,1.0,1.0,1.0,1.0,75000,75000.0,EQNE
2013-05-16,1.0,1.0,1.0,1.0,75000,75000.0,EQNE
2013-05-21,0.9627,0.9627,0.9627,0.9627,78000,75090.6,EQNE
2013-05-23,0.84,0.879,0.84,0.87,78000,65619.0,EQNE
2013-05-30,0.75,0.75,0.7,0.7,9000,6350.0,EQNE
2013-06-26,0.431,0.6498,0.43,0.6498,5000,2540.8,EQNE
2013-07-04,0.4001,0.501,0.4001,0.501,5000,2303.2,EQNE
2013-07-09,0.4802,0.4802,0.4802,0.4802,2000,960.4,EQNE
2013-07-10,0.4016,0.4016,0.4016,0.4016,1000,401.6,EQNE
2013-07-12,0.4799,0.4865,0.4799,0.4865,3000,1452.9,EQNE
2013-08-28,0.3,0.3,0.3,0.3,1000,300.0,EQNE
2013-08-30,0.42,0.42,0.42,0.42,2000,840.0,EQNE
2013-09-03,0.6239,0.6239,0.6239,0.6239,35000,21836.5,TQNE
2013-09-11,0.41,0.6697,0.3744,0.41,42000,16103.0,TQNE
2013-09-12,0.397,0.397,0.39,0.393,35000,13706.3,TQNE
2013-09-16,0.5009,0.5009,0.5009,0.5009,1000,500.9,TQNE
2013-10-01,0.501,0.517,0.501,0.517,10000,5138.0,TQNE
2013-10-31,0.3105,0.312,0.3105,0.312,2000,622.5,TQNE
2013-11-05,0.375,0.375,0.33,0.3303,159000,54316.5,TQNE
2013-11-06,0.3211,0.3211,0.32,0.32,44000,14082.2,TQNE
2013-11-12,0.2511,0.29,0.2156,0.29,10000,2575.5,TQNE
2013-11-13,0.3499,0.3499,0.3499,0.3499,1000,349.9,TQNE
2013-11-18,0.4429,0.4429,0.4429,0.4429,1000,442.9,TQNE
2013-11-20,0.3,0.3,0.3,0.3,2000,600.0,TQNE
2013-12-06,0.2211,0.2705,0.2211,0.27,132000,31784.6,TQNE
2013-12-09,0.25,0.265,0.25,0.251,21000,5275.0,TQNE
2013-12-10,0.25,0.25,0.217,0.217,279000,62218.6,TQNE
2013-12-11,0.2099,0.2099,0.2,0.2,73000,15203.9,TQNE
2013-12-12,0.2027,0.2027,0.17,0.1999,4000,752.6,TQNE
2013-12-13,0.1901,0.1901,0.185,0.185,31000,5839.0,TQNE
2013-12-16,0.17,0.1777,0.1556,0.1558,70000,11331.9,TQNE
2013-12-17,0.17,0.2028,0.16,0.2028,8000,1388.6,TQNE
2013-12-18,0.25,0.25,0.25,0.25,1000,250.0,TQNE
2013-12-19,0.25,0.25,0.25,0.25,20000,5000.0,TQNE
2013-12-23,0.23,0.23,0.205,0.205,4000,870.0,TQNE
2013-12-24,0.2,0.2,0.2,0.2,9000,1800.0,TQNE
2013-12-26,0.1899,0.2699,0.16,0.2699,15000,2635.6,TQNE
2013-12-27,0.211,0.2999,0.201,0.22,224000,47190.1,TQNE
2013-12-30,0.22,0.298,0.17,0.298,547000,101745.3,TQNE
2014-01-08,0.2011,0.2011,0.2002,0.2011,3000,601.5,TQNE
2014-01-09,0.2012,0.2012,0.19,0.1956,57000,11221.3,TQNE
2014-01-10,0.21,0.21,0.21,0.21,44000,9240.0,TQNE
2014-01-13,0.216,0.216,0.216,0.216,3000,648.0,TQNE
2014-01-16,0.2001,0.2001,0.2,0.2,40000,8000.2,TQNE
2014-01-21,0.2222,0.2222,0.2222,0.2222,1000,222.2,TQNE
2014-01-24,0.23,0.23,0.23,0.23,1000,230.0,TQNE
2014-01-28,0.23,0.23,0.23,0.23,11000,2530.0,TQNE
2014-01-29,0.1902,0.1902,0.1902,0.1902,1000,190.2,TQNE
2014-01-30,0.2001,0.2001,0.2001,0.2001,1000,200.1,TQNE
2014-02-03,0.1905,0.1905,0.1905,0.1905,3000,571.5,TQNE
2014-02-11,0.22,0.22,0.22,0.22,1000,220.0,TQNE
2014-02-26,0.2219,0.2953,0.1875,0.2953,294000,78252.1,TQNE
2014-02-27,0.2201,0.275,0.2201,0.2555,290000,70834.0,TQNE
2014-02-28,0.2111,0.22,0.1926,0.2155,192000,39091.2,TQNE
2014-03-03,0.1901,0.203,0.1782,0.203,90000,16446.9,TQNE
2014-03-04,0.1701,0.1991,0.1401,0.1991,89000,14452.9,TQNE
2014-03-05,0.1991,0.2053,0.1991,0.2053,49000,9929.9,TQNE
2014-03-14,0.2001,0.2001,0.2001,0.2001,1000,200.1,TQNE
2014-03-21,0.2001,0.2001,0.2001,0.2001,1000,200.1,TQNE
2014-03-27,0.2011,0.2011,0.2011,0.2011,1000,201.1,TQNE
2014-03-31,0.2011,0.2011,0.2,0.2,2000,401.1,TQNE
2014-04-03,0.2022,0.2022,0.2022,0.2022,2000,404.4,TQNE
2014-04-08,0.2375,0.2375,0.2,0.2,135000,29936.0,TQNE
2014-04-09,0.2044,0.2199,0.2044,0.2199,32000,6793.7,TQNE
2014-04-10,0.221,0.2222,0.221,0.2222,44000,9725.4,TQNE
2014-04-18,0.1701,0.1701,0.1701,0.1701,1000,170.1,TQNE
2014-04-22,0.2233,0.2233,0.2233,0.2233,1000,223.3,TQNE
2014-04-28,0.2,0.2,0.2,0.2,37000,7400.0,TQNE
2014-05-05,0.19,0.19,0.19,0.19,6000,1140.0,TQNE
2014-05-12,0.19,0.19,0.19,0.19,6000,1140.0,TQNE
2014-05-23,0.224,0.2867,0.224,0.2867,156000,42165.6,TQNE
2014-05-26,0.34,0.4,0.27,0.3,127000,41268.7,TQNE
2014-05-27,0.2401,0.275,0.2001,0.275,136000,32152.4,TQNE
2014-05-28,0.2301,0.2699,0.2101,0.2549,146000,33683.7,TQNE
2014-06-03,0.2589,0.259,0.2589,0.259,20000,5179.5,TQNE
2014-06-06,0.225,0.225,0.225,0.225,50000,11250.0,TQNE
2014-06-11,0.2,0.2,0.2,0.2,40000,8000.0,TQBR
2014-06-18,0.2,0.2,0.2,0.2,50000,10000.0,TQBR
2014-06-19,0.1901,0.2399,0.19,0.2399,34000,6511.1,TQBR
2014-06-26,0.2,0.2,0.2,0.2,50000,10000.0,TQBR
2014-06-30,0.205,0.219,0.205,0.219,12000,2581.0,TQBR
2014-07-10,0.215,0.215,0.215,0.215,29000,6235.0,TQBR
2014-07-11,0.2,0.2049,0.1912,0.2,162000,32426.1,TQBR
2014-07-16,0.203,0.2344,0.203,0.234,161000,35930.5,TQBR
2014-07-22,0.222,0.228,0.222,0.228,14000,3150.0,TQBR
2014-07-30,0.19,0.224,0.188,0.224,11000,2120.0,TQBR
2014-08-15,0.219,0.219,0.219,0.219,25000,5475.0,TQBR
2014-08-25,0.2,0.2,0.2,0.2,1000,200.0,TQBR
2014-08-27,0.2005,0.22,0.2005,0.22,3000,640.5,TQBR
2014-09-03,0.221,0.225,0.22,0.22,12000,2666.0,TQBR
2014-09-10,0.2249,0.2259,0.2249,0.2259,14000,3161.6,TQBR
2014-09-11,0.2,0.22,0.198,0.22,6000,1218.0,TQBR
2014-09-12,0.225,0.228,0.225,0.228,6000,1359.0,TQBR
2014-09-18,0.228,0.228,0.228,0.228,2000,456.0,TQBR
2014-10-01,0.194,0.194,0.194,0.194,2000,388.0,TQBR
2014-10-09,0.229,0.238,0.2,0.2,73000,15370.0,TQBR
2014-10-15,0.238,0.241,0.238,0.241,9000,2154.0,TQBR
2014-10-16,0.199,0.199,0.196,0.196,5000,990.0,TQBR
2014-10-21,0.201,0.201,0.201,0.201,1000,201.0,TQBR
2014-10-27,0.198,0.198,0.192,0.192,33000,6438.0,TQBR
2014-10-28,0.196,0.211,0.196,0.211,4000,799.0,TQBR
2014-10-30,0.201,0.209,0.201,0.209,2000,410.0,TQBR
2014-10-31,0.21,0.21,0.21,0.21,1000,210.0,TQBR
2014-11-05,0.196,0.21,0.196,0.21,8000,1596.0,TQBR
2014-11-07,0.196,0.197,0.194,0.197,180000,35434.0,TQBR
2014-11-10,0.196,0.196,0.19,0.19,50000,9557.0,TQBR
2014-11-18,0.2,0.2,0.2,0.2,8000,1600.0,TQBR
2014-11-19,0.19,0.19,0.19,0.19,1000,190.0,TQBR
2014-11-21,0.2,0.2,0.2,0.2,1000,200.0,TQBR
2014-11-26,0.201,0.215,0.186,0.186,60000,11994.0,TQBR
2014-11-28,0.2,0.2,0.2,0.2,1000,200.0,TQBR
2014-12-02,0.186,0.186,0.186,0.186,1000,186.0,TQBR
2014-12-05,0.2,0.201,0.2,0.201,3000,601.0,TQBR
2014-12-16,0.191,0.191,0.191,0.191,2000,382.0,TQBR
2014-12-18,0.199,0.199,0.199,0.199,2000,398.0,TQBR
2014-12-24,0.201,0.26,0.201,0.255,127000,27504.0,TQBR
2014-12-25,0.22,0.22,0.22,0.22,5000,1100.0,TQBR
2014-12-26,0.24,0.26,0.24,0.26,11000,2790.0,TQBR
2015-01-09,0.21,0.24,0.21,0.238,6000,1363.0,TQBR
2015-01-13,0.208,0.208,0.208,0.208,1000,208.0,TQBR
2015-01-15,0.211,0.211,0.211,0.211,1000,211.0,TQBR
2015-01-20,0.22,0.22,0.22,0.22,1000,220.0,TQBR
2015-01-21,0.225,0.225,0.225,0.225,2000,450.0,TQBR
2015-01-23,0.23,0.23,0.23,0.23,1000,230.0,TQBR
2015-01-26,0.24,0.24,0.239,0.239,2000,479.0,TQBR
2015-01-29,0.238,0.321,0.238,0.321,212000,54059.0,TQBR
2015-01-30,0.339,0.339,0.221,0.27,60000,15613.0,TQBR
2015-02-03,0.23,0.24,0.23,0.23,60000,13815.0,TQBR
2015-02-10,0.221,0.274,0.21,0.274,7000,1605.0,TQBR
2015-02-12,0.21,0.23,0.21,0.23,2000,440.0,TQBR
2015-02-13,0.25,0.25,0.25,0.25,2000,500.0,TQBR
2015-02-16,0.299,0.349,0.289,0.303,69000,20710.0,TQBR
2015-02-17,0.341,0.42,0.258,0.35,46000,15015.0,TQBR
2015-02-18,0.315,0.385,0.315,0.384,9000,3043.0,TQBR
2015-02-19,0.335,0.369,0.3,0.369,11000,3653.0,TQBR
