date,open,high,low,close,volume,value,board
2010-04-29,184.8,184.8,119.0,120.0,31308,3817234.5,EQNE
2010-04-30,127.0,130.0,110.01,114.49,45756,5433773.11,EQNE
2010-05-04,116.16,119.4,110.21,116.3,15694,1797654.55,EQNE
2010-05-05,115.92,118.5,112.0,116.99,9474,1088614.59,EQNE
2010-05-06,117.0,119.97,114.0,116.0,16366,1905720.09,EQNE
2010-05-07,129.5,129.5,100.0,110.99,4223,468421.52,EQNE
2010-05-11,120.78,120.78,100.0,105.21,2615,276045.19,EQNE
2010-05-12,107.0,111.41,103.5,107.98,24853,2642262.61,EQNE
2010-05-13,108.0,108.65,103.31,108.5,5950,641922.62,EQNE
2010-05-14,109.73,120.0,108.0,120.0,17065,1881084.2,EQNE
2010-05-17,112.01,130.0,108.5,118.0,18622,2137680.05,EQNE
2010-05-18,117.29,123.0,114.98,117.47,5999,705171.75,EQNE
2010-05-19,117.0,118.9,110.02,114.52,3468,399653.58,EQNE
2010-05-20,113.99,115.0,111.25,114.99,2125,236699.8,EQNE
2010-05-21,115.0,115.0,107.0,111.96,7741,832852.7,EQNE
2010-05-24,113.03,113.03,107.02,112.21,1169,131190.56,EQNE
2010-05-25,111.0,111.0,105.03,106.0,6567,696158.31,EQNE
2010-05-26,106.0,111.0,106.0,110.85,253,27872.16,EQNE
2010-05-27,111.0,111.0,105.0,105.48,22603,2397027.14,EQNE
2010-05-28,105.5,105.5,103.0,105.0,12811,1342047.23,EQNE
2010-05-31,104.97,107.0,104.95,107.0,6205,655716.64,EQNE
2010-06-01,105.01,107.0,105.0,107.0,7412,789313.28,EQNE
2010-06-02,106.75,114.99,106.0,107.5,84445,9202141.49,EQNE
2010-06-03,106.01,129.99,106.01,108.94,28747,3142959.31,EQNE
2010-06-04,105.3,108.0,105.0,107.79,9259,976925.92,EQNE
2010-06-07,104.0,108.73,101.01,108.2,6514,690665.16,EQNE
2010-06-08,107.5,108.0,101.9,105.29,6935,732927.33,EQNE
2010-06-09,105.88,107.2,104.0,106.98,2429,254650.91,EQNE
2010-06-10,109.0,109.0,103.0,104.5,20308,2105867.59,EQNE
2010-06-11,104.5,104.5,99.62,101.0,23314,2365223.19,EQNE
2010-06-15,101.61,102.25,100.0,100.0,30104,3037764.09,EQNE
2010-06-16,99.6,100.75,98.0,99.5,46591,4653990.0,EQNE
2010-06-17,98.02,98.89,97.0,98.89,15320,1492413.53,EQNE
2010-06-18,99.18,99.9,95.0,98.5,19415,1917824.14,EQNE
2010-06-21,99.04,99.25,98.0,98.75,32494,3202222.27,EQNE
2010-06-22,98.12,98.95,95.0,97.35,15973,1571162.09,EQNE
2010-06-23,97.35,97.35,95.0,97.1,7694,734335.86,EQNE
2010-06-24,97.05,97.25,94.1,95.99,101,9710.57,EQNE
2010-06-25,96.0,103.0,94.72,102.23,227892,22939510.66,EQNE
2010-06-28,101.25,102.97,100.0,101.5,5450,552475.18,EQNE
2010-06-29,101.5,102.0,101.5,101.5,48462,4928592.1,EQNE
2010-06-30,101.5,102.5,99.0,101.0,187463,18933529.42,EQNE
2010-07-01,101.0,101.0,91.0,101.0,53,5210.39,EQNE
2010-07-02,101.29,103.32,99.2,102.48,4089,418218.75,EQNE
2010-07-05,105.44,105.44,100.0,100.99,452,45455.56,EQNE
2010-07-06,99.19,105.0,99.0,104.5,20157,2064697.25,EQNE
2010-07-07,101.17,107.0,101.17,104.69,68,7165.5,EQNE
2010-07-08,104.99,110.0,104.99,107.25,1024,110378.84,EQNE
2010-07-09,109.41,115.0,109.41,111.99,1509,167916.52,EQNE
2010-07-12,109.27,115.0,105.25,112.7,1180,131448.02,EQNE
2010-07-13,112.98,114.94,110.94,114.0,3155,353533.35,EQNE
2010-07-14,115.0,115.0,110.14,113.23,243,27141.26,EQNE
2010-07-15,113.26,114.8,107.53,114.21,15609,1753367.74,EQNE
2010-07-16,114.44,114.44,112.87,114.17,193,21820.65,EQNE
2010-07-19,117.0,117.0,110.02,113.0,5837,665118.47,EQNE
2010-07-20,113.02,113.02,113.0,113.0,3,339.04,EQNE
2010-07-21,114.45,116.29,113.0,116.29,264,30222.31,EQNE
2010-07-22,114.0,116.29,111.47,115.0,33,3780.75,EQNE
2010-07-23,113.71,115.96,113.7,115.0,27272,3131861.47,EQNE
2010-07-26,115.0,118.0,113.0,113.04,20158,2340109.53,EQNE
2010-07-27,116.0,118.0,113.2,117.99,20676,2401345.47,EQNE
2010-07-28,116.01,117.95,116.0,117.95,209,24250.06,EQNE
2010-07-29,117.99,133.55,115.14,116.67,6400,759454.34,EQNE
2010-07-30,118.06,119.48,116.13,118.7,2674,318208.87,EQNE
2010-08-02,116.4,120.5,116.4,118.66,36251,4340058.63,EQNE
2010-08-03,117.54,120.5,117.54,119.99,4966,597159.58,EQNE
2010-08-04,119.99,120.0,115.21,117.98,28807,3420782.64,EQNE
2010-08-05,117.13,117.98,115.97,117.37,31,3634.52,EQNE
2010-08-06,117.5,118.0,115.97,118.0,6488,763298.09,EQNE
2010-08-09,118.0,118.97,116.04,118.5,7476,881598.48,EQNE
2010-08-10,118.75,118.75,105.28,116.0,18372,2117703.81,EQNE
2010-08-11,114.82,115.5,114.8,115.5,4643,533017.54,EQNE
2010-08-12,115.97,117.0,114.8,114.8,4992,573095.72,EQNE
2010-08-13,113.71,114.49,113.0,113.0,6918,783951.63,EQNE
2010-08-16,114.78,114.8,112.7,112.7,11,1260.62,EQNE
2010-08-17,113.0,114.8,112.0,113.0,110985,12511357.67,EQNE
2010-08-18,113.69,114.95,111.0,113.0,4563,515343.6,EQNE
2010-08-19,113.02,113.02,112.0,112.99,2726,307055.49,EQNE
2010-08-20,111.45,111.45,102.0,111.0,19580,2053858.57,EQNE
2010-08-23,110.8,111.97,109.01,111.97,53,5782.28,EQNE
2010-08-24,112.5,114.5,112.5,114.5,27,3048.83,EQNE
2010-08-25,112.56,112.56,110.0,112.17,1026,112874.13,EQNE
2010-08-26,110.35,111.43,110.35,111.43,4,442.48,EQNE
2010-08-27,112.47,114.7,108.06,109.95,13771,1500186.57,EQNE
2010-08-30,111.42,111.42,107.04,109.71,38,4150.0,EQNE
2010-08-31,109.69,109.7,106.99,109.7,3506,382136.03,EQNE
2010-09-01,108.0,108.0,103.0,107.0,1215,128872.17,EQNE
2010-09-02,106.01,109.8,104.99,105.0,151381,16045267.86,EQNE
2010-09-03,106.0,108.0,102.41,104.5,8887,936550.16,EQNE
2010-09-06,105.88,105.88,103.5,104.0,12906,1342661.12,EQNE
2010-09-07,104.5,104.5,104.0,104.0,17,1774.0,EQNE
2010-09-08,103.54,103.54,96.14,97.67,178668,17566447.17,EQNE
