date,open,high,low,close,volume,value,board
2025-02-17,216.34,216.34,210.1,216.34,6354581,1371915046.66,TQBR
2025-02-18,211.4,236,210,210.5,10164860,2219377456.62,TQBR
2025-02-19,208.12,225,207.52,221.92,6296243,1367332046.46,TQBR
2025-02-20,222.02,227.5,217.06,219.52,3342203,743445705.6,TQBR
2025-02-21,221.52,221.52,215.12,219.02,1649652,360674962.38,TQBR
2025-02-24,220,233.68,220,233.0,3515021,800501563.7,TQBR
2025-02-25,234.5,234.5,230,230.2,1679330,388576873.88,TQBR
2025-02-26,233.1,244.5,227.04,239.96,7396660,1763552836.84,TQBR
2025-02-27,238.9,242,234.12,235.4,2131381,505561828.36,TQBR
2025-02-28,235.4,237.4,222.08,229.8,1842809,418779779.98,TQBR
2025-03-03,229.84,231.36,215.1,218.8,2718443,601992890.44,TQBR
2025-03-04,225.2,230.4,221.16,227.12,2314782,524615076.06,TQBR
2025-03-05,227.12,234.3,224.86,233.32,988327,226684257.54,TQBR
2025-03-06,233.4,239.92,227.5,230.78,818906,189532268.88,TQBR
2025-03-07,231.82,235.84,225.4,226.0,1014216,234373347.28,TQBR
2025-03-10,229.86,232.2,226.2,228.0,1041182,239582849.16,TQBR
2025-03-11,228,234,227,233.0,999445,231297464.14,TQBR
2025-03-12,232,235,230.34,233.46,842806,196407020.56,TQBR
2025-03-13,233.02,233.02,223.44,228.5,2089736,473526427.54,TQBR
2025-03-14,229.9,233.86,228.26,233.2,671311,155459482.14,TQBR
2025-03-17,235,237.9,232,234.9,1534187,361112378.6,TQBR
2025-03-18,234,236.58,227.52,231.72,1582327,367565935.52,TQBR
2025-03-19,231.72,232.72,227.34,231.6,1023666,235567716.84,TQBR
2025-03-20,231.8,237.7,228.4,229.92,1222578,281440996.22,TQBR
2025-03-21,231.72,231.72,226.12,226.82,803239,183114398.9,TQBR
2025-03-24,226.96,227.88,220.46,222.38,940643,211128971.9,TQBR
2025-03-25,223.24,228.9,219,226.18,1291788,289088392.54,TQBR
2025-03-26,230.5,231.5,180.1,182.0,94856734,18127768401.7,TQBR
2025-03-27,175,177.78,156.32,166.1,84823386,14237811716.4,TQBR
2025-03-28,162,169.7,150,151.98,35343312,5624949103.66,TQBR
2025-03-31,153.1,158.24,140.3,147.02,42501755,6209586386.24,TQBR
2025-04-01,149,162.84,147.6,156.34,50310856,7830267782.34,TQBR
2025-04-02,152.74,160.44,152.56,155.02,14894983,2337822098.5,TQBR
2025-04-03,158,158.6,147.02,148.06,7793175,1192806599.16,TQBR
2025-04-04,150,151.9,140.2,141.5,9308778,1346138032.14,TQBR
2025-04-07,130,137.24,124.88,130.0,12263687,1614768267.86,TQBR
2025-04-08,134,136.94,130.72,130.84,7610470,1020200045.64,TQBR
2025-04-09,130.84,132.2,119.1,122.84,12037071,1495057701.76,TQBR
2025-04-10,134.9,135,125.24,125.88,9582686,1228272677.4,TQBR
2025-04-11,126,133.48,125.5,128.14,7067223,914157716.86,TQBR
2025-04-14,128.14,133.98,127,128.28,6089387,789844926.74,TQBR
2025-04-15,128.28,129.98,125.62,127.94,2775642,353714483.08,TQBR
2025-04-16,127.92,128.18,125.54,126.94,3473101,439660542.56,TQBR
2025-04-17,127.4,133.6,126.16,130.5,14157822,1847683514.3,TQBR
2025-04-18,129,130.44,126.88,127.92,3909848,501839591,TQBR
2025-04-21,128,137.48,127.1,136.5,13199853,1751221695.68,TQBR
2025-04-22,137.4,142,133.9,138.2,20282932,2802015223.18,TQBR
2025-04-23,138.4,147.96,129,136.7,64418896,8808716985.94,TQBR
2025-04-24,135.7,136.94,132.72,134.02,10626955,1428465363.08,TQBR
2025-04-25,133.92,136.86,133.4,134.48,6251898,841144691.58,TQBR
2025-04-28,134.62,139.8,133.02,134.6,9990719,1366653765.46,TQBR
2025-04-29,135,135.02,131.54,132.1,2712079,361249021.86,TQBR
2025-04-30,131.5,134.38,129.6,133.72,4130373,546558241.98,TQBR
2025-05-02,133.62,134,130.5,131.64,1735731,228777363.02,TQBR
2025-05-05,131.9,132.66,125,126.42,3953047,508965997.08,TQBR
2025-05-06,127,128.86,125.52,127.2,2241408,286227113.76,TQBR
2025-05-07,127.22,130.5,127.02,128.76,1904026,245184885.36,TQBR
2025-05-08,129.1,131.42,128.68,129.8,2026255,263835726.7,TQBR
2025-05-12,129.84,136,128.8,135.4,5242580,697298796.66,TQBR
2025-05-13,135.98,141.98,135.52,139.16,17297658,2414619183.8,TQBR
2025-05-14,140,140.58,120,130.62,29995395,4020875746.92,TQBR
2025-05-15,129.9,130.74,125,129.6,8242393,1060107680.08,TQBR
2025-05-16,129.1,131.02,126.8,130.0,3784603,487911139.4,TQBR
2025-05-19,129.96,132.22,128.74,129.22,4746411,620562632.08,TQBR
2025-05-20,129.54,130.2,125.32,127.1,6349179,807742830.3,TQBR
2025-05-21,127.12,128.38,121.1,121.9,6500920,805186780.22,TQBR
2025-05-22,122,122.5,118,118.04,6922553,827733349.5,TQBR
2025-05-23,118.4,119.48,114.1,114.82,4467704,520549126.36,TQBR
2025-05-26,114.5,114.5,107.1,108.4,8735765,953618431.64,TQBR
2025-05-27,108.36,109.48,105.18,108.26,5217235,560929470.4,TQBR
2025-05-28,108.26,115.5,108.12,114.34,7311353,820192115.12,TQBR
2025-05-29,114.7,115.22,108.5,109.2,12652618,1409323844.14,TQBR
2025-05-30,109.98,112.86,108.1,110.12,4257935,472980902.46,TQBR
2025-06-02,110.5,111.34,107,109.32,3487164,379538930.88,TQBR
2025-06-03,109.5,111.96,109.38,110.68,3657978,404764369.82,TQBR
2025-06-04,110.68,111.62,109.52,110.42,3583672,396829333.04,TQBR
2025-06-05,110.42,112.6,110.04,111.36,2854664,318325623.5,TQBR
2025-06-06,112,112.12,107.2,108.04,2971918,327258473,TQBR
2025-06-09,108.1,109,106.3,107.36,2245762,241186488.66,TQBR
2025-06-10,107.5,108.96,105.16,106.5,3438838,365614323.3,TQBR
2025-06-11,106.6,108.8,106.06,106.74,2037793,219240108.5,TQBR
2025-06-13,106.92,107.86,106.56,106.8,598025,64085646.34,TQBR
2025-06-16,106.82,107.64,104.66,104.98,2592451,274589891.58,TQBR
2025-06-17,105.22,113.8,104.58,112.98,8950829,987570495.02,TQBR
2025-06-18,113.6,116.64,111.36,112.4,14030310,1601025765.6,TQBR
2025-06-19,112.88,114.6,109.78,111.1,4908815,550434983.68,TQBR
2025-06-20,111.38,114.8,110.1,111.54,7146660,807166607.2,TQBR
2025-06-23,111.56,112.1,108.66,109.04,3167716,347661047.26,TQBR
2025-06-24,109.04,111.84,108.68,110.34,3796423,418426039.54,TQBR
2025-06-25,110.64,111.1,107.22,108.6,5869651,639267942.48,TQBR
2025-06-26,108.36,109.12,107.64,107.98,2058788,222869933.64,TQBR
2025-06-27,108,108.44,107.32,108.0,1715814,184993346.44,TQBR
2025-06-30,108,112.5,107.82,111.76,10036643,1113877113,TQBR
2025-07-01,112,113.22,109.62,110.16,4659204,518900556.36,TQBR
2025-07-02,110.5,110.9,109,109.12,1938396,212771424.96,TQBR
2025-07-03,109.2,110.28,107,107.34,4513415,488254128.06,TQBR
2025-07-04,107.06,107.82,105.16,106.46,3648119,387883573.96,TQBR
2025-07-07,106.2,106.7,104.72,104.98,2716825,286658820.92,TQBR
2025-07-08,104.94,108.02,103.48,103.68,4998665,527651528.98,TQBR
2025-07-09,104,105.28,97.02,98.48,8136516,817801783.1,TQBR
2025-07-10,98.66,100.94,94.78,98.12,11018057,1079684683.72,TQBR
2025-07-11,98,100.66,96,97.96,4882875,480238029.88,TQBR
2025-07-14,98,100.9,95.42,100.24,4323080,425515035.22,TQBR
2025-07-15,100.58,102.3,99.56,100.12,3628892,366857549.7,TQBR
2025-07-16,100.24,101.32,98.56,99.14,3382285,337734324.26,TQBR
2025-07-17,99,100.72,98.7,99.14,2344152,233548085.16,TQBR
2025-07-18,99.46,100.8,99,100.64,4256961,425775396.52,TQBR
2025-07-21,100.7,106.5,100.22,106.42,10507262,1092952469.34,TQBR
2025-07-22,106.42,106.6,103.6,105.32,4212380,442210941.22,TQBR
2025-07-23,105.34,106.9,104.86,105.3,3390870,358822925.34,TQBR
2025-07-24,105.34,110.82,104.7,108.3,21830997,2370218299.06,TQBR
2025-07-25,108.4,108.94,105.14,105.9,6629288,709572148.2,TQBR
2025-07-28,105.98,110,105.5,105.92,5405214,581153520.04,TQBR
2025-07-29,105.92,107.48,105.64,106.12,1766565,188096318.06,TQBR
2025-07-30,106.6,106.86,104.1,104.22,1331672,140366454.42,TQBR
2025-07-31,104.88,105.62,102.6,104.76,1563058,162836000.4,TQBR
2025-08-01,104.76,106.28,103.66,104.74,1406965,147506627.06,TQBR
2025-08-04,105,107.3,104.78,107.0,2246302,239064708.94,TQBR
2025-08-05,106.62,109.32,106.56,107.06,3967458,428876692.38,TQBR
2025-08-06,107.3,111.5,106.64,110.08,7731704,846453861.06,TQBR
2025-08-07,109.82,113.14,109.7,111.0,7417702,829789824.32,TQBR
2025-08-08,111,112.98,110.58,112.34,4563528,510135161.44,TQBR
2025-08-11,112.76,119.64,112.76,115.46,12954250,1504494177.64,TQBR
2025-08-12,115.68,116.48,113.22,115.78,5740402,658977147.52,TQBR
2025-08-13,115.98,124.6,115.72,123.64,23008731,2791236993.14,TQBR
2025-08-14,123.64,129.6,120.62,128.56,29390630,3712365281.48,TQBR
2025-08-15,128.52,134.9,127.5,134.22,42429547,5617679316.94,TQBR
2025-08-18,131.98,136.4,128.1,133.16,46604576,6222633459.46,TQBR
2025-08-19,133.68,135.7,124.3,128.06,67262079,8595933385.52,TQBR
2025-08-20,128.04,132.5,126.48,131.58,25160772,3267293528.66,TQBR
2025-08-21,132.06,135,130.22,131.5,36314445,4838335015.22,TQBR
2025-08-22,131.5,133.4,129.5,131.12,12990687,1710896335.98,TQBR
2025-08-25,131.12,132.46,129,131.08,7253939,949327902.12,TQBR
2025-08-26,131.72,133.62,131,133.22,5237432,694726751.62,TQBR
2025-08-27,133,138.3,132.7,137.74,19244816,2616583269.56,TQBR
2025-08-28,138.22,139.74,136.06,136.66,11848054,1631774565.98,TQBR
2025-08-29,136.68,137.9,134.16,136.2,7131662,969832998.24,TQBR
2025-09-01,136.24,138.18,135.02,135.74,3930403,536785558,TQBR
2025-09-02,135.74,137.36,130.26,132.08,7876489,1049898680.76,TQBR
2025-09-03,132.08,134.74,127.8,134.18,10776500,1408557497.1,TQBR
2025-09-04,134,134.74,131.2,132.68,4446883,590402762.92,TQBR
2025-09-05,132.42,133.62,131.6,132.66,2616703,347384658.02,TQBR
2025-09-08,132.8,133.78,132.04,132.72,1934998,256967978.08,TQBR
2025-09-09,132.72,133.52,130.5,131.96,2042377,269875326.72,TQBR
2025-09-10,132,132.64,129.8,130.62,2356288,309807178.24,TQBR
2025-09-11,130.52,131.08,129.2,129.3,1623598,211188389.2,TQBR
2025-09-12,129.5,130.8,123.7,124.9,4658385,588939787.38,TQBR
2025-09-15,125.72,126.8,124,125.34,1926129,241438003.88,TQBR
2025-09-16,125.46,126.4,122.16,123.26,2311979,286503701.64,TQBR
2025-09-17,123.5,125,121.42,124.62,2071879,255365145.34,TQBR
2025-09-18,125,125.24,122,122.46,1459331,179569653.7,TQBR
2025-09-19,122.8,122.8,118.38,118.48,2515688,302891024.98,TQBR
2025-09-22,118.64,119.58,113.38,116.42,2792957,325870766.44,TQBR
2025-09-23,116.98,119.62,114.5,115.5,2421167,284188596.38,TQBR
2025-09-24,116.1,118.3,113.4,117.0,1808702,210427991.04,TQBR
2025-09-25,116.92,117.58,114.22,114.74,1239163,143429133.34,TQBR
2025-09-26,115.24,119,114.12,117.5,3278447,384423840.44,TQBR
2025-09-29,118.4,119,115.5,118.26,2706510,317533500.04,TQBR
2025-09-30,118.28,123,117.72,121.28,5769500,696330239.86,TQBR
2025-10-01,120.68,122.8,115.84,117.68,4443174,528237253.44,TQBR
2025-10-02,117.94,117.94,114.24,115.42,1907920,220795363.22,TQBR
2025-10-03,115.72,117.38,110.46,110.9,3433962,391419514.7,TQBR
2025-10-06,111.12,116.96,107.52,115.48,4531260,512558753.58,TQBR
2025-10-07,115.46,119,114.52,117.7,2096376,245724186.38,TQBR
2025-10-08,117.98,122.24,114.3,115.88,8279610,981801989.62,TQBR
2025-10-09,115.88,117.24,108.96,115.18,7040943,795657418.72,TQBR
2025-10-10,115.44,116.22,112.22,113.78,1781546,203483884.02,TQBR
2025-10-13,113.5,114.6,111.82,112.62,1958948,221877825.26,TQBR
2025-10-14,113.04,113.3,111.22,111.88,873071,97952334.48,TQBR
2025-10-15,112,113.86,111.48,112.3,996385,112235447.04,TQBR
2025-10-16,112.32,118,111.32,116.76,2731695,313957652.86,TQBR
2025-10-17,117.1,118.78,114.6,116.0,1902937,220911491.56,TQBR
2025-10-20,116.6,121.6,116.3,119.74,3128874,371275451.32,TQBR
2025-10-21,119.94,120.2,114.3,115.56,2108174,246276562.14,TQBR
2025-10-22,116,116.5,111.5,113.46,1732692,198846587.54,TQBR
2025-10-23,111.5,112.52,110.06,112.24,1033112,115115754.12,TQBR
2025-10-24,112.5,114,104.62,109.16,3303212,359800953.46,TQBR
2025-10-27,109.16,109.22,105,105.16,1182534,126339666.76,TQBR
2025-10-28,106,108.38,104.94,107.14,1012727,108136704.32,TQBR
2025-10-29,107.4,112.12,105.8,110.66,3158979,346301369.44,TQBR
2025-10-30,110.82,112.22,109.68,111.58,1809797,201418760.6,TQBR
2025-10-31,111.58,111.92,108.3,109.3,1080069,118490189.6,TQBR
2025-11-01,109.6,110.48,108.64,109.82,392620,43039681.82,TQBR
2025-11-03,109.68,111.94,109.68,110.36,478210,53062928.18,TQBR
2025-11-05,110.1,111.42,108.8,110.02,732628,80552261.92,TQBR
2025-11-06,110.12,111.08,109.42,109.68,556317,61221209.36,TQBR
2025-11-07,109.68,110.64,107.92,109.06,1705404,186579326.42,TQBR
2025-11-10,109.06,110.18,108.74,109.58,785391,85945324.96,TQBR
2025-11-11,109.58,112,108.66,110.52,957998,105715717.36,TQBR
2025-11-12,110.46,111.2,108.6,109.24,724578,79476605.96,TQBR
2025-11-13,109.24,109.74,108.04,108.92,713220,77791577.88,TQBR
2025-11-14,109,109.48,108.04,108.16,502322,54550928.36,TQBR
2025-11-17,108.46,110.98,107.42,110.0,1450238,158092662.6,TQBR
2025-11-18,110.3,111.52,108.96,109.82,1857648,204896577.92,TQBR
2025-11-19,110.96,111.32,109,110.16,1983609,218876050.96,TQBR
2025-11-20,110.18,111.1,109.14,110.92,1605459,177155601.2,TQBR
2025-11-21,111.3,115.36,111.3,112.98,7354163,835032185.48,TQBR
2025-11-24,113.5,117.46,112.9,115.38,4961850,572901789.48,TQBR
2025-11-25,115.2,123.42,115.1,121.34,9821233,1179803754.8,TQBR
2025-11-26,121.38,121.46,118.3,119.2,2099360,251340456.08,TQBR
2025-11-27,119.2,121.98,117.34,118.06,2350007,281341586.06,TQBR
2025-11-28,118.54,119.88,116.68,118.4,1551676,183313131.42,TQBR
2025-12-01,118.84,120.76,118.14,119.06,1388705,166197491.18,TQBR
2025-12-02,118.72,120.1,118,118.88,725600,86400835.66,TQBR
2025-12-03,118.1,118.1,116.22,117.0,762415,89256689.24,TQBR
2025-12-04,117,118.92,117,117.82,555731,65808532.78,TQBR
2025-12-05,118.52,120.74,117.64,119.6,1267519,151789550.28,TQBR
2025-12-08,119.6,121.8,118.8,119.26,1355229,163102556.48,TQBR
2025-12-09,119.28,120.32,118.54,119.68,779968,93211357.52,TQBR
2025-12-10,119.88,120.1,117.38,119.24,1081646,128400444.68,TQBR
2025-12-11,119.24,123.38,119.24,121.38,5294517,645825289.56,TQBR
2025-12-12,121.34,122.36,117.42,117.9,1151808,138311807.36,TQBR
2025-12-15,117.48,119.62,117.48,119.14,689103,81980173.96,TQBR
2025-12-16,119.2,123.36,119.2,120.12,5039728,610660103.32,TQBR
2025-12-17,120.2,121.3,118.64,120.06,1207458,144541510.22,TQBR
2025-12-18,119.82,120.3,117.12,117.9,2243189,265412817.2,TQBR
2025-12-19,118.28,120.8,116.5,117.1,2514927,298249871.64,TQBR
2025-12-22,117.1,118.34,114.4,115.18,1696784,197136104.24,TQBR
2025-12-23,114.94,115.44,110.74,112.56,3742564,419707726.88,TQBR
2025-12-24,112.8,113.28,111.1,111.76,1024377,114648098.94,TQBR
2025-12-25,112,112,110.7,111.14,740341,82355705.86,TQBR
2025-12-26,111.1,112.22,111.1,111.78,1649951,184176417,TQBR
2025-12-29,111.88,117.1,111.5,111.6,4704102,535304244.16,TQBR
2025-12-30,111.6,112.66,110,110.52,1291437,144010104.54,TQBR
2026-01-05,111.2,111.4,110.26,111.18,613986,68056391.16,TQBR
2026-01-06,111.5,111.5,110.72,111.02,334895,37207335.02,TQBR
2026-01-08,110,112.42,109.04,111.82,1371486,152194416.9,TQBR
2026-01-09,111.78,113.26,111.56,112.4,714452,80462576.08,TQBR
2026-01-12,112.24,113.46,112.18,113.08,905825,102402006.56,TQBR
2026-01-13,113.58,115.04,112.64,114.56,1615016,183952329.98,TQBR
2026-01-14,114.48,115.3,110.54,113.62,2082059,236332818.54,TQBR
2026-01-15,113.62,114.46,113.22,114.04,646381,73590288.04,TQBR
2026-01-16,114.34,115,113.8,114.36,1016382,116402021.7,TQBR
2026-01-19,114.72,115.3,114,114.52,1339869,153485380.8,TQBR
2026-01-20,114.52,115.92,113.28,114.84,1878185,215133997.52,TQBR
2026-01-21,114.8,116.6,114.28,115.1,2044483,235544258.58,TQBR
2026-01-22,115.46,117.82,114.9,115.68,2549846,296561123.26,TQBR
2026-01-23,115.78,120.22,115.02,119.38,7401615,878376533.44,TQBR
2026-01-26,119.2,120.42,117.02,117.66,2655752,315824756.04,TQBR
2026-01-27,118.1,120.3,117.6,120.02,1577807,187513448.82,TQBR
2026-01-28,120.14,124.7,120.12,122.98,6884673,847936313.74,TQBR
2026-01-29,122.8,126.32,120.72,124.98,4772316,594790160.82,TQBR
2026-01-30,125.24,134.04,120.78,130.44,12478085,1602954887.74,TQBR
2026-02-02,126.5,129.52,124.18,126.36,8518269,1082410625.7,TQBR
2026-02-03,127,127.18,125.12,125.36,1187821,149718315.46,TQBR
2026-02-04,125.36,126.22,122.7,124.06,1868072,232848500.8,TQBR
2026-02-05,124.3,130.16,121.32,129.38,13043764,1669952429.92,TQBR
2026-02-06,129.38,130.32,123.8,124.5,5576986,707103575.56,TQBR
