date,open,high,low,close,volume,value,board
2006-11-14,57.9,68.8,57.9,63.98,47200,2825450.0,EQLV
2006-11-15,63.0,63.0,62.99,62.99,3100,195290.0,EQLV
2006-11-16,62.75,62.75,60.03,60.03,900,55481.0,EQLV
2006-11-17,60.04,62.74,60.04,62.74,300,18552.0,EQLV
2006-11-20,62.74,62.74,60.07,60.07,600,36311.0,EQLV
2006-11-23,62.0,62.0,62.0,62.0,300,18600.0,EQLV
2006-11-24,61.0,61.12,60.1,60.1,50500,3083050.0,EQLV
2006-11-27,60.07,62.0,60.03,62.0,3000,183899.0,EQLV
2006-11-29,62.0,62.0,62.0,62.0,300,18600.0,EQLV
2006-11-30,62.0,62.0,62.0,62.0,100,6200.0,EQLV
2006-12-01,60.1,60.1,50.0,55.13,83100,4694941.0,EQLV
2006-12-04,55.05,57.6,55.0,55.0,12900,710883.0,EQLV
2006-12-05,54.0,55.5,51.2,51.2,12400,651604.0,EQLV
2006-12-06,55.18,55.18,51.0,51.0,46000,2362108.0,EQLV
2006-12-07,50.31,52.38,50.31,51.0,11800,601719.0,EQLV
2006-12-08,52.3,52.49,51.65,51.65,2800,146467.0,EQLV
2006-12-11,52.48,52.5,51.25,51.25,21700,1137145.0,EQLV
2006-12-12,51.7,51.7,51.0,51.3,1700,87366.0,EQLV
2006-12-13,51.8,51.8,50.26,50.26,3400,171950.0,EQLV
2006-12-14,50.31,51.8,50.3,51.8,10000,504651.0,EQLV
2006-12-15,52.0,52.0,50.5,51.78,1700,87261.0,EQLV
2006-12-18,51.78,51.78,50.25,51.2,19900,1008458.0,EQLV
2006-12-19,50.8,51.45,50.0,50.0,15900,795757.0,EQLV
2006-12-20,51.28,51.5,51.28,51.5,19500,1003363.0,EQLV
2006-12-21,50.48,50.48,49.5,50.0,54700,2733093.0,EQLV
2006-12-22,50.0,50.4,49.72,49.72,1300,64896.0,EQLV
2006-12-25,50.39,50.95,48.5,50.0,2700,134494.0,EQLV
2006-12-26,49.0,49.4,47.01,49.0,4200,201036.0,EQLV
2006-12-27,49.98,55.0,49.98,52.0,109800,5726457.0,EQLV
2006-12-28,50.6,52.89,47.1,50.15,52300,2609998.0,EQLV
2006-12-29,50.0,50.3,50.0,50.3,2800,140300.0,EQLV
2007-01-09,50.0,50.0,48.0,48.0,1500,74078.0,EQLV
2007-01-10,48.5,48.8,48.2,48.2,5700,276930.0,EQLV
2007-01-11,47.59,47.59,47.58,47.58,600,28549.0,EQLV
2007-01-12,47.9,48.6,47.51,48.6,4600,221671.0,EQLV
2007-01-15,48.97,49.4,48.1,48.7,1600,77677.0,EQLV
2007-01-16,49.5,50.21,48.01,50.0,7400,368881.0,EQLV
2007-01-17,49.1,52.7,49.05,50.2,16600,850913.0,EQLV
2007-01-18,52.5,52.5,50.2,51.4,5300,272440.0,EQLV
2007-01-19,51.5,52.5,50.82,51.4,16400,842707.0,EQLV
2007-01-22,51.99,52.0,51.5,51.5,5200,269009.0,EQLV
2007-01-23,51.5,52.9,51.5,52.3,10000,525077.0,EQLV
2007-01-24,52.3,52.3,52.0,52.2,7100,369736.0,EQLV
2007-01-25,52.2,52.2,52.0,52.0,4500,234221.0,EQLV
2007-01-26,52.0,52.0,51.5,51.6,1100,56729.0,EQLV
2007-01-29,51.75,52.3,51.75,52.3,8500,441658.0,EQLV
2007-01-30,51.51,51.51,51.5,51.5,1000,51508.0,EQLV
2007-01-31,52.3,52.3,51.7,51.7,1500,78330.0,EQLV
2007-02-01,52.1,52.2,51.8,51.8,4500,233260.0,EQLV
2007-02-02,50.55,51.4,50.5,51.03,41500,2117790.0,EQLV
2007-02-05,51.03,51.3,51.0,51.0,400,20433.0,EQLV
2007-02-06,51.5,52.3,51.0,52.3,15100,785164.0,EQLV
2007-02-07,52.4,53.99,50.5,52.7,571100,30179783.0,EQLV
2007-02-08,52.78,52.78,51.0,52.5,15700,810898.0,EQLV
2007-02-09,50.8,55.99,50.8,55.0,289600,15568016.0,EQLV
2007-02-12,53.0,55.5,53.0,54.89,45100,2450968.0,EQLV
2007-02-13,53.0,58.0,53.0,57.0,29900,1665304.0,EQLV
2007-02-14,58.0,61.95,58.0,59.5,204800,12202248.0,EQLV
2007-02-15,59.99,61.2,58.5,61.0,228700,13754103.0,EQLV
2007-02-16,61.4,63.0,59.21,61.0,80800,4971932.0,EQLV
2007-02-19,61.0,61.0,59.78,60.79,20900,1260861.0,EQLV
2007-02-20,61.0,61.0,56.3,57.5,78200,4629698.0,EQLV
2007-02-21,57.5,58.5,57.0,58.1,102600,5967926.0,EQLV
2007-02-22,57.32,58.71,56.1,58.32,58900,3426598.0,EQLV
2007-02-26,58.71,59.97,57.51,58.8,57300,3372170.0,EQLV
2007-02-27,58.73,58.73,57.5,58.5,62800,3640732.0,EQLV
2007-02-28,54.0,57.6,54.0,56.9,25300,1424672.0,EQLV
2007-03-01,57.9,57.9,56.1,57.0,41300,2339368.0,EQLV
2007-03-02,56.55,57.39,55.0,57.39,37800,2110279.0,EQLV
2007-03-05,50.02,55.85,50.01,53.59,158200,8614906.0,EQLV
2007-03-06,54.46,58.8,54.05,55.0,144500,8116584.0,EQLV
2007-03-07,55.5,57.0,53.23,54.0,154100,8469182.0,EQLV
2007-03-09,56.31,56.4,53.5,54.1,34100,1851133.0,EQLV
2007-03-12,53.52,54.49,53.5,54.0,34300,1844455.0,EQLV
2007-03-13,54.55,55.0,54.0,54.1,14700,798427.0,EQLV
2007-03-14,53.1,53.5,51.02,53.5,50300,2624070.0,EQLV
2007-03-15,52.05,54.3,52.05,52.98,18600,990319.0,EQLV
2007-03-16,53.06,54.39,53.06,54.25,24900,1345243.0,EQLV
2007-03-19,54.3,55.0,53.71,55.0,61900,3369880.0,EQLV
2007-03-20,55.6,57.0,55.0,56.99,71000,3938503.0,EQLV
2007-03-21,57.0,57.2,56.02,57.0,46000,2619921.0,EQLV
2007-03-22,58.5,58.98,57.0,58.4,129500,7544399.0,EQLV
2007-03-23,58.45,58.45,57.6,57.7,42400,2456701.0,EQLV
2007-03-26,57.0,59.0,57.0,58.51,68000,3967170.0,EQLV
2007-03-27,58.51,58.51,58.0,58.0,9300,540024.0,EQLV
2007-03-28,57.51,58.88,57.5,58.14,18600,1081119.0,EQLV
2007-03-29,57.55,59.15,57.55,58.5,52100,3048319.0,EQLV
2007-03-30,58.8,58.8,58.0,58.3,74400,4360219.0,EQNL
2007-04-02,55.72,58.88,55.71,58.88,20000,1175132.0,EQNL
2007-04-03,58.3,59.21,58.3,59.03,115700,6786060.0,EQNL
2007-04-04,59.1,60.89,58.76,60.89,604500,36173990.0,EQNL
2007-04-05,61.0,63.0,59.0,61.0,158700,9546524.0,EQNL
2007-04-06,60.0,60.4,59.5,60.31,60000,3603870.0,EQNL
2007-04-09,60.98,60.98,59.56,60.95,11400,693880.0,EQNL
2007-04-10,60.94,61.0,60.8,61.0,3900,237654.0,EQNL
2007-04-11,62.0,62.95,62.0,62.9,15400,958968.0,EQNL
2007-04-12,62.0,62.47,61.0,62.47,13900,858023.0,EQNL
2007-04-13,63.0,63.0,61.8,62.0,22500,1396660.0,EQNL
2007-04-16,63.0,63.49,62.95,63.49,371500,23444246.0,EQNL
2007-04-17,62.05,63.0,61.02,62.1,188900,11791856.0,EQNL
2007-04-18,62.1,63.0,62.1,62.6,72400,4528315.0,EQNL
2007-04-19,62.34,62.34,62.1,62.3,200000,12459283.0,EQNL
2007-04-20,64.0,65.0,62.6,62.9,19400,1235111.0,EQNL
2007-04-23,62.9,64.0,62.9,62.9,202200,12843843.0,EQNL
2007-04-24,63.74,63.98,62.5,63.9,62500,3918374.0,EQNL
2007-04-25,62.5,64.0,62.5,63.4,800,50612.0,EQNL
2007-04-26,63.5,64.8,62.5,62.7,113300,7090956.0,EQNL
2007-04-27,62.4,63.5,61.0,61.5,39800,2476998.0,EQNL
2007-04-28,62.0,62.4,61.5,61.5,18800,1159882.0,EQNL
2007-05-02,61.99,62.0,61.1,61.8,11500,707365.0,EQNL
2007-05-03,61.95,62.49,61.8,61.8,30000,1863503.0,EQNL
2007-05-04,62.0,62.33,62.0,62.3,89200,5555030.0,EQNL
2007-05-07,62.01,62.5,62.0,62.0,6400,397996.0,EQNL
2007-05-08,62.45,62.45,62.0,62.2,10200,635355.0,EQNL
2007-05-10,61.57,62.0,61.57,61.57,2500,154097.0,EQNL
2007-05-11,62.0,63.5,59.65,60.0,189800,11743572.0,EQNL
2007-05-14,60.0,61.9,59.88,60.0,2000,120118.0,EQNL
2007-05-15,57.63,60.0,57.63,58.5,51500,3013674.0,EQNL
2007-05-16,59.4,60.0,58.45,59.8,16600,985385.0,EQNL
2007-05-17,61.89,61.9,57.3,57.69,212700,12660058.0,EQNL
2007-05-18,57.0,57.02,56.56,56.99,7500,425535.0,EQNL
2007-05-21,57.0,58.78,57.0,58.77,8400,489450.0,EQNL
2007-05-22,58.97,58.97,57.2,58.82,20100,1172796.0,EQNL
2007-05-23,58.9,58.9,57.75,57.75,8700,503022.0,EQNL
2007-05-24,56.01,57.99,56.01,57.99,200,11400.0,EQNL
2007-05-25,57.5,58.5,57.0,58.0,67700,3905830.0,EQNL
2007-05-28,58.25,59.95,58.25,58.6,143200,8464995.0,EQNL
2007-05-29,58.3,58.3,58.0,58.0,40000,2329000.0,EQNL
2007-05-30,59.99,61.92,56.0,56.61,18200,1052844.0,EQNL
2007-05-31,57.95,59.5,57.75,59.5,97500,5705200.0,EQNL
2007-06-01,59.04,59.9,56.01,56.6,31700,1834986.0,EQNL
2007-06-04,57.89,57.89,56.55,56.7,600,34481.0,EQNL
2007-06-05,56.66,58.0,56.66,58.0,36400,2106355.0,EQNL
2007-06-06,57.8,58.0,56.19,57.8,9700,558194.0,EQNL
2007-06-07,57.0,57.5,56.18,56.18,95200,5440722.0,EQNL
2007-06-08,56.8,58.9,56.8,57.0,138300,8021200.0,EQNL
2007-06-09,57.5,57.5,57.48,57.5,17100,983240.0,EQNL
2007-06-13,56.02,60.0,56.02,59.5,61700,3634263.0,EQNL
2007-06-14,59.5,62.0,59.0,62.0,96400,5890473.0,EQNL
2007-06-15,61.0,64.8,60.0,64.0,55900,3492680.0,EQNL
2007-06-18,65.0,69.9,65.0,67.63,128900,8678062.0,EQNL
2007-06-19,67.0,74.99,66.56,68.0,32700,2251457.0,EQNL
2007-06-20,68.0,69.0,67.12,68.67,40300,2756578.0,EQNL
2007-06-21,68.69,68.99,67.13,67.5,9400,640567.0,EQNL
2007-06-22,68.95,68.95,63.0,66.2,8600,563909.0,EQNL
2007-06-25,63.1,68.77,63.1,68.0,10900,742366.0,EQNL
2007-06-26,67.07,67.64,64.0,67.64,12500,826500.0,EQNL
2007-06-27,67.76,67.76,67.0,67.0,47200,3162477.0,EQNL
2007-06-28,67.7,68.75,67.0,67.6,77900,5239935.0,EQNL
2007-06-29,70.24,70.24,65.5,66.5,12900,859359.0,EQNL
2007-07-02,66.25,67.5,66.0,67.0,42200,2826016.0,EQNL
2007-07-03,67.0,68.56,66.2,68.5,83100,5597909.0,EQNL
2007-07-04,68.01,69.8,67.27,69.5,10900,753417.0,EQNL
2007-07-05,70.0,72.0,70.0,70.6,100800,7070657.0,EQNL
2007-07-06,69.0,71.5,67.2,71.45,31400,2198793.0,EQNL
2007-07-09,71.19,72.5,71.19,72.0,29200,2093964.0,EQNL
2007-07-10,73.87,74.7,70.54,71.3,3200,229159.0,EQNL
2007-07-11,71.01,72.0,71.0,72.0,51100,3678410.0,EQNL
2007-07-12,71.02,75.0,71.0,74.4,60700,4481405.0,EQNL
