date,open,high,low,close,volume,value,board
2018-10-03,34,34.41,34,34.41,300,10277.5,TQBR
2018-10-04,35,35.125,34.985,35.125,5400,189212.5,TQBR
2018-10-05,34.845,34.845,34.845,34.845,400,13938,TQBR
2018-10-08,35.245,35.245,35.245,35.245,1000,35245,TQBR
2018-10-09,35.63,36.195,35.63,35.795,1200,43000,TQBR
2018-10-11,36.11,36.935,36.11,36.935,15500,568446.5,TQBR
2018-10-12,37.67,37.67,36,36.0,1100,40657,TQBR
2018-10-15,36.39,36.65,36.39,36.65,200,7304,TQBR
2018-10-16,36.98,36.98,36.98,36.98,1500,55470,TQBR
2018-10-17,36.825,36.825,36.27,36.74,14400,523977.5,TQBR
2018-10-18,37.52,38.23,37.52,37.74,700,26494,TQBR
2018-10-19,38.445,39.435,38.365,39.435,13600,523135,TQBR
2018-10-22,38.635,38.635,37.69,37.69,3100,118678.5,TQBR
2018-10-23,38.615,39.075,38.615,38.765,900,34814.5,TQBR
2018-10-24,38.74,38.74,38.74,38.74,100,3874,TQBR
2018-10-25,37.97,38.48,37.97,38.48,1400,53317,TQBR
2018-10-26,37.585,37.585,37.585,37.585,1500,56377.5,TQBR
2018-10-29,38.87,38.87,38.87,38.87,100,3887,TQBR
2018-10-30,37.7,38.295,37.7,38.295,13400,505418,TQBR
2018-10-31,38.72,38.72,38.72,38.72,3800,147136,TQBR
2018-11-06,38.09,38.09,38.09,38.09,200,7618,TQBR
2018-11-12,38.87,39.28,38.87,39.28,400,15671,TQBR
2018-11-13,39,39,39,39.0,4600,179400,TQBR
2018-11-14,39.68,39.68,38.265,38.265,800,31074.5,TQBR
2018-11-20,37.62,37.62,37.53,37.53,4800,180567,TQBR
2018-11-26,37.83,37.83,37.83,37.83,600,22698,TQBR
2018-11-29,37.83,37.83,37.83,37.83,100,3783,TQBR
2018-12-19,38.9,38.9,38.9,38.9,100,3890,TQBR
2018-12-20,38.275,38.275,38.275,38.275,100,3827.5,TQBR
2018-12-21,38.515,38.515,38.515,38.515,500,19257.5,TQBR
2018-12-24,40.715,40.715,40.045,40.045,400,16133.5,TQBR
2018-12-28,41.53,41.53,41.5,41.5,200,8303,TQBR
2019-01-16,38.725,38.725,38.305,38.305,700,27061.5,TQBR
2019-01-18,38.29,38.825,38.29,38.825,300,11543.5,TQBR
2019-01-25,38.425,38.425,38.425,38.425,100,3842.5,TQBR
2019-01-28,38.605,38.605,38.605,38.605,600,23163,TQBR
2019-02-08,37.8,37.8,37.8,37.8,100,3780,TQBR
2019-02-11,37,37,37,37.0,200,7400,TQBR
2019-02-13,36.2,36.2,36.2,36.2,100,3620,TQBR
2019-02-15,36.4,36.4,36.4,36.4,300,10920,TQBR
2019-02-28,37,37,37,37.0,100,3700,TQBR
