date,open,high,low,close,volume,value,board
2007-12-12,246.5,246.5,246.5,246.5,1240,305660.0,EQNE
2007-12-13,245.0,247.0,245.0,246.5,3100,763094.0,EQNE
2007-12-14,248.0,248.0,248.0,248.0,47,11656.0,EQNE
2007-12-17,265.0,265.0,265.0,265.0,10,2650.0,EQNE
2007-12-18,160.08,160.08,160.08,160.08,10,1600.8,EQNE
2007-12-19,224.0,224.0,224.0,224.0,57,12768.0,EQNE
2007-12-20,234.0,248.05,234.0,248.05,50,12243.05,EQNE
2007-12-21,250.0,255.55,250.0,255.0,183047,46674980.55,EQNE
2007-12-24,257.0,259.0,257.0,257.0,2532,651288.0,EQNE
2007-12-25,259.0,259.0,259.0,259.0,10086,2612274.0,EQBS
2007-12-26,258.5,258.5,257.0,258.49,10164,2624587.36,EQBS
2007-12-27,256.0,263.0,256.0,263.0,9347,2427761.0,EQBS
2007-12-28,258.0,258.5,258.0,258.5,2336,602812.5,EQBS
2008-01-09,261.5,261.5,261.5,261.5,3250,849875.0,EQBS
2008-01-10,275.0,276.0,275.0,276.0,2837,780512.0,EQBS
2008-01-11,278.0,278.0,278.0,278.0,1992,553776.0,EQBS
2008-01-14,280.5,280.5,280.5,280.5,3337,936028.5,EQBS
2008-01-15,279.0,279.0,275.0,275.0,4373,1214067.0,EQBS
2008-01-16,271.0,275.0,267.0,267.0,12806,3486718.0,EQBS
2008-01-17,270.0,270.0,265.0,265.0,3498,939460.0,EQBS
2008-01-18,265.0,265.0,260.0,260.0,3856,1016761.78,EQBS
2008-01-21,245.0,248.0,245.0,245.0,6968,1713346.0,EQBS
2008-02-20,262.0,262.0,262.0,262.0,3193,836566.0,EQBS
2008-02-26,262.0,262.0,262.0,262.0,16000,4192000.0,EQBS
2008-02-29,252.0,252.0,252.0,252.0,8000,2016000.0,EQBS
2008-03-14,246.0,246.0,246.0,246.0,7400,1820400.0,EQBS
2008-03-18,238.4,238.4,238.4,238.4,17000,4052800.0,EQBS
2008-03-27,234.0,234.0,234.0,234.0,9132,2136888.0,EQBS
2008-04-24,204.5,204.5,204.5,204.5,3,613.5,EQBR
