date,open,high,low,close,volume,value,board
2013-11-01,156,156,156,156.0,320500,49998000,TQNE
2013-11-11,156,156,156,156.0,320520,50001120,TQNE
2013-12-04,197,197,197,197.0,5,985,SMAL
2014-12-11,166,166,166,166.0,65000,10790000,TQBR
2015-07-22,154,154,154,154.0,64000,9856000,TQBR
2015-12-15,164,164,164,164.0,60970,9999080,TQBR
2016-02-02,100,100,100,100.0,1,100,SMAL
2016-02-03,98.5,98.5,98.5,98.5,1,98.5,SMAL
2016-02-04,98.5,98.5,98.5,98.5,1,98.5,SMAL
2016-04-13,160,160,156,156.0,1000,157980,TQBR
2016-04-18,94,94,94,94.0,1,94,SMAL
2016-04-20,160,160,157,157.0,2030,322210,TQBR
2016-04-25,219.5,219.5,94.5,94.5,6,692,SMAL
2016-05-27,219,219,219,219.0,1,219,SMAL
2019-10-08,170,170,170,170.0,1,170,SMAL
2019-12-11,120,250,120,250.0,2,370,SMAL
2019-12-12,250,270,250,270.0,10040,2612350,TQBR
2019-12-13,275,375,275,375.0,19890,7202050,TQBR
2019-12-16,410,520,410,520.0,1860,935000,TQBR
2019-12-17,570,570,570,570.0,800,456000,TQBR
2019-12-18,625,625,440,500.0,9140,4938450,TQBR
2019-12-19,505,545,450,475.0,4560,2233650,TQBR
2019-12-20,450,490,335,415.0,11610,4700950,TQBR
2019-12-23,435,435,350,365.0,4640,1730500,TQBR
2019-12-24,365,400,340,400.0,8220,3148300,TQBR
2019-12-25,430,435,380,390.0,4360,1764900,TQBR
2019-12-26,400,425,370,380.0,3180,1284900,TQBR
2019-12-27,400,520,400,460.0,14320,6748250,TQBR
2019-12-30,465,495,410,415.0,12000,5304300,TQBR
2020-01-03,430,440,405,425.0,3570,1500850,TQBR
2020-01-06,420,465,370,390.0,8940,3676400,TQBR
2020-01-08,395,410,385,395.0,2830,1123700,TQBR
2020-01-09,395,400,385,395.0,1100,432500,TQBR
2020-01-10,395,400,390,395.0,740,291100,TQBR
2020-01-13,395,395,380,385.0,1120,433250,TQBR
2020-01-14,385,390,380,380.0,740,282750,TQBR
2020-01-15,380,395,375,380.0,2000,764000,TQBR
2020-01-16,375,385,375,380.0,780,296300,TQBR
2020-01-17,380,380,370,375.0,1480,556050,TQBR
2020-01-20,380,385,365,375.0,3240,1202650,TQBR
2020-01-21,365,375,360,370.0,1510,555750,TQBR
2020-01-22,360,370,345,350.0,3610,1276300,TQBR
2020-01-23,350,350,330,335.0,1350,459250,TQBR
2020-01-24,340,350,305,335.0,3400,1134550,TQBR
2020-01-27,330,340,320,325.0,1030,339500,TQBR
2020-01-28,325,345,320,340.0,1260,415150,TQBR
2020-01-29,335,385,335,345.0,8350,3001300,TQBR
2020-01-30,345,360,340,350.0,2310,807100,TQBR
2020-01-31,350,355,330,340.0,1580,540350,TQBR
2020-02-03,340,345,330,340.0,790,266100,TQBR
2020-02-04,330,340,325,340.0,630,209800,TQBR
2020-02-05,335,355,335,350.0,2100,723500,TQBR
2020-02-06,345,355,335,340.0,880,302050,TQBR
2020-02-07,345,350,330,340.0,1030,348100,TQBR
2020-02-10,340,340,325,330.0,690,230050,TQBR
2020-02-11,330,375,330,340.0,9770,3432600,TQBR
2020-02-12,340,355,325,345.0,4670,1578150,TQBR
2020-02-13,345,360,330,350.0,2320,797300,TQBR
2020-02-14,350,355,345,355.0,760,266200,TQBR
2020-02-17,345,355,340,345.0,940,323700,TQBR
2020-02-18,340,350,335,340.0,1610,544000,TQBR
2020-02-19,340,345,335,340.0,620,208250,TQBR
2020-02-20,340,350,335,340.0,660,224750,TQBR
2020-02-21,340,340,335,340.0,210,70750,TQBR
2020-02-25,340,350,335,340.0,860,291500,TQBR
2020-02-26,335,345,330,335.0,420,141250,TQBR
2020-02-27,340,340,320,330.0,970,317850,TQBR
2020-02-28,240,325,240,315.0,1100,330200,TQBR
2020-03-02,315,325,295,310.0,760,234050,TQBR
2020-03-03,315,315,300,305.0,900,273400,TQBR
2020-03-04,305,305,295,300.0,220,65850,TQBR
2020-03-05,305,315,225,310.0,2020,559300,TQBR
2020-03-06,300,300,280,280.0,3450,967350,TQBR
2020-03-10,260,265,250,265.0,820,212400,TQBR
2020-03-11,270,270,255,260.0,450,117300,TQBR
2020-03-12,255,255,230,230.0,380,91050,TQBR
2020-03-13,230,240,225,240.0,310,71850,TQBR
2020-03-16,235,235,185,225.0,1030,225700,TQBR
2020-03-17,215,215,195,200.0,670,135500,TQBR
2020-03-18,200,200,150,155.0,2760,461450,TQBR
2020-03-19,155,165,150,160.0,1850,283950,TQBR
2020-03-20,155,220,155,205.0,9690,1909500,TQBR
2020-03-23,190,285,190,265.0,8550,2216650,TQBR
2020-03-24,265,305,250,255.0,3840,1024800,TQBR
2020-03-25,250,265,235,245.0,3100,774600,TQBR
2020-03-26,235,245,230,245.0,1180,276100,TQBR
2020-03-27,240,245,230,245.0,110,26250,TQBR
2020-03-30,230,250,230,250.0,400,97600,TQBR
2020-03-31,245,285,230,285.0,3020,789600,TQBR
2020-04-01,285,300,270,300.0,2140,598700,TQBR
2020-04-02,300,300,275,285.0,2030,573400,TQBR
2020-04-03,275,280,250,260.0,1820,484550,TQBR
2020-04-06,265,280,255,270.0,3200,856250,TQBR
2020-04-07,265,270,260,265.0,1660,441550,TQBR
2020-04-08,265,270,260,265.0,650,171550,TQBR
2020-04-09,270,285,260,275.0,1840,495700,TQBR
2020-04-10,270,285,270,285.0,1020,281650,TQBR
2020-04-13,280,290,280,290.0,1050,298800,TQBR
2020-04-14,280,280,265,275.0,1980,540350,TQBR
2020-04-15,275,275,265,265.0,180,48000,TQBR
2020-04-16,260,265,255,265.0,560,144350,TQBR
2020-04-17,260,265,255,265.0,230,60000,TQBR
2020-04-20,265,270,260,270.0,270,71200,TQBR
2020-04-21,260,265,260,265.0,60,15800,TQBR
2020-04-22,265,265,255,255.0,1240,318650,TQBR
2020-04-23,250,260,250,250.0,250,63750,TQBR
2020-04-24,250,250,245,245.0,1200,297800,TQBR
2020-04-27,250,255,245,245.0,350,87350,TQBR
2020-04-28,245,250,245,250.0,20,4950,TQBR
2020-04-29,250,250,245,245.0,40,9950,TQBR
2020-04-30,255,260,250,250.0,160,40750,TQBR
2020-05-04,260,265,255,255.0,100,26000,TQBR
2020-05-05,260,265,240,255.0,540,137050,TQBR
2020-05-06,255,255,255,255.0,40,10200,TQBR
2020-05-07,260,260,255,255.0,160,40900,TQBR
2020-05-12,250,250,250,250.0,10,2500,TQBR
2020-05-13,255,255,255,255.0,10,2550,TQBR
2020-05-14,250,250,245,245.0,130,32000,TQBR
2020-05-18,250,305,250,260.0,5410,1500350,TQBR
2020-05-19,265,275,245,260.0,980,247600,TQBR
2020-05-20,265,270,245,260.0,1770,453150,TQBR
2020-05-21,265,275,250,260.0,610,157950,TQBR
2020-05-22,265,270,260,260.0,630,167000,TQBR
2020-05-25,270,280,255,260.0,3490,894350,TQBR
2020-05-26,260,265,255,260.0,130,33700,TQBR
2020-05-27,265,265,255,265.0,520,135200,TQBR
2020-05-28,265,265,260,265.0,140,36900,TQBR
2020-05-29,265,265,255,260.0,160,41700,TQBR
2020-06-01,255,260,250,255.0,520,132750,TQBR
2020-06-02,255,260,240,255.0,860,215250,TQBR
2020-06-03,250,255,250,250.0,730,182700,TQBR
2020-06-04,245,250,245,250.0,630,154900,TQBR
2020-06-05,255,255,250,250.0,700,176950,TQBR
2020-06-08,250,250,245,250.0,180,44600,TQBR
2020-06-09,255,255,245,255.0,760,192500,TQBR
2020-06-10,245,255,245,250.0,620,152900,TQBR
2020-06-11,245,250,245,250.0,150,37350,TQBR
2020-06-15,250,250,250,250.0,10,2500,TQBR
2020-06-16,255,255,245,250.0,520,131150,TQBR
2020-06-17,255,255,250,250.0,50,12550,TQBR
2020-06-18,245,255,245,250.0,670,166900,TQBR
2020-06-19,245,245,245,245.0,140,34300,TQBR
2020-06-22,245,255,245,255.0,220,55950,TQBR
2020-06-23,255,255,245,250.0,830,207800,TQBR
2020-06-25,255,255,245,250.0,40,10000,TQBR
2020-06-29,245,245,240,245.0,350,85600,TQBR
2020-06-30,240,245,240,245.0,20,4850,TQBR
2020-07-02,245,250,245,245.0,320,78500,TQBR
2020-07-03,240,250,240,245.0,480,116300,TQBR
2020-07-06,250,250,245,250.0,160,39900,TQBR
2020-07-07,245,250,240,250.0,210,51350,TQBR
2020-07-08,250,250,245,250.0,100,24950,TQBR
2020-07-09,245,250,245,245.0,630,156900,TQBR
2020-07-10,250,250,245,245.0,30,7450,TQBR
2020-07-13,250,250,250,250.0,20,5000,TQBR
2020-07-14,240,240,240,240.0,510,122400,TQBR
2020-07-15,245,245,230,235.0,900,213550,TQBR
2020-07-16,240,245,235,245.0,840,205050,TQBR
2020-07-17,245,245,235,240.0,380,91750,TQBR
2020-07-20,245,250,245,250.0,880,217550,TQBR
2020-07-21,245,255,245,255.0,920,229900,TQBR
2020-07-22,255,255,245,250.0,480,119600,TQBR
2020-07-23,255,255,235,245.0,1550,375500,TQBR
2020-07-24,240,245,240,245.0,530,129050,TQBR
2020-07-27,240,245,235,240.0,2460,590850,TQBR
2020-07-28,235,240,235,240.0,150,35750,TQBR
2020-07-29,240,245,240,240.0,1630,395500,TQBR
2020-07-30,240,245,235,235.0,320,76800,TQBR
2020-07-31,245,245,235,240.0,390,93050,TQBR
2020-08-03,245,245,240,245.0,50,12100,TQBR
2020-08-04,240,245,235,245.0,990,239650,TQBR
2020-08-05,240,245,240,245.0,160,38450,TQBR
2020-08-06,240,240,230,240.0,8920,2104700,TQBR
2020-08-07,235,240,230,235.0,1350,317500,TQBR
2020-08-10,235,235,230,235.0,4470,1029750,TQBR
2020-08-11,235,235,230,235.0,4460,1027100,TQBR
2020-08-12,230,235,230,235.0,1140,265000,TQBR
2020-08-13,230,240,230,240.0,2790,651000,TQBR
2020-08-14,235,240,230,240.0,810,190100,TQBR
2020-08-17,235,240,230,230.0,3730,860100,TQBR
2020-08-18,230,235,230,230.0,1850,430250,TQBR
2020-08-19,230,235,230,235.0,330,76400,TQBR
2020-08-20,230,235,225,235.0,2410,553950,TQBR
2020-08-21,235,235,230,230.0,710,163550,TQBR
2020-08-24,235,235,235,235.0,10,2350,TQBR
2020-08-25,230,235,230,235.0,480,110450,TQBR
2020-08-26,230,235,230,235.0,1270,297700,TQBR
2020-08-27,235,320,230,275.0,84070,24396950,TQBR
2020-08-28,290,290,240,250.0,21720,5614350,TQBR
2020-08-31,250,255,235,240.0,8170,1997800,TQBR
2020-09-01,240,245,235,240.0,2090,500700,TQBR
2020-09-02,235,240,230,235.0,2220,521200,TQBR
2020-09-03,235,235,230,230.0,1940,447450,TQBR
2020-09-04,230,230,220,230.0,1770,399800,TQBR
2020-09-07,225,235,225,235.0,1000,229350,TQBR
2020-09-08,235,260,230,230.0,5150,1232750,TQBR
2020-09-09,230,235,225,225.0,1960,447800,TQBR
2020-09-10,230,230,225,230.0,900,205300,TQBR
2020-09-11,230,230,225,230.0,610,139350,TQBR
2020-09-14,230,235,225,235.0,2230,510300,TQBR
2020-09-15,235,240,225,230.0,3590,829600,TQBR
2020-09-16,230,235,225,235.0,1140,262600,TQBR
2020-09-17,225,235,225,230.0,1370,309650,TQBR
2020-09-18,225,230,220,220.0,3260,735800,TQBR
2020-09-21,225,225,215,220.0,2730,601400,TQBR
2020-09-22,220,220,215,215.0,790,171900,TQBR
2020-09-23,220,250,215,220.0,29860,6985650,TQBR
2020-09-24,220,225,210,220.0,1500,323850,TQBR
2020-09-25,220,220,215,220.0,690,151550,TQBR
2020-09-28,215,225,210,220.0,7820,1688850,TQBR
2020-09-29,220,225,220,225.0,800,176600,TQBR
2020-09-30,215,225,215,225.0,4120,907550,TQBR
2020-10-01,220,235,215,235.0,7510,1687550,TQBR
2020-10-02,235,235,225,235.0,3430,789400,TQBR
2020-10-05,230,235,225,235.0,1540,355550,TQBR
2020-10-06,230,235,230,235.0,240,55600,TQBR
2020-10-07,230,235,225,235.0,470,108000,TQBR
2020-10-08,230,235,215,220.0,2960,657850,TQBR
2020-10-09,220,225,215,215.0,590,129650,TQBR
2020-10-12,220,225,215,225.0,50,11050,TQBR
2020-10-13,220,225,215,225.0,410,90450,TQBR
2020-10-14,220,225,215,215.0,890,193950,TQBR
2020-10-15,220,220,215,220.0,780,168650,TQBR
2020-10-16,220,220,210,220.0,1040,224000,TQBR
2020-10-19,215,220,210,215.0,640,138300,TQBR
2020-10-20,220,220,205,215.0,3110,658950,TQBR
2020-10-21,210,215,210,215.0,1870,394000,TQBR
2020-10-22,210,230,210,220.0,8440,1838200,TQBR
2020-10-23,220,220,215,220.0,990,216300,TQBR
2020-10-26,220,220,215,220.0,370,80750,TQBR
2020-10-27,225,225,215,225.0,1070,234500,TQBR
2020-10-28,225,225,210,220.0,890,192800,TQBR
2020-10-29,210,220,210,220.0,310,66050,TQBR
