date,open,high,low,close,volume,value,board
2007-05-11,330,335,328.5,329.43,6000,1978873,EQNE
2007-05-14,323,323.2,323,323.2,6000,1938900,EQNE
2007-05-15,302,325,302,325.0,4000,1290410,EQNE
2007-05-16,300,324.9,300,323.97,4365,1397747,EQNE
2007-05-18,305,333,303,332.5,1536,509957.64,EQNE
2007-05-21,324,324,324,324.0,500,162000,EQNE
2007-05-22,330,330.1,330,330.1,4,1320.22,EQNE
2007-05-25,360,360,330,330.0,6266,2205730,EQNE
2007-05-30,353,353,353,353.0,1,353,EQNE
2007-05-31,360,365,360,365.0,530,192125,EQNE
2007-06-01,365,365,355,361.0,9997,3643877,EQNE
2007-06-04,358,358,358,358.0,2,716,EQNE
2007-06-05,345,370,291,348.0,26396,9170625.2,EQNE
2007-06-06,351,351,351,351.0,1,351,EQNE
2007-06-07,350,350,350,350.0,20,7000,EQNE
2007-06-08,355,355,355,355.0,10,3550,EQNE
2007-06-09,356,360,348,348.0,1800,646188,EQNE
2007-06-13,305.4,349.96,300,347.9,4590,1595389.8,EQNE
2007-06-15,346.7,360,346.49,346.49,2212,794407.88,EQNE
2007-06-19,346,346,345.5,345.5,54,18670.5,EQNE
2007-06-20,344,344.5,344,344.5,100,34425,EQNE
2007-06-21,342,343,341.89,341.89,400,136834,EQNE
2007-06-22,341,365,340,340.0,1986,721548.2,EQNE
2007-06-25,344,345,344,345.0,2938,1012672,EQNE
2007-06-26,330,341,330,341.0,3000,1001500,EQNE
2007-06-27,351,351,320,340.0,12996,4395180,EQNE
2007-06-28,345,355,345,355.0,7092,2460934,EQNE
2007-06-29,362,366.01,362,366.01,6932,2519537.44,EQNE
2007-07-02,349,358.01,349,358.01,905,315944.11,EQNE
2007-07-03,374.99,374.99,374.99,374.99,1,374.99,EQNE
2007-07-06,359.99,359.99,359.99,359.99,1,359.99,EQNE
2007-07-10,365,365,365,365.0,1,365,EQNE
2007-07-11,415,482.81,365,365.0,7,2939.81,EQNE
2007-07-12,439.99,439.99,400,437.0,4,1716.98,EQNE
