date,open,high,low,close,volume,value,board
2014-05-05,100,100,100,100.0,460,46000,TQNE
2014-05-06,99.9,100,99.9,100.0,530,52978,TQNE
2014-05-07,99.95,100.05,99.95,100.0,640,64000,TQNE
2014-05-08,100,100.07,100,100.07,500,50017.5,TQNE
2014-05-12,100,100.01,99,100.01,590,58829.8,TQNE
2014-05-13,100,100.09,99.7,100.09,440,43999.1,TQNE
2014-05-14,100,100,100,100.0,610,61000,TQNE
2014-05-15,100,100,99.99,100.0,1950,194999.9,TQNE
2014-05-16,99.8,100.2,99.8,100.0,880,88000,TQNE
2014-05-19,100,100.09,100,100.09,1040,104036,TQNE
2014-05-20,100,100.08,100,100.08,850,85016,TQNE
2014-05-21,100,100.13,100,100.0,2000,200121.6,TQNE
2014-05-22,100,100,99.97,100.0,5340,533982.5,TQNE
2014-05-23,100,100,99.99,100.0,2120,211994.2,TQNE
2014-05-26,100,100.5,99.97,100.0,9520,952163.7,TQNE
2014-05-27,100,100,99.99,100.0,15620,1561997,TQNE
2014-05-28,100,100,99.99,100.0,6960,695983.2,TQNE
2014-05-29,99.73,99.73,91,93.0,960,89503,TQNE
2014-05-30,96,98,95.01,96.0,1050,102451.4,TQNE
2014-06-02,96.96,97.7,96.96,97.7,130,12671.4,TQNE
2014-06-03,96.9,96.9,94.01,94.01,400,37869.9,TQNE
2014-06-05,96.64,97.99,95,95.02,550,52788.2,TQNE
2014-06-06,95.9,96.5,94.13,96.0,570,54477.7,TQNE
2014-06-09,96,96,94.25,94.41,300,28527.4,TQBR
2014-06-10,94.31,97.5,94.31,97.04,290,28096.1,TQBR
2014-06-11,95.26,99.5,95.25,98.98,1570,153095,TQBR
2014-06-16,94.25,94.27,94.23,94.25,60,5655,TQBR
2014-06-17,95.05,95.45,95.05,95.45,40,3810,TQBR
2014-06-18,95.12,98,95.12,95.45,270,26274.9,TQBR
2014-06-19,95.49,95.49,95.49,95.49,40,3819.6,TQBR
2014-06-20,98,98.88,96.12,96.12,1830,179036.8,TQBR
2014-06-23,98.89,98.89,98.79,98.79,20,1976.8,TQBR
2014-06-24,98,99,97.12,99.0,580,56829.3,TQBR
2014-06-25,98,98.5,97.05,97.08,480,46875.2,TQBR
2014-06-26,96.09,97,96.09,97.0,80,7732.7,TQBR
2014-06-27,96.53,98,95.09,95.11,600,57924.5,TQBR
2014-06-30,97.5,97.5,95,97.18,340,32427,TQBR
2014-07-01,97.49,100,97.49,100.0,940,92419,TQBR
2014-07-02,98.73,98.8,96.3,97.53,470,45921.7,TQBR
2014-07-03,97.53,98.25,96.72,97.1,320,31335.7,TQBR
2014-07-04,96.62,98,96.62,97.23,550,53650.9,TQBR
2014-07-07,97.35,98.8,97.35,97.41,1960,191617.6,TQBR
2014-07-08,97.44,97.44,97.4,97.4,200,19484.3,TQBR
2014-07-10,97.1,97.1,96,96.0,300,28968.9,TQBR
2014-07-11,96.05,97.95,95.27,95.27,670,64262.1,TQBR
2014-07-15,95.45,95.45,95.45,95.45,20,1909,TQBR
2014-07-16,95.64,95.84,95.64,95.84,30,2871.7,TQBR
2014-07-17,95.95,96.5,95.64,95.64,520,49933.6,TQBR
2014-07-18,95.5,97.96,95.5,95.59,150,14397.8,TQBR
2014-07-21,95.5,95.5,94.59,94.95,880,83632.4,TQBR
