date,open,high,low,close,volume,value,board
2008-09-03,25.7,25.7,25.7,25.7,4000,102800,EQNE
2008-09-19,25.5,25.52,25.5,25.52,600,15306,EQNE
2008-09-22,25.65,25.72,25.65,25.72,2900,74538,EQNE
2008-09-23,25.72,25.72,25.72,25.72,4600,118312,EQNE
2008-09-25,25.8,25.8,25.8,25.8,6700,172860,EQNE
2008-12-17,25.02,25.05,25.02,25.02,7700,192799,EQNE
2008-12-18,25.1,25.1,25.1,25.1,7700,193270,EQNE
2009-03-24,25.25,25.25,25.25,25.25,5700,143925,EQNE
2009-03-25,25.25,25.25,25.25,25.25,5600,141400,EQNE
2009-03-26,25.25,25.25,25.25,25.25,700,17675,EQNE
2009-06-29,25.9,26.04,25.9,26.0,12000,311759,EQNE
2009-09-25,27,27.3,27,27.3,5500,149710,EQNE
2009-09-28,27.6,27.71,27.6,27.6,5500,152210,EQNE
2009-12-21,28,28.2,28,28.0,5500,154520,EQNE
2009-12-22,28.5,28.9,28.4,28.4,5500,157700,EQNE
2009-12-23,29.1,29.1,29,29.0,5500,160000,EQNE
2010-03-25,29.1,29.1,29.1,29.1,6500,189150,EQNE
2010-03-26,29.1,29.1,29.1,29.1,4000,116400,EQNE
2010-06-24,29.1,29.1,29.1,29.1,4000,116400,EQNE
2010-06-25,29.1,29.1,29.1,29.1,6400,186240,EQNE
2010-07-02,29.9,29.9,29.7,29.7,5400,160800,EQNE
2010-07-06,29.8,29.8,29.8,29.8,5000,149000,EQNE
