date,open,high,low,close,volume,value,board
2006-07-19,220.32,220.32,203.03,203.95,517741,105801987.83,EQLV
2006-07-20,204.95,205.1,203.15,203.26,1141288,233079373.48,EQLV
2006-07-21,204.3,204.6,200,202.0,1864106,375702016.98,EQLV
2006-07-24,203.67,203.67,199.25,201.99,794152,159841428.2,EQLV
2006-07-25,203,203.75,201.27,202.69,1674834,339900281.8,EQLV
2006-07-26,203,203.25,202.01,203.1,1009200,204829550.39,EQLV
2006-07-27,203.1,203.75,202.5,203.5,2198736,447144412.29,EQLV
2006-07-28,203.01,203.5,202.6,202.8,523310,106311048.49,EQLV
2006-07-31,204,204,202.55,202.6,175111,35516539.22,EQLV
2006-08-01,202.5,203,202.11,202.75,384136,77765011.29,EQLV
2006-08-02,204.05,204.05,201.5,201.99,176071,35586928.46,EQLV
2006-08-03,201.95,202.4,200.1,200.75,1889098,380305598.19,EQLV
2006-08-04,200.73,201.5,200.5,200.99,1377711,276881360.16,EQLV
2006-08-07,200.93,201.5,199.7,200.3,1181552,236409448.47,EQLV
2006-08-08,200.8,200.99,195.9,196.85,1975449,389906180.56,EQLV
2006-08-09,196.78,198.5,196,198.24,983353,193570474.47,EQLV
2006-08-10,198,200,195.96,200.0,1822726,361005223.37,EQLV
2006-08-11,201.5,202.3,199.12,201.22,1375209,276836486.12,EQLV
2006-08-14,200.2,202,197.77,198.0,1433941,286867786.34,EQLV
2006-08-15,199.35,199.7,197,199.51,1095570,216840431.38,EQLV
2006-08-16,198.75,201.9,198.12,201.0,1004449,201366030.69,EQLV
2006-08-17,201,201.34,199.3,199.89,555145,111309402.41,EQLV
2006-08-18,199.9,199.9,198.5,199.4,1133805,226011785.41,EQLV
2006-08-21,199.87,199.87,197.98,198.0,540462,107253690.1,EQLV
2006-08-22,203.05,203.05,198,199.9,853942,169946312.56,EQLV
2006-08-23,199.31,199.9,198.85,199.75,294694,58761492.46,EQLV
2006-08-24,199,200,198.3,200.0,779842,155245439.31,EQLV
2006-08-25,200.34,202.87,199.01,202.29,877052,176215304.87,EQLV
2006-08-28,202.2,202.2,201.3,201.3,531327,107061642.53,EQLV
2006-08-29,201.29,202.2,200.8,200.8,967370,195056006.41,EQLV
2006-08-30,200.8,201.39,199,199.5,526325,105340941.13,EQLV
2006-08-31,199.8,201.69,197.5,197.7,876903,174015167.31,EQLV
2006-09-01,194,200.4,194,200.3,504755,100273868.67,EQLV
2006-09-04,200.95,202,199,199.51,105974,21136027.97,EQLV
2006-09-05,199.8,201.9,198.8,201.9,839769,168240079.13,EQLV
2006-09-06,201.3,201.9,200.33,201.0,502486,100985236.49,EQLV
2006-09-07,200.3,201,199.8,200.7,1245896,249620193.76,EQLV
2006-09-08,200.3,202.4,200.3,201.35,675568,136000843.48,EQLV
2006-09-11,201.26,201.89,199.8,199.8,1459010,292900728.4,EQLV
2006-09-12,200.5,200.9,199.8,200.5,378880,75844598.92,EQLV
2006-09-13,200.3,201.4,199.3,201.0,488235,97849703.16,EQLV
2006-09-14,195.63,201.35,195.63,201.0,2318428,466347251.27,EQLV
2006-09-15,200.31,205,200.21,204.2,1183822,239380013.19,EQLV
2006-09-18,203.48,205.8,203,205.0,888776,181409670.08,EQLV
2006-09-19,205,207.7,204.3,207.2,1206167,248437541.5,EQLV
2006-09-20,206.53,217,205.5,215.0,4269186,903152740.51,EQLV
2006-09-21,214,215.88,206.01,209.96,1547261,328748068.71,EQLV
2006-09-22,208.09,210,204.3,205.8,2255789,464880199.67,EQLV
2006-09-25,205.4,205.4,200.25,202.03,1876336,380206291.14,EQLV
2006-09-26,202.95,205.12,202,205.12,1782398,362833354.09,EQLV
2006-09-27,206.13,210.54,205,207.28,1079367,224577591.93,EQLV
2006-09-28,210,214.8,208.4,214.55,2474703,523063122.28,EQLV
2006-09-29,212.3,215.95,210.01,211.99,1405493,299491821.82,EQLV
2006-10-02,217.42,217.42,207,211.35,392008,82974354.47,EQLV
