date,open,high,low,close,volume,value,board
2010-04-20,284.2,284.2,173.02,175.99,275646,51796687.45,EQNE
2010-04-21,175,176.9,171,173.79,103181,17913800.74,EQNE
2010-04-22,163.75,175.95,163.75,171.94,43955,7567779.8,EQNE
2010-04-23,170.5,175.95,170,174.48,9330,1617591.05,EQNE
2010-04-26,175,175,172,174.0,15658,2698746.14,EQNE
2010-04-27,171.92,172.7,166.25,170.01,21729,3679811.71,EQNE
2010-04-28,169.72,173.85,167,170.19,10866,1853075.55,EQNE
2010-04-29,170.19,171.87,169.5,169.5,4802,815036.1,EQNE
2010-04-30,168.01,169,166,166.01,12736,2132185.89,EQNE
2010-05-04,168.51,168.51,142,160.0,32196,5162580.92,EQNE
2010-05-05,158,159.95,154,157.89,14153,2225612.69,EQNE
2010-05-06,158.47,158.5,154.01,155.0,17259,2730246.41,EQNE
2010-05-07,159.9,159.9,137,146.0,3490,497614.07,EQNE
2010-05-11,148.99,149.98,140,142.85,4562,651292.44,EQNE
2010-05-12,143.99,143.99,130,139.99,10837,1470244.01,EQNE
2010-05-13,139.98,139.99,131.13,136.95,3854,520573.05,EQNE
2010-05-14,136,136.95,133,135.0,2503,337557.32,EQNE
2010-05-17,130.06,146.96,130,137.5,40976,5742656.54,EQNE
2010-05-18,136.84,137.99,135.1,137.93,484,65971.76,EQNE
2010-05-19,135.02,138,135,137.0,4003,542325.06,EQNE
2010-05-20,137.02,137.02,137,137.0,2212,303046.02,EQNE
2010-05-21,137.01,137.01,136.51,136.51,908,124394.68,EQNE
2010-05-24,136.5,139.89,136.5,138.72,454,62163.44,EQNE
2010-05-25,140,140,125.01,137.0,12868,1750873.13,EQNE
2010-05-26,139.75,139.75,135,139.0,158,21339.8,EQNE
2010-05-27,139.92,139.92,125.56,135.0,586,79046.45,EQNE
2010-05-28,126.55,137.88,126.55,137.88,681,91904.93,EQNE
2010-05-31,127.05,140,127.05,138.88,928,128374.81,EQNE
2010-06-01,135,138.99,130,138.88,830,111633.96,EQNE
2010-06-02,134.01,138.66,134,138.66,2107,282598.4,EQNE
2010-06-03,138.06,138.06,135.05,135.05,102,14079,EQNE
2010-06-04,136.05,137.99,125,135.05,4379,578586.65,EQNE
2010-06-07,128.02,135.99,126,135.99,50,6424.92,EQNE
2010-06-08,132.68,136.05,127.79,129.15,9290,1208381.82,EQNE
2010-06-09,127.4,130,125,125.0,1373,175162.97,EQNE
2010-06-10,125,127.3,122.29,126.4,226,28317.49,EQNE
2010-06-11,124,126,122.03,123.0,1154,142243.75,EQNE
2010-06-15,123,128.29,122,125.0,207,25748.68,EQNE
2010-06-16,125,125,119,121.0,6476,783844.99,EQNE
2010-06-17,119.13,121,118.71,119.99,3138,376529.53,EQNE
2010-06-18,120.05,120.37,110.12,117.01,1600,189620.26,EQNE
2010-06-21,116.8,120,115.01,116.87,624,73117.31,EQNE
2010-06-22,117.91,122.68,116,122.68,2188,261468.94,EQNE
2010-06-23,120.23,122.91,115.01,118.2,3807,453718.58,EQNE
2010-06-24,119.76,124.45,117.72,118.03,13753,1650026.2,EQNE
2010-06-25,117.7,119,105.65,118.5,3215,368782.12,EQNE
2010-06-28,115.38,118.02,113.07,117.99,71,8171.65,EQNE
2010-06-29,115.81,115.81,109.01,110.1,2167,238867.72,EQNE
2010-06-30,105.52,111.95,105.52,111.95,1845,201404.13,EQNE
2010-07-01,103.51,110,98.03,105.0,1383,142881.5,EQNE
2010-07-02,108.17,108.17,101,107.62,856,86888.46,EQNE
2010-07-05,103.86,103.86,98.07,103.81,840,84222.04,EQNE
2010-07-06,103.76,103.82,98.03,98.36,314,31512.67,EQNE
2010-07-07,98.01,103.81,98,100.32,2814,283861.02,EQNE
2010-07-08,100.51,103.81,100,101.01,3144,317894.31,EQNE
2010-07-09,101.01,102.94,100,100.02,1296,131377.4,EQNE
2010-07-12,100.51,100.51,99.5,100.5,5242,526778.95,EQNE
2010-07-13,101.53,103.81,100.52,100.52,109,11270.85,EQNE
2010-07-14,100.53,103.81,100.5,102.99,304,30718.23,EQNE
2010-07-15,103.8,103.8,100.76,102.98,1462,149459.93,EQNE
2010-07-16,100.01,103.8,100,103.8,12,1236.06,EQNE
2010-07-19,102.9,102.99,102,102.95,86,8844.14,EQNE
2010-07-20,102,103.8,100,101.0,157,15919.61,EQNE
2010-07-21,100.01,100.01,96.5,96.51,6711,659782.36,EQNE
2010-07-22,97,97.46,94,95.0,10177,967243.18,EQNE
2010-07-23,94.03,98.01,92.5,94.0,4478,425183,EQNE
2010-07-26,94.95,95,89.72,90.06,11958,1089052.98,EQNE
2010-07-27,93,94.84,88.88,93.39,3345,302443.38,EQNE
2010-07-28,91.24,92,88.75,89.97,3401,305507.14,EQNE
2010-07-29,91.21,92,89,91.44,1748,157085.66,EQNE
2010-07-30,92.3,92.3,87.5,87.65,5819,517242.21,EQNE
2010-08-02,89.32,91.2,86,88.0,3881,338068.92,EQNE
2010-08-03,90.29,93.78,86.18,88.22,8530,770156.71,EQNE
2010-08-04,90.69,92.48,86.13,87.7,21476,1873082.57,EQNE
2010-08-05,88.99,92,87.3,88.88,3240,288817.27,EQNE
2010-08-06,91.99,92,86,88.5,5033,445896.3,EQNE
2010-08-09,90.59,90.59,88.51,88.51,531,47360.62,EQNE
2010-08-10,87.51,94.35,87.5,90.0,7597,681505.91,EQNE
2010-08-11,89.99,89.99,88.47,88.47,61,5441.34,EQNE
2010-08-12,88.29,90.41,88.29,89.0,137,12201.69,EQNE
2010-08-13,94,94.79,89.99,90.0,6600,594914.08,EQNL
2010-08-16,89.5,91.23,89,89.5,279,24961.85,EQNL
2010-08-17,90,92.99,89.51,92.95,1849,167144.85,EQNL
2010-08-18,91.23,94.7,88.72,89.77,27210,2449131.87,EQNL
2010-08-19,90.02,92.14,87.01,87.49,93300,8212855.65,EQNL
2010-08-20,87.04,87.8,87,87.01,22801,1987110.6,EQNL
2010-08-23,87.99,88.5,87.02,87.7,194,17043.12,EQNL
2010-08-24,89.5,89.5,86.82,88.0,1146,99910.06,EQNL
2010-08-25,88,88,83.03,84.35,11259,958875,EQNL
2010-08-26,86.59,86.99,83.2,83.56,843,71643.35,EQNL
2010-08-27,83.56,85.75,83.11,83.16,1661,139435.08,EQNL
2010-08-30,84.78,85.68,82.83,84.44,974,80882.28,EQNL
