date,open,high,low,close,volume,value,board
2012-11-07,15000.0,15000.0,14700.0,14780.0,3,44480.0,EQNE
2012-11-09,13200.0,13200.0,13200.0,13200.0,4,52800.0,EQNE
2012-11-12,13200.0,13300.0,13000.0,13000.0,25,328860.0,EQNE
2012-11-22,13250.0,13250.0,12500.0,12500.0,5,63551.0,EQNE
2012-11-26,12500.0,12500.0,12500.0,12500.0,1,12500.0,EQNE
2012-11-27,12500.0,13000.0,12500.0,12500.0,25,321000.0,EQNE
2012-11-28,12600.0,12700.0,11500.0,12000.0,33,408311.0,EQNE
2012-11-29,12400.0,12400.0,12200.0,12201.0,12,146979.0,EQNE
2012-11-30,12500.0,12500.0,12500.0,12500.0,3,37500.0,EQNE
2012-12-05,12500.0,12500.0,12500.0,12500.0,7,87500.0,EQNE
2012-12-11,12205.0,12205.0,12204.0,12204.0,2,24409.0,EQNE
2012-12-13,12005.0,12005.0,12005.0,12005.0,1,12005.0,EQNE
2012-12-14,12101.0,12101.0,12101.0,12101.0,1,12101.0,EQNE
2012-12-18,12490.0,12490.0,12490.0,12490.0,2,24980.0,EQNE
2012-12-20,12490.0,12490.0,12490.0,12490.0,1,12490.0,EQNE
2012-12-25,12307.0,12307.0,12305.0,12305.0,3,36919.0,EQNE
2012-12-28,12300.0,12300.0,12300.0,12300.0,2,24600.0,EQNE
2013-01-15,12300.0,12300.0,12300.0,12300.0,6,73800.0,EQNE
2013-01-17,12488.0,12488.0,12488.0,12488.0,1,12488.0,EQNE
2013-01-21,12400.0,12400.0,12400.0,12400.0,2,24800.0,EQNE
2013-01-22,12290.0,12290.0,12200.0,12200.0,15,183450.0,EQNE
2013-01-25,12006.0,12448.0,12000.0,12448.0,13,157210.0,EQNE
2013-01-28,12449.0,12450.0,12449.0,12450.0,4,49797.0,EQNE
2013-02-01,12100.0,12100.0,12100.0,12100.0,2,24200.0,EQNE
2013-02-05,12002.0,12002.0,12000.0,12000.0,11,132007.0,EQNE
2013-02-08,12000.0,12100.0,12000.0,12000.0,13,156301.0,EQNE
2013-02-12,12100.0,12100.0,12100.0,12100.0,1,12100.0,EQNE
2013-02-13,11850.0,11850.0,11801.0,11801.0,2,23651.0,EQNE
2013-03-07,12450.0,16556.0,12440.0,16556.0,407,6401079.0,EQNE
2013-03-11,14575.0,20000.0,14575.0,16000.0,187,3338374.0,EQNE
2013-03-12,15806.0,15806.0,14584.0,15200.0,41,630615.0,EQNE
2013-03-13,15500.0,16500.0,15500.0,15600.0,6,94410.0,EQNE
2013-03-14,16000.0,17995.0,16000.0,17300.0,83,1439303.0,EQNE
2013-03-15,14700.0,18899.0,14700.0,18000.0,62,1123910.0,EQNE
2013-03-18,17001.0,18000.0,17000.0,17995.0,36,635865.0,EQNE
2013-03-19,17222.0,17555.0,15901.0,16000.0,32,526346.0,EQNE
2013-03-20,16015.0,16015.0,16015.0,16015.0,1,16015.0,EQNE
2013-03-21,15734.0,15951.0,15700.0,15700.0,10,158271.0,EQNE
2013-03-22,15502.0,15502.0,15501.0,15501.0,2,31003.0,EQNE
2013-03-25,15501.0,15501.0,15500.0,15500.0,3,46502.0,EQNE
2013-03-26,15300.0,15450.0,13950.0,14000.0,69,1017549.0,EQNE
2013-03-27,14500.0,14500.0,14251.0,14251.0,2,28751.0,EQNE
2013-03-28,14250.0,14301.0,14000.0,14000.0,39,547074.0,EQNE
2013-03-29,14300.0,14599.0,14201.0,14599.0,6,86201.0,EQNE
2013-04-02,14200.0,14200.0,13601.0,13601.0,5,68804.0,EQNE
2013-04-03,14000.0,14299.0,14000.0,14000.0,62,868429.0,EQNE
2013-04-04,13650.0,13900.0,13551.0,13551.0,3,41101.0,EQNE
2013-04-05,13100.0,13100.0,13000.0,13000.0,3,39100.0,EQNE
2013-04-08,13500.0,13500.0,13062.0,13449.0,9,121011.0,EQNE
2013-04-09,13000.0,13321.0,12900.0,13321.0,5,65122.0,EQNE
2013-04-10,14300.0,14300.0,13504.0,13960.0,6,83763.0,EQNE
2013-04-11,13501.0,14190.0,13501.0,14000.0,6,84167.0,EQNE
2013-04-12,13999.0,14000.0,13999.0,14000.0,3,41999.0,EQNE
2013-04-15,13012.0,13896.0,13011.0,13016.0,38,498075.0,EQNE
2013-04-16,13001.0,13100.0,13000.0,13100.0,28,364419.0,EQNE
2013-04-17,13000.0,13000.0,12518.0,12518.0,10,126144.0,EQNE
2013-04-18,12501.0,12501.0,12500.0,12500.0,12,150001.0,EQNE
2013-04-24,12021.0,12640.0,12020.0,12640.0,3,36681.0,EQNE
2013-04-26,12500.0,12500.0,12500.0,12500.0,9,112500.0,EQNE
2013-04-30,12717.0,13240.0,12714.0,13240.0,4,51387.0,EQNE
2013-05-02,12808.0,12808.0,12808.0,12808.0,12,153696.0,EQNE
2013-05-07,12704.0,12704.0,12201.0,12201.0,2,24905.0,EQNE
2013-05-08,11005.0,12400.0,11003.0,12400.0,8,89423.0,EQNE
2013-05-13,13788.0,13788.0,13788.0,13788.0,1,13788.0,EQNE
2013-05-20,12401.0,12401.0,12401.0,12401.0,1,12401.0,EQNE
2013-05-21,12400.0,13000.0,12400.0,13000.0,34,429400.0,EQNE
2013-05-22,13000.0,13800.0,13000.0,13800.0,12,159954.0,EQNE
2013-05-24,13300.0,13300.0,13300.0,13300.0,1,13300.0,EQNE
2013-05-27,14396.0,14569.0,14136.0,14140.0,6,86038.0,EQNE
2013-05-28,13002.0,13002.0,11115.0,12000.0,157,1889541.0,EQNE
2013-05-29,12000.0,12200.0,11901.0,11901.0,60,721757.0,EQNE
2013-05-30,11900.0,12049.0,11900.0,12049.0,16,190774.0,EQNE
2013-05-31,11925.0,12100.0,11925.0,12000.0,31,373973.0,EQNE
2013-06-03,12000.0,12200.0,12000.0,12200.0,17,204695.0,EQNE
2013-06-04,12000.0,12000.0,12000.0,12000.0,1,12000.0,EQNE
2013-06-05,12000.0,12000.0,12000.0,12000.0,7,84000.0,EQNE
2013-06-06,12000.0,12889.0,12000.0,12889.0,150,1851555.0,EQNE
2013-06-07,12849.0,12849.0,12849.0,12849.0,1,12849.0,EQNE
2013-06-10,12252.0,12252.0,12100.0,12100.0,20,242730.0,EQNE
2013-06-11,12123.0,12200.0,12123.0,12200.0,3,36523.0,EQNE
2013-06-13,12150.0,12150.0,12000.0,12000.0,6,72601.0,EQNE
2013-06-20,12001.0,12100.0,12001.0,12099.0,7,84303.0,EQNE
2013-06-21,12002.0,12002.0,12001.0,12001.0,3,36004.0,EQNE
2013-06-25,12301.0,12301.0,12301.0,12301.0,4,49204.0,EQNE
2013-06-26,12301.0,12301.0,12000.0,12000.0,4,48903.0,EQNE
