date,open,high,low,close,volume,value,board
2011-05-12,151,151,143.03,148.0,31040,4591747.8,EQBR
2011-05-13,146.11,161.55,146.11,155.01,30900,4676830.6,EQBR
2011-05-16,165.01,165.01,156.6,160.5,97760,15586777.9,EQBR
2011-05-17,157.11,157.11,149.11,149.2,16480,2520326.8,EQBR
2011-05-18,150,151,146.1,147.53,4330,640115.3,EQBR
2011-05-19,142.09,144.68,142.09,144.68,14120,2021349.7,EQBR
2011-05-20,145.36,148.3,143.3,148.0,13390,1946848.4,EQBR
2011-05-23,147.5,147.5,145.52,145.52,22400,3278176.7,EQBR
2011-05-24,147.06,148,132.33,148.0,4110,585603.9,EQBR
2011-05-25,148.77,149,148,149.0,15900,2353461.4,EQBR
2011-05-26,150.8,150.8,148.61,150.48,21050,3156775,EQBR
2011-05-27,149.99,153.39,149.81,152.01,8820,1347587.7,EQBR
2011-05-30,153,153.5,153,153.5,360,55200,EQBR
2011-05-31,153,153.55,153,153.55,2860,437591,EQBR
2011-06-01,153.95,153.95,153.04,153.04,330,50586.3,EQBR
2011-06-02,150.55,151.89,149,151.04,2020,303918.7,EQBR
2011-06-03,151.98,152,150.99,151.0,3920,593787.7,EQBR
2011-06-06,151,151.4,151,151.2,3090,467805.7,EQBR
2011-06-07,151.01,153,151.01,153.0,980,149657.3,EQBR
2011-06-08,151.56,152,151.55,152.0,310,46985.5,EQBR
2011-06-09,151.89,151.9,151.89,151.9,300,45569.5,EQBR
2011-06-10,150.02,151,149.82,151.0,3730,561729.5,EQBR
2011-06-14,151.98,153.98,150.03,153.98,16660,2532537.3,EQBR
2011-06-15,155,156,152.07,153.0,570,87230.7,EQBR
2011-06-16,152,158,152,157.0,12010,1866250.3,EQBR
2011-06-17,158.49,171,156.12,168.0,115180,19270122.6,EQBR
2011-06-20,168,173,156,158.3,5670,901147.9,EQBR
2011-06-21,159,162.74,158.01,161.01,1630,262153.8,EQBR
2011-06-22,160.02,161.98,158.51,161.0,22890,3677159.9,EQBR
2011-06-23,161,161.76,160,160.0,1580,253019,EQBR
2011-06-24,159.99,163,159,163.0,6510,1049843.3,EQBR
2011-06-27,164,165,162.11,164.0,950,154960.2,EQBR
2011-06-28,164,164.47,161,164.0,5170,835923.9,EQBR
2011-06-29,163.01,164,161,161.0,4470,720049.8,EQBR
2011-06-30,163.76,163.76,161.51,161.51,160,25929.8,EQBR
2011-07-01,161.01,163.53,159.22,163.0,13030,2093784.2,EQBR
2011-07-04,163,165.05,162,164.95,107490,17555458.1,EQBR
2011-07-05,164.01,165,164.01,165.0,2620,432219.6,EQBR
2011-07-06,164.99,165,164.25,164.25,47960,7913344.9,EQBR
2011-07-07,164.26,167.9,164.25,167.9,41220,6803003.7,EQBR
2011-07-08,169,169.5,168,169.5,36110,6105136.3,EQBR
2011-07-11,169.88,174,169,173.11,16140,2788681.1,EQBR
2011-07-12,173,174.98,172.6,174.98,61180,10598282.4,EQBR
2011-07-13,175,176.98,174.03,176.98,12950,2274729.5,EQBR
2011-07-14,180,180,178,180.0,32490,5834573.4,EQBR
2011-07-15,180.68,183.5,167.07,180.49,82510,14844620.8,EQBR
2011-07-18,183,186.01,183,185.5,17200,3195548.8,EQBR
2011-07-19,185,186,184,184.63,1960,361385.5,EQBR
2011-07-20,185.29,187,183.99,186.5,7260,1348730.9,EQBR
2011-07-21,187.97,191,187,190.0,11410,2158164.7,EQBR
2011-07-22,189.25,190.38,189,189.0,6740,1277252.5,EQBR
2011-07-25,190.17,192.5,189.89,191.24,15050,2884758.2,EQBR
2011-07-26,191.97,192.5,191,192.5,3650,699116.4,EQBR
2011-07-27,192,192.5,190.5,190.5,5610,1076828.4,EQBR
2011-07-28,190.8,190.81,184,187.5,56260,10529375.5,EQBR
2011-07-29,187.5,188.8,186.01,188.5,45350,8530269.7,EQBR
2011-08-01,189.98,190.99,189,190.5,9990,1901167.7,EQBR
2011-08-02,191,191.5,189.9,191.0,15680,2990241.6,EQBR
2011-08-03,189,192.48,189,192.43,111500,21284819.6,EQBR
2011-08-04,191.51,191.51,180,181.0,30630,5753290.6,EQBR
2011-08-05,164.06,170,156.5,169.19,101830,16840320.5,EQBR
2011-08-08,160.2,169.01,145.15,153.98,208270,32930865.9,EQBR
2011-08-09,140.44,160.89,138,160.71,930670,139103836.2,EQBR
