date,open,high,low,close,volume,value,board
2007-10-30,73.37,73.63,73.37,73.63,2117,155429.56,EQNE
2007-10-31,83.11,83.11,73.43,76.93,15268,1138907.05,EQNE
2007-11-01,78,78,73.89,73.89,4470,333672.11,EQNE
2007-11-02,73.93,99,55,77.01,1455,109542.3,EQNE
2007-11-06,79.4,90,76.98,77.01,2382,184193.76,EQNE
2007-11-07,80,89,73.76,89.0,595,46056.65,EQNE
2007-11-08,79,84,76,76.0,342,26889.32,EQNE
2007-11-09,79.32,93,76.01,77.0,2823,226821.52,EQNE
2007-11-12,75,75.45,74,74.0,2195,163439.09,EQNE
2007-11-13,76,76,74.05,75.0,508,37983.4,EQNE
2007-11-14,80.9,81,74.97,75.48,1776,134454.9,EQNE
2007-11-15,76,80,76,78.5,395,31104.96,EQNE
2007-11-16,79,79,75.81,75.81,569,43243.38,EQNE
2007-11-19,75,75,74.8,74.97,654,48947.16,EQNE
2007-11-20,73.5,74.97,73.5,74.97,174,12897.78,EQNE
2007-11-21,75.1,75.1,73.8,73.8,568,42378.76,EQNE
2007-11-22,75.8,75.8,74.36,74.36,499,37520.2,EQNE
2007-11-23,74.46,74.46,73,73.0,1499,109468.41,EQNE
2007-11-26,73.99,74.2,73.99,74.2,10003,742221.99,EQNE
2007-11-27,73.11,74.46,73,73.0,10792,787978.89,EQNE
2007-11-28,73.99,77.5,72.5,73.2,6047,441637.82,EQNE
2007-11-29,73.95,73.95,71.75,71.75,4368,314896.4,EQNE
2007-11-30,72.99,72.99,71.75,72.0,445,32032.74,EQNE
2007-12-03,71.54,71.75,71.54,71.75,506,36284.5,EQNE
2007-12-06,72,72.99,72,72.99,1571,114666.29,EQNE
2007-12-10,72.93,72.93,72.93,72.93,3,218.79,EQNE
2007-12-11,72.92,72.93,72.8,72.8,41,2987.51,EQNE
2007-12-12,72,72,72,72.0,10,720,EQNE
2007-12-14,72.06,72.16,72.06,72.16,5883,424357.28,EQNE
2007-12-17,72.16,72.16,72.06,72.06,2319,167108.64,EQNE
2007-12-18,71,71,70.58,70.58,659,46532.38,EQNE
2007-12-19,69.5,69.5,69.5,69.5,10,695,EQNE
2007-12-20,70.5,71,68,68.25,839,57497.2,EQNE
2007-12-21,70.2,70.2,70.2,70.2,1,70.2,EQNE
2007-12-24,68,71.99,68,69.66,1389,95879.46,EQNE
2007-12-25,71.9,73,70.5,73.0,3220,230504,EQNE
2007-12-26,71.02,75,71.02,74.5,336,24811.51,EQNE
2007-12-27,77,79.51,76,77.0,1738,135062.45,EQNE
2007-12-28,78.34,78.47,74.2,78.47,605,47284.78,EQNE
2008-01-09,81,81,79.91,81.0,954,76694.3,EQNE
2008-01-10,79.94,100,79.94,100.0,3678,336341.04,EQNE
2008-01-11,107.12,112,93.9,102.0,5585,596607.27,EQNE
2008-01-14,95,110.22,95,99.97,3979,390628.24,EQNE
2008-01-15,98,103.49,98,101.0,328,32766.41,EQNE
2008-01-16,94.07,100,91.3,98.0,1656,156496.19,EQNE
2008-01-17,92,92,73,75.94,111159,8386135.17,EQNE
2008-01-18,75.25,77,71.51,76.3,14275,1065144.24,EQNE
2008-01-21,76.15,76.15,70.24,73.9,14651,1086881.09,EQNE
2008-01-22,69,71.39,62,70.0,3661,250363.75,EQNE
2008-01-23,68,75.9,66.8,69.29,12209,854588.16,EQNE
2008-01-24,70.43,70.5,68.8,70.29,4483,313292.47,EQNE
2008-01-25,70,71.2,68.05,70.4,2433,169923.63,EQNE
2008-01-28,70.1,70.51,66.12,68.99,3662,249453.3,EQNE
2008-01-29,69.89,69.89,66,68.9,5716,392002.72,EQNE
