date,open,high,low,close,volume,value,board
2005-12-26,1.0,1.0,1.0,1.0,200,200.0,EQNE
2005-12-27,0.12,0.12,0.12,0.12,200,24.0,EQNE
2005-12-28,0.93,1.03,0.93,1.0,1700,1696.0,EQNE
2005-12-29,0.21,0.22,0.2,0.21,217600,44822.0,EQNE
2006-01-10,0.17,0.21,0.16,0.21,97000,17930.0,EQNE
2006-01-11,0.21,0.21,0.21,0.21,16100,3381.0,EQNE
2006-01-12,0.21,0.24,0.21,0.24,38500,8355.0,EQNE
2006-01-13,0.22,0.23,0.21,0.23,405100,86913.0,EQNE
2006-01-16,0.21,0.3,0.2,0.23,468600,103588.0,EQNE
2006-01-17,0.21,0.24,0.17,0.17,894100,163713.0,EQNE
2006-01-18,0.18,0.18,0.16,0.18,543600,92086.0,EQNE
2006-01-19,0.19,0.19,0.19,0.19,15000,2850.0,EQNE
2006-01-20,0.19,0.19,0.19,0.19,1000,190.0,EQNE
2006-01-23,0.19,0.19,0.19,0.19,10000,1900.0,EQNE
2006-01-24,0.17,0.19,0.17,0.19,66500,11313.0,EQNE
2006-01-25,0.19,0.19,0.17,0.18,22200,3803.0,EQNE
2006-01-26,0.17,0.18,0.17,0.18,1800,317.0,EQNE
2006-01-27,0.17,0.18,0.16,0.18,133900,22217.0,EQNE
2006-01-30,0.16,0.18,0.16,0.18,25400,4254.0,EQNE
2006-02-01,0.16,0.16,0.16,0.16,100,16.0,EQNE
2006-02-02,0.17,0.17,0.17,0.17,1000,170.0,EQNE
2006-02-07,0.17,0.17,0.15,0.17,4300,669.0,EQNE
2006-02-08,0.16,0.16,0.16,0.16,12700,2032.0,EQNE
2006-02-09,0.15,0.17,0.15,0.15,29300,4414.0,EQNE
2006-02-10,0.15,0.15,0.15,0.15,18300,2745.0,EQNE
2006-02-13,0.16,0.16,0.16,0.16,100,16.0,EQNE
2006-02-14,0.16,0.16,0.15,0.15,72000,11020.0,EQNE
2006-02-15,0.15,0.15,0.15,0.15,1600,240.0,EQNE
2006-02-16,0.16,0.16,0.14,0.16,9900,1432.0,EQNE
2006-02-17,0.11,0.16,0.02,0.16,1135900,67380.0,EQNE
2006-02-20,0.17,0.26,0.15,0.25,3547400,723110.0,EQNE
2006-02-21,0.25,0.28,0.22,0.26,957600,246694.0,EQNE
2006-02-22,0.25,0.25,0.22,0.25,77900,18113.0,EQNE
2006-02-26,0.21,0.23,0.17,0.21,2668900,574442.0,EQNE
2006-02-27,0.2,0.22,0.2,0.22,179800,37628.0,EQNE
2006-02-28,0.22,0.22,0.2,0.21,50200,10043.0,EQNE
2006-03-01,0.2,0.22,0.19,0.22,193100,40098.0,EQNE
2006-03-02,0.21,0.24,0.21,0.22,90800,20145.0,EQNE
2006-03-03,0.2,0.21,0.19,0.21,57000,11071.0,EQNE
2006-03-06,0.19,0.19,0.17,0.19,10234000,1803085.0,EQNE
2006-03-07,0.17,0.19,0.16,0.18,217400,36661.0,EQNE
2006-03-09,0.18,0.18,0.17,0.17,85000,14500.0,EQNE
2006-03-10,0.18,0.19,0.17,0.18,21700,3807.0,EQNE
