date,open,high,low,close,volume,value,board
2003-02-03,0.755,0.755,0.712,0.712,210100,152337.3,EQNE
2003-02-04,0.715,0.783,0.714,0.72,1000400,741885.6,EQNE
2003-02-05,0.789,0.79,0.703,0.74,589900,434019.3,EQNE
2003-02-06,0.728,0.744,0.728,0.744,4800,3507.2,EQNE
2003-02-07,0.735,0.75,0.735,0.748,203500,152577.5,EQNE
2003-02-10,0.74,0.772,0.731,0.769,239500,180610.4,EQNE
2003-02-11,0.757,0.769,0.75,0.75,105900,79526.5,EQNE
2003-02-12,0.849,0.849,0.765,0.782,370000,287219.1,EQNE
2003-02-13,0.799,0.81,0.79,0.81,438600,351360.7,EQNE
2003-02-14,0.85,0.879,0.78,0.8,932800,754595.5,EQNE
2003-02-17,0,0,0,0.0,0,0,EQNE
2003-02-18,0.81,0.81,0.81,0.81,30600,24786,EQNE
2003-02-19,0.78,0.78,0.725,0.74,267900,200460.2,EQNE
2003-02-20,0.756,0.757,0.756,0.757,1500,1135,EQNE
2003-02-21,0.75,0.75,0.723,0.734,16100,11709.5,EQNE
2003-02-25,0,0,0,0.0,0,0,EQNE
2003-02-26,0.724,0.724,0.724,0.724,7800,5647.2,EQNE
2003-02-27,0.73,0.75,0.73,0.733,193400,141687.7,EQNE
2003-02-28,0.732,0.761,0.732,0.754,152700,114649.5,EQNE
2003-03-03,0.726,0.75,0.726,0.75,153100,112038.6,EQNE
2003-03-04,0.731,0.749,0.73,0.731,185300,135940.6,EQNE
2003-03-05,0.725,0.727,0.711,0.72,452200,325655.2,EQNE
2003-03-06,0.725,0.737,0.72,0.726,753200,548897.7,EQNE
2003-03-07,0.74,0.742,0.74,0.742,1000,741,EQNE
2003-03-11,0.701,0.73,0.7,0.719,120700,87094,EQNE
2003-03-12,0.732,0.733,0.67,0.71,633000,445968.9,EQNE
2003-03-13,0.7,0.71,0.7,0.71,319100,224882,EQNE
2003-03-14,0.71,0.72,0.71,0.71,78600,55858.7,EQNE
2003-03-17,0.71,0.711,0.71,0.711,330800,234945.5,EQNE
2003-03-18,0.71,0.711,0.71,0.71,110100,78171.1,EQNE
2003-03-19,0.7,0.719,0.7,0.71,466200,330918.9,EQNE
2003-03-20,0.67,0.815,0.67,0.803,1158900,899928.9,EQNE
2003-03-21,0.8,0.84,0.795,0.81,1233700,1027516,EQNE
2003-03-24,0.795,0.828,0.795,0.828,21300,16959.9,EQNE
