date,open,high,low,close,volume,value,board
2012-08-31,45.0,45.0,45.0,45.0,500,22500.0,EQNE
2012-09-03,45.0,45.0,45.0,45.0,500,22500.0,EQNE
2012-12-26,36.3,36.3,36.3,36.3,500,18150.0,EQNE
2012-12-28,36.3,36.3,36.3,36.3,1000,36300.0,EQNE
2013-03-01,35.5,35.5,35.5,35.5,4000,142000.0,EQNE
2013-03-15,35.85,35.85,35.75,35.75,1700,60865.0,EQNE
2013-03-19,35.7,35.7,35.7,35.7,1500,53550.0,EQNE
2013-03-21,36.0,36.0,36.0,36.0,4000,144000.0,EQNE
2013-03-25,36.2,36.3,36.2,36.3,1000,36250.0,EQNE
2013-03-27,36.3,36.3,36.0,36.0,1500,54250.0,EQNE
2013-04-01,35.85,35.85,35.85,35.85,100,3585.0,EQNE
2013-04-02,35.85,35.85,35.85,35.85,2300,82455.0,EQNE
2013-04-03,35.75,35.75,35.75,35.75,3000,107250.0,EQNE
2013-04-11,35.75,35.75,35.75,35.75,4000,143000.0,EQNE
2013-04-12,35.75,35.75,35.75,35.75,1000,35750.0,EQNE
2013-04-16,35.7,35.7,35.7,35.7,4000,142800.0,EQNE
2013-04-17,35.7,35.7,35.65,35.65,7500,267575.0,EQNE
2013-04-18,35.65,35.65,35.65,35.65,8000,285200.0,EQNE
2013-04-19,35.65,35.65,35.6,35.6,9500,338600.0,EQNE
2013-04-22,35.6,35.6,35.6,35.6,7900,281240.0,EQNE
2013-04-23,35.6,35.6,35.6,35.6,4000,142400.0,EQNE
2013-04-25,35.5,35.5,35.5,35.5,4000,142000.0,EQNE
2013-05-08,34.8,34.8,34.8,34.8,2000,69600.0,EQNE
2013-05-15,35.6,35.6,35.5,35.5,1500,53300.0,EQNE
2013-05-16,35.7,35.7,35.7,35.7,2500,89250.0,EQNE
2013-05-17,35.8,35.8,35.8,35.8,2000,71600.0,EQNE
2013-05-21,36.8,36.8,36.8,36.8,1000,36800.0,EQNE
2013-05-22,36.8,36.8,36.8,36.8,3400,125120.0,EQNE
2013-05-23,36.6,36.6,36.5,36.5,2900,106040.0,EQNE
2013-05-24,36.8,36.8,36.8,36.8,1600,58880.0,EQNE
2013-05-28,36.8,36.8,36.8,36.8,3700,136160.0,EQNE
2013-05-29,36.7,36.7,36.7,36.7,2800,102760.0,EQNE
2013-05-30,36.9,36.9,36.9,36.9,2700,99630.0,EQNE
2013-05-31,36.9,36.9,36.9,36.9,2200,81180.0,EQNE
2013-06-03,36.7,36.7,36.5,36.5,2600,95140.0,EQNE
2013-06-05,36.5,36.5,36.5,36.5,1700,62050.0,EQNE
2013-06-07,36.3,36.3,36.25,36.25,2300,83450.0,EQNE
