date,open,high,low,close,volume,value,board
2006-01-25,2.85,3,2.85,3.0,162300,474900,EQNE
2006-03-09,4.97,4.97,4.97,4.97,20100,99897,EQNE
2006-03-24,5,6,5,5.01,8000,40770,EQNE
2006-03-27,4.8,5.5,4.8,5.0,7300,37200,EQNE
2006-03-28,6.4,6.99,6.4,6.99,1900,12724,EQNE
2006-03-29,6.87,6.87,6.87,6.87,100,687,EQNE
2006-03-31,5.02,5.02,5.02,5.02,2000,10040,EQNE
2006-04-03,5.56,5.56,5.56,5.56,300000,1668000,EQNE
2006-04-04,6,6,5.1,5.56,81800,454588,EQNE
2006-04-05,5.52,5.52,5.52,5.52,200000,1104000,EQNE
2006-04-10,5.5,5.5,5.5,5.5,4900,26950,EQNE
2006-04-14,5.25,5.26,5.18,5.25,35200,184115,EQNE
2006-04-17,6.5,7,6.3,6.38,2100,13960,EQNE
2006-04-18,5.25,5.26,5.25,5.26,900,4727,EQNE
2006-04-21,5.2,5.2,5.2,5.2,3000,15600,EQNE
2006-04-24,5.45,5.45,5.45,5.45,29400,160230,EQNE
2006-04-27,5.1,5.1,5,5.0,2800,14200,EQNE
2006-04-28,5.45,6.5,5.45,6.5,37400,206840,EQNE
2006-05-06,5,5,5,5.0,600,3000,EQNE
2006-05-10,5,5,5,5.0,25500,127500,EQNE
2006-05-24,4.7,4.7,4.7,4.7,20300,95410,EQNE
2006-06-06,4.5,4.5,4.5,4.5,200,900,EQNE
2006-06-07,4.6,4.6,4.6,4.6,6000,27600,EQNE
2006-06-21,4.15,4.15,4.15,4.15,4000,16600,EQNE
2006-07-03,4.01,4.01,4.01,4.01,100,401,EQNE
2006-07-05,4.01,4.01,4.01,4.01,6900,27669,EQNE
2006-07-06,4,4.3,4,4.3,12000,51010,EQNE
2006-07-07,4.01,4.5,4.01,4.5,22000,95881,EQNE
2006-07-13,4.1,4.1,4.1,4.1,2000,8200,EQNE
2006-07-14,4,4,4,4.0,1900,7600,EQNE
2006-07-17,4,4,4,4.0,100,400,EQNE
2006-07-18,4,4,4,4.0,14500,58000,EQNE
2006-07-20,4.05,4.05,4,4.0,3000,12040,EQNE
2006-07-21,3.91,4,3.91,4.0,5400,21582,EQNE
2006-07-25,4.5,4.5,4.5,4.5,39800,179100,EQNE
2006-07-26,4.4,4.4,4.4,4.4,5000,22000,EQNE
2006-07-27,4.35,4.35,4.35,4.35,700,3045,EQNE
2006-08-03,4.75,4.75,4.75,4.75,15000,71250,EQNE
2006-08-08,4.7,4.7,4.7,4.7,12000,56400,EQNE
2006-08-15,6.1,6.1,6.1,6.1,100,610,EQNE
2006-08-24,5,5.5,5,5.5,9500,47879,EQNE
2006-08-28,5,5,5,5.0,200,1000,EQNE
2006-08-30,5.25,5.25,5.25,5.25,5000,26250,EQNE
2006-09-01,5.001,5.272,5.001,5.268,20000,102481.6,EQNE
2006-09-05,5.4,5.4,5.251,5.39,79800,429648,EQNE
