date,open,high,low,close,volume,value,board
2003-02-03,0.37,0.4,0.37,0.4,5047800,1964761.6,EQNE
2003-02-04,0.39,0.465,0.38,0.464,7235800,3123321.7,EQNE
2003-02-05,0.467,0.49,0.465,0.479,3226400,1534594.8,EQNE
2003-02-06,0.486,0.498,0.442,0.482,5225900,2495276.4,EQNE
2003-02-07,0.482,0.509,0.48,0.492,2179200,1077845.6,EQNE
2003-02-10,0.5,0.518,0.461,0.466,1199000,574805.7,EQNE
2003-02-11,0.478,0.493,0.477,0.478,2995800,1435583,EQNE
2003-02-12,0.52,0.52,0.467,0.5,1665200,820767.3,EQNE
2003-02-13,0.545,0.545,0.455,0.455,1281500,623158.7,EQNE
2003-02-14,0.486,0.486,0.453,0.459,1825200,852048.6,EQNE
2003-02-17,0.47,0.47,0.445,0.449,1184500,529648,EQNE
2003-02-18,0.453,0.459,0.442,0.457,704400,317458.9,EQNE
2003-02-19,0.469,0.469,0.44,0.45,408100,183207.8,EQNE
2003-02-20,0.46,0.46,0.44,0.456,708600,312744.9,EQNE
2003-02-21,0.46,0.46,0.449,0.459,256100,117426,EQNE
2003-02-25,0.46,0.46,0.43,0.43,1898700,829625.3,EQNE
2003-02-26,0.455,0.455,0.41,0.429,2421800,1041654.7,EQNE
2003-02-27,0.455,0.455,0.407,0.415,383400,157744.4,EQNE
2003-02-28,0.415,0.43,0.405,0.41,51100,20722,EQNE
2003-03-03,0.415,0.424,0.398,0.424,498800,207157.6,EQNE
2003-03-04,0.425,0.43,0.42,0.427,122200,51545.2,EQNE
2003-03-05,0.423,0.429,0.408,0.429,1156900,484286.5,EQNE
2003-03-06,0.483,0.485,0.431,0.44,1235100,562297.7,EQNE
2003-03-07,0.455,0.455,0.43,0.43,760500,327017.9,EQNE
2003-03-11,0.44,0.44,0.436,0.436,4900,2136.8,EQNE
2003-03-12,0.46,0.46,0.431,0.447,76800,33979.8,EQNE
2003-03-13,0.44,0.44,0.43,0.43,207500,89599,EQNE
2003-03-14,0.453,0.453,0.425,0.435,181900,78327.5,EQNE
2003-03-17,0.449,0.449,0.41,0.433,11800,4984.5,EQNE
2003-03-18,0.443,0.443,0.42,0.432,413500,173806.4,EQNE
2003-03-19,0.438,0.438,0.425,0.43,431600,183918.6,EQNE
2003-03-20,0.443,0.443,0.41,0.41,222500,94511.4,EQNE
2003-03-21,0.435,0.435,0.405,0.405,255100,103819.1,EQNE
2003-03-24,0.433,0.433,0.386,0.418,142000,58547,EQNE
2003-03-25,0.43,0.43,0.38,0.42,188900,75421.5,EQNE
2003-03-26,0.441,0.445,0.408,0.417,75400,32027.2,EQNE
2003-03-27,0.424,0.424,0.4,0.41,189900,76721.7,EQNE
2003-03-28,0.413,0.416,0.396,0.4,477100,189830.6,EQNE
2003-03-31,0.413,0.416,0.39,0.416,51100,19955.2,EQNE
2003-04-01,0.43,0.43,0.385,0.386,12900,5230.9,EQNE
2003-04-02,0.425,0.425,0.39,0.399,84800,33791.5,EQNE
2003-04-03,0.42,0.42,0.4,0.405,722000,288817,EQNE
2003-04-04,0.425,0.425,0.4,0.408,100400,40163.3,EQNE
2003-04-07,0.422,0.434,0.39,0.412,542300,225060,EQNE
2003-04-08,0.427,0.427,0.403,0.416,302700,125742.8,EQNE
2003-04-09,0.418,0.418,0.4,0.404,50900,20445.4,EQNE
2003-04-10,0.425,0.425,0.392,0.406,147100,59100.7,EQNE
2003-04-11,0.424,0.424,0.385,0.4,12700,5059.6,EQNE
2003-04-14,0.383,0.414,0.383,0.39,1351700,527209.3,EQNE
2003-04-15,0.382,0.4,0.38,0.381,162300,62066.8,EQNE
2003-04-16,0.398,0.398,0.38,0.398,859500,335146.4,EQNE
2003-04-17,0.4,0.404,0.383,0.39,275600,107462.7,EQNE
2003-04-18,0.402,0.402,0.402,0.402,100,40.2,EQNE
2003-04-21,0.39,0.398,0.389,0.395,999000,396579.3,EQNE
2003-04-22,0.4,0.4,0.395,0.4,250100,99656.2,EQNE
2003-04-23,0.403,0.404,0.402,0.404,1439000,578502,EQNE
2003-04-24,0.409,0.41,0.397,0.409,458000,186830.1,EQNE
2003-04-25,0.409,0.409,0.4,0.405,300100,120344.4,EQNE
2003-04-28,0.405,0.405,0.405,0.405,100,40.5,EQNE
2003-04-30,0.398,0.408,0.384,0.401,160100,63526.1,EQNE
2003-05-05,0.409,0.409,0.382,0.385,787500,308115,EQNE
2003-05-06,0.394,0.396,0.389,0.394,70100,27421.4,EQNE
2003-05-07,0.397,0.405,0.39,0.39,198800,80264.4,EQNE
2003-05-08,0.405,0.405,0.39,0.39,60400,23557.5,EQNE
2003-05-12,0.39,0.398,0.37,0.382,371500,142795.2,EQNE
2003-05-13,0.396,0.396,0.375,0.381,16000,6116.8,EQNE
2003-05-14,0.39,0.39,0.38,0.38,488800,187998.9,EQNE
2003-05-15,0.39,0.39,0.39,0.39,100,39,EQNE
2003-05-16,0.385,0.397,0.385,0.397,24700,9510.7,EQNE
2003-05-19,0.397,0.409,0.386,0.388,1390700,554747.1,EQNE
2003-05-20,0.408,0.408,0.38,0.38,859500,327460.7,EQNE
2003-05-21,0.384,0.4,0.384,0.4,330000,130079.4,EQNE
2003-05-22,0.399,0.428,0.399,0.422,1706300,706205.5,EQNE
2003-05-23,0.427,0.427,0.4,0.424,1832500,755184.1,EQNE
2003-05-26,0.41,0.415,0.407,0.411,1197200,491851.8,EQNE
2003-05-27,0.402,0.447,0.402,0.43,4447100,1947174.8,EQNE
2003-05-28,0.42,0.439,0.42,0.43,156400,66647.6,EQNE
2003-05-29,0.435,0.447,0.422,0.447,5703000,2470851.6,EQNE
2003-05-30,0.445,0.445,0.435,0.44,575100,253914.3,EQNE
2003-06-02,0.435,0.449,0.434,0.438,549400,243463.3,EQNE
2003-06-03,0.447,0.447,0.435,0.445,1568600,685211.4,EQNE
2003-06-04,0.449,0.449,0.431,0.433,2408400,1043266.4,EQNE
2003-06-05,0.439,0.439,0.426,0.435,1507400,657251,EQNE
2003-06-06,0.439,0.439,0.425,0.425,2653100,1137626.5,EQNE
2003-06-10,0.415,0.436,0.402,0.413,803100,331881.1,EQNE
2003-06-11,0.42,0.44,0.4,0.435,4524100,1903934.4,EQNE
2003-06-16,0.416,0.45,0.416,0.43,1629400,701090.1,EQNE
2003-06-17,0.415,0.437,0.415,0.422,367900,155137.7,EQNE
2003-06-18,0.422,0.444,0.417,0.43,1014700,430927.4,EQNE
2003-06-19,0.421,0.43,0.42,0.429,1687700,720885.7,EQNE
2003-06-20,0.43,0.44,0.43,0.435,3729400,1630169.2,EQNE
2003-06-21,0.44,0.44,0.43,0.44,1098400,483294,EQNE
2003-06-23,0.444,0.444,0.428,0.428,35200,15070.4,EQNE
2003-06-24,0.44,0.44,0.429,0.44,1123300,492610.6,EQNE
2003-06-25,0.447,0.447,0.44,0.44,200,88.7,EQNE
2003-06-26,0.457,0.5,0.438,0.448,830300,376199.7,EQNE
2003-06-27,0.445,0.445,0.444,0.444,22500,9990.1,EQNE
2003-06-30,0.45,0.45,0.425,0.44,291400,126710.8,EQNE
2003-07-01,0.43,0.435,0.43,0.435,200100,86043.5,EQNE
2003-07-02,0.435,0.435,0.428,0.428,417300,179005.1,EQNE
2003-07-03,0.444,0.444,0.435,0.435,200,87.9,EQNE
2003-07-04,0.43,0.43,0.427,0.427,267100,114831.7,EQNE
2003-07-07,0.435,0.44,0.427,0.44,720100,315954.5,EQNE
2003-07-08,0.469,0.469,0.427,0.435,2367400,1029119,EQNE
2003-07-09,0.435,0.44,0.43,0.435,1055600,457936.5,EQNE
2003-07-10,0.424,0.43,0.41,0.419,1842500,780876.3,EQNE
2003-07-11,0.429,0.43,0.42,0.43,1734000,730913.8,EQNE
2003-07-14,0.411,0.428,0.411,0.428,157300,65555.1,EQNE
2003-07-15,0.434,0.434,0.425,0.425,100700,42798.4,EQNE
2003-07-16,0.417,0.425,0.415,0.416,2691800,1127544.8,EQNE
2003-07-17,0.428,0.428,0.415,0.415,679600,282662.6,EQNE
2003-07-18,0.42,0.42,0.415,0.415,336000,139445.4,EQNE
2003-07-21,0.417,0.417,0.416,0.416,529000,220314,EQNE
2003-07-22,0.416,0.416,0.413,0.413,3791900,1573150.7,EQNE
2003-07-23,0.402,0.412,0.401,0.412,675200,272665.3,EQNE
2003-07-24,0.405,0.417,0.402,0.415,693100,284414.7,EQNE
2003-07-25,0.417,0.423,0.417,0.423,1924800,808659,EQNE
2003-07-28,0.405,0.424,0.405,0.418,235500,98389,EQNE
2003-07-29,0.408,0.425,0.408,0.413,181200,74597.3,EQNE
2003-07-30,0.41,0.42,0.41,0.42,50100,20542,EQNE
2003-07-31,0.421,0.422,0.414,0.42,100400,41568.4,EQNE
2003-08-01,0.42,0.423,0.42,0.42,919900,387842,EQNE
2003-08-04,0.42,0.421,0.42,0.421,1106100,465492,EQNE
2003-08-05,0.426,0.43,0.425,0.43,1073400,459561,EQNE
2003-08-06,0.43,0.435,0.43,0.435,1047300,451938.5,EQNE
2003-08-07,0.437,0.437,0.43,0.43,346000,149057.7,EQNE
2003-08-08,0.426,0.434,0.42,0.43,167000,71826.4,EQNE
2003-08-11,0.434,0.434,0.42,0.42,29248,12289.56,EQNE
2003-08-12,0.42,0.43,0.419,0.43,1744300,733576.7,EQNE
2003-08-13,0.43,0.458,0.425,0.44,5914700,2601646.8,EQNE
2003-08-14,0.425,0.495,0.425,0.485,2598700,1208521.9,EQNE
2003-08-15,0.469,0.481,0.469,0.47,3740700,1767635.4,EQNE
2003-08-18,0.479,0.488,0.475,0.475,469000,225860,EQNE
2003-08-19,0.48,0.48,0.45,0.465,142600,66270.5,EQNE
2003-08-20,0.46,0.477,0.433,0.46,524400,229720.9,EQNE
2003-08-21,0.45,0.465,0.437,0.445,238400,107924.6,EQNE
2003-08-22,0.448,0.45,0.445,0.445,3698800,1657904.8,EQNE
2003-08-25,0.45,0.45,0.434,0.434,17300,7783.4,EQNE
2003-08-26,0.437,0.449,0.436,0.449,120000,52362,EQNE
2003-08-28,0.44,0.443,0.438,0.44,576500,253172,EQNE
2003-08-29,0.447,0.463,0.44,0.46,3296600,1511017.6,EQNE
2003-09-01,0.47,0.499,0.47,0.499,4035100,1969110.8,EQNE
2003-09-02,0.47,0.529,0.47,0.525,4488300,2277869.4,EQNE
2003-09-03,0.494,0.512,0.492,0.5,1954800,975684.8,EQNE
2003-09-04,0.5,0.51,0.491,0.51,870100,438567.8,EQNE
2003-09-05,0.51,0.56,0.51,0.547,2934500,1550733.2,EQNE
2003-09-08,0.55,0.57,0.525,0.54,1014600,561692.8,EQNE
2003-09-09,0.579,0.579,0.541,0.541,346300,189880.4,EQNE
2003-09-10,0.54,0.579,0.54,0.578,880900,496401.8,EQNE
2003-09-11,0.578,0.66,0.565,0.63,3474700,2060611.4,EQNE
2003-09-12,0.7,0.7,0.602,0.633,2009500,1237890.4,EQNE
2003-09-15,0.68,0.685,0.621,0.65,651800,424876.5,EQNE
2003-09-16,0.621,0.681,0.621,0.679,2179100,1474453.8,EQNE
2003-09-17,0.67,0.719,0.67,0.715,2658700,1843081.3,EQNE
2003-09-18,0.744,0.744,0.696,0.719,2258600,1619143.7,EQNE
2003-09-19,0.728,0.728,0.705,0.724,820000,585514.2,EQNE
2003-09-22,0.72,0.723,0.676,0.676,898600,613738.2,EQNE
2003-09-23,0.682,0.72,0.682,0.716,3772600,2645919.9,EQNE
2003-09-24,0.72,0.775,0.72,0.767,1261400,934313.4,EQNE
2003-09-25,0.8,0.806,0.732,0.759,6200900,4784471.6,EQNE
2003-09-26,0.768,0.804,0.75,0.768,4816100,3716988.3,EQNE
2003-09-29,0.768,0.795,0.764,0.77,1286700,1000941.5,EQNE
2003-09-30,0.758,0.77,0.72,0.741,1101100,820304.3,EQNE
2003-10-01,0.721,0.763,0.721,0.743,1576400,1189065.7,EQNE
2003-10-02,0.743,0.749,0.703,0.729,961000,704585.5,EQNE
2003-10-03,0.73,0.735,0.645,0.7,5275700,3598761.9,EQNE
2003-10-06,0.677,0.725,0.677,0.71,1560200,1102250.7,EQNE
2003-10-07,0.728,0.735,0.709,0.725,848800,615241.3,EQNE
2003-10-08,0.71,0.73,0.68,0.711,1469700,1031299.3,EQNE
2003-10-09,0.693,0.779,0.693,0.768,1227100,928345.7,EQNE
2003-10-10,0.769,0.773,0.74,0.759,320400,243151,EQNE
