date,open,high,low,close,volume,value,board
2003-02-03,0.201,0.211,0.201,0.206,12743800,2635266.4,EQNE
2003-02-04,0.201,0.22,0.201,0.218,20595500,4383210.3,EQNE
2003-02-05,0.22,0.245,0.214,0.234,49210700,11299162.0,EQNE
2003-02-06,0.239,0.251,0.233,0.234,22086500,5313903.0,EQNE
2003-02-07,0.24,0.245,0.229,0.236,18859100,4437798.9,EQNE
2003-02-10,0.235,0.24,0.225,0.226,6744000,1555061.2,EQNE
2003-02-11,0.224,0.236,0.224,0.234,7907700,1843103.4,EQNE
2003-02-12,0.253,0.253,0.222,0.234,10104200,2330634.7,EQNE
2003-02-13,0.255,0.255,0.226,0.226,4873700,1120593.7,EQNE
2003-02-14,0.23,0.23,0.224,0.224,8378100,1896602.1,EQNE
2003-02-17,0.218,0.228,0.216,0.22,10935900,2398677.2,EQNE
2003-02-18,0.221,0.221,0.217,0.219,2928500,639035.3,EQNE
2003-02-19,0.219,0.22,0.215,0.217,5801700,1259108.3,EQNE
2003-02-20,0.215,0.22,0.214,0.219,3717000,808296.9,EQNE
2003-02-21,0.222,0.225,0.215,0.221,2236100,494496.0,EQNE
2003-02-25,0.223,0.223,0.216,0.216,3995000,875889.1,EQNE
2003-02-26,0.23,0.23,0.208,0.214,13202300,2815243.4,EQNE
2003-02-27,0.222,0.222,0.211,0.212,1535700,327470.4,EQNE
2003-02-28,0.215,0.215,0.21,0.211,3895800,822696.9,EQNE
2003-03-03,0.21,0.219,0.21,0.214,1763500,379627.6,EQNE
2003-03-04,0.223,0.223,0.212,0.217,1177300,253007.6,EQNE
2003-03-05,0.215,0.221,0.214,0.218,1388300,303038.4,EQNE
2003-03-06,0.229,0.229,0.217,0.218,6495500,1429915.8,EQNE
2003-03-07,0.23,0.23,0.211,0.218,2546200,559691.9,EQNE
2003-03-11,0.219,0.219,0.214,0.215,6014200,1297572.6,EQNE
2003-03-12,0.232,0.232,0.213,0.216,6291100,1361344.8,EQNE
2003-03-13,0.219,0.219,0.212,0.213,2469400,528150.6,EQNE
2003-03-14,0.225,0.225,0.208,0.215,1401800,300798.4,EQNE
2003-03-17,0.228,0.228,0.206,0.213,1447600,304779.4,EQNE
2003-03-18,0.223,0.223,0.205,0.21,7834400,1632588.6,EQNE
2003-03-19,0.215,0.215,0.207,0.21,1136600,236820.3,EQNE
2003-03-20,0.22,0.22,0.2,0.205,18298300,3693733.3,EQNE
2003-03-21,0.217,0.217,0.202,0.206,727800,149005.2,EQNE
