date,open,high,low,close,volume,value,board
2006-08-04,777.5,791,771,779.0,926363,721148482.99,EQBR
2006-08-07,780,780,765,772.0,274359,211423209.33,EQBR
2006-08-08,776.89,780,763,770.0,219510,169556311.97,EQBR
2006-08-09,778,808.97,773,803.48,1511426,1208016842.5,EQBR
2006-08-10,797.48,808.85,791.03,808.0,487194,389153675.8,EQBR
2006-08-11,810,825,808,819.89,738417,605492318.33,EQBR
2006-08-14,819.95,843,818.01,827.59,782613,654109177.91,EQBR
2006-08-15,827.22,827.22,805.52,824.71,687222,561865057.05,EQBR
2006-08-16,835.36,840,821.7,838.0,680954,566605880.54,EQBR
2006-08-17,840,849.99,830,843.0,920316,774475953.5,EQBR
2006-08-18,838.66,844.8,800,811.0,1197670,987689899.85,EQBR
2006-08-21,815,827,813.01,825.0,521001,426851636.38,EQBR
2006-08-22,828,835,823.01,833.3,406862,337530718.91,EQBR
2006-08-23,831.06,835.63,824.34,832.9,355821,295494179.45,EQBR
2006-08-24,829.95,829.99,813.9,816.0,629123,516273660.18,EQBR
2006-08-25,819.99,826,817.5,821.36,198726,163434551.96,EQBR
2006-08-28,820,829,820,823.35,107109,88210610.41,EQBR
2006-08-29,824.99,870,824.99,858.02,1739067,1480387335.48,EQBR
2006-08-30,861,870,850.01,853.1,689290,593981644.61,EQBR
2006-08-31,860,864,845,849.8,357249,304243947.78,EQBR
2006-09-01,850,853.5,822,824.48,428019,356443986.13,EQBR
2006-09-04,840,850.01,831.12,848.0,396667,333342528.24,EQBR
2006-09-05,851.95,871,844.44,866.98,857373,735657449.83,EQBR
2006-09-06,866.98,868.97,846,856.07,664124,567129389,EQBR
2006-09-07,850,852,823.28,831.0,522781,436338816.93,EQBR
2006-09-08,831,840.7,830,832.2,281040,234656760.34,EQBR
2006-09-11,828,828,792.33,799.0,612965,493776414.31,EQBR
2006-09-12,805,817.6,802,816.97,358102,289627452.48,EQBR
2006-09-13,817.4,834.42,805.01,821.0,482922,398722365.73,EQBR
