date,open,high,low,close,volume,value,board
2004-12-09,280.0,280.0,280.0,280.0,100,28000.0,EQNE
2004-12-29,270.0,274.0,270.0,273.5,19500,5326480.0,EQNE
2004-12-30,276.26,279.26,276.0,278.0,12800,3551928.0,EQNE
2005-01-11,265.5,279.5,265.5,277.0,164,44669.55,EQNL
2005-01-12,278.5,280.0,278.5,280.0,110,30785.0,EQNL
2005-01-13,279.8,279.8,279.8,279.8,110,30778.0,EQNL
2005-01-14,265.0,278.0,265.0,278.0,410,110778.0,EQNL
2005-01-17,278.8,278.8,278.8,278.8,150,41820.0,EQNL
2005-01-20,275.0,275.0,275.0,275.0,1,275.0,EQNL
2005-01-25,275.0,275.0,275.0,275.0,1,275.0,EQNL
2005-01-27,266.5,268.0,266.5,268.0,251,66893.0,EQNL
2005-01-28,266.0,278.0,266.0,276.0,5623,1542712.0,EQNL
2005-01-31,275.0,281.0,267.0,281.0,4319,1193169.0,EQNL
2005-02-01,282.0,289.0,279.0,289.0,5022,1418092.95,EQNL
2005-02-02,282.0,293.5,282.0,292.5,20844,6039536.5,EQNL
2005-02-03,287.0,300.0,287.0,297.0,2103,624884.98,EQNL
2005-02-04,295.01,300.0,295.01,297.01,6192,1845216.5,EQNL
2005-02-07,299.0,299.0,299.0,299.0,503,150397.0,EQNL
2005-02-08,292.0,295.0,292.0,294.5,14305,4189600.0,EQNL
2005-02-09,300.0,300.0,298.0,298.0,503,149900.0,EQNL
2005-02-10,298.0,301.0,297.01,297.5,6397,1908723.02,EQNL
2005-02-14,297.1,302.0,297.1,299.99,6665,1996176.45,EQNL
2005-02-15,299.0,302.9,296.07,296.07,8356,2504235.43,EQNL
2005-02-16,299.99,299.99,296.0,296.0,1809,540154.57,EQNL
2005-02-17,296.0,297.0,295.0,295.0,4,1184.0,EQNL
2005-02-18,293.0,296.5,293.0,296.5,437,128050.5,EQNL
2005-02-21,293.0,298.0,293.0,296.51,1883,557456.5,EQNL
2005-02-22,298.0,298.0,294.0,294.0,808,239552.0,EQNL
2005-02-24,294.0,294.0,293.5,293.5,850,249725.06,EQNL
2005-02-25,295.0,301.0,295.0,301.0,1394,416437.23,EQNL
2005-03-01,301.0,303.0,301.0,302.15,1065,320652.5,EQNL
2005-03-02,302.0,305.8,301.35,305.79,4353,1325224.71,EQNL
2005-03-03,303.0,310.0,303.0,306.0,3086,941032.6,EQNL
2005-03-04,308.0,308.5,307.0,307.1,7073,2175049.3,EQNL
2005-03-05,307.0,309.0,306.0,306.0,186,57013.0,EQNL
2005-03-09,309.99,310.0,306.0,306.0,912,279095.99,EQNL
2005-03-10,303.5,303.5,302.5,302.5,262,79256.5,EQNL
2005-03-11,304.0,304.0,304.0,304.0,104,31616.0,EQNL
2005-03-14,302.5,306.0,302.0,306.0,1010,305131.5,EQNL
2005-03-15,304.0,304.0,303.25,303.25,2000,606957.5,EQNL
2005-03-16,303.0,306.5,300.0,306.5,1540,464994.0,EQNL
2005-03-17,305.99,305.99,302.0,302.0,1201,363284.98,EQNL
2005-03-18,303.0,303.0,303.0,303.0,1,303.0,EQNL
2005-03-21,300.51,305.5,300.51,305.5,3,906.52,EQNL
2005-03-22,301.8,301.95,301.55,301.55,96,28967.55,EQNL
2005-03-23,302.0,303.0,302.0,303.0,501,151303.0,EQNL
2005-03-24,303.0,303.01,301.0,301.0,1570,475655.0,EQNL
2005-03-25,303.5,305.99,303.5,304.0,22963,6980668.25,EQNL
