date,open,high,low,close,volume,value,board
2012-05-22,26.47,26.47,26.47,26.47,20000,529400,EQNE
2012-05-31,26.6,26.6,26.6,26.6,588300,15648780,EQNE
2012-06-26,26.47,26.6,26.47,26.6,200,5307,EQNE
2012-06-27,28.3,29,28.3,29.0,200,5730,EQNE
2012-06-28,27.8,28.7,26.4,26.4,400,11160,EQNE
2012-06-29,26.4,26.65,26.4,26.55,2196000,58303850,EQNE
2012-07-02,26.4,26.6,26.4,26.6,200,5300,EQNE
2012-07-03,26.48,26.48,26.48,26.48,500,13240,EQNE
2012-07-04,29,29,29,29.0,200,5800,EQNE
2012-07-12,26.5,28.5,26.5,28.5,200,5500,EQNE
2012-07-18,26.5,26.5,26.5,26.5,87,2305.5,SMAL
2012-07-19,26.5,26.5,26.5,26.5,500,13250,EQNE
2012-07-26,23,23,22,22.0,60900,1399805.5,EQNE
2012-07-27,25,25,25,25.0,100,2500,EQNE
2012-07-30,26.61,26.61,26.61,26.61,5000000,133050000,EQNE
2012-08-01,26.47,26.47,26.47,26.47,17385500,460194185,EQBR
2012-08-03,26.5,26.5,26.5,26.5,377400,10001100,EQBR
2012-08-09,24,24,24,24.0,1000,24000,EQBR
2012-08-10,26.7,26.8,26.7,26.8,200,5350,EQBR
2012-08-23,25,25,25,25.0,1000,25000,EQBR
2012-08-29,25,25,25,25.0,100,2500,EQBR
2012-08-30,26.5,26.5,25,25.0,1100,27650,EQBR
2012-08-31,26.5,26.5,25,25.0,1870600,49510900,EQBR
2012-09-10,26.55,26.55,26.55,26.55,2275900,60425145,EQBR
2012-09-14,26.52,26.52,26.52,26.52,200000,5304000,EQBR
2012-09-17,26.5,26.6,26.5,26.6,5000100,133002650,EQBR
2012-09-18,25.08,25.08,25.08,25.08,100,2508,EQBR
2012-09-20,25,25,24.8,24.8,11000,273000,EQBR
2012-09-26,26.47,26.65,26.47,26.65,1700,45200,EQBR
2012-09-28,26.5,26.7,26.5,26.7,6625600,176167520,EQBR
2012-10-01,26.6,26.6,26.6,26.6,19000000,505400000,EQBR
2012-10-03,26.62,26.62,26,26.42,9128000,241897340,EQBR
2012-10-04,25.8,25.8,25.8,25.8,306100,7897380,EQBR
2012-10-09,26.5,26.5,26.5,26.5,100,2650,EQBR
2012-10-11,25.8,25.8,25.8,25.8,100,2580,EQBR
2012-10-12,26.8,26.8,26.8,26.8,1100000,29480000,EQBR
2012-10-16,27.2,27.2,27.2,27.2,18800,511360,EQBR
2012-10-26,27.2,27.2,27.2,27.2,100,2720,EQBR
2012-10-30,27.2,27.21,27.2,27.21,5094900,138618074,EQBR
2012-11-02,27.2,27.2,27.2,27.2,100,2720,EQBR
2012-11-08,27.2,27.2,27.2,27.2,100,2720,EQBR
2012-11-09,27.2,27.2,27.2,27.2,100,2720,EQBR
2012-11-12,27.5,27.5,27.5,27.5,100,2750,EQBR
2012-11-13,27.25,27.25,27.25,27.25,100,2725,EQBR
2012-11-19,27.22,27.22,27.22,27.22,306100,8332042,EQBR
2012-11-20,27.22,27.25,27.22,27.25,22000200,599084334,EQBR
2012-11-28,27.2,27.2,27.2,27.2,2205900,60000480,EQBR
2012-11-30,26.98,27.25,26.98,27.25,1582500,42720350,EQBR
2012-12-03,26.98,27.26,26.98,27.26,1181400,31997428,EQBR
2012-12-04,26.98,26.98,26.98,26.98,741200,19997576,EQBR
2012-12-05,27.26,27.26,27.26,27.26,741200,20205112,EQBR
2012-12-07,27.2,27.2,27.2,27.2,1971500,53624800,EQBR
2012-12-13,27,27.2,27,27.2,29419800,800216160,EQBR
2012-12-24,22.75,22.75,19.34,19.34,200,4209,EQBR
2012-12-25,14.86,23,14.86,23.0,223200,3317566,EQBR
2012-12-26,27.14,27.14,27.14,27.14,1024500,27804930,EQBR
2012-12-27,27.145,27.145,27.145,27.145,1024500,27810052.5,EQBR
2012-12-28,27.25,27.25,27.25,27.25,18600,506850,EQBR
2013-01-10,25,25,25,25.0,1000,25000,EQBR
2013-01-11,23.05,23.05,23,23.0,1500,34530,EQBR
2013-01-14,22.8,22.8,22.8,22.8,100,2280,EQBR
2013-01-15,25.2,25.2,25.2,25.2,1000,25200,EQBR
2013-01-16,27.26,27.26,24.01,27.26,1400,34914,EQBR
2013-01-17,27.26,27.26,27.26,27.26,900,24534,EQBR
2013-01-18,24.1,24.1,24.1,24.1,500,12050,EQBR
2013-01-23,27.2,27.26,27.2,27.2,1839100,50023538,EQBR
2013-01-24,27.25,27.26,27.25,27.26,4320700,117782271,EQBR
2013-01-28,27.27,27.3,27.27,27.3,6199400,169109238,EQBR
2013-02-01,27.2,27.2,27.2,27.2,2500000,68000000,EQBR
2013-02-05,27.25,27.25,27.25,27.25,1834900,50001025,EQBR
2013-02-08,27.2,27.3,27.2,27.3,1454700,39713280,EQBR
2013-02-20,27,27,27,27.0,100000,2700000,EQBR
2013-02-22,27.27,27.27,27.27,27.27,3667000,99999090,EQBR
2013-02-25,27.27,28,27.27,28.0,2236900,61000336,EQBR
2013-02-26,27.3,27.32,27.3,27.32,5923000,161816344,EQBR
2013-03-13,24.4,24.4,24.4,24.4,1700000,41480000,EQBR
2013-03-15,27,27,27,27.0,1600000,43200000,EQBR
2013-03-18,27.3,27.3,27.3,27.3,7220000,197106000,EQBR
2013-03-21,24.5,27.67,24.5,27.67,4032900,108363653,EQBR
2013-03-22,27.67,27.67,27.67,27.67,424500,11745915,EQBR
2013-03-29,27.78,27.78,27.78,27.78,2600000,72228000,EQBR
2013-04-02,27.7,27.78,27.65,27.65,7022800,194696184,EQBR
2013-04-08,27,27,27,27.0,100000,2700000,EQBR
2013-04-09,27.8,27.8,27.8,27.8,58000,1612400,EQBR
2013-04-10,27.82,27.82,27.8,27.8,228000,6339560,EQBR
2013-04-11,27.82,27.82,27.82,27.82,170000,4729400,EQBR
2013-04-15,27.8,27.8,27.8,27.8,196500,5462700,EQBR
2013-04-16,27.82,27.82,27.8,27.8,393000,10929330,EQBR
2013-04-17,27.82,27.82,27.819,27.82,196700,5472193.8,EQBR
2013-04-22,27.898,27.901,27.898,27.901,196500,5482203.5,EQBR
2013-04-23,27.914,27.915,27.914,27.915,196500,5485201,EQBR
2013-04-30,27.92,27.92,27.92,27.92,2500000,69800000,EQBR
2013-05-06,27.85,27.9,27.85,27.9,2887000,80546300,EQBR
2013-05-14,28.72,28.72,28.72,28.72,34505600,991000832,EQBR
2013-05-15,26.39,26.39,26.39,26.39,8003000,211199170,EQBR
2013-05-16,26.401,27,26.39,26.4,29352200,774909382,EQBR
2013-05-28,26.47,26.47,26.47,26.47,110000,2911700,EQBR
2013-06-24,20.2,26.4,20.2,26.4,800,20260,EQBR
2013-06-27,26.2,26.2,26.2,26.2,500,13100,EQBR
2013-06-28,26.5,27,26.5,26.95,32700,880539.3,EQBR
2013-07-02,27,27,22,26.995,500,12499.5,EQBR
2013-07-03,22.993,24.995,19.008,24.995,700,15797.5,EQBR
2013-07-04,26,26,26,26.0,100,2600,EQBR
2013-07-05,25.991,25.991,25.991,25.991,100,2599.1,EQBR
2013-07-08,26,26,26,26.0,100,2600,EQBR
2013-07-09,26,26,26,26.0,100,2600,EQBR
2013-07-10,25.999,25.999,25.999,25.999,100,2599.9,EQBR
2013-07-29,26,26,25.33,25.33,10100,255900,EQBR
2013-07-30,26,26,25.33,25.33,20000,506667,EQBR
2013-07-31,26,26,26,26.0,100,2600,EQBR
2013-08-05,26,26,26,26.0,100,2600,EQBR
2013-08-09,25.33,25.33,25.33,25.33,1520600,38516798,EQBR
2013-08-12,25.249,25.3,25.249,25.3,1700,42982.4,EQBR
2013-08-13,26.47,26.47,26.47,26.47,392800,10397416,EQBR
2013-08-14,26.93,26.93,26.47,26.47,1195600,32068846,EQBR
2013-08-21,26.57,26.57,26.47,26.47,1007100,26744087,EQBR
2013-08-27,26.7,26.7,26.7,26.7,12049500,321721650,EQBR
2013-09-04,26.41,26.41,26.41,26.41,100,2641,TQBR
2013-09-18,26.47,26.47,26.47,26.47,3500,92645,TQBR
2013-09-30,27.5,27.5,27.5,27.5,22000,605000,TQBR
2013-10-04,26.83,26.83,26.83,26.83,40000,1073200,TQBR
2013-10-09,25.5,25.5,25.5,25.5,60000,1530000,TQBR
2013-10-11,24,24,24,24.0,80000,1920000,TQBR
2013-10-21,27.55,27.55,24.55,24.55,116500,2942575,TQBR
2013-10-24,24.8,24.9,24.8,24.9,200,4970,TQBR
2013-10-25,25.5,27.57,25.5,27.57,2964600,81733815,TQBR
2013-10-29,27.19,27.365,27.19,27.365,3080700,83783663,TQBR
2013-11-05,27.6,27.6,27.6,27.6,37000,1021200,TQBR
2013-11-29,27.6,27.6,27.6,27.6,23000,634800,TQBR
2013-12-03,27.6,27.6,27.6,27.6,96000,2649600,TQBR
2013-12-11,27.5,27.5,27.5,27.5,1000,27500,TQBR
2013-12-17,27.7,27.7,27.7,27.7,5500,152350,TQBR
2013-12-18,27,27,27,27.0,100,2700,TQBR
2013-12-19,27,27.92,27,27.92,1097000,30619040,TQBR
2013-12-20,27.72,27.72,27.72,27.72,2111000,58516920,TQBR
2013-12-23,25,25,25,25.0,100,2500,TQBR
2013-12-24,22,26.4,17.7,26.4,1711800,35559250.4,TQBR
2013-12-25,27.5,27.8,27.5,27.8,10300,286290,TQBR
2013-12-26,20.001,27.8,20.001,27.8,96400,2672121,TQBR
2013-12-30,28,28,28,28.0,50000,1400000,TQBR
2014-01-14,22.1,26.986,22.1,26.986,1200700,26538591.6,TQBR
2014-01-15,25.49,26.75,25.49,26.75,2400,62436,TQBR
2014-01-17,26.5,26.5,26.5,26.5,1200,31800,TQBR
2014-01-22,26,26,26,26.0,100,2600,TQBR
2014-01-28,26.876,26.876,26,26.0,13000,339051.2,TQBR
2014-01-29,26.5,26.5,26.5,26.5,19100,506150,TQBR
2014-01-30,27.5,28.01,27.45,28.01,19800,543983,TQBR
2014-01-31,28.01,28.01,28.01,28.01,30000,840300,TQBR
2014-02-27,27,28,27,28.0,20100,562700,TQBR
