date,open,high,low,close,volume,value,board
2010-10-22,213.6,213.6,195,213.6,4242,904919.42,EQNE
2010-10-25,278.52,298.99,180.01,180.01,7099,1574320.01,EQNE
2010-10-26,180.01,182.9,152,180.87,2040,337674.73,EQNE
2010-10-27,188.8,249.95,165,240.0,10344,2371262.42,EQNE
2010-10-28,249.01,290,190,253.48,28454,7620725.14,EQNE
2010-10-29,242.62,260,227,242.79,300,74678.64,EQNE
2010-11-01,240,269.95,215.05,269.8,5253,1337024.55,EQNE
2010-11-02,265,275,240,258.0,386,96425.65,EQNE
2010-11-03,250,269.95,236,259.0,731,187414.74,EQNE
2010-11-08,264.44,264.85,231,240.0,130,31290.7,EQNE
2010-11-09,240,260,225,250.0,619,147627.75,EQNE
2010-11-10,235.77,250,223,244.9,587,136321.63,EQNE
2010-11-11,226,243,226,240.0,205,48445.94,EQNE
2010-11-12,242.89,242.89,226,234.0,7050,1614058.04,EQNE
2010-11-13,237.79,324,235.44,254.94,3936,1014504.91,EQNE
2010-11-15,240,250,230,236.69,616,147266.05,EQNE
2010-11-16,223.5,244.9,203.99,220.71,785,172838.31,EQNE
2010-11-17,222.92,236.75,198,220.0,638,130927.32,EQNE
2010-11-18,212.29,226,202.23,223.0,90,19343.93,EQNE
2010-11-19,218.7,220,218.7,220.0,54,11865.72,EQNE
2010-11-22,219.99,220,219.99,220.0,10,2199.99,EQNE
2010-11-23,220,220,220,220.0,52,11440,EQNE
2010-11-24,220.91,228.94,220.91,220.99,769,169983.68,EQNE
2010-11-25,220.92,220.92,199,203.0,1686,337690.87,EQNE
2010-11-26,200.2,205,180.02,205.0,128,25472.88,EQNE
2010-11-29,200,208.2,200,208.2,55,11116.04,EQNE
2010-11-30,192.01,226,190,220.0,3796,745963.14,EQNE
2010-12-01,216.77,216.77,190.01,208.31,622,127768.28,EQNE
2010-12-02,206.25,206.25,202.18,202.18,8,1625.17,EQNE
2010-12-03,200.18,214,198.2,213.99,105,21109.91,EQNE
2010-12-06,208.29,229.88,208.29,212.52,9130,2097211.29,EQNE
2010-12-07,208.36,208.36,191.12,200.27,10950,2095148.9,EQNE
2010-12-08,204.27,220,204.27,214.9,1593,340953.97,EQNE
2010-12-09,212.55,212.55,200,206.97,280,56343.98,EQNE
2010-12-10,208.39,216,208,208.0,185,39535.68,EQNE
2010-12-13,211,218.99,200.01,206.52,10280,2231063.35,EQNE
2010-12-14,208.41,209.94,199,202.0,1198,240026.73,EQNE
2010-12-15,204.33,208.42,200,207.82,1012,202471.61,EQNE
2010-12-16,207.14,207.14,207.14,207.14,1,207.14,EQNE
2010-12-17,205.43,208.43,196.64,208.43,1818,364080.21,EQNE
2010-12-20,207.02,208.99,207.02,208.99,18,3728.33,EQNE
2010-12-21,205.18,205.18,200.99,201.0,120,24183.26,EQNE
2010-12-22,200.34,200.34,200.34,200.34,1,200.34,EQNE
2010-12-23,204.35,204.35,196.41,196.41,24966,4993195.07,EQNE
2010-12-24,200.34,204.64,196.63,204.5,36,7320.98,EQNE
2010-12-27,208.73,213.33,197.2,197.3,2003,403047.11,EQNE
2010-12-28,196.5,208.67,191.01,200.38,16211,3163574.46,EQNE
2010-12-29,224.31,224.31,181.56,192.6,25920,4962813.63,EQNE
2010-12-30,196.46,201.9,192.41,201.0,219,44006.47,EQNE
2011-01-11,195.27,218,195.27,204.59,1868,384249.26,EQNE
2011-01-12,201.01,201.01,191.01,200.57,982,197301.53,EQNE
2011-01-14,204.58,204.58,190,200.58,67,13163.05,EQNE
2011-01-17,203.69,203.69,203.69,203.69,1,203.69,EQNE
2011-01-18,203.66,203.66,201.01,201.01,2,404.67,EQNE
2011-01-19,204.58,205,200.11,200.11,2898,591145.27,EQNE
2011-01-20,204.6,205,204.6,205.0,201,41204.6,EQNE
2011-01-21,200.61,205.5,200.61,205.0,1823,373640.87,EQNE
2011-01-25,205.98,205.98,200.59,200.59,11,2260.39,EQNE
2011-01-26,204.4,204.6,200.51,200.51,284,57084.54,EQNE
2011-01-27,200,204,200,200.0,19007,3805400,EQNE
2011-01-28,200,207,200,207.0,14,2830.11,EQNE
2011-01-31,200.59,202,200.59,202.0,56,11293.18,EQNE
2011-02-01,200.58,200.58,192,196.26,285,55952.37,EQNE
2011-02-03,200,250,200,206.0,12566,2729811.3,EQNE
2011-02-04,199.11,208.99,196,200.99,465,93584.06,EQNE
2011-02-07,201,209.39,184.19,199.95,2937,569697.71,EQNE
2011-02-08,200,208,158.11,187.91,3788,716935.62,EQNE
2011-02-09,194.27,194.27,177,183.5,402,72363.43,EQNE
2011-02-10,183.5,193,171.3,171.3,646,113768.12,EQNE
