date,open,high,low,close,volume,value,board
2015-12-11,587,587,570,570.0,97170,55433078,TQBR
2015-12-14,571,574,560,574.0,250360,143705949,TQBR
2015-12-15,574,574,569,569.0,200100,114837165,TQBR
2015-12-16,573.9,573.9,573.9,573.9,180000,103302000,TQBR
2015-12-17,560,572,560,571.9,154770,88512826,TQBR
2015-12-18,559.9,578,555.5,573.4,481710,276377334,TQBR
2015-12-21,559.5,574.2,559.5,574.2,399480,229381134,TQBR
2015-12-22,572,572,572,572.0,10,5720,TQBR
2015-12-23,574,574.2,573,574.2,4510,2589180,TQBR
2015-12-24,575.5,575.8,574,574.5,791580,455519767,TQBR
2015-12-25,574.7,576,572,572.0,1170790,673198966,TQBR
2015-12-28,574.9,576,574.9,575.1,348960,200732852,TQBR
2015-12-29,574.5,574.8,574.5,574.8,4210,2419205,TQBR
2015-12-30,574.6,574.8,574,574.8,4340,2494100,TQBR
2016-01-05,571,571,571,571.0,10,5710,TQBR
2016-01-11,575,575.2,575,575.2,4290,2467179,TQBR
2016-01-12,574,574.4,574,574.4,4410,2532222,TQBR
2016-01-13,574.8,575,574.8,575.0,3600,2069640,TQBR
2016-01-14,575.1,575.3,575.1,575.3,4050,2329560,TQBR
2016-01-15,570.5,575,562,574.5,3180,1811605,TQBR
2016-01-18,574.5,574.5,573.5,573.5,1350,775275,TQBR
2016-01-19,574.5,575.1,574.2,574.2,3225480,1852076746,TQBR
2016-01-20,574,575,574,574.2,2154140,1236911682,TQBR
2016-01-21,574.8,575.1,574,574.0,124350,71404926,TQBR
2016-01-22,575.1,575.3,575.1,575.3,5220,3002544,TQBR
2016-01-25,575,575.4,575,575.4,5110,2939270,TQBR
2016-01-26,574.5,583,574.5,583.0,5110,2951345,TQBR
2016-01-27,583.5,583.5,581,582.0,451990,263732085,TQBR
2016-01-28,581,584.3,581,584.3,74760,43669518,TQBR
2016-01-29,582,584.5,582,584.5,455600,266289070,TQBR
2016-02-01,582,589,582,589.0,7510,4378390,TQBR
2016-02-02,584,586,584,585.0,11760,6880230,TQBR
2016-02-03,582,584,582,584.0,9750,5684250,TQBR
2016-02-04,581,583,581,583.0,9300,5412600,TQBR
