date,open,high,low,close,volume,value,board
2021-04-28,8.1,8.1,7.801,7.968,193813200,1543283700.8,TQBR
2021-04-29,8.0,8.0,7.88,7.9,83221800,660017517.7,TQBR
2021-04-30,7.901,7.965,7.651,7.88,81990900,643659631.6,TQBR
2021-05-04,7.88,7.948,7.88,7.91,89185600,705215228.9,TQBR
2021-05-05,7.882,8.013,7.882,8.0,43793000,349100371.3,TQBR
2021-05-06,8.0,8.0,7.9,8.0,28732500,229360893.9,TQBR
2021-05-07,8.0,8.02,7.924,8.0,15066500,120316494.2,TQBR
2021-05-10,8.003,8.003,7.947,7.981,10029400,80054032.9,TQBR
2021-05-11,7.981,8.0,7.89,7.994,35602500,283849279.6,TQBR
2021-05-12,8.0,8.0,7.92,7.965,18815300,150058728.7,TQBR
2021-05-13,7.965,7.986,7.91,7.97,26952800,214188425.0,TQBR
2021-05-14,7.97,7.975,7.92,7.951,12328200,98013876.5,TQBR
2021-05-17,7.98,7.98,7.918,7.95,12625800,100343085.9,TQBR
2021-05-18,7.963,7.98,7.905,7.926,30066100,238996558.6,TQBR
2021-05-19,7.96,7.971,7.909,7.95,24439200,193749073.4,TQBR
2021-05-20,7.935,8.015,7.6,7.994,56073500,446020901.4,TQBR
2021-05-21,7.996,7.996,7.92,7.96,24606500,195796935.7,TQBR
2021-05-24,7.921,7.997,7.921,7.99,58127800,463589017.4,TQBR
2021-05-25,7.997,7.997,7.935,7.97,25357000,202305091.3,TQBR
2021-05-26,7.97,7.98,7.935,7.97,17751900,141301060.9,TQBR
2021-05-27,7.97,8.0,7.935,8.0,40490300,323122764.1,TQBR
2021-05-28,7.99,7.99,7.745,7.8,24166000,190144899.9,TQBR
2021-05-31,7.848,7.92,7.806,7.824,8569500,67562726.8,TQBR
2021-06-01,7.84,7.906,7.84,7.86,5604700,44171482.8,TQBR
2021-06-02,7.879,7.879,7.8,7.8,8139000,63579628.2,TQBR
2021-06-03,7.805,7.875,7.72,7.767,7463000,58138122.9,TQBR
2021-06-04,7.784,7.796,7.63,7.659,10149600,78009128.0,TQBR
2021-06-07,7.659,7.748,7.6,7.6,8932300,68368342.9,TQBR
2021-06-08,7.64,7.718,7.56,7.612,16280700,124091939.6,TQBR
2021-06-09,7.616,7.899,7.571,7.894,12820900,100175538.7,TQBR
2021-06-10,7.89,7.944,7.822,7.931,21791600,172125931.2,TQBR
2021-06-11,7.931,7.95,7.926,7.949,5666500,44991968.1,TQBR
2021-06-14,7.949,7.997,7.851,7.965,5736000,45594844.4,TQBR
2021-06-15,7.922,7.967,7.831,7.869,13578800,107205236.6,TQBR
2021-06-16,7.892,7.892,7.772,7.783,3808600,29718072.2,TQBR
2021-06-17,7.84,7.884,7.728,7.774,4262200,33131193.9,TQBR
2021-06-18,7.774,7.802,7.602,7.603,7221300,55370939.8,TQBR
2021-06-21,7.667,7.729,7.666,7.68,3278600,25242120.9,TQBR
2021-06-22,7.7,7.728,7.615,7.66,3858100,29598864.3,TQBR
2021-06-23,7.669,7.7,7.633,7.685,7875500,60444235.4,TQBR
2021-06-24,7.719,7.748,7.554,7.6,15695800,120129599.3,TQBR
2021-06-25,7.621,7.674,7.552,7.554,9845300,74641047.4,TQBR
2021-06-28,7.59,7.67,7.522,7.63,4546800,34637669.5,TQBR
2021-06-29,7.629,7.629,7.46,7.523,15833000,119107963.0,TQBR
2021-06-30,7.51,7.648,7.5,7.62,5233800,39686498.5,TQBR
2021-07-01,7.604,7.691,7.6,7.652,4186400,32078584.7,TQBR
2021-07-02,7.652,7.652,7.562,7.563,3562400,27041518.2,TQBR
2021-07-05,7.6,7.652,7.51,7.65,4891300,37098557.3,TQBR
2021-07-06,7.65,7.663,7.555,7.556,10048900,76388992.0,TQBR
2021-07-07,7.559,7.623,7.5,7.555,6510100,49099340.6,TQBR
2021-07-08,7.55,7.566,7.45,7.455,10849900,81307582.8,TQBR
2021-07-09,7.494,7.494,7.391,7.45,6165300,45889657.1,TQBR
2021-07-12,7.45,7.45,7.391,7.421,5538500,41143745.4,TQBR
2021-07-13,7.45,7.526,7.395,7.4,7003000,51933311.9,TQBR
2021-07-14,7.455,7.455,7.286,7.291,9324000,68304645.7,TQBR
2021-07-15,7.45,7.45,7.2,7.205,9263900,66896754.9,TQBR
2021-07-16,7.205,7.29,7.124,7.186,5216200,37595280.5,TQBR
2021-07-19,7.201,7.23,6.804,6.805,17292700,120386455.8,TQBR
2021-07-20,6.887,7.044,6.826,6.95,5773900,40197580.1,TQBR
2021-07-21,7.044,7.063,6.77,7.027,14131700,98965524.9,TQBR
2021-07-22,7.09,7.3,7.031,7.289,6094400,44056021.9,TQBR
2021-07-23,7.324,7.46,7.301,7.41,5874300,43438485.3,TQBR
2021-07-26,7.417,7.549,7.041,7.233,7317100,53934033.3,TQBR
2021-07-27,7.35,7.395,7.231,7.286,3202400,23436255.3,TQBR
2021-07-28,7.287,7.449,7.287,7.38,2564600,18838117.7,TQBR
2021-07-29,7.38,7.51,7.349,7.46,5660000,42259311.9,TQBR
2021-07-30,7.46,7.52,7.28,7.35,5142800,37759968.8,TQBR
2021-08-02,7.413,7.451,7.351,7.366,2641300,19542384.3,TQBR
2021-08-03,7.446,7.446,7.296,7.321,3054100,22420334.6,TQBR
2021-08-04,7.337,7.399,7.211,7.342,4132800,30191332.7,TQBR
2021-08-05,7.353,7.39,7.213,7.34,4487400,32815397.9,TQBR
2021-08-06,7.34,7.439,7.221,7.25,5282000,38373368.6,TQBR
2021-08-09,7.284,7.3,7.132,7.17,6231400,44818133.2,TQBR
2021-08-10,7.225,7.294,7.182,7.219,2953100,21368793.8,TQBR
2021-08-11,7.226,7.31,7.226,7.31,3408000,24806596.4,TQBR
2021-08-12,7.31,7.36,7.22,7.23,3133500,22856057.0,TQBR
2021-08-13,7.294,7.306,7.2,7.23,5644500,40869284.8,TQBR
2021-08-16,7.233,7.292,7.15,7.161,2825200,20363310.2,TQBR
2021-08-17,7.16,7.3,7.143,7.211,5002300,35940202.4,TQBR
2021-08-18,7.27,7.27,7.2,7.23,2061500,14915828.3,TQBR
2021-08-19,7.23,7.52,7.11,7.32,7006600,50807706.9,TQBR
2021-08-20,7.393,7.467,7.254,7.45,5015800,37070004.1,TQBR
2021-08-23,7.46,7.605,7.451,7.53,20017300,150475070.9,TQBR
2021-08-24,7.557,7.735,7.49,7.69,17083700,130111727.3,TQBR
2021-08-25,7.7,8.05,7.692,8.005,30679000,243420658.3,TQBR
2021-08-26,8.005,8.04,7.75,8.029,19099100,152138285.0,TQBR
2021-08-27,8.064,8.34,7.924,8.181,42872500,351500338.9,TQBR
2021-08-30,8.213,8.95,8.213,8.688,60113200,520164414.0,TQBR
2021-08-31,8.688,9.0,8.29,8.463,59238900,514410367.4,TQBR
2021-09-01,8.545,8.695,8.5,8.621,23653900,203133729.1,TQBR
2021-09-02,8.621,8.796,8.501,8.557,22287300,193113097.7,TQBR
2021-09-03,8.67,8.88,8.561,8.821,29449100,258740025.5,TQBR
2021-09-06,8.869,8.994,8.79,8.994,37696000,337758278.8,TQBR
2021-09-07,8.994,9.0,8.652,8.938,31623800,281281066.8,TQBR
2021-09-08,8.99,8.99,8.725,8.869,11680900,103416691.6,TQBR
2021-09-09,8.87,8.88,8.577,8.637,18113600,157194545.0,TQBR
2021-09-10,8.64,8.8,8.625,8.681,11816400,103101766.8,TQBR
2021-09-13,8.74,8.88,8.71,8.817,14800900,130678313.6,TQBR
2021-09-14,8.849,8.9,8.73,8.805,13766500,121689616.1,TQBR
2021-09-15,8.869,8.88,8.62,8.702,36306000,316087608.0,TQBR
2021-09-16,8.702,8.782,8.686,8.686,13993400,122259473.7,TQBR
2021-09-17,8.7,8.819,8.506,8.78,42695400,374310035.6,TQBR
2021-09-20,8.797,8.803,8.45,8.536,29730100,254468816.3,TQBR
2021-09-21,8.536,8.661,8.484,8.508,8300800,70977688.8,TQBR
2021-09-22,8.5,8.63,8.5,8.571,13163500,112979748.3,TQBR
2021-09-23,8.65,8.8,8.586,8.639,15261900,132452497.7,TQBR
2021-09-24,8.679,8.788,8.661,8.683,10517900,91658052.1,TQBR
2021-09-27,8.721,8.888,8.69,8.797,21715000,190953287.4,TQBR
2021-09-28,8.839,8.839,8.653,8.717,9789200,85377494.2,TQBR
2021-09-29,8.75,8.798,8.682,8.7,7103500,61960268.1,TQBR
2021-09-30,8.728,8.822,8.7,8.788,10825700,95049260.3,TQBR
2021-10-01,8.807,8.813,8.69,8.696,9007200,78782103.2,TQBR
2021-10-04,8.692,8.79,8.688,8.728,6995100,61040604.8,TQBR
2021-10-05,8.728,8.81,8.701,8.754,14578200,128054929.6,TQBR
2021-10-06,8.75,8.797,8.69,8.77,11788600,102944160.0,TQBR
2021-10-07,8.77,9.0,8.749,8.971,36906400,329625415.5,TQBR
2021-10-08,8.99,9.5,8.953,9.481,66353000,611274052.8,TQBR
2021-10-11,9.8,10.091,9.65,9.99,139986100,1387120676.6,TQBR
2021-10-12,10.0,10.099,9.582,9.78,54139900,535344288.9,TQBR
2021-10-13,9.781,10.5,9.77,10.359,77491400,792167887.2,TQBR
2021-10-14,10.35,11.02,10.31,10.451,129839400,1401170174.5,TQBR
2021-10-15,10.596,10.881,10.468,10.75,38507400,412749777.9,TQBR
2021-10-18,10.77,11.479,10.75,11.134,92681300,1038583025.1,TQBR
2021-10-19,11.225,11.48,10.535,11.0,67972000,750761440.2,TQBR
2021-10-20,11.01,11.376,11.01,11.301,32348500,364307353.1,TQBR
2021-10-21,11.4,11.4,10.783,10.87,45866300,504883290.5,TQBR
2021-10-22,11.0,11.0,10.551,10.75,29780900,319254993.2,TQBR
2021-10-25,10.97,11.0,10.751,10.85,13761100,149822474.3,TQBR
2021-10-26,10.9,10.986,10.75,10.89,20551100,222661397.6,TQBR
2021-10-27,10.89,10.89,10.4,10.516,25076300,264425517.2,TQBR
2021-10-28,10.516,10.547,9.905,10.135,56247700,566007741.4,TQBR
2021-10-29,10.198,10.297,9.688,9.854,32592200,322443527.7,TQBR
2021-11-01,9.87,10.667,9.87,10.516,40065300,416483010.4,TQBR
2021-11-02,10.72,11.05,10.1,10.32,72716000,759512315.3,TQBR
2021-11-03,10.39,10.568,10.112,10.201,22343300,229551197.9,TQBR
2021-11-05,10.3,10.499,10.225,10.301,14338100,148454557.5,TQBR
2021-11-08,10.5,10.5,10.211,10.261,17305300,178657368.8,TQBR
2021-11-09,10.288,10.8,10.218,10.75,43054600,455098872.4,TQBR
2021-11-10,10.86,11.2,10.745,10.79,41827500,456936992.9,TQBR
2021-11-11,10.803,10.893,10.229,10.729,27441700,290847127.1,TQBR
2021-11-12,10.9,11.197,10.595,10.861,57863800,629966245.9,TQBR
2021-11-15,10.996,11.179,10.8,10.897,33147300,362120877.7,TQBR
2021-11-16,10.965,11.148,10.559,10.861,27514900,298343623.2,TQBR
2021-11-17,10.88,10.998,10.701,10.889,12094400,131460397.8,TQBR
2021-11-18,10.889,10.986,10.841,10.909,17740400,193754215.6,TQBR
2021-11-19,10.948,11.15,10.052,10.576,47868600,505790561.2,TQBR
2021-11-22,10.67,10.887,9.88,10.05,73379100,745009354.5,TQBR
2021-11-23,9.95,10.38,9.636,10.099,76995000,779558295.7,TQBR
2021-11-24,10.194,10.45,10.089,10.285,31275700,321628734.9,TQBR
2021-11-25,10.35,10.696,10.221,10.451,26782300,279107368.8,TQBR
2021-11-26,10.291,10.368,10.005,10.1,19690500,200860510.8,TQBR
2021-11-29,10.23,10.68,10.111,10.629,32559600,341169014.4,TQBR
2021-11-30,10.59,10.78,10.25,10.6,92007900,976035597.4,TQBR
2021-12-01,10.7,10.8,10.618,10.75,35168000,376717779.9,TQBR
2021-12-02,10.75,10.8,10.631,10.67,24288100,260390844.6,TQBR
2021-12-03,10.676,10.896,10.558,10.679,12915300,138559955.3,TQBR
2021-12-06,10.818,10.839,10.32,10.69,16153800,172110184.0,TQBR
2021-12-07,10.749,10.835,10.458,10.8,17669700,190475877.7,TQBR
2021-12-08,10.854,11.1,10.694,10.759,25612300,279447664.5,TQBR
2021-12-09,10.759,10.899,10.713,10.78,13359900,144459263.7,TQBR
2021-12-10,10.785,10.859,10.729,10.8,11932300,128696054.5,TQBR
2021-12-13,10.85,10.898,10.328,10.473,26190700,276852999.5,TQBR
