date,open,high,low,close,volume,value,board
2015-08-05,5.474,5.474,4.95,5.07,15200,78013.2,TQBR
2015-08-06,4.998,4.9995,4.998,4.9995,2400,11995.65,TQBR
2015-08-07,4.5005,4.5005,4.5,4.5005,4500,20250.25,TQBR
2015-08-10,4.997,5.9995,4.101,4.3465,209500,940642.3,TQBR
2015-08-11,4.3465,4.3775,4.3,4.3775,5300,22900.05,TQBR
2015-08-12,4.3775,6,4.3775,6.0,1100,5466.25,TQBR
2015-08-13,4.3875,5,4.322,5.0,47600,210917.4,TQBR
2015-08-14,5.5,5.5,4.21,4.58,71100,319362.2,TQBR
2015-08-17,4.5995,4.6,4.37,4.479,36900,165548.65,TQBR
2015-08-18,4.3705,4.376,4.261,4.261,41500,180355.55,TQBR
2015-08-19,4.32,4.32,4.2305,4.32,500,2151.05,TQBR
2015-08-20,4.33,4.33,4.21,4.21,13100,55271,TQBR
2015-08-21,4.25,4.25,4.13,4.13,2400,10008.15,TQBR
2015-08-24,4.1995,4.1995,4.06,4.06,57400,233363.05,TQBR
2015-08-25,4.08,4.11,4.08,4.11,4500,18363,TQBR
2015-08-26,4.12,4.12,4.12,4.12,5000,20600,TQBR
2015-08-27,4.12,4.12,4.12,4.12,13800,56856,TQBR
2015-08-28,4.1205,4.17,4.11,4.17,47500,195897,TQBR
2015-08-31,4.08,4.22,4.08,4.22,108000,447438.6,TQBR
2015-09-01,4.19,4.22,4.11,4.22,43200,180251,TQBR
2015-09-02,4.02,4.22,4,4.22,42000,174760.8,TQBR
2015-09-03,4.15,4.25,4.15,4.25,51400,214024,TQBR
2015-09-04,4.2,4.25,4.2,4.25,25900,109234,TQBR
2015-09-07,4.22,4.25,4.13,4.2,36900,154652.9,TQBR
2015-09-08,4.18,4.22,4.1,4.22,36700,152808,TQBR
2015-09-09,4.23,4.23,4.09,4.19,41900,172729.05,TQBR
2015-09-10,4.15,4.15,4.15,4.15,28900,119935,TQBR
2015-09-11,4.09,4.11,4.0005,4.11,23900,97949.6,TQBR
2015-09-14,4.1,4.13,4.1,4.1,58200,238773,TQBR
2015-09-15,4.13,4.13,4.05,4.05,11500,47487,TQBR
2015-09-16,4.1,4.1,4.0005,4.09,22300,91182.75,TQBR
2015-09-17,4.001,4.1,4.0005,4.1,13900,56382.6,TQBR
2015-09-18,4,4.02,3.91,3.91,5500,22050,TQBR
2015-09-21,3.935,4.05,3.935,4.0,2900,11509.95,TQBR
2015-09-22,4,4,4,4.0,100,400,TQBR
2015-09-23,3.94,3.94,3.928,3.928,26300,103619,TQBR
2015-09-25,3.928,5,3.928,3.96,31200,123681.9,TQBR
2015-09-29,3.93,3.93,3.93,3.93,100,393,TQBR
2015-09-30,3.95,4,3.94,3.94,5800,23013,TQBR
2015-10-01,3.94,3.94,3.93,3.93,200,787,TQBR
2015-10-02,4.06,4.06,4.06,4.06,100,406,TQBR
2015-10-05,3.97,3.9795,3.94,3.9795,10400,40988,TQBR
2015-10-06,3.95,3.99,3.87,3.99,47400,184753.75,TQBR
2015-10-07,4,4,4,4.0,100,400,TQBR
2015-10-08,3.9,4.2,3.9,4.0,600,2380,TQBR
2015-10-09,3.85,3.85,3.8455,3.8455,400,1538.65,TQBR
2015-10-12,4,4,3.3305,3.3305,200,733.05,TQBR
2015-10-13,3.8,3.8,3.334,3.334,300,1093.3,TQBR
2015-10-20,4.194,4.22,4.194,4.22,1000,4217.4,TQBR
2015-10-21,4.2495,4.2495,3.7,4.2,1600,6084.95,TQBR
2015-10-23,3.9,3.9,3.9,3.9,100,390,TQBR
2015-10-26,4.1,4.1,3.61,3.61,400,1511.1,TQBR
2015-10-27,3.94,3.94,3.4,3.5,2200,7774,TQBR
2015-10-28,3.999,3.999,2.5255,3.45,25000,75829.4,TQBR
2015-10-29,2.542,3.78,2.542,3.398,135600,387670.7,TQBR
2015-10-30,3.22,3.22,2.5055,2.8005,87200,239098.45,TQBR
2015-11-02,2.99,3.19,2.75,2.9,5300,15681,TQBR
2015-11-03,2.71,2.96,2.71,2.96,1700,4957,TQBR
2015-11-05,2.71,3.1,2.58,2.6,2486300,6766434,TQBR
2015-11-06,2.54,2.81,2.43,2.75,172300,475046,TQBR
2015-11-09,2.74,2.77,2.64,2.74,17800,48969,TQBR
2015-11-10,2.66,2.77,2.6,2.74,16800,45501,TQBR
2015-11-11,2.62,2.74,2.62,2.62,1500,4018,TQBR
2015-11-12,1.69,2.83,1.69,2.7,116100,302224,TQBR
2015-11-13,2.73,2.73,2.65,2.7,759400,2057966,TQBR
2015-11-16,2.72,2.72,2.57,2.57,400,1068,TQBR
2015-11-17,2.7,2.7,2.39,2.7,10400,26427,TQBR
2015-11-18,2.66,2.71,2.46,2.71,5100,13543,TQBR
2015-11-19,2.51,2.7,2.51,2.63,10300,26832,TQBR
2015-11-20,2.59,2.7,2.54,2.67,3800,10117,TQBR
2015-11-23,2.62,3.73,2.62,3.52,309400,1072648,TQBR
2015-11-24,3.57,4.56,2.84,3.5,88400,322144,TQBR
2015-11-25,3.55,3.69,2.62,3.15,48600,148015,TQBR
2015-11-26,3.06,3.06,2.84,2.92,5500,16098,TQBR
2015-11-27,2.93,2.93,2.51,2.55,29100,76912,TQBR
2015-11-30,2.66,2.68,2.59,2.68,400,1052,TQBR
2015-12-01,2.72,2.72,2.53,2.66,3600,9310,TQBR
2015-12-02,2.56,2.59,2.53,2.59,1000,2547,TQBR
2015-12-03,2.6,2.6,2.6,2.6,700,1820,TQBR
2015-12-04,2.55,2.61,2.55,2.61,300,776,TQBR
2015-12-07,2.54,2.58,2,2.3,23100,53701,TQBR
2015-12-08,2.21,2.8,2.11,2.33,12300,29702,TQBR
2015-12-09,2.41,2.45,2.1,2.24,8400,18189,TQBR
2015-12-10,2.27,2.55,2.26,2.33,2000,4743,TQBR
2015-12-11,2.32,2.5,2.25,2.26,484900,1211386,TQBR
2015-12-14,2.21,2.22,2.14,2.2,4500,9714,TQBR
2015-12-15,2.15,2.15,2.15,2.15,200,430,TQBR
2015-12-16,2.12,2.33,2.12,2.17,1300,2903,TQBR
2015-12-17,2.24,2.49,2.16,2.43,6000,14444,TQBR
2015-12-18,2.31,2.49,2.27,2.49,13700,33593,TQBR
2015-12-21,2.55,3.05,2.55,2.56,12400,32466,TQBR
2015-12-22,2.55,2.78,2.5,2.67,485200,1214284,TQBR
2015-12-23,2.59,2.6,2.45,2.56,28500,70295,TQBR
2015-12-24,2.57,2.57,2.5,2.5,300,760,TQBR
2015-12-25,2.49,2.55,2,2.32,5200,11760,TQBR
2015-12-28,2.28,2.47,2.28,2.42,6700,16220,TQBR
2015-12-29,2.41,2.41,2.33,2.37,2000,4779,TQBR
2015-12-30,2.38,2.42,2.38,2.42,200,480,TQBR
2016-01-04,2.37,2.37,2.37,2.37,300,711,TQBR
2016-01-05,2.44,2.48,2.36,2.36,2700,6529,TQBR
2016-01-06,2.35,2.46,2.35,2.46,2300,5516,TQBR
2016-01-11,2.39,2.39,2.32,2.32,3400,8026,TQBR
2016-01-13,2.35,2.35,2.35,2.35,2500,5875,TQBR
2016-01-15,2.31,2.55,2.05,2.35,4100,9722,TQBR
2016-01-18,2.33,2.35,2.07,2.28,5300,11515,TQBR
2016-01-19,2.28,2.33,2.26,2.33,700,1596,TQBR
2016-01-20,2.25,2.33,2.25,2.33,200,458,TQBR
2016-01-21,2.25,2.38,2.25,2.31,4000,9436,TQBR
2016-01-22,2.32,2.38,2.29,2.32,1300,2998,TQBR
2016-01-25,2.32,2.32,2.3,2.3,300,692,TQBR
2016-01-26,2.33,2.33,2.27,2.27,6400,14664,TQBR
2016-01-27,2.29,2.34,2.29,2.29,1700,3919,TQBR
2016-01-28,2.35,2.35,2.28,2.28,500,1163,TQBR
2016-01-29,2.24,2.29,2.23,2.28,700,1584,TQBR
2016-02-01,2.25,2.25,2.07,2.22,6900,14504,TQBR
2016-02-02,2.14,2.33,2,2.22,14700,30418,TQBR
2016-02-03,2.24,2.27,2.17,2.22,3800,8433,TQBR
2016-02-04,2.09,2.2,2.08,2.2,600,1285,TQBR
2016-02-05,2.21,2.24,2.21,2.22,600,1335,TQBR
2016-02-08,2.22,2.22,2.13,2.13,1200,2592,TQBR
2016-02-09,2.2,2.98,2.19,2.52,81800,214755,TQBR
2016-02-10,2.5,2.52,2.28,2.28,11700,27427,TQBR
2016-02-11,2.29,2.37,2.27,2.28,2100,4869,TQBR
2016-02-12,2.38,2.38,2.38,2.38,300,714,TQBR
2016-02-15,2.3,2.37,2.03,2.24,32000,68434,TQBR
2016-02-16,2.25,2.25,2.09,2.14,12700,27022,TQBR
